Date,Open,High,Low,Close,Volume
2022-04-05 20:00:00-04:00,401.50,411.56,401.50,408.88,1941400
2022-04-06 20:00:00-04:00,407.45,420.41,405.47,418.71,2032700
2022-04-07 20:00:00-04:00,420.69,424.18,413.40,415.12,1710700
2022-04-10 20:00:00-04:00,417.16,426.75,415.72,417.57,1911200
2022-04-11 20:00:00-04:00,419.33,424.31,414.99,420.54,1502300
2022-04-12 20:00:00-04:00,423.65,426.89,419.37,422.02,1212400
2022-04-13 20:00:00-04:00,424.46,426.10,419.18,420.64,1965200
2022-04-17 20:00:00-04:00,420.05,424.52,412.95,420.44,1638900
2022-04-18 20:00:00-04:00,415.99,427.69,412.34,413.66,2044000
2022-04-19 20:00:00-04:00,413.64,414.97,407.26,408.24,1636200
2022-04-20 20:00:00-04:00,409.25,410.11,394.73,395.35,1937600
2022-04-21 20:00:00-04:00,396.56,405.57,394.31,400.97,1451700
2022-04-24 20:00:00-04:00,398.46,400.10,389.71,398.36,1499800
2022-04-25 20:00:00-04:00,402.09,406.84,398.62,401.24,1440400
2022-04-26 20:00:00-04:00,401.37,406.56,395.11,400.24,1017500
2022-04-27 20:00:00-04:00,403.86,403.86,393.53,397.30,1348800
2022-04-28 20:00:00-04:00,399.75,400.27,387.11,388.67,1479500
2022-05-01 20:00:00-04:00,386.41,393.50,383.30,387.50,1397100
2022-05-02 20:00:00-04:00,390.71,393.60,387.63,391.06,1332000
2022-05-03 20:00:00-04:00,393.09,401.15,391.17,400.92,1172600
2022-05-04 20:00:00-04:00,400.92,402.48,394.51,398.60,1183800
2022-05-05 20:00:00-04:00,397.14,404.38,395.68,404.24,1409800
2022-05-08 20:00:00-04:00,402.09,403.66,393.17,394.72,1354500
2022-05-09 20:00:00-04:00,395.71,401.61,393.51,394.98,978500
2022-05-10 20:00:00-04:00,393.51,400.25,392.72,396.13,1018200
2022-05-11 20:00:00-04:00,395.10,396.95,385.28,390.90,1390200
2022-05-12 20:00:00-04:00,391.59,393.70,385.87,391.42,1114700
2022-05-15 20:00:00-04:00,391.26,396.09,388.71,393.56,1004700
2022-05-16 20:00:00-04:00,395.59,397.76,387.90,396.66,798100
2022-05-17 20:00:00-04:00,396.66,397.62,389.56,390.66,986900
2022-05-18 20:00:00-04:00,387.53,389.46,377.13,382.83,1539800
2022-05-19 20:00:00-04:00,384.97,384.97,375.34,381.51,1632500
2022-05-22 20:00:00-04:00,384.46,391.85,384.46,389.49,1038200
2022-05-23 20:00:00-04:00,389.47,398.74,389.47,398.26,1034100
2022-05-24 20:00:00-04:00,398.89,403.52,396.93,402.54,1032200
2022-05-25 20:00:00-04:00,404.76,408.41,402.75,402.95,1143100
2022-05-26 20:00:00-04:00,405.78,406.08,399.77,405.26,1265800
2022-05-30 20:00:00-04:00,400.95,402.76,396.80,398.34,2539100
2022-05-31 20:00:00-04:00,400.98,401.72,395.06,397.60,1199000
2022-06-01 20:00:00-04:00,399.83,400.54,389.58,399.24,1210000
2022-06-02 20:00:00-04:00,398.24,404.19,397.48,400.67,928000
2022-06-05 20:00:00-04:00,401.69,403.67,399.65,401.32,690000
2022-06-06 20:00:00-04:00,400.05,413.32,399.50,412.99,1126000
2022-06-07 20:00:00-04:00,409.10,411.49,400.87,401.32,1151600
2022-06-08 20:00:00-04:00,401.33,401.45,391.45,391.65,995100
2022-06-09 20:00:00-04:00,390.09,393.12,385.34,389.36,1165700
2022-06-12 20:00:00-04:00,384.12,387.70,381.51,383.69,1483000
2022-06-13 20:00:00-04:00,383.76,383.90,372.09,376.67,1497800
2022-06-14 20:00:00-04:00,377.93,379.23,370.06,374.79,1241700
2022-06-15 20:00:00-04:00,371.47,373.70,364.77,366.37,1580300
