Date,Open,High,Low,Close,Volume
2018-07-01 20:00:00-04:00,124.99,125.53,123.23,125.48,1387100
2018-07-02 20:00:00-04:00,126.12,126.80,124.97,125.23,1280800
2018-07-04 20:00:00-04:00,125.81,125.81,123.95,124.52,1323500
2018-07-05 20:00:00-04:00,124.73,128.88,124.50,128.54,2077100
2018-07-08 20:00:00-04:00,130.00,130.49,125.88,126.53,2049000
2018-07-09 20:00:00-04:00,126.85,128.23,126.27,127.38,1224500
2018-07-10 20:00:00-04:00,126.19,126.45,124.62,125.66,1060400
2018-07-11 20:00:00-04:00,126.47,126.64,125.02,125.72,762800
2018-07-12 20:00:00-04:00,125.94,126.83,124.91,125.45,881000
2018-07-15 20:00:00-04:00,125.27,127.49,124.79,127.26,905300
2018-07-16 20:00:00-04:00,127.02,130.41,127.02,129.45,2422700
2018-07-17 20:00:00-04:00,129.36,129.95,127.52,128.81,1155600
2018-07-18 20:00:00-04:00,128.70,129.01,127.00,127.79,1069900
2018-07-19 20:00:00-04:00,127.60,128.90,126.29,126.45,1409300
2018-07-22 20:00:00-04:00,126.45,126.97,125.07,125.37,1273800
2018-07-23 20:00:00-04:00,125.93,126.39,122.40,122.98,1689100
2018-07-24 20:00:00-04:00,123.66,125.49,122.94,125.03,1326200
2018-07-25 20:00:00-04:00,124.75,126.16,123.19,124.49,1003800
2018-07-26 20:00:00-04:00,124.42,124.92,118.85,120.00,1858100
2018-07-29 20:00:00-04:00,120.04,121.25,118.65,118.84,1303200
2018-07-30 20:00:00-04:00,118.86,120.65,117.66,119.95,1073500
2018-07-31 20:00:00-04:00,120.18,121.81,119.55,120.55,1886200
2018-08-01 20:00:00-04:00,120.93,125.22,120.53,124.39,1793700
2018-08-02 20:00:00-04:00,124.35,126.33,124.35,126.08,1984100
2018-08-05 20:00:00-04:00,125.99,126.52,124.38,126.31,1267200
2018-08-06 20:00:00-04:00,127.08,127.30,124.99,125.58,1442400
2018-08-07 20:00:00-04:00,125.77,127.65,124.85,127.18,1534300
2018-08-08 20:00:00-04:00,127.74,128.69,127.11,128.16,925600
2018-08-09 20:00:00-04:00,127.48,130.76,126.78,130.52,1873900
2018-08-12 20:00:00-04:00,131.08,131.88,129.29,129.94,1786600
2018-08-13 20:00:00-04:00,130.50,130.92,127.59,129.47,1860100
2018-08-14 20:00:00-04:00,128.90,128.90,125.06,126.45,1320700
2018-08-15 20:00:00-04:00,129.20,130.48,127.17,129.47,1336400
2018-08-16 20:00:00-04:00,130.25,130.90,129.08,130.19,1061600
2018-08-19 20:00:00-04:00,130.93,137.19,130.31,136.67,2691700
2018-08-20 20:00:00-04:00,137.30,139.64,134.69,135.61,1593600
2018-08-21 20:00:00-04:00,136.28,138.24,135.38,135.48,1294300
2018-08-22 20:00:00-04:00,135.49,137.57,134.61,136.20,1049500
2018-08-23 20:00:00-04:00,137.15,140.33,136.68,138.76,1884400
2018-08-26 20:00:00-04:00,139.22,140.42,137.79,138.16,1469300
2018-08-27 20:00:00-04:00,138.32,139.27,137.12,138.68,1907700
2018-08-28 20:00:00-04:00,138.70,138.94,135.08,138.70,2154600
2018-08-29 20:00:00-04:00,137.80,138.38,135.69,137.00,4293400
2018-08-30 20:00:00-04:00,153.30,159.79,153.01,154.93,5824400
2018-09-03 20:00:00-04:00,154.86,160.00,154.71,157.29,4466300
2018-09-04 20:00:00-04:00,157.17,157.29,152.08,152.74,2638400
2018-09-05 20:00:00-04:00,153.57,154.97,150.78,151.00,2365600
2018-09-06 20:00:00-04:00,150.74,153.99,150.59,150.82,2052400
2018-09-09 20:00:00-04:00,151.50,154.78,151.50,154.11,1365500
2018-09-10 20:00:00-04:00,154.17,155.25,152.20,153.23,1486500
2018-09-11 20:00:00-04:00,153.30,154.07,150.87,153.01,1372300
2018-09-12 20:00:00-04:00,153.16,154.82,152.20,154.60,1275800
2018-09-13 20:00:00-04:00,154.73,155.64,152.47,153.71,1193300
2018-09-16 20:00:00-04:00,159.10,160.68,154.82,155.38,2620000
2018-09-17 20:00:00-04:00,155.69,158.94,153.80,158.44,1434300
2018-09-18 20:00:00-04:00,158.63,158.63,154.05,155.21,1621100
2018-09-19 20:00:00-04:00,155.45,156.40,154.39,155.97,1241400
2018-09-20 20:00:00-04:00,156.59,158.13,154.63,156.99,2070600
2018-09-23 20:00:00-04:00,156.79,157.78,156.03,157.34,1196100
2018-09-24 20:00:00-04:00,157.55,159.08,157.08,158.41,1220400
2018-09-25 20:00:00-04:00,157.75,159.88,156.77,158.96,1010500
2018-09-26 20:00:00-04:00,160.00,161.50,158.66,161.24,1682400
2018-09-27 20:00:00-04:00,161.25,164.14,161.25,162.49,1525200
2018-09-30 20:00:00-04:00,163.80,164.79,161.19,161.64,1012900
2018-10-01 20:00:00-04:00,162.88,163.13,160.00,160.20,1336200
2018-10-02 20:00:00-04:00,161.25,161.83,159.35,161.52,1237700
2018-10-03 20:00:00-04:00,160.22,161.08,156.33,157.04,1484800
2018-10-04 20:00:00-04:00,156.69,158.34,151.46,153.84,2133800
2018-10-07 20:00:00-04:00,153.02,154.92,148.34,150.78,2739500
2018-10-08 20:00:00-04:00,149.84,153.45,149.00,150.25,1592400
2018-10-09 20:00:00-04:00,149.17,149.56,140.40,140.68,2542600
2018-10-10 20:00:00-04:00,139.29,144.91,137.68,140.51,2169500
2018-10-11 20:00:00-04:00,145.53,146.90,141.07,143.71,3529000
2018-10-14 20:00:00-04:00,146.79,146.98,142.86,144.46,1626400
2018-10-15 20:00:00-04:00,145.56,147.22,142.97,146.83,1859900
2018-10-16 20:00:00-04:00,146.98,147.77,142.75,143.57,1286700
2018-10-17 20:00:00-04:00,143.09,145.65,140.92,142.68,1748000
2018-10-18 20:00:00-04:00,143.48,144.10,136.53,136.77,2090700
2018-10-21 20:00:00-04:00,136.47,140.90,136.02,139.95,1979300
2018-10-22 20:00:00-04:00,137.21,137.72,133.13,137.43,2004300
2018-10-23 20:00:00-04:00,140.80,140.97,134.16,134.29,1771100
2018-10-24 20:00:00-04:00,134.31,138.59,134.00,137.22,1664900
2018-10-25 20:00:00-04:00,134.49,136.67,133.14,134.82,1712400
2018-10-28 20:00:00-04:00,136.69,139.15,133.95,135.88,1726800
2018-10-29 20:00:00-04:00,135.36,142.63,135.12,142.13,2120700
2018-10-30 20:00:00-04:00,143.75,146.60,140.66,140.73,2360600
2018-10-31 20:00:00-04:00,141.66,144.65,138.97,144.17,1665000
2018-11-01 20:00:00-04:00,145.37,145.45,140.04,142.02,1499300
2018-11-04 19:00:00-05:00,143.28,143.84,139.15,142.20,1515100
2018-11-05 19:00:00-05:00,141.83,143.60,139.92,141.13,1402400
2018-11-06 19:00:00-05:00,141.77,144.56,139.68,143.23,1706400
2018-11-07 19:00:00-05:00,143.27,143.79,140.11,142.27,1516300
2018-11-08 19:00:00-05:00,141.39,142.00,136.38,137.56,1693400
2018-11-11 19:00:00-05:00,137.28,138.36,134.66,135.42,1739600
2018-11-12 19:00:00-05:00,135.53,140.35,134.65,138.70,1835300
2018-11-13 19:00:00-05:00,140.87,144.07,138.38,140.13,2621600
2018-11-14 19:00:00-05:00,138.33,139.98,134.70,139.83,1850400
2018-11-15 19:00:00-05:00,138.08,138.08,134.35,134.53,1788100
2018-11-18 19:00:00-05:00,134.50,135.88,126.62,126.99,2698700
2018-11-19 19:00:00-05:00,119.45,124.95,118.52,121.39,3049400
2018-11-20 19:00:00-05:00,122.19,124.63,121.87,123.88,1888100
2018-11-22 19:00:00-05:00,122.50,124.01,120.61,120.86,841400
2018-11-25 19:00:00-05:00,122.04,125.42,121.87,123.76,3322100
2018-11-26 19:00:00-05:00,122.90,124.34,121.40,122.77,1465000
2018-11-27 19:00:00-05:00,123.94,129.29,123.94,128.99,2213300
2018-11-28 19:00:00-05:00,128.03,130.44,126.84,129.46,2087000
2018-11-29 19:00:00-05:00,129.25,133.26,129.25,132.55,2660400
2018-12-02 19:00:00-05:00,137.00,140.08,134.10,139.89,3654000
2018-12-03 19:00:00-05:00,139.50,139.58,131.32,133.62,3244300
2018-12-05 19:00:00-05:00,133.00,134.71,126.56,131.44,5622300
2018-12-06 19:00:00-05:00,132.00,136.26,113.61,113.87,5824400
2018-12-09 19:00:00-05:00,113.35,116.59,112.37,115.01,3938200
2018-12-10 19:00:00-05:00,117.03,119.93,115.80,116.85,3047000
2018-12-11 19:00:00-05:00,120.21,123.53,118.50,122.65,4589200
2018-12-12 19:00:00-05:00,122.99,125.80,118.15,120.20,4675300
2018-12-13 19:00:00-05:00,118.43,122.15,117.61,119.12,2954000
2018-12-16 19:00:00-05:00,119.83,122.00,117.50,118.87,3901500
2018-12-17 19:00:00-05:00,120.02,122.41,118.38,119.20,3708800
2018-12-18 19:00:00-05:00,119.52,120.77,114.15,115.71,2759200
2018-12-19 19:00:00-05:00,114.83,118.21,111.34,115.01,3271600
2018-12-20 19:00:00-05:00,116.76,119.75,113.53,113.74,5420500
2018-12-23 19:00:00-05:00,112.21,115.89,110.71,113.26,1627000
2018-12-25 19:00:00-05:00,114.13,122.74,114.10,122.66,2557300
2018-12-26 19:00:00-05:00,120.64,124.18,118.69,123.34,1950300
2018-12-27 19:00:00-05:00,124.40,125.37,120.64,121.40,2167000
2018-12-30 19:00:00-05:00,123.12,123.34,120.56,121.61,1447300
2019-01-01 19:00:00-05:00,118.89,124.59,118.28,123.35,2085800
2019-01-02 19:00:00-05:00,121.85,126.12,120.32,124.36,2896800
2019-01-03 19:00:00-05:00,125.85,129.57,125.31,128.55,2184600
2019-01-06 19:00:00-05:00,129.33,135.10,129.33,134.10,2860000
2019-01-07 19:00:00-05:00,135.52,137.18,133.67,135.86,2322600
2019-01-08 19:00:00-05:00,137.50,137.51,134.64,136.00,3339000
2019-01-09 19:00:00-05:00,131.03,132.41,129.50,131.61,3402100
2019-01-10 19:00:00-05:00,130.97,133.15,130.57,132.16,2949700
2019-01-13 19:00:00-05:00,136.64,145.00,135.38,139.73,5824400
2019-01-14 19:00:00-05:00,139.36,141.65,138.51,141.13,2619600
2019-01-15 19:00:00-05:00,142.36,143.25,141.37,142.24,1783500
2019-01-16 19:00:00-05:00,141.73,146.04,141.73,145.14,3012100
2019-01-17 19:00:00-05:00,147.52,152.18,147.07,152.07,3277100
2019-01-21 19:00:00-05:00,150.52,151.66,148.32,149.47,1828200
2019-01-22 19:00:00-05:00,151.43,151.73,147.75,149.85,1602100
2019-01-23 19:00:00-05:00,150.00,150.26,147.23,148.43,2033600
2019-01-24 19:00:00-05:00,150.00,152.81,148.43,151.89,1731700
2019-01-27 19:00:00-05:00,150.34,150.77,148.62,149.70,1417000
2019-01-28 19:00:00-05:00,149.83,149.93,147.81,148.95,1297400
2019-01-29 19:00:00-05:00,150.14,150.40,148.23,148.61,1380000
2019-01-30 19:00:00-05:00,148.31,148.93,146.31,147.81,2517100
2019-01-31 19:00:00-05:00,147.45,147.85,144.36,146.12,1749900
2019-02-03 19:00:00-05:00,145.34,147.45,144.68,146.64,1689800
2019-02-04 19:00:00-05:00,147.55,151.57,146.68,146.89,2138500
2019-02-05 19:00:00-05:00,146.96,147.27,143.47,145.76,1452900
2019-02-06 19:00:00-05:00,144.33,147.67,143.06,147.63,1803200
2019-02-07 19:00:00-05:00,147.13,150.00,147.00,148.62,1450400
2019-02-10 19:00:00-05:00,149.70,151.93,149.28,149.79,1509200
2019-02-11 19:00:00-05:00,150.86,157.55,150.57,157.32,4021900
2019-02-12 19:00:00-05:00,157.94,158.67,154.11,155.27,2090600
2019-02-13 19:00:00-05:00,153.51,156.42,152.35,154.85,1121000
2019-02-14 19:00:00-05:00,155.60,156.23,150.54,151.09,1925900
2019-02-18 19:00:00-05:00,149.18,149.80,145.53,147.57,2451500
2019-02-19 19:00:00-05:00,147.45,149.51,147.03,148.12,1396900
2019-02-20 19:00:00-05:00,147.47,149.11,147.05,148.11,977300
2019-02-21 19:00:00-05:00,148.70,149.36,147.50,149.26,966400
2019-02-24 19:00:00-05:00,150.12,151.51,148.05,148.54,1216900
2019-02-25 19:00:00-05:00,148.20,151.40,148.19,150.98,1469000
2019-02-26 19:00:00-05:00,150.00,152.15,149.05,150.56,1146300
2019-02-27 19:00:00-05:00,150.18,151.23,148.53,150.42,1234600
2019-02-28 19:00:00-05:00,152.56,153.95,150.19,151.38,1671900
2019-03-03 19:00:00-05:00,152.10,152.89,146.46,147.78,1450000
2019-03-04 19:00:00-05:00,148.07,149.68,147.45,148.90,983300
2019-03-05 19:00:00-05:00,149.60,150.23,147.66,149.09,805300
2019-03-06 19:00:00-05:00,148.37,148.92,146.42,147.70,1465100
2019-03-07 19:00:00-05:00,146.01,146.62,141.78,142.51,2785400
2019-03-10 20:00:00-04:00,143.00,145.54,142.35,145.29,2086500
2019-03-11 20:00:00-04:00,145.28,146.06,142.67,145.79,2090100
2019-03-12 20:00:00-04:00,146.15,147.71,145.25,145.41,1309800
2019-03-13 20:00:00-04:00,145.09,145.09,141.01,144.18,2284200
2019-03-14 20:00:00-04:00,145.23,145.48,141.55,141.79,2251100
2019-03-17 20:00:00-04:00,141.65,144.49,141.51,144.33,1587700
2019-03-18 20:00:00-04:00,144.66,146.30,143.77,144.99,1176500
2019-03-19 20:00:00-04:00,145.42,145.50,142.13,144.35,1267900
2019-03-20 20:00:00-04:00,144.64,149.55,144.54,148.91,1672900
2019-03-21 20:00:00-04:00,145.73,147.63,142.24,143.21,2644600
2019-03-24 20:00:00-04:00,142.91,147.37,141.34,146.58,2539900
2019-03-25 20:00:00-04:00,148.01,148.43,142.80,143.56,3010800
2019-03-26 20:00:00-04:00,144.32,146.86,143.88,146.80,5524400
2019-03-27 20:00:00-04:00,169.15,171.45,166.10,167.54,5824400
2019-03-28 20:00:00-04:00,165.91,168.30,162.95,163.87,5824400
2019-03-31 20:00:00-04:00,164.76,167.20,163.22,165.52,3958200
2019-04-01 20:00:00-04:00,165.61,166.70,164.01,165.47,2207600
