Date,Open,High,Low,Close,Volume
2022-04-05 20:00:00-04:00,75.67,75.82,73.73,73.96,2185000
2022-04-06 20:00:00-04:00,73.97,74.68,72.24,74.34,2546400
2022-04-07 20:00:00-04:00,75.07,76.21,74.69,75.33,1253500
2022-04-10 20:00:00-04:00,74.34,76.62,73.92,75.22,1392500
2022-04-11 20:00:00-04:00,75.56,77.38,75.30,76.81,1324800
2022-04-12 20:00:00-04:00,77.04,78.75,76.84,78.58,1373000
2022-04-13 20:00:00-04:00,78.91,80.27,78.78,79.81,1425000
2022-04-17 20:00:00-04:00,79.81,80.89,79.64,80.83,1643700
2022-04-18 20:00:00-04:00,80.78,82.34,80.15,82.06,1485600
2022-04-19 20:00:00-04:00,81.71,83.26,81.71,82.46,1699000
2022-04-20 20:00:00-04:00,83.74,85.28,82.09,82.46,1851200
2022-04-21 20:00:00-04:00,81.53,82.03,79.03,79.14,2313800
2022-04-24 20:00:00-04:00,77.61,78.35,75.24,78.06,2179900
2022-04-25 20:00:00-04:00,78.06,78.95,77.31,77.35,1265100
2022-04-26 20:00:00-04:00,78.40,79.12,77.43,78.14,1658300
2022-04-27 20:00:00-04:00,78.72,79.24,77.34,78.72,2465900
2022-04-28 20:00:00-04:00,80.92,82.31,78.50,78.66,2268900
2022-05-01 20:00:00-04:00,80.72,81.02,78.56,80.13,3071500
2022-05-02 20:00:00-04:00,80.47,82.54,80.23,82.29,2305800
2022-05-03 20:00:00-04:00,82.99,86.07,82.83,86.06,2161500
2022-05-04 20:00:00-04:00,85.31,85.54,81.69,82.67,2156600
2022-05-05 20:00:00-04:00,82.54,82.65,79.99,81.77,1827900
2022-05-08 20:00:00-04:00,80.43,80.73,78.66,79.09,2536400
2022-05-09 20:00:00-04:00,79.84,80.30,76.88,78.35,1820800
2022-05-10 20:00:00-04:00,79.13,81.39,78.90,79.68,1983800
2022-05-11 20:00:00-04:00,78.95,79.37,76.25,78.46,3177100
2022-05-12 20:00:00-04:00,79.38,79.96,78.57,79.18,2478100
2022-05-15 20:00:00-04:00,79.33,80.26,78.32,79.69,3286100
2022-05-16 20:00:00-04:00,81.89,82.99,81.16,82.65,2614800
