Date,Open,High,Low,Close,Volume
2018-07-01 20:00:00-04:00,46.49,46.73,46.40,46.68,1014900
2018-07-02 20:00:00-04:00,46.82,47.04,46.66,46.69,664000
2018-07-04 20:00:00-04:00,46.90,47.12,46.65,46.75,1583800
2018-07-05 20:00:00-04:00,46.81,47.51,46.60,47.27,1034200
2018-07-08 20:00:00-04:00,47.51,48.45,47.51,48.39,1056500
2018-07-09 20:00:00-04:00,48.45,48.57,47.94,48.25,1282700
2018-07-10 20:00:00-04:00,48.06,48.21,47.78,47.88,692400
2018-07-11 20:00:00-04:00,48.17,48.34,47.56,47.72,1092300
2018-07-12 20:00:00-04:00,47.56,47.95,47.42,47.84,679800
2018-07-15 20:00:00-04:00,47.84,48.24,47.83,48.15,637200
2018-07-16 20:00:00-04:00,48.22,48.22,47.96,48.05,662800
2018-07-17 20:00:00-04:00,47.99,48.55,47.98,48.51,847600
2018-07-18 20:00:00-04:00,48.27,48.40,47.64,47.74,844500
2018-07-19 20:00:00-04:00,47.74,48.01,47.47,47.97,909400
2018-07-22 20:00:00-04:00,47.97,48.32,47.85,48.23,946400
2018-07-23 20:00:00-04:00,48.24,48.52,48.20,48.37,1300000
2018-07-24 20:00:00-04:00,48.36,48.45,47.96,48.22,1167500
2018-07-25 20:00:00-04:00,48.43,48.58,48.21,48.46,1388600
2018-07-26 20:00:00-04:00,48.44,48.68,48.06,48.11,1110700
2018-07-29 20:00:00-04:00,47.99,48.67,47.96,48.16,2243475
2018-07-30 20:00:00-04:00,48.50,49.14,48.29,49.09,1692900
2018-07-31 20:00:00-04:00,49.21,50.08,49.17,49.87,1768900
2018-08-01 20:00:00-04:00,49.47,49.70,49.18,49.27,1644100
2018-08-02 20:00:00-04:00,49.12,49.44,48.81,49.44,983500
2018-08-05 20:00:00-04:00,49.45,49.51,49.18,49.25,770700
2018-08-06 20:00:00-04:00,49.33,49.52,49.08,49.15,785300
2018-08-07 20:00:00-04:00,49.15,49.23,48.86,49.04,738000
2018-08-08 20:00:00-04:00,49.00,49.09,48.62,48.65,652500
2018-08-09 20:00:00-04:00,48.29,48.56,48.03,48.44,839700
2018-08-12 20:00:00-04:00,48.44,48.57,48.02,48.06,792200
2018-08-13 20:00:00-04:00,48.08,48.36,48.07,48.29,564400
2018-08-14 20:00:00-04:00,48.01,48.18,47.81,48.05,984100
2018-08-15 20:00:00-04:00,48.09,48.76,48.09,48.48,852600
2018-08-16 20:00:00-04:00,48.38,48.56,48.32,48.49,937100
2018-08-19 20:00:00-04:00,48.57,48.81,48.32,48.38,812000
2018-08-20 20:00:00-04:00,48.37,48.84,48.27,48.44,1301500
2018-08-21 20:00:00-04:00,48.35,48.44,48.07,48.09,861400
2018-08-22 20:00:00-04:00,48.10,48.10,47.70,47.77,684800
2018-08-23 20:00:00-04:00,47.88,48.22,47.88,48.17,681800
2018-08-26 20:00:00-04:00,48.27,48.62,48.27,48.54,752100
2018-08-27 20:00:00-04:00,48.66,48.80,48.43,48.66,876900
2018-08-28 20:00:00-04:00,48.69,48.98,48.36,48.84,1077800
2018-08-29 20:00:00-04:00,48.76,48.76,48.26,48.60,1029900
2018-08-30 20:00:00-04:00,48.54,48.76,48.37,48.70,1429900
2018-09-03 20:00:00-04:00,48.72,48.72,48.39,48.66,1131200
2018-09-04 20:00:00-04:00,48.62,48.91,48.51,48.66,1183300
2018-09-05 20:00:00-04:00,48.76,48.86,48.25,48.29,1177000
2018-09-06 20:00:00-04:00,48.24,48.35,47.80,48.07,944700
2018-09-09 20:00:00-04:00,48.26,48.38,48.00,48.36,1141300
2018-09-10 20:00:00-04:00,48.36,48.60,48.15,48.50,891500
2018-09-11 20:00:00-04:00,48.39,48.48,48.23,48.27,827500
2018-09-12 20:00:00-04:00,48.45,48.83,48.31,48.75,1332200
2018-09-13 20:00:00-04:00,48.76,49.34,48.76,49.34,1382600
2018-09-16 20:00:00-04:00,49.48,49.53,49.09,49.13,1095900
2018-09-17 20:00:00-04:00,49.25,49.46,48.87,49.40,1153900
2018-09-18 20:00:00-04:00,49.50,50.33,49.49,50.14,1349400
2018-09-19 20:00:00-04:00,50.38,50.67,50.31,50.49,1521600
2018-09-20 20:00:00-04:00,50.65,50.65,50.06,50.10,2243475
2018-09-23 20:00:00-04:00,50.11,50.21,49.32,49.39,1424500
2018-09-24 20:00:00-04:00,49.66,49.66,49.10,49.11,1374000
2018-09-25 20:00:00-04:00,49.22,49.22,48.34,48.37,1001600
2018-09-26 20:00:00-04:00,48.37,48.60,48.11,48.34,1181900
2018-09-27 20:00:00-04:00,48.15,48.70,48.04,48.62,1403000
2018-09-30 20:00:00-04:00,48.76,49.06,48.42,48.64,1154200
2018-10-01 20:00:00-04:00,48.61,48.74,48.39,48.49,1477700
2018-10-02 20:00:00-04:00,48.71,48.92,48.35,48.54,1613900
2018-10-03 20:00:00-04:00,48.51,48.77,48.44,48.73,1773700
2018-10-04 20:00:00-04:00,48.70,48.98,48.28,48.33,1017300
2018-10-07 20:00:00-04:00,48.29,49.30,48.18,49.25,1268200
2018-10-08 20:00:00-04:00,49.21,49.43,48.69,49.09,1347400
2018-10-09 20:00:00-04:00,48.95,49.10,47.62,47.63,1394400
2018-10-10 20:00:00-04:00,47.49,47.49,45.68,45.72,2243475
2018-10-11 20:00:00-04:00,46.16,46.27,44.53,45.30,2133300
2018-10-14 20:00:00-04:00,45.24,45.82,45.17,45.34,1611900
2018-10-15 20:00:00-04:00,45.58,45.64,45.11,45.55,886900
2018-10-16 20:00:00-04:00,45.42,46.24,45.21,45.80,1340100
2018-10-17 20:00:00-04:00,45.68,46.14,45.13,45.25,991300
2018-10-18 20:00:00-04:00,45.11,45.85,44.92,45.49,1164400
2018-10-21 20:00:00-04:00,45.49,45.79,44.98,45.08,1180400
2018-10-22 20:00:00-04:00,44.41,44.89,44.17,44.70,1415600
2018-10-23 20:00:00-04:00,44.63,44.69,43.34,43.39,1493400
2018-10-24 20:00:00-04:00,43.65,44.61,43.58,44.28,1609900
2018-10-25 20:00:00-04:00,43.91,44.34,43.41,43.75,1815500
2018-10-28 20:00:00-04:00,44.15,44.65,43.45,43.85,1721300
2018-10-29 20:00:00-04:00,44.08,44.70,43.72,44.64,1382500
2018-10-30 20:00:00-04:00,45.08,45.68,44.94,45.07,1493000
2018-10-31 20:00:00-04:00,45.33,45.68,45.19,45.65,1488100
2018-11-01 20:00:00-04:00,45.98,46.19,44.55,44.80,1699500
2018-11-04 19:00:00-05:00,44.77,47.32,44.63,47.23,1947700
2018-11-05 19:00:00-05:00,47.16,48.07,47.16,47.92,1587100
2018-11-06 19:00:00-05:00,48.02,48.35,47.44,48.14,1238100
2018-11-07 19:00:00-05:00,47.90,48.40,47.57,47.85,1469600
2018-11-08 19:00:00-05:00,47.68,48.18,47.56,48.00,907000
2018-11-11 19:00:00-05:00,47.98,48.08,47.11,47.20,1094100
2018-11-12 19:00:00-05:00,47.29,47.84,46.92,47.09,787400
2018-11-13 19:00:00-05:00,47.32,47.35,45.69,45.97,1501400
2018-11-14 19:00:00-05:00,45.60,46.69,45.31,46.60,951800
2018-11-15 19:00:00-05:00,46.38,47.07,46.23,46.94,1032900
2018-11-18 19:00:00-05:00,46.96,47.35,46.65,46.89,1076700
2018-11-19 19:00:00-05:00,46.60,46.79,45.74,45.91,1266700
2018-11-20 19:00:00-05:00,45.98,46.63,45.73,45.78,947900
2018-11-22 19:00:00-05:00,45.43,45.91,45.23,45.46,435300
2018-11-25 19:00:00-05:00,45.87,46.62,45.82,46.52,1149200
2018-11-26 19:00:00-05:00,46.33,46.60,45.59,46.08,991900
2018-11-27 19:00:00-05:00,46.12,47.23,46.04,47.23,1383700
2018-11-28 19:00:00-05:00,46.87,47.14,46.37,46.50,1063700
2018-11-29 19:00:00-05:00,46.51,46.70,46.20,46.58,1512800
2018-12-02 19:00:00-05:00,47.09,47.24,46.38,47.00,983600
2018-12-03 19:00:00-05:00,46.88,46.99,45.42,45.52,1504900
2018-12-05 19:00:00-05:00,44.80,45.47,43.95,45.47,2185200
2018-12-06 19:00:00-05:00,45.54,46.11,44.16,44.37,1703800
2018-12-09 19:00:00-05:00,44.42,44.42,43.09,43.75,1122500
2018-12-10 19:00:00-05:00,44.28,44.63,43.34,43.48,780400
2018-12-11 19:00:00-05:00,44.08,44.38,43.66,43.70,710700
2018-12-12 19:00:00-05:00,43.85,44.14,43.71,44.11,1581600
2018-12-13 19:00:00-05:00,43.65,44.20,43.59,43.68,1383100
2018-12-16 19:00:00-05:00,43.59,44.45,43.44,43.62,1659100
2018-12-17 19:00:00-05:00,43.85,44.39,43.33,43.67,1279900
2018-12-18 19:00:00-05:00,43.61,44.86,43.30,43.50,1495600
2018-12-19 19:00:00-05:00,43.16,43.85,42.97,43.27,1288300
2018-12-20 19:00:00-05:00,43.19,44.33,42.50,42.52,2243475
2018-12-23 19:00:00-05:00,42.27,42.52,41.23,41.23,685600
2018-12-25 19:00:00-05:00,41.38,43.10,40.76,43.09,1107100
2018-12-26 19:00:00-05:00,42.39,43.59,42.01,43.58,1077500
2018-12-27 19:00:00-05:00,43.87,44.19,43.26,43.53,1019900
2018-12-30 19:00:00-05:00,43.71,44.12,43.54,44.12,841400
2019-01-01 19:00:00-05:00,43.35,44.04,43.30,43.69,1125500
2019-01-02 19:00:00-05:00,43.54,43.82,43.07,43.15,1094600
2019-01-03 19:00:00-05:00,43.81,44.50,43.73,44.24,1099700
2019-01-06 19:00:00-05:00,44.12,45.13,44.01,44.54,1226300
2019-01-07 19:00:00-05:00,44.78,44.91,43.94,44.44,1105900
