Date,Open,High,Low,Close,Volume
2018-07-01 20:00:00-04:00,38.78,39.34,38.34,39.32,3264400
2018-07-02 20:00:00-04:00,39.47,39.47,38.66,38.73,2120000
2018-07-04 20:00:00-04:00,39.21,39.69,39.04,39.60,3441600
2018-07-05 20:00:00-04:00,39.41,40.35,39.28,40.15,3344000
2018-07-08 20:00:00-04:00,40.30,40.41,39.70,40.14,2926400
2018-07-09 20:00:00-04:00,40.30,40.73,40.08,40.66,3115000
2018-07-10 20:00:00-04:00,40.15,40.50,39.37,39.55,4490800
2018-07-11 20:00:00-04:00,39.88,40.56,39.65,40.53,4392200
2018-07-12 20:00:00-04:00,40.55,40.63,40.25,40.42,2968000
2018-07-15 20:00:00-04:00,40.40,40.76,40.34,40.45,2161000
2018-07-16 20:00:00-04:00,40.09,40.89,40.03,40.86,2985800
2018-07-17 20:00:00-04:00,40.71,41.25,40.71,41.16,2220400
2018-07-18 20:00:00-04:00,41.11,41.21,40.48,40.75,2272200
2018-07-19 20:00:00-04:00,40.76,40.86,40.29,40.56,2762200
2018-07-22 20:00:00-04:00,40.36,40.66,39.86,40.49,2219000
2018-07-23 20:00:00-04:00,40.78,41.10,39.97,40.09,2899800
2018-07-24 20:00:00-04:00,39.94,40.31,39.05,39.94,5637600
2018-07-25 20:00:00-04:00,40.24,40.72,39.95,40.69,4337800
2018-07-26 20:00:00-04:00,41.09,41.66,40.78,40.97,4724000
2018-07-29 20:00:00-04:00,40.99,41.09,39.89,40.07,4012800
2018-07-30 20:00:00-04:00,40.36,40.83,40.11,40.16,3518800
2018-07-31 20:00:00-04:00,40.15,40.57,40.01,40.23,2723800
2018-08-01 20:00:00-04:00,39.85,40.81,39.79,40.67,2476800
2018-08-02 20:00:00-04:00,40.65,40.90,40.40,40.87,3382400
2018-08-05 20:00:00-04:00,40.71,41.32,40.61,41.09,8112800
2018-08-06 20:00:00-04:00,41.29,41.90,41.05,41.81,5529600
2018-08-07 20:00:00-04:00,41.86,42.09,41.62,42.02,3700800
