Date,Open,High,Low,Close,Volume
2018-07-01 20:00:00-04:00,208.79,211.49,207.81,209.92,433400
2018-07-02 20:00:00-04:00,210.84,214.04,210.65,212.68,210000
2018-07-04 20:00:00-04:00,213.23,214.30,209.63,213.32,471700
2018-07-05 20:00:00-04:00,212.50,216.15,212.50,214.73,238400
2018-07-08 20:00:00-04:00,215.70,215.70,212.94,214.65,391800
2018-07-09 20:00:00-04:00,213.81,214.70,211.10,213.32,388700
2018-07-10 20:00:00-04:00,211.48,215.03,210.04,213.53,614700
2018-07-11 20:00:00-04:00,215.41,215.65,211.02,213.02,335900
2018-07-12 20:00:00-04:00,213.34,215.31,212.84,214.09,275900
2018-07-15 20:00:00-04:00,214.74,215.50,209.93,212.30,380900
2018-07-16 20:00:00-04:00,211.43,214.38,211.28,212.70,428100
2018-07-17 20:00:00-04:00,213.57,214.92,212.14,213.12,370800
2018-07-18 20:00:00-04:00,212.42,213.74,211.68,213.19,444700
2018-07-19 20:00:00-04:00,212.39,213.73,211.27,211.64,387700
2018-07-22 20:00:00-04:00,210.81,212.26,210.22,211.13,348600
2018-07-23 20:00:00-04:00,211.97,213.54,210.33,211.62,488200
2018-07-24 20:00:00-04:00,210.78,212.29,205.89,210.44,953300
2018-07-25 20:00:00-04:00,212.42,212.42,191.65,195.24,1423200
2018-07-26 20:00:00-04:00,195.38,198.71,192.95,194.16,1423200
2018-07-29 20:00:00-04:00,193.50,194.75,186.60,190.38,1423200
2018-07-30 20:00:00-04:00,191.24,191.60,184.00,188.23,1251100
2018-07-31 20:00:00-04:00,188.45,190.76,187.70,190.33,1196100
2018-08-01 20:00:00-04:00,190.04,194.37,188.59,193.27,1112400
2018-08-02 20:00:00-04:00,190.04,196.59,188.59,195.35,702500
2018-08-05 20:00:00-04:00,195.35,196.90,194.51,195.67,542000
2018-08-06 20:00:00-04:00,196.56,199.43,195.70,196.84,843400
2018-08-07 20:00:00-04:00,196.97,197.72,193.44,193.91,555900
2018-08-08 20:00:00-04:00,193.40,196.36,191.85,192.10,594100
2018-08-09 20:00:00-04:00,190.40,191.04,188.47,188.90,861900
2018-08-12 20:00:00-04:00,188.77,190.30,188.31,189.72,590800
2018-08-13 20:00:00-04:00,189.97,192.50,189.83,191.37,506200
2018-08-14 20:00:00-04:00,190.66,191.88,188.53,191.64,847100
2018-08-15 20:00:00-04:00,192.53,193.50,190.95,191.14,476900
2018-08-16 20:00:00-04:00,191.60,192.68,190.77,191.61,328200
2018-08-19 20:00:00-04:00,191.61,192.40,190.98,191.57,337600
2018-08-20 20:00:00-04:00,191.65,194.37,191.65,192.76,556300
2018-08-21 20:00:00-04:00,192.75,195.04,192.12,194.28,448700
2018-08-22 20:00:00-04:00,194.32,195.26,191.80,191.96,647600
2018-08-23 20:00:00-04:00,192.41,194.38,191.79,194.22,380900
2018-08-26 20:00:00-04:00,195.38,199.09,194.35,196.59,562600
2018-08-27 20:00:00-04:00,196.59,197.94,193.87,194.30,660900
2018-08-28 20:00:00-04:00,193.89,195.71,192.44,195.33,509400
2018-08-29 20:00:00-04:00,195.04,195.57,191.97,192.43,680600
2018-08-30 20:00:00-04:00,191.61,192.89,187.13,188.01,765700
2018-09-03 20:00:00-04:00,186.82,188.76,184.49,188.00,907000
2018-09-04 20:00:00-04:00,188.01,189.78,187.09,188.84,515000
2018-09-05 20:00:00-04:00,189.44,190.59,186.10,187.61,397700
2018-09-06 20:00:00-04:00,186.92,188.42,185.31,185.68,473500
2018-09-09 20:00:00-04:00,185.30,185.59,178.19,180.27,1152500
2018-09-10 20:00:00-04:00,178.99,182.94,178.36,182.13,970200
2018-09-11 20:00:00-04:00,182.24,182.54,179.76,181.66,496300
2018-09-12 20:00:00-04:00,183.00,185.40,181.28,182.72,545700
2018-09-13 20:00:00-04:00,183.06,184.39,182.12,183.54,335800
2018-09-16 20:00:00-04:00,183.54,184.72,182.12,182.68,530700
2018-09-17 20:00:00-04:00,183.01,185.47,183.01,184.80,431200
2018-09-18 20:00:00-04:00,184.34,187.75,184.34,185.53,422200
2018-09-19 20:00:00-04:00,186.13,188.98,184.49,184.95,590800
2018-09-20 20:00:00-04:00,185.47,185.47,181.02,181.82,1046600
2018-09-23 20:00:00-04:00,181.08,181.44,179.98,180.55,479800
2018-09-24 20:00:00-04:00,180.61,180.99,177.98,179.15,762300
2018-09-25 20:00:00-04:00,178.84,179.86,176.40,176.82,693200
2018-09-26 20:00:00-04:00,177.67,179.38,175.73,177.03,875700
2018-09-27 20:00:00-04:00,175.86,176.57,170.81,172.14,1160700
2018-09-30 20:00:00-04:00,172.72,176.85,172.72,174.42,712900
2018-10-01 20:00:00-04:00,174.04,176.35,172.97,174.98,818200
2018-10-02 20:00:00-04:00,175.62,176.65,174.14,175.36,613000
2018-10-03 20:00:00-04:00,174.41,178.54,173.78,175.98,1000200
2018-10-04 20:00:00-04:00,175.71,175.71,170.84,172.77,597000
2018-10-07 20:00:00-04:00,171.97,173.45,171.43,172.97,659500
2018-10-08 20:00:00-04:00,172.73,173.20,170.98,171.14,486200
2018-10-09 20:00:00-04:00,170.28,170.38,165.32,166.51,1384000
2018-10-10 20:00:00-04:00,165.34,167.20,158.63,159.76,1356100
2018-10-11 20:00:00-04:00,161.73,162.36,158.94,160.44,895200
2018-10-14 20:00:00-04:00,159.96,161.67,158.63,159.50,689700
2018-10-15 20:00:00-04:00,160.01,162.65,158.61,162.47,698500
2018-10-16 20:00:00-04:00,156.48,157.59,153.27,157.16,1198300
2018-10-17 20:00:00-04:00,155.74,156.63,153.04,153.98,1372300
2018-10-18 20:00:00-04:00,154.39,155.41,152.01,152.96,955100
2018-10-21 20:00:00-04:00,153.30,154.22,151.07,151.82,796700
2018-10-22 20:00:00-04:00,149.59,155.68,147.73,155.08,1423200
2018-10-23 20:00:00-04:00,155.00,159.02,154.36,155.04,1423200
2018-10-24 20:00:00-04:00,156.23,157.81,152.41,153.27,1423200
2018-10-25 20:00:00-04:00,151.43,151.43,142.63,148.28,1423200
2018-10-28 20:00:00-04:00,152.43,153.21,143.71,145.16,1423200
2018-10-29 20:00:00-04:00,145.52,157.59,145.27,157.25,1423200
2018-10-30 20:00:00-04:00,160.79,167.46,159.31,162.05,1423200
2018-10-31 20:00:00-04:00,162.46,166.04,161.20,165.84,1034900
2018-11-01 20:00:00-04:00,166.53,168.54,165.32,167.87,1374500
2018-11-04 19:00:00-05:00,167.21,168.97,163.35,165.41,1112800
2018-11-05 19:00:00-05:00,166.26,179.76,162.50,179.33,1423200
2018-11-06 19:00:00-05:00,180.15,186.75,178.64,179.53,1423200
2018-11-07 19:00:00-05:00,178.11,180.03,174.90,178.23,948700
2018-11-08 19:00:00-05:00,176.87,178.11,171.96,174.36,1188500
2018-11-11 19:00:00-05:00,173.58,174.48,170.21,171.70,780000
2018-11-12 19:00:00-05:00,172.41,177.48,172.41,174.16,753200
2018-11-13 19:00:00-05:00,176.25,179.06,175.08,177.35,1101500
2018-11-14 19:00:00-05:00,175.42,179.44,174.84,178.55,843100
2018-11-15 19:00:00-05:00,177.48,180.07,174.42,178.79,775500
2018-11-18 19:00:00-05:00,178.13,179.49,174.07,175.72,853200
