Date,Open,High,Low,Close,Volume
2022-04-05 20:00:00-04:00,40.51,40.91,39.58,40.41,4929600
2022-04-06 20:00:00-04:00,40.32,41.16,40.09,40.89,5247400
2022-04-07 20:00:00-04:00,40.83,41.56,40.26,40.81,6990600
2022-04-10 20:00:00-04:00,40.74,41.54,40.56,41.08,5691600
2022-04-11 20:00:00-04:00,41.31,41.71,41.02,41.35,5973200
2022-04-12 20:00:00-04:00,41.24,42.28,41.24,42.01,5956800
2022-04-13 20:00:00-04:00,42.06,42.24,40.95,41.29,12559600
2022-04-17 20:00:00-04:00,41.03,41.42,40.87,41.22,4421000
2022-04-18 20:00:00-04:00,41.19,41.99,41.03,41.90,3784200
2022-04-19 20:00:00-04:00,42.24,42.78,41.97,42.67,4205200
2022-04-20 20:00:00-04:00,43.01,44.01,42.90,43.44,8538200
2022-04-21 20:00:00-04:00,43.25,43.47,42.60,42.83,7973800
2022-04-24 20:00:00-04:00,42.83,43.40,41.81,43.34,7005200
2022-04-25 20:00:00-04:00,42.92,43.52,42.87,43.13,8401200
2022-04-26 20:00:00-04:00,42.99,43.71,42.87,43.38,7378600
2022-04-27 20:00:00-04:00,43.43,43.99,42.69,43.90,5333800
2022-04-28 20:00:00-04:00,43.62,43.91,42.62,42.84,6645800
2022-05-01 20:00:00-04:00,43.07,43.29,41.57,42.38,6969200
2022-05-02 20:00:00-04:00,42.76,42.76,41.56,41.96,5610200
2022-05-03 20:00:00-04:00,41.90,43.44,41.67,43.33,7040200
2022-05-04 20:00:00-04:00,42.88,43.08,41.06,41.52,7849400
2022-05-05 20:00:00-04:00,41.28,43.79,41.28,43.33,13271400
2022-05-08 20:00:00-04:00,42.69,43.24,41.10,41.78,9843200
2022-05-09 20:00:00-04:00,42.44,42.64,41.53,42.07,5860800
2022-05-10 20:00:00-04:00,41.94,43.66,41.69,42.46,6959400
2022-05-11 20:00:00-04:00,41.85,43.26,41.85,42.84,6359600
2022-05-12 20:00:00-04:00,43.06,44.58,42.93,44.44,6411200
2022-05-15 20:00:00-04:00,44.06,45.03,44.06,44.56,5450600
2022-05-16 20:00:00-04:00,44.88,45.10,44.04,44.62,4668200
2022-05-17 20:00:00-04:00,44.72,45.12,43.12,43.31,6416000
2022-05-18 20:00:00-04:00,43.04,43.79,42.57,43.38,6509000
2022-05-19 20:00:00-04:00,43.56,43.99,42.96,43.81,7617800
2022-05-22 20:00:00-04:00,44.35,44.44,43.19,43.53,5906400
2022-05-23 20:00:00-04:00,43.48,43.83,43.29,43.74,5669800
2022-05-24 20:00:00-04:00,43.53,44.06,43.41,43.87,3489400
2022-05-25 20:00:00-04:00,43.99,44.70,43.93,44.37,3225800
2022-05-26 20:00:00-04:00,44.55,44.85,44.33,44.83,4247200
2022-05-30 20:00:00-04:00,44.78,45.00,43.89,44.56,8210000
2022-05-31 20:00:00-04:00,44.41,44.49,43.48,44.03,3887600
2022-06-01 20:00:00-04:00,44.24,45.19,43.70,45.17,5374000
2022-06-02 20:00:00-04:00,44.90,44.99,44.19,44.42,4682600
2022-06-05 20:00:00-04:00,45.00,45.92,44.90,45.68,7057400
