Date,Open,High,Low,Close,Volume
2018-07-01 20:00:00-04:00,24.02,24.15,23.91,24.03,2892200
2018-07-02 20:00:00-04:00,24.17,24.28,23.80,23.89,2184900
2018-07-04 20:00:00-04:00,24.06,24.10,23.83,24.04,2649200
2018-07-05 20:00:00-04:00,23.94,24.40,23.78,24.32,1937800
2018-07-08 20:00:00-04:00,24.47,24.68,24.46,24.53,2109400
2018-07-09 20:00:00-04:00,24.52,25.25,24.52,25.02,3599500
2018-07-10 20:00:00-04:00,24.83,24.99,23.98,24.21,3933700
2018-07-11 20:00:00-04:00,24.44,24.53,23.97,24.43,2373900
2018-07-12 20:00:00-04:00,24.35,24.61,24.30,24.34,1746900
2018-07-15 20:00:00-04:00,24.34,24.42,24.07,24.20,2685600
2018-07-16 20:00:00-04:00,24.21,24.73,24.21,24.61,4002000
2018-07-17 20:00:00-04:00,24.81,24.91,24.51,24.60,2187100
2018-07-18 20:00:00-04:00,24.43,24.59,24.26,24.39,3525200
2018-07-19 20:00:00-04:00,24.21,24.66,24.21,24.49,2820000
2018-07-22 20:00:00-04:00,24.53,24.81,24.44,24.54,2026100
2018-07-23 20:00:00-04:00,25.47,25.81,24.98,25.10,7300000
2018-07-24 20:00:00-04:00,25.12,25.47,24.73,25.38,4125100
2018-07-25 20:00:00-04:00,25.36,25.87,25.24,25.83,4734800
2018-07-26 20:00:00-04:00,25.85,26.10,25.57,25.75,3713800
2018-07-29 20:00:00-04:00,25.83,25.97,25.66,25.68,2452500
2018-07-30 20:00:00-04:00,25.85,26.26,25.74,26.04,3553000
2018-07-31 20:00:00-04:00,25.82,26.16,25.45,25.54,5171400
2018-08-01 20:00:00-04:00,25.78,26.12,25.55,26.02,6013500
2018-08-02 20:00:00-04:00,26.02,26.59,26.00,26.33,5979300
2018-08-05 20:00:00-04:00,26.20,26.26,25.83,26.03,7106300
2018-08-06 20:00:00-04:00,26.59,27.95,26.41,27.41,10136400
2018-08-07 20:00:00-04:00,27.64,27.67,26.92,27.28,4468000
2018-08-08 20:00:00-04:00,27.22,27.80,27.22,27.73,3601600
2018-08-09 20:00:00-04:00,27.54,27.69,27.21,27.23,4070600
2018-08-12 20:00:00-04:00,27.17,27.17,26.01,26.24,4995300
2018-08-13 20:00:00-04:00,26.38,26.82,26.32,26.50,2691700
2018-08-14 20:00:00-04:00,26.17,26.20,25.62,25.64,4217700
2018-08-15 20:00:00-04:00,25.94,26.04,25.59,25.62,4072600
2018-08-16 20:00:00-04:00,25.59,25.79,25.49,25.62,3392500
2018-08-19 20:00:00-04:00,25.87,26.25,25.65,25.74,5598500
2018-08-20 20:00:00-04:00,25.77,25.93,25.49,25.53,3624400
2018-08-21 20:00:00-04:00,25.59,25.66,25.29,25.49,2904700
2018-08-22 20:00:00-04:00,25.41,25.49,24.95,25.45,3902900
2018-08-23 20:00:00-04:00,25.64,25.81,25.49,25.63,2378400
2018-08-26 20:00:00-04:00,26.12,26.99,25.90,26.48,5955400
2018-08-27 20:00:00-04:00,26.63,26.98,26.48,26.67,4161100
2018-08-28 20:00:00-04:00,26.69,27.49,26.61,27.32,5630800
2018-08-29 20:00:00-04:00,27.17,27.41,27.03,27.09,3621000
2018-08-30 20:00:00-04:00,27.11,27.21,26.89,27.04,3263300
2018-09-03 20:00:00-04:00,26.96,27.06,26.51,26.66,3172800
2018-09-04 20:00:00-04:00,26.54,26.68,26.01,26.41,2895800
2018-09-05 20:00:00-04:00,26.43,26.58,25.96,26.21,2563600
2018-09-06 20:00:00-04:00,25.98,26.17,25.68,25.91,3202400
2018-09-09 20:00:00-04:00,26.03,26.39,25.98,26.22,2244000
2018-09-10 20:00:00-04:00,26.04,27.06,25.92,26.77,4625400
2018-09-11 20:00:00-04:00,26.81,27.19,26.76,26.93,3344000
2018-09-12 20:00:00-04:00,27.04,27.25,26.47,26.55,1929800
2018-09-13 20:00:00-04:00,26.47,26.74,26.42,26.65,2082600
2018-09-16 20:00:00-04:00,27.78,28.31,27.61,27.69,7030200
2018-09-17 20:00:00-04:00,27.87,27.97,27.14,27.25,4460800
2018-09-18 20:00:00-04:00,27.43,27.88,27.29,27.52,3760500
2018-09-19 20:00:00-04:00,27.70,28.09,27.66,27.96,4168100
2018-09-20 20:00:00-04:00,28.15,28.36,27.96,27.98,5895700
2018-09-23 20:00:00-04:00,28.00,28.11,27.64,27.69,2206100
2018-09-24 20:00:00-04:00,27.70,28.54,27.70,28.22,3466700
2018-09-25 20:00:00-04:00,28.26,28.48,28.03,28.17,3668900
2018-09-26 20:00:00-04:00,28.16,28.26,27.83,27.93,2531500
2018-09-27 20:00:00-04:00,27.95,28.26,27.76,28.11,3317400
2018-09-30 20:00:00-04:00,28.26,28.54,28.03,28.45,2488400
2018-10-01 20:00:00-04:00,28.56,29.02,28.49,28.60,4106100
2018-10-02 20:00:00-04:00,28.63,29.24,28.42,29.03,5116600
2018-10-03 20:00:00-04:00,29.12,29.44,29.04,29.24,4084300
2018-10-04 20:00:00-04:00,29.17,29.20,28.36,28.66,4127400
2018-10-07 20:00:00-04:00,28.66,29.31,28.49,29.18,2992800
2018-10-08 20:00:00-04:00,29.02,29.34,28.61,28.65,3291600
2018-10-09 20:00:00-04:00,28.93,29.15,27.90,27.96,4605800
2018-10-10 20:00:00-04:00,28.14,28.74,27.90,28.29,5195100
2018-10-11 20:00:00-04:00,28.79,28.96,28.28,28.47,3175500
2018-10-14 20:00:00-04:00,28.41,28.73,28.04,28.49,2936600
2018-10-15 20:00:00-04:00,28.67,28.70,28.26,28.67,5391500
2018-10-16 20:00:00-04:00,28.60,28.74,27.91,28.60,3738200
2018-10-17 20:00:00-04:00,28.43,28.89,28.27,28.43,3248800
2018-10-18 20:00:00-04:00,28.45,29.10,28.45,28.70,3752600
2018-10-21 20:00:00-04:00,28.85,28.90,28.22,28.37,3110900
2018-10-22 20:00:00-04:00,27.76,27.76,26.65,27.19,4562200
2018-10-23 20:00:00-04:00,27.19,27.19,25.45,25.55,6630000
2018-10-24 20:00:00-04:00,25.76,26.21,25.64,25.97,4139100
2018-10-25 20:00:00-04:00,25.58,26.17,25.13,25.81,4814500
2018-10-28 20:00:00-04:00,26.21,26.41,25.50,25.64,4235000
2018-10-29 20:00:00-04:00,25.70,26.41,25.36,26.35,5368000
2018-10-30 20:00:00-04:00,26.96,27.33,26.74,26.78,4721100
2018-10-31 20:00:00-04:00,27.12,27.88,26.87,27.80,2934800
2018-11-01 20:00:00-04:00,28.02,28.15,27.34,27.62,2914400
2018-11-04 19:00:00-05:00,27.54,28.11,27.51,27.89,4291000
2018-11-05 19:00:00-05:00,29.21,30.89,28.61,30.85,11920900
2018-11-06 19:00:00-05:00,30.95,31.78,30.52,31.68,7256000
2018-11-07 19:00:00-05:00,31.59,32.34,31.27,32.02,7437500
2018-11-08 19:00:00-05:00,31.61,31.87,31.40,31.70,5791700
2018-11-11 19:00:00-05:00,31.71,31.83,31.18,31.42,4467400
2018-11-12 19:00:00-05:00,31.23,31.88,30.92,31.27,3703200
2018-11-13 19:00:00-05:00,31.48,31.60,30.39,30.92,5506800
2018-11-14 19:00:00-05:00,30.67,31.37,30.31,31.28,5524300
2018-11-15 19:00:00-05:00,31.11,31.89,31.04,31.74,4224300
2018-11-18 19:00:00-05:00,31.59,31.70,30.16,30.23,4814500
2018-11-19 19:00:00-05:00,29.69,30.44,29.54,30.03,4344600
2018-11-20 19:00:00-05:00,30.37,31.07,30.22,30.69,4071400
2018-11-22 19:00:00-05:00,30.26,30.44,29.94,30.29,1475100
2018-11-25 19:00:00-05:00,30.47,31.01,30.47,30.96,3037800
2018-11-26 19:00:00-05:00,30.73,31.00,30.21,30.34,2854500
2018-11-27 19:00:00-05:00,30.66,30.75,29.83,30.57,3352000
2018-11-28 19:00:00-05:00,30.51,31.57,30.51,31.31,3839400
2018-11-29 19:00:00-05:00,31.16,31.40,30.79,31.16,4812200
2018-12-02 19:00:00-05:00,31.93,32.31,31.50,31.90,3754400
2018-12-03 19:00:00-05:00,31.66,32.02,30.46,30.54,4123900
2018-12-05 19:00:00-05:00,29.93,29.96,28.59,29.92,5329700
2018-12-06 19:00:00-05:00,30.04,30.40,28.92,29.03,4314700
2018-12-09 19:00:00-05:00,28.95,29.27,28.32,28.76,4296500
2018-12-10 19:00:00-05:00,29.33,29.57,28.51,28.58,2835000
2018-12-11 19:00:00-05:00,27.78,28.14,26.73,26.77,9837600
2018-12-12 19:00:00-05:00,26.85,27.32,26.54,26.77,5795400
2018-12-13 19:00:00-05:00,26.50,27.11,26.46,26.79,3506500
2018-12-16 19:00:00-05:00,26.69,27.14,25.88,26.04,3999800
2018-12-17 19:00:00-05:00,26.29,26.63,26.07,26.27,3861500
2018-12-18 19:00:00-05:00,26.34,26.91,25.52,25.62,4446000
2018-12-19 19:00:00-05:00,25.65,25.95,24.43,24.94,5935200
2018-12-20 19:00:00-05:00,24.69,25.41,24.53,24.74,7628800
2018-12-23 19:00:00-05:00,24.25,24.72,23.94,23.95,1996100
2018-12-25 19:00:00-05:00,24.14,25.39,23.84,25.39,3732600
2018-12-26 19:00:00-05:00,25.01,25.61,24.69,25.60,2613600
2018-12-27 19:00:00-05:00,25.72,25.78,24.90,24.96,2698800
2018-12-30 19:00:00-05:00,25.11,25.40,24.98,25.30,2059200
2019-01-01 19:00:00-05:00,24.94,25.46,24.76,25.27,3792300
2019-01-02 19:00:00-05:00,25.14,25.28,24.59,24.64,4278600
2019-01-03 19:00:00-05:00,25.20,26.46,25.18,26.32,4019500
2019-01-06 19:00:00-05:00,26.35,26.93,26.04,26.52,3211400
2019-01-07 19:00:00-05:00,26.87,27.27,26.69,27.16,3121600
2019-01-08 19:00:00-05:00,27.36,27.47,26.93,27.15,3049100
2019-01-09 19:00:00-05:00,26.85,27.34,26.59,27.34,2534100
2019-01-10 19:00:00-05:00,27.18,27.41,26.63,27.40,3577800
2019-01-13 19:00:00-05:00,26.94,27.44,26.73,27.18,2572700
2019-01-14 19:00:00-05:00,27.15,27.36,26.78,27.20,2271800
2019-01-15 19:00:00-05:00,27.16,27.69,26.94,27.27,2526200
2019-01-16 19:00:00-05:00,27.18,27.98,27.16,27.68,2285500
2019-01-17 19:00:00-05:00,27.82,28.20,27.55,27.89,3763300
2019-01-21 19:00:00-05:00,27.64,27.73,26.70,26.82,4191300
2019-01-22 19:00:00-05:00,26.82,27.19,26.45,26.99,3463100
2019-01-23 19:00:00-05:00,26.94,27.22,26.78,26.86,2637500
2019-01-24 19:00:00-05:00,27.50,28.04,27.34,27.62,3355700
2019-01-27 19:00:00-05:00,27.24,27.46,26.76,27.36,3836500
2019-01-28 19:00:00-05:00,27.53,27.87,27.31,27.53,3083500
2019-01-29 19:00:00-05:00,27.70,27.76,27.13,27.64,1844700
2019-01-30 19:00:00-05:00,27.38,27.99,27.05,27.96,2801800
2019-01-31 19:00:00-05:00,28.00,28.30,27.84,28.24,2867700
2019-02-03 19:00:00-05:00,28.14,28.20,27.51,27.67,4630500
2019-02-04 19:00:00-05:00,27.69,27.90,27.52,27.89,3108100
2019-02-05 19:00:00-05:00,27.66,28.15,27.60,28.11,2814800
2019-02-06 19:00:00-05:00,27.79,27.82,26.86,27.20,4198600
2019-02-07 19:00:00-05:00,26.88,27.23,26.55,27.01,4450400
2019-02-10 19:00:00-05:00,27.12,27.20,26.27,26.78,4371600
2019-02-11 19:00:00-05:00,27.12,27.82,26.99,27.62,4936400
2019-02-12 19:00:00-05:00,27.72,28.25,27.72,27.77,3979500
