Date,Open,High,Low,Close,Volume
2022-04-05 20:00:00-04:00,160.06,162.46,158.98,162.13,2639400
2022-04-06 20:00:00-04:00,161.89,164.38,161.01,163.59,2545800
2022-04-07 20:00:00-04:00,163.71,164.63,162.42,162.97,2869400
2022-04-10 20:00:00-04:00,163.00,163.25,160.65,161.24,2193000
2022-04-11 20:00:00-04:00,161.98,162.47,158.67,159.26,1517800
2022-04-12 20:00:00-04:00,158.98,160.67,158.84,160.44,1442500
2022-04-13 20:00:00-04:00,160.81,161.68,159.98,160.32,1971100
2022-04-17 20:00:00-04:00,159.99,161.38,159.89,160.97,1743000
2022-04-18 20:00:00-04:00,160.95,162.79,160.79,162.49,1994700
2022-04-19 20:00:00-04:00,163.40,165.29,163.40,164.71,2435900
2022-04-20 20:00:00-04:00,166.88,172.95,166.13,168.76,4878200
2022-04-21 20:00:00-04:00,167.48,167.49,161.00,161.33,2648800
2022-04-24 20:00:00-04:00,160.73,162.34,158.70,162.15,2921400
2022-04-25 20:00:00-04:00,161.84,162.03,158.96,159.01,2368700
2022-04-26 20:00:00-04:00,159.38,161.25,158.57,159.05,1677300
2022-04-27 20:00:00-04:00,160.47,162.89,158.29,162.16,2139600
2022-04-28 20:00:00-04:00,160.90,160.96,152.20,152.70,2704900
2022-05-01 20:00:00-04:00,153.85,154.35,146.33,149.14,2522500
2022-05-02 20:00:00-04:00,150.76,153.25,150.15,150.51,1739300
2022-05-03 20:00:00-04:00,150.14,154.72,149.06,154.35,1725700
2022-05-04 20:00:00-04:00,153.44,154.06,149.85,152.23,1979200
2022-05-05 20:00:00-04:00,151.55,153.40,150.02,152.77,1820400
2022-05-08 20:00:00-04:00,151.22,152.23,147.88,148.31,2338700
2022-05-09 20:00:00-04:00,150.13,151.22,147.16,149.17,1633600
2022-05-10 20:00:00-04:00,148.42,151.00,147.26,147.61,1407500
2022-05-11 20:00:00-04:00,147.32,148.93,145.03,147.29,1493700
2022-05-12 20:00:00-04:00,148.56,151.09,148.10,151.05,1493600
2022-05-15 20:00:00-04:00,150.64,151.83,149.65,150.18,1291600
2022-05-16 20:00:00-04:00,151.74,152.67,149.19,150.47,1474500
2022-05-17 20:00:00-04:00,149.49,149.53,143.56,143.97,1530100
2022-05-18 20:00:00-04:00,142.64,143.97,141.06,143.42,1899700
2022-05-19 20:00:00-04:00,144.11,145.07,138.70,141.51,2307600
2022-05-22 20:00:00-04:00,142.38,144.42,140.54,143.85,1527700
2022-05-23 20:00:00-04:00,143.49,145.63,142.84,145.05,1203400
2022-05-24 20:00:00-04:00,144.60,145.22,142.93,144.01,1477200
2022-05-25 20:00:00-04:00,145.73,148.99,144.50,148.35,2156000
2022-05-26 20:00:00-04:00,148.81,152.25,148.81,152.22,1605300
2022-05-30 20:00:00-04:00,151.43,152.33,149.28,151.05,2862100
2022-05-31 20:00:00-04:00,151.12,151.65,147.64,147.71,1591800
2022-06-01 20:00:00-04:00,147.51,151.28,146.40,151.18,1509900
2022-06-02 20:00:00-04:00,146.26,149.46,145.32,148.51,1907100
2022-06-05 20:00:00-04:00,149.81,150.37,148.85,149.19,1015900
2022-06-06 20:00:00-04:00,148.55,149.96,147.79,149.82,1080400
2022-06-07 20:00:00-04:00,148.56,149.81,147.20,147.64,944200
2022-06-08 20:00:00-04:00,148.00,148.10,144.43,144.49,1187600
2022-06-09 20:00:00-04:00,141.38,143.44,140.48,141.69,1726700
2022-06-12 20:00:00-04:00,138.46,141.58,137.92,139.11,1585300
2022-06-13 20:00:00-04:00,139.09,140.53,138.27,139.07,1435400
2022-06-14 20:00:00-04:00,140.93,142.03,138.01,140.13,1414700
2022-06-15 20:00:00-04:00,137.85,138.08,135.65,136.31,1571200
2022-06-16 20:00:00-04:00,136.59,138.26,135.36,136.40,3098000
2022-06-20 20:00:00-04:00,138.35,141.24,138.02,140.62,2131000
2022-06-21 20:00:00-04:00,139.32,143.55,139.07,142.12,1796900
2022-06-22 20:00:00-04:00,143.17,146.26,142.67,145.98,1804900
2022-06-23 20:00:00-04:00,146.61,150.88,146.61,149.99,4939500
