Date,Open,High,Low,Close,Volume
2022-04-05 20:00:00-04:00,295.23,296.98,287.03,289.73,40110400
2022-04-06 20:00:00-04:00,286.98,293.74,286.68,291.54,31411200
2022-04-07 20:00:00-04:00,290.64,291.30,286.61,287.28,24361900
2022-04-10 20:00:00-04:00,282.27,283.06,275.70,275.95,34569300
2022-04-11 20:00:00-04:00,279.80,281.25,271.34,272.86,30966700
2022-04-12 20:00:00-04:00,273.51,279.17,272.12,278.24,21907200
2022-04-13 20:00:00-04:00,278.69,278.90,270.21,270.70,28221600
2022-04-17 20:00:00-04:00,269.81,273.24,269.26,271.37,20778000
2022-04-18 20:00:00-04:00,270.27,276.83,269.33,275.99,22297700
2022-04-19 20:00:00-04:00,279.96,280.25,276.06,277.02,22906700
2022-04-20 20:00:00-04:00,279.17,283.73,270.92,271.65,29454600
2022-04-21 20:00:00-04:00,272.49,273.96,264.46,265.09,29405800
2022-04-24 20:00:00-04:00,264.37,271.94,261.94,271.56,35678900
2022-04-25 20:00:00-04:00,268.45,269.28,261.19,261.40,46518400
2022-04-26 20:00:00-04:00,272.90,281.48,270.05,273.98,60172200
2022-04-27 20:00:00-04:00,275.89,281.49,272.28,280.18,33646600
2022-04-28 20:00:00-04:00,279.19,280.42,267.48,268.47,37073900
2022-05-01 20:00:00-04:00,268.65,275.64,267.21,275.19,35151100
2022-05-02 20:00:00-04:00,274.70,274.86,271.01,272.59,25978600
2022-05-03 20:00:00-04:00,273.37,281.39,267.70,280.52,33599300
2022-05-04 20:00:00-04:00,276.22,277.01,265.39,268.30,43260400
2022-05-05 20:00:00-04:00,265.84,270.14,262.42,265.77,37780300
2022-05-08 20:00:00-04:00,261.25,263.47,254.73,255.95,47726000
2022-05-09 20:00:00-04:00,262.83,264.82,256.42,260.71,39336400
2022-05-10 20:00:00-04:00,257.01,262.51,250.84,252.05,48975900
2022-05-11 20:00:00-04:00,249.28,251.40,241.86,247.02,51033800
2022-05-12 20:00:00-04:00,248.95,254.46,247.02,252.60,34925100
2022-05-15 20:00:00-04:00,251.48,257.15,247.44,252.97,32550900
2022-05-16 20:00:00-04:00,257.43,259.58,253.90,258.12,28828800
