Date,Open,High,Low,Close,Volume
2018-07-01 20:00:00-04:00,574.38,576.46,566.05,570.80,191200
2018-07-02 20:00:00-04:00,576.26,590.78,576.26,580.58,206600
2018-07-04 20:00:00-04:00,582.84,587.90,577.73,583.97,168000
2018-07-05 20:00:00-04:00,583.75,586.40,580.75,583.77,139500
2018-07-08 20:00:00-04:00,585.02,595.81,584.64,594.76,141600
2018-07-09 20:00:00-04:00,592.45,596.13,591.79,593.37,152000
2018-07-10 20:00:00-04:00,588.69,589.98,579.87,581.93,158600
2018-07-11 20:00:00-04:00,588.39,592.11,585.43,587.03,156000
2018-07-12 20:00:00-04:00,583.91,585.72,581.28,583.13,186400
2018-07-15 20:00:00-04:00,581.94,582.99,574.72,575.36,162400
2018-07-16 20:00:00-04:00,573.80,585.86,573.80,584.80,153000
2018-07-17 20:00:00-04:00,585.45,586.48,580.38,585.61,128900
2018-07-18 20:00:00-04:00,587.00,599.65,583.92,598.11,164000
2018-07-19 20:00:00-04:00,595.01,603.19,594.54,602.56,161100
2018-07-22 20:00:00-04:00,602.11,602.60,593.18,594.61,188600
2018-07-23 20:00:00-04:00,594.75,608.35,594.65,602.76,165800
2018-07-24 20:00:00-04:00,603.38,613.68,600.58,612.61,186100
2018-07-25 20:00:00-04:00,612.59,620.35,609.28,617.94,193400
2018-07-26 20:00:00-04:00,611.94,611.94,586.40,589.94,316500
2018-07-29 20:00:00-04:00,589.20,591.06,580.55,581.81,216400
2018-07-30 20:00:00-04:00,585.43,595.96,585.43,592.51,225400
2018-07-31 20:00:00-04:00,589.97,594.09,585.15,587.52,145800
2018-08-01 20:00:00-04:00,586.08,590.17,582.02,588.82,130000
2018-08-02 20:00:00-04:00,590.26,593.00,582.38,586.67,111000
2018-08-05 20:00:00-04:00,585.04,591.08,582.81,587.02,121500
2018-08-06 20:00:00-04:00,589.00,589.51,583.79,583.98,99800
2018-08-07 20:00:00-04:00,583.23,585.56,576.28,583.10,154100
2018-08-08 20:00:00-04:00,584.57,585.71,574.50,575.60,93800
2018-08-09 20:00:00-04:00,572.28,576.20,570.63,572.20,75000
2018-08-12 20:00:00-04:00,574.28,578.60,565.84,567.14,91800
2018-08-13 20:00:00-04:00,567.38,570.00,561.51,562.11,92300
2018-08-14 20:00:00-04:00,559.38,560.75,552.87,559.44,146000
2018-08-15 20:00:00-04:00,563.16,570.94,561.80,567.76,123800
2018-08-16 20:00:00-04:00,568.25,570.17,562.12,564.74,92500
2018-08-19 20:00:00-04:00,564.06,568.22,560.68,564.85,110900
2018-08-20 20:00:00-04:00,566.54,568.28,563.21,564.06,117300
2018-08-21 20:00:00-04:00,563.96,567.48,561.30,566.24,89600
2018-08-22 20:00:00-04:00,567.04,567.09,561.73,563.07,118700
2018-08-23 20:00:00-04:00,564.32,569.52,562.76,568.00,110300
2018-08-26 20:00:00-04:00,570.00,573.52,567.71,573.05,109000
2018-08-27 20:00:00-04:00,575.28,576.21,571.14,575.61,139300
2018-08-28 20:00:00-04:00,578.27,581.52,575.68,581.00,182200
2018-08-29 20:00:00-04:00,581.80,582.65,577.47,579.82,168400
2018-08-30 20:00:00-04:00,578.49,585.44,576.12,584.46,206800
2018-09-03 20:00:00-04:00,580.59,582.09,576.28,580.45,182200
