Date,Open,High,Low,Close,Volume
2022-04-05 20:00:00-04:00,239.14,239.48,232.56,235.20,2053100
2022-04-06 20:00:00-04:00,234.83,238.25,231.21,236.78,1399300
2022-04-07 20:00:00-04:00,234.16,238.78,232.61,236.32,1150800
2022-04-10 20:00:00-04:00,236.26,237.89,233.09,234.17,1200700
2022-04-11 20:00:00-04:00,234.68,239.41,234.50,236.84,1293700
2022-04-12 20:00:00-04:00,236.84,239.89,236.84,238.86,937100
2022-04-13 20:00:00-04:00,239.68,242.35,239.17,240.81,2129500
2022-04-17 20:00:00-04:00,239.83,242.76,238.53,240.31,1759100
2022-04-18 20:00:00-04:00,242.25,243.25,240.93,242.46,1394600
2022-04-19 20:00:00-04:00,243.31,247.34,243.31,245.25,1223000
2022-04-20 20:00:00-04:00,247.44,253.25,245.97,247.00,1571600
2022-04-21 20:00:00-04:00,245.37,245.85,236.60,236.72,1404000
2022-04-24 20:00:00-04:00,235.79,238.21,231.78,237.77,1165800
2022-04-25 20:00:00-04:00,236.65,238.16,233.10,233.10,1652600
2022-04-26 20:00:00-04:00,233.23,241.67,231.61,240.33,2340800
2022-04-27 20:00:00-04:00,240.62,246.29,239.86,243.36,1470400
2022-04-28 20:00:00-04:00,241.62,243.40,235.27,236.07,1591100
2022-05-01 20:00:00-04:00,236.32,238.60,230.54,234.91,1397100
2022-05-02 20:00:00-04:00,234.26,237.13,233.17,234.42,1648400
2022-05-03 20:00:00-04:00,236.60,242.88,235.63,242.28,1781100
2022-05-04 20:00:00-04:00,240.05,241.46,234.31,236.25,1159800
2022-05-05 20:00:00-04:00,235.76,235.90,229.79,235.21,1124500
2022-05-08 20:00:00-04:00,232.77,233.97,228.57,229.47,1319600
2022-05-09 20:00:00-04:00,231.79,233.77,222.79,226.02,1453300
2022-05-10 20:00:00-04:00,226.32,231.35,225.63,226.75,876400
2022-05-11 20:00:00-04:00,226.11,228.59,221.08,226.31,1352100
2022-05-12 20:00:00-04:00,228.07,232.75,227.01,229.31,1116400
2022-05-15 20:00:00-04:00,228.96,230.27,226.67,227.26,745100
2022-05-16 20:00:00-04:00,229.87,232.50,228.30,231.50,1189600
2022-05-17 20:00:00-04:00,230.56,230.70,218.14,218.50,1700100
2022-05-18 20:00:00-04:00,210.50,215.01,207.10,209.73,1698100
2022-05-19 20:00:00-04:00,210.28,211.14,204.68,210.49,1518600
2022-05-22 20:00:00-04:00,212.33,214.83,211.33,214.10,1160200
2022-05-23 20:00:00-04:00,212.53,213.99,208.97,213.66,1091800
2022-05-24 20:00:00-04:00,214.09,215.78,212.29,213.94,1147200
2022-05-25 20:00:00-04:00,215.87,220.21,215.69,217.70,950000
2022-05-26 20:00:00-04:00,219.23,222.52,218.51,221.68,1077800
2022-05-30 20:00:00-04:00,221.73,222.70,218.95,220.42,2465200
2022-05-31 20:00:00-04:00,222.43,224.48,220.61,222.52,1164200
2022-06-01 20:00:00-04:00,224.52,227.28,221.25,227.00,1004600
2022-06-02 20:00:00-04:00,225.63,227.74,223.70,225.02,803000
2022-06-05 20:00:00-04:00,225.92,226.25,223.05,225.04,721700
2022-06-06 20:00:00-04:00,220.33,229.98,219.27,229.38,1088100
2022-06-07 20:00:00-04:00,227.24,228.19,222.52,223.32,939900
2022-06-08 20:00:00-04:00,222.34,224.07,218.15,218.39,846200
2022-06-09 20:00:00-04:00,213.88,215.27,209.74,210.95,1341400
2022-06-12 20:00:00-04:00,206.64,208.82,203.92,205.16,1425700
2022-06-13 20:00:00-04:00,207.23,210.28,203.66,204.92,1215200
2022-06-14 20:00:00-04:00,206.95,210.54,203.12,206.48,1134200
2022-06-15 20:00:00-04:00,201.89,206.58,201.71,204.91,1582600
2022-06-16 20:00:00-04:00,202.40,205.40,202.39,203.69,2192800
2022-06-20 20:00:00-04:00,207.16,208.61,205.27,206.20,1057200
2022-06-21 20:00:00-04:00,203.47,208.01,203.47,206.15,1118600
2022-06-22 20:00:00-04:00,206.79,207.78,202.41,203.89,1106000
2022-06-23 20:00:00-04:00,204.64,212.53,204.64,211.93,1486600
2022-06-26 20:00:00-04:00,212.18,212.49,208.44,209.45,973000
2022-06-27 20:00:00-04:00,212.60,215.11,207.86,208.22,945000
2022-06-28 20:00:00-04:00,208.95,210.11,205.30,208.90,751700
2022-06-29 20:00:00-04:00,206.57,209.83,205.28,209.05,1091300
2022-06-30 20:00:00-04:00,208.87,211.78,206.61,210.20,698200
2022-07-04 20:00:00-04:00,207.55,208.93,203.69,206.18,932500
2022-07-05 20:00:00-04:00,205.92,209.04,205.55,207.62,1075500
2022-07-06 20:00:00-04:00,207.98,210.77,206.98,210.39,767300
2022-07-07 20:00:00-04:00,210.02,210.77,204.52,208.04,899900
2022-07-10 20:00:00-04:00,206.68,209.25,206.30,207.46,983100
2022-07-11 20:00:00-04:00,203.70,206.02,202.06,204.51,1363200
2022-07-12 20:00:00-04:00,201.74,205.66,200.40,203.69,1118700
2022-07-13 20:00:00-04:00,200.09,204.20,199.58,203.90,941300
2022-07-14 20:00:00-04:00,210.57,211.81,207.35,209.60,3217900
2022-07-17 20:00:00-04:00,211.03,213.60,210.13,210.67,955000
2022-07-18 20:00:00-04:00,212.76,217.53,211.77,217.23,1049400
2022-07-19 20:00:00-04:00,217.24,219.36,215.30,218.78,1358400
2022-07-20 20:00:00-04:00,218.46,223.83,218.46,222.68,1455100
2022-07-21 20:00:00-04:00,222.86,225.56,221.95,223.59,1064400
2022-07-24 20:00:00-04:00,223.07,227.20,222.35,227.08,1002600
2022-07-25 20:00:00-04:00,225.80,227.84,224.57,224.97,1097300
2022-07-26 20:00:00-04:00,222.09,224.94,217.17,223.71,2024500
2022-07-27 20:00:00-04:00,225.98,226.23,221.58,225.18,1257100
2022-07-28 20:00:00-04:00,225.62,231.86,225.23,231.01,1280800
