Date,Open,High,Low,Close,Volume
2022-04-05 20:00:00-04:00,24.89,25.25,23.96,24.36,703833000
2022-04-06 20:00:00-04:00,24.40,24.68,23.44,24.16,557992000
2022-04-07 20:00:00-04:00,23.87,23.88,23.02,23.08,524781000
2022-04-10 20:00:00-04:00,22.17,22.28,21.62,21.88,575207000
2022-04-11 20:00:00-04:00,22.50,22.68,21.24,21.46,662258000
2022-04-12 20:00:00-04:00,21.69,22.46,21.42,22.16,516943000
2022-04-13 20:00:00-04:00,22.46,22.74,21.12,21.22,569097000
2022-04-17 20:00:00-04:00,21.16,22.05,21.04,21.74,525701000
2022-04-18 20:00:00-04:00,21.68,22.33,21.28,22.16,512781000
2022-04-19 20:00:00-04:00,22.48,22.63,21.16,21.44,468974000
2022-04-20 20:00:00-04:00,21.67,22.35,19.96,20.15,656209000
2022-04-21 20:00:00-04:00,20.27,20.45,19.46,19.48,624713000
2022-04-24 20:00:00-04:00,19.17,19.91,19.06,19.87,641566000
2022-04-25 20:00:00-04:00,19.68,19.75,18.64,18.75,653143000
2022-04-26 20:00:00-04:00,18.56,19.13,18.26,18.38,499460000
2022-04-27 20:00:00-04:00,18.93,20.00,18.46,19.75,570327000
2022-04-28 20:00:00-04:00,19.37,20.09,18.48,18.51,500435000
2022-05-01 20:00:00-04:00,18.51,19.54,18.36,19.50,572049000
2022-05-02 20:00:00-04:00,19.36,19.79,19.10,19.57,475751000
2022-05-03 20:00:00-04:00,19.89,20.36,18.72,20.30,648855000
2022-05-04 20:00:00-04:00,19.83,19.89,18.47,18.81,626331000
2022-05-05 20:00:00-04:00,18.70,19.48,17.96,18.64,633297000
2022-05-08 20:00:00-04:00,18.00,18.22,16.80,16.92,644455000
2022-05-09 20:00:00-04:00,17.66,18.16,16.99,17.56,761474000
2022-05-10 20:00:00-04:00,17.32,17.72,16.54,16.60,670167000
2022-05-11 20:00:00-04:00,16.19,16.76,15.54,16.15,708728000
2022-05-12 20:00:00-04:00,16.76,17.90,16.56,17.67,670437000
2022-05-15 20:00:00-04:00,17.48,17.76,17.07,17.23,521446000
2022-05-16 20:00:00-04:00,18.04,18.34,17.60,18.14,585830000
2022-05-17 20:00:00-04:00,17.67,18.09,16.83,16.91,545161000
2022-05-18 20:00:00-04:00,16.91,17.65,16.70,17.09,621310000
2022-05-19 20:00:00-04:00,17.30,17.38,15.73,16.66,739105000
2022-05-22 20:00:00-04:00,16.24,16.88,16.15,16.87,639889000
2022-05-23 20:00:00-04:00,16.48,16.57,15.75,16.12,588550000
2022-05-24 20:00:00-04:00,15.99,17.08,15.97,16.94,781132000
2022-05-25 20:00:00-04:00,16.01,18.06,15.99,17.82,996575000
