Date,Open,High,Low,Close,Volume
2022-04-05 20:00:00-04:00,130.08,131.64,126.66,128.50,2753200
2022-04-06 20:00:00-04:00,128.12,130.02,125.88,129.20,1966200
2022-04-07 20:00:00-04:00,128.53,128.53,125.94,127.20,3582400
2022-04-10 20:00:00-04:00,126.71,128.57,125.94,126.32,1887800
2022-04-11 20:00:00-04:00,127.16,129.70,125.78,127.25,2331600
2022-04-12 20:00:00-04:00,127.58,131.19,127.51,130.47,2440000
2022-04-13 20:00:00-04:00,129.91,131.37,128.45,129.57,3177000
2022-04-17 20:00:00-04:00,128.89,130.86,127.88,129.89,1881400
2022-04-18 20:00:00-04:00,130.25,134.66,129.69,134.01,2647400
2022-04-19 20:00:00-04:00,135.14,137.50,134.40,135.52,2629200
2022-04-20 20:00:00-04:00,136.10,139.28,134.03,134.63,2195000
2022-04-21 20:00:00-04:00,134.21,134.71,131.44,131.67,1544400
2022-04-24 20:00:00-04:00,131.16,137.09,131.16,136.95,2643400
2022-04-25 20:00:00-04:00,135.58,137.64,133.16,133.17,2784800
2022-04-26 20:00:00-04:00,134.71,137.62,128.98,133.12,4109000
2022-04-27 20:00:00-04:00,136.61,144.10,134.54,143.04,2972200
2022-04-28 20:00:00-04:00,141.04,143.77,136.64,137.09,2189200
2022-05-01 20:00:00-04:00,137.30,139.70,133.79,137.06,1859000
2022-05-02 20:00:00-04:00,137.47,139.07,135.61,137.79,1381200
2022-05-03 20:00:00-04:00,137.59,143.70,137.59,142.43,1665200
2022-05-04 20:00:00-04:00,139.56,140.73,135.71,138.65,2018000
2022-05-05 20:00:00-04:00,137.84,139.01,132.68,137.20,1624600
2022-05-08 20:00:00-04:00,134.99,136.01,131.99,132.73,2104600
2022-05-09 20:00:00-04:00,135.19,136.50,130.36,134.18,2065400
2022-05-10 20:00:00-04:00,133.36,136.41,131.59,132.55,1507600
2022-05-11 20:00:00-04:00,131.34,133.78,127.92,131.97,2269400
2022-05-12 20:00:00-04:00,132.93,136.14,132.38,133.67,1668200
2022-05-15 20:00:00-04:00,132.83,133.01,128.14,128.46,1526800
2022-05-16 20:00:00-04:00,130.59,133.15,129.39,132.98,1252200
