Date,Open,High,Low,Close,Volume
2018-07-01 20:00:00-04:00,42.05,42.17,41.54,41.68,1751200
2018-07-02 20:00:00-04:00,42.02,42.62,41.88,41.91,1108900
2018-07-04 20:00:00-04:00,42.29,42.68,42.25,42.46,1905600
2018-07-05 20:00:00-04:00,42.42,43.13,42.30,43.05,1603200
2018-07-08 20:00:00-04:00,43.21,43.39,43.04,43.11,2269800
2018-07-09 20:00:00-04:00,43.38,43.52,42.95,43.06,1901100
2018-07-10 20:00:00-04:00,42.84,43.01,42.16,42.51,1960800
2018-07-11 20:00:00-04:00,42.68,42.91,42.38,42.84,1640700
2018-07-12 20:00:00-04:00,42.82,43.35,42.82,43.16,2752400
2018-07-15 20:00:00-04:00,42.84,42.91,42.23,42.32,2478500
2018-07-16 20:00:00-04:00,42.30,42.69,42.18,42.52,2683500
2018-07-17 20:00:00-04:00,42.17,42.81,41.93,42.40,2737800
2018-07-18 20:00:00-04:00,42.42,42.97,42.33,42.58,2278500
2018-07-19 20:00:00-04:00,42.63,42.78,42.14,42.28,2109200
2018-07-22 20:00:00-04:00,42.42,42.55,42.05,42.41,1586300
2018-07-23 20:00:00-04:00,42.55,42.78,42.32,42.55,1987700
2018-07-24 20:00:00-04:00,42.48,42.99,42.40,42.86,2011200
2018-07-25 20:00:00-04:00,42.86,43.18,42.69,43.10,1242300
2018-07-26 20:00:00-04:00,43.00,43.10,42.22,42.39,2191100
2018-07-29 20:00:00-04:00,42.65,42.79,42.35,42.67,1833500
2018-07-30 20:00:00-04:00,42.74,43.03,42.35,42.58,4583600
2018-07-31 20:00:00-04:00,42.95,42.95,40.88,41.18,3540200
2018-08-01 20:00:00-04:00,41.01,41.73,40.84,41.41,3500700
2018-08-02 20:00:00-04:00,41.43,41.70,41.14,41.31,2726400
2018-08-05 20:00:00-04:00,41.39,41.79,41.18,41.74,2034600
2018-08-06 20:00:00-04:00,42.08,42.08,41.68,41.76,1964400
2018-08-07 20:00:00-04:00,41.59,42.02,41.47,41.98,1623600
2018-08-08 20:00:00-04:00,42.06,42.38,41.93,42.06,1752500
2018-08-09 20:00:00-04:00,42.01,42.37,41.98,42.16,2107300
2018-08-12 20:00:00-04:00,42.16,42.27,41.61,41.64,1530800
2018-08-13 20:00:00-04:00,41.89,42.17,41.87,41.95,2509100
2018-08-14 20:00:00-04:00,41.67,41.67,40.71,40.97,2001200
2018-08-15 20:00:00-04:00,41.17,41.47,40.91,41.09,1935800
2018-08-16 20:00:00-04:00,41.16,41.48,41.04,41.32,1551500
2018-08-19 20:00:00-04:00,41.39,41.59,41.25,41.51,1424300
2018-08-20 20:00:00-04:00,41.81,41.87,41.23,41.29,1312300
2018-08-21 20:00:00-04:00,41.45,41.82,41.45,41.75,1733700
2018-08-22 20:00:00-04:00,41.69,41.71,41.06,41.13,1352200
2018-08-23 20:00:00-04:00,41.35,41.55,41.19,41.30,2043600
2018-08-26 20:00:00-04:00,41.29,41.55,41.14,41.49,2137000
2018-08-27 20:00:00-04:00,41.47,41.77,41.12,41.19,1779900
2018-08-28 20:00:00-04:00,41.19,41.23,40.76,40.80,2193500
2018-08-29 20:00:00-04:00,40.75,40.90,40.43,40.66,2100600
2018-08-30 20:00:00-04:00,40.52,40.63,40.15,40.33,1876700
2018-09-03 20:00:00-04:00,40.33,40.46,40.07,40.20,1947900
2018-09-04 20:00:00-04:00,40.15,40.44,39.70,40.44,1928200
2018-09-05 20:00:00-04:00,40.45,40.77,40.15,40.39,2182600
2018-09-06 20:00:00-04:00,40.20,40.57,40.03,40.29,1392400
2018-09-09 20:00:00-04:00,40.44,40.63,39.47,39.51,2766900
2018-09-10 20:00:00-04:00,39.48,40.11,39.37,39.79,2585900
2018-09-11 20:00:00-04:00,39.99,40.06,39.64,39.84,1775300
2018-09-12 20:00:00-04:00,39.76,40.37,39.73,40.36,2084200
2018-09-13 20:00:00-04:00,40.27,40.72,40.00,40.63,2256800
2018-09-16 20:00:00-04:00,40.79,41.98,40.64,41.59,3835100
2018-09-17 20:00:00-04:00,41.95,42.84,41.92,42.31,3041300
2018-09-18 20:00:00-04:00,42.42,42.63,42.27,42.54,3252100
2018-09-19 20:00:00-04:00,42.61,42.61,41.81,41.98,3115000
2018-09-20 20:00:00-04:00,42.14,42.42,40.94,42.29,5101500
2018-09-23 20:00:00-04:00,42.53,42.53,41.34,41.53,3352500
2018-09-24 20:00:00-04:00,41.73,41.91,41.23,41.87,3232700
2018-09-25 20:00:00-04:00,41.76,42.72,41.72,41.86,2473500
2018-09-26 20:00:00-04:00,42.04,42.04,41.52,41.72,2132600
2018-09-27 20:00:00-04:00,41.66,41.90,41.46,41.48,2237400
2018-09-30 20:00:00-04:00,41.66,42.33,41.49,42.19,2155900
2018-10-01 20:00:00-04:00,42.13,42.28,41.34,41.54,2555700
2018-10-02 20:00:00-04:00,41.67,41.95,41.17,41.87,2714100
2018-10-03 20:00:00-04:00,41.89,42.12,41.65,41.90,1807800
2018-10-04 20:00:00-04:00,41.86,42.19,41.76,41.98,1582900
2018-10-07 20:00:00-04:00,41.83,42.19,41.60,41.86,1451400
2018-10-08 20:00:00-04:00,41.91,42.16,41.74,42.05,1333300
2018-10-09 20:00:00-04:00,42.04,42.22,41.15,41.19,2428900
2018-10-10 20:00:00-04:00,40.93,40.93,39.76,39.91,3041500
2018-10-11 20:00:00-04:00,40.01,40.39,38.91,39.79,2532100
2018-10-14 20:00:00-04:00,39.77,40.03,39.35,39.66,1590000
2018-10-15 20:00:00-04:00,40.17,41.60,39.98,41.28,2864800
2018-10-16 20:00:00-04:00,41.27,41.29,40.63,41.01,1582600
2018-10-17 20:00:00-04:00,40.75,41.59,40.61,40.95,1771000
2018-10-18 20:00:00-04:00,41.27,41.91,41.27,41.48,3165000
2018-10-21 20:00:00-04:00,41.50,41.54,40.62,40.99,1949600
2018-10-22 20:00:00-04:00,40.40,40.62,39.18,40.33,2870800
2018-10-23 20:00:00-04:00,40.39,40.39,38.91,38.94,2232500
