Date,Open,High,Low,Close,Volume
2018-07-01 20:00:00-04:00,22.02,22.61,21.90,22.59,4726700
2018-07-02 20:00:00-04:00,22.59,22.64,22.09,22.15,2400500
2018-07-04 20:00:00-04:00,22.37,22.87,22.27,22.82,7132400
2018-07-05 20:00:00-04:00,22.73,23.13,22.51,23.10,4202200
2018-07-08 20:00:00-04:00,23.30,23.35,22.98,23.33,3749400
2018-07-09 20:00:00-04:00,23.45,23.91,23.28,23.88,4737200
2018-07-10 20:00:00-04:00,23.55,23.63,22.95,23.02,4574900
2018-07-11 20:00:00-04:00,23.31,23.57,23.19,23.51,3608000
2018-07-12 20:00:00-04:00,23.61,23.75,23.43,23.48,4556700
2018-07-15 20:00:00-04:00,23.45,23.67,23.24,23.30,4799200
2018-07-16 20:00:00-04:00,23.15,23.92,22.91,23.91,4393300
2018-07-17 20:00:00-04:00,24.09,24.26,23.87,24.24,5635100
2018-07-18 20:00:00-04:00,24.13,24.31,23.75,24.01,5011800
2018-07-19 20:00:00-04:00,24.01,24.18,23.81,24.04,3689000
2018-07-22 20:00:00-04:00,23.90,23.96,23.32,23.78,5728800
2018-07-23 20:00:00-04:00,23.91,24.24,23.47,23.53,4133600
2018-07-24 20:00:00-04:00,23.46,23.51,22.82,23.30,8874900
2018-07-25 20:00:00-04:00,23.21,23.66,22.97,23.61,8352100
2018-07-26 20:00:00-04:00,23.74,24.10,23.07,23.15,9664900
2018-07-29 20:00:00-04:00,23.78,23.80,21.51,22.36,10269500
2018-07-30 20:00:00-04:00,22.51,22.68,22.01,22.05,6282900
2018-07-31 20:00:00-04:00,22.00,22.39,21.88,22.26,6277100
2018-08-01 20:00:00-04:00,21.91,22.39,21.83,22.28,6515500
2018-08-02 20:00:00-04:00,22.15,22.25,21.46,21.59,10798700
2018-08-05 20:00:00-04:00,21.54,22.12,21.50,22.11,5408700
2018-08-06 20:00:00-04:00,22.19,22.57,22.14,22.41,3944100
2018-08-07 20:00:00-04:00,22.34,22.48,22.17,22.42,3769700
2018-08-08 20:00:00-04:00,21.40,22.23,21.39,21.92,6522600
2018-08-09 20:00:00-04:00,21.46,21.70,21.20,21.34,8249200
2018-08-12 20:00:00-04:00,21.32,21.54,21.00,21.01,3740100
2018-08-13 20:00:00-04:00,21.07,21.20,20.95,21.00,5599000
2018-08-14 20:00:00-04:00,20.73,21.03,20.18,20.45,8406200
2018-08-15 20:00:00-04:00,20.53,20.66,20.25,20.34,6616900
2018-08-16 20:00:00-04:00,20.22,20.38,19.97,20.32,3905600
2018-08-19 20:00:00-04:00,20.34,20.51,20.04,20.34,3470900
2018-08-20 20:00:00-04:00,20.33,21.16,20.31,21.00,6116800
2018-08-21 20:00:00-04:00,20.71,21.10,20.55,20.84,5266100
2018-08-22 20:00:00-04:00,20.87,21.05,20.61,20.65,4129700
2018-08-23 20:00:00-04:00,20.80,21.13,20.69,21.12,2981100
2018-08-26 20:00:00-04:00,21.18,21.69,21.15,21.50,4140800
2018-08-27 20:00:00-04:00,21.82,21.82,21.39,21.61,3216800
2018-08-28 20:00:00-04:00,21.50,21.73,21.42,21.58,3140200
2018-08-29 20:00:00-04:00,21.47,21.55,21.09,21.11,3078700
