Date,Open,High,Low,Close,Volume
2022-04-05 20:00:00-04:00,101.25,102.28,100.19,101.13,8455800
2022-04-06 20:00:00-04:00,100.63,103.48,100.63,102.75,6510600
2022-04-07 20:00:00-04:00,102.09,102.37,100.58,101.37,5668200
2022-04-10 20:00:00-04:00,100.32,103.16,99.58,101.82,7320000
2022-04-11 20:00:00-04:00,102.57,104.44,101.67,101.98,5395800
2022-04-12 20:00:00-04:00,102.51,105.95,101.75,104.83,7379400
2022-04-13 20:00:00-04:00,105.00,105.78,104.05,104.46,5736600
2022-04-17 20:00:00-04:00,103.53,104.97,102.73,102.96,3899400
2022-04-18 20:00:00-04:00,102.66,105.27,101.89,104.76,4820400
2022-04-19 20:00:00-04:00,104.90,106.82,103.27,104.36,4971600
2022-04-20 20:00:00-04:00,105.15,106.56,98.10,98.67,10384200
2022-04-21 20:00:00-04:00,98.40,99.53,94.85,95.26,8793600
2022-04-24 20:00:00-04:00,95.42,100.12,95.41,99.96,10622400
2022-04-25 20:00:00-04:00,98.83,99.81,96.71,96.80,5485800
2022-04-26 20:00:00-04:00,96.35,98.93,94.86,96.47,6760200
2022-04-27 20:00:00-04:00,97.97,99.28,95.39,98.12,4749000
2022-04-28 20:00:00-04:00,97.65,98.81,92.90,93.55,7372800
2022-05-01 20:00:00-04:00,93.04,95.48,92.33,95.32,6012600
2022-05-02 20:00:00-04:00,95.25,95.37,90.69,92.99,9051000
2022-05-03 20:00:00-04:00,93.16,93.65,86.41,92.21,15763200
2022-05-04 20:00:00-04:00,92.00,92.43,86.24,88.27,10880400
2022-05-05 20:00:00-04:00,86.52,88.05,83.44,84.14,11784600
2022-05-08 20:00:00-04:00,82.02,82.02,75.76,76.58,18901200
2022-05-09 20:00:00-04:00,79.91,82.14,77.63,80.67,12334800
2022-05-10 20:00:00-04:00,78.82,83.30,76.37,77.78,12789000
2022-05-11 20:00:00-04:00,76.72,81.44,75.05,79.75,12362400
2022-05-12 20:00:00-04:00,81.56,83.26,80.89,81.83,9967200
2022-05-15 20:00:00-04:00,81.97,84.08,77.73,78.03,11160600
2022-05-16 20:00:00-04:00,80.43,81.07,76.57,78.88,9621000
2022-05-17 20:00:00-04:00,77.70,79.17,72.32,73.10,15742800
2022-05-18 20:00:00-04:00,71.24,74.07,70.26,72.73,20668500
2022-05-19 20:00:00-04:00,81.34,82.16,76.74,79.78,20668500
2022-05-22 20:00:00-04:00,80.61,84.16,80.36,83.38,17743200
2022-05-23 20:00:00-04:00,81.96,82.61,78.35,79.52,13402800
2022-05-24 20:00:00-04:00,79.07,85.77,79.07,84.25,13017600
2022-05-25 20:00:00-04:00,84.01,84.78,82.77,83.68,10666200
2022-05-26 20:00:00-04:00,85.28,86.17,83.83,84.47,7345800
2022-05-30 20:00:00-04:00,84.08,84.53,82.56,83.80,13962600
2022-05-31 20:00:00-04:00,84.54,87.12,83.26,83.62,8323200
2022-06-01 20:00:00-04:00,83.14,86.93,83.06,86.22,7579800
2022-06-02 20:00:00-04:00,85.01,86.43,83.71,85.43,5687400
2022-06-05 20:00:00-04:00,86.06,86.58,84.32,85.67,3544800
2022-06-06 20:00:00-04:00,84.69,88.15,84.50,87.83,5808000
2022-06-07 20:00:00-04:00,87.58,89.14,86.98,87.48,4851600
2022-06-08 20:00:00-04:00,86.79,88.08,85.68,86.03,5893200
2022-06-09 20:00:00-04:00,84.47,84.70,81.72,82.54,9120600
2022-06-12 20:00:00-04:00,79.07,80.96,77.54,79.62,9600600
2022-06-13 20:00:00-04:00,80.30,81.55,79.33,80.27,6388200
2022-06-14 20:00:00-04:00,81.15,82.65,79.78,81.17,6232200
2022-06-15 20:00:00-04:00,78.91,79.97,76.62,77.72,8202600
2022-06-16 20:00:00-04:00,78.04,80.44,77.95,79.23,8675400
2022-06-20 20:00:00-04:00,80.44,83.56,80.34,83.23,11858400
2022-06-21 20:00:00-04:00,82.25,84.93,82.08,82.39,7468800
2022-06-22 20:00:00-04:00,83.01,84.35,82.36,83.85,6506400
2022-06-23 20:00:00-04:00,84.91,85.76,83.60,85.12,20668500
2022-06-26 20:00:00-04:00,85.70,85.76,83.09,83.65,8905800
2022-06-27 20:00:00-04:00,84.22,84.92,80.78,81.99,6414000
2022-06-28 20:00:00-04:00,82.00,82.50,80.42,81.97,4294800
2022-06-29 20:00:00-04:00,81.37,83.26,80.35,82.32,8684400
2022-06-30 20:00:00-04:00,82.50,85.07,82.07,84.71,7050000
2022-07-04 20:00:00-04:00,84.00,87.07,83.42,86.86,8162400
2022-07-05 20:00:00-04:00,87.59,87.61,85.28,85.83,8502600
2022-07-06 20:00:00-04:00,85.83,87.26,85.26,86.21,7768200
2022-07-07 20:00:00-04:00,85.32,87.58,84.36,87.37,4792200
2022-07-10 20:00:00-04:00,86.46,86.83,85.17,85.99,3874200
2022-07-11 20:00:00-04:00,86.75,87.79,81.49,82.10,8230800
2022-07-12 20:00:00-04:00,80.65,83.28,79.96,82.24,6465000
2022-07-13 20:00:00-04:00,81.61,81.96,79.67,81.67,9510600
2022-07-14 20:00:00-04:00,81.76,85.30,81.76,84.83,6556800
2022-07-17 20:00:00-04:00,85.96,86.53,84.15,84.31,4777200
2022-07-18 20:00:00-04:00,84.78,85.93,84.04,85.60,4017000
2022-07-19 20:00:00-04:00,85.18,85.45,82.84,84.03,9208800
2022-07-20 20:00:00-04:00,83.68,85.82,83.21,85.72,10272000
2022-07-21 20:00:00-04:00,86.52,87.33,84.56,85.19,4877400
2022-07-24 20:00:00-04:00,85.33,85.67,83.30,84.21,4275000
2022-07-25 20:00:00-04:00,83.61,83.76,77.20,77.54,14396400
2022-07-26 20:00:00-04:00,79.25,80.57,77.84,79.68,7429200
2022-07-27 20:00:00-04:00,79.68,82.40,78.55,82.04,7414800
2022-07-28 20:00:00-04:00,82.04,83.22,81.25,83.18,7094400
2022-07-31 20:00:00-04:00,83.29,85.30,82.54,84.61,7478400
2022-08-01 20:00:00-04:00,83.72,86.41,83.67,85.11,5961000
2022-08-02 20:00:00-04:00,86.39,88.39,85.84,88.18,6580800
2022-08-03 20:00:00-04:00,85.17,85.67,80.68,83.62,16838400
2022-08-04 20:00:00-04:00,83.00,83.67,81.43,83.56,10114200
2022-08-07 20:00:00-04:00,83.99,85.96,83.33,83.51,6499800
2022-08-08 20:00:00-04:00,83.12,84.14,82.00,83.39,8475000
2022-08-09 20:00:00-04:00,85.79,87.32,85.33,86.97,6775800
2022-08-10 20:00:00-04:00,88.33,89.51,85.40,86.08,7138200
2022-08-11 20:00:00-04:00,88.07,88.27,86.85,87.81,5018400
2022-08-14 20:00:00-04:00,86.74,88.23,86.74,87.96,5633400
2022-08-15 20:00:00-04:00,87.61,87.73,85.86,87.43,7317600
2022-08-16 20:00:00-04:00,86.27,86.53,84.48,85.75,6556200
2022-08-17 20:00:00-04:00,86.20,86.86,85.40,86.31,6173400
2022-08-18 20:00:00-04:00,85.51,86.51,84.67,85.58,6749400
2022-08-21 20:00:00-04:00,84.35,85.73,83.43,84.68,19210800
2022-08-22 20:00:00-04:00,93.25,95.43,92.00,94.92,20668500
2022-08-23 20:00:00-04:00,95.08,95.33,93.83,94.14,9555000
2022-08-24 20:00:00-04:00,95.00,96.46,94.71,95.93,7827000
2022-08-25 20:00:00-04:00,95.65,96.25,93.45,93.45,7468200
2022-08-28 20:00:00-04:00,92.50,94.39,92.10,93.17,8106600
2022-08-29 20:00:00-04:00,94.03,94.81,92.40,93.28,6917400
2022-08-30 20:00:00-04:00,94.50,95.50,92.28,92.80,7062600
2022-08-31 20:00:00-04:00,91.41,92.17,89.04,90.86,8728200
2022-09-01 20:00:00-04:00,91.32,92.25,89.61,89.87,7095000
2022-09-05 20:00:00-04:00,89.00,89.31,86.39,88.42,8857200
2022-09-06 20:00:00-04:00,88.42,90.23,87.74,90.00,6759000
2022-09-07 20:00:00-04:00,89.91,91.53,89.17,91.21,5984400
2022-09-08 20:00:00-04:00,92.67,94.71,92.18,94.13,7710000
2022-09-11 20:00:00-04:00,94.36,95.00,93.64,94.68,7888800
2022-09-12 20:00:00-04:00,92.33,92.72,91.35,91.48,8773200
2022-09-13 20:00:00-04:00,91.88,91.98,89.42,91.03,11334000
2022-09-14 20:00:00-04:00,90.56,90.98,89.08,89.81,10413000
2022-09-15 20:00:00-04:00,88.38,88.62,85.77,87.04,14039000
2022-09-18 20:00:00-04:00,85.60,87.88,85.50,87.68,7492200
2022-09-19 20:00:00-04:00,87.45,88.35,86.85,87.51,7856400
2022-09-20 20:00:00-04:00,88.20,88.71,85.56,85.56,5977400
2022-09-21 20:00:00-04:00,84.78,85.87,82.66,83.09,7301400
2022-09-22 20:00:00-04:00,82.12,82.97,80.27,80.79,6931200
2022-09-25 20:00:00-04:00,81.08,83.41,80.94,81.58,7687000
