Date,Open,High,Low,Close,Volume
2022-04-05 20:00:00-04:00,123.17,125.78,122.42,125.17,2751500
2022-04-06 20:00:00-04:00,124.41,125.49,123.46,123.94,3452100
2022-04-07 20:00:00-04:00,123.20,124.88,122.67,123.45,2396600
2022-04-10 20:00:00-04:00,123.81,123.96,121.10,121.28,1575600
2022-04-11 20:00:00-04:00,122.33,123.09,120.64,121.06,1359600
2022-04-12 20:00:00-04:00,121.55,122.54,120.53,122.21,1394100
2022-04-13 20:00:00-04:00,122.21,122.76,120.91,121.14,1574900
2022-04-17 20:00:00-04:00,120.45,121.59,119.58,120.31,1457900
2022-04-18 20:00:00-04:00,120.48,122.17,119.51,121.83,2158800
2022-04-19 20:00:00-04:00,122.76,124.24,122.60,123.75,1829800
2022-04-20 20:00:00-04:00,124.18,125.20,122.22,122.59,1650700
2022-04-21 20:00:00-04:00,122.06,122.16,116.23,116.41,2375400
2022-04-24 20:00:00-04:00,116.55,117.25,113.75,117.21,2766200
2022-04-25 20:00:00-04:00,116.51,117.26,114.77,114.78,2248900
2022-04-26 20:00:00-04:00,115.83,117.78,115.38,115.83,1777700
2022-04-27 20:00:00-04:00,116.87,118.04,115.62,117.34,1468400
2022-04-28 20:00:00-04:00,116.98,116.99,112.07,112.32,1981500
2022-05-01 20:00:00-04:00,112.46,114.25,110.92,113.13,1985900
2022-05-02 20:00:00-04:00,113.66,114.36,112.80,113.93,1492200
2022-05-03 20:00:00-04:00,113.97,117.79,113.20,117.40,1916500
2022-05-04 20:00:00-04:00,116.44,116.71,109.36,110.42,2353500
2022-05-05 20:00:00-04:00,109.52,110.71,108.49,110.04,1873300
2022-05-08 20:00:00-04:00,109.15,109.15,106.06,106.59,2423500
2022-05-09 20:00:00-04:00,108.42,109.06,105.33,106.47,2248900
2022-05-10 20:00:00-04:00,105.34,106.75,104.93,105.47,2805900
2022-05-11 20:00:00-04:00,104.78,105.53,103.18,105.21,2213900
2022-05-12 20:00:00-04:00,106.08,107.62,105.71,106.78,1336900
2022-05-15 20:00:00-04:00,106.38,107.95,105.79,107.11,1152900
2022-05-16 20:00:00-04:00,108.64,109.08,107.90,108.50,1328400
2022-05-17 20:00:00-04:00,107.40,107.45,104.51,104.77,1606800
2022-05-18 20:00:00-04:00,104.11,104.76,102.81,103.35,2290300
2022-05-19 20:00:00-04:00,104.71,105.17,101.79,104.67,2266500
2022-05-22 20:00:00-04:00,105.41,106.08,103.66,105.46,1801500
2022-05-23 20:00:00-04:00,104.84,105.33,103.22,105.13,1625400
2022-05-24 20:00:00-04:00,104.45,106.11,104.00,105.26,1413800
2022-05-25 20:00:00-04:00,105.89,108.79,105.45,108.13,1537300
2022-05-26 20:00:00-04:00,109.26,110.71,108.97,110.70,1560600
2022-05-30 20:00:00-04:00,110.21,111.29,108.97,110.47,2523500
2022-05-31 20:00:00-04:00,110.80,111.36,108.42,109.07,1483900
2022-06-01 20:00:00-04:00,109.54,112.47,108.92,112.36,1551400
2022-06-02 20:00:00-04:00,111.90,112.71,111.35,112.24,1355400
2022-06-05 20:00:00-04:00,113.34,113.70,111.70,112.35,1210700
2022-06-06 20:00:00-04:00,111.18,113.30,110.33,113.08,1238500
2022-06-07 20:00:00-04:00,112.40,112.78,111.25,112.05,1187400
2022-06-08 20:00:00-04:00,111.66,112.00,109.36,109.38,1066200
2022-06-09 20:00:00-04:00,107.91,108.84,106.74,107.62,1360100
2022-06-12 20:00:00-04:00,105.38,106.07,104.02,104.57,1701000
2022-06-13 20:00:00-04:00,105.31,105.32,103.66,104.80,1509700
2022-06-14 20:00:00-04:00,105.34,106.82,103.77,105.23,1380400
2022-06-15 20:00:00-04:00,103.21,103.59,100.69,101.53,2236500
