Date,Open,High,Low,Close,Volume
2018-07-01 20:00:00-04:00,29.58,29.91,29.35,29.86,3298800
2018-07-02 20:00:00-04:00,30.05,30.21,29.39,29.42,1635000
2018-07-04 20:00:00-04:00,29.75,29.84,29.50,29.72,3215100
2018-07-05 20:00:00-04:00,29.77,29.97,29.45,29.89,2866350
2018-07-08 20:00:00-04:00,29.97,30.42,29.85,30.34,3333900
2018-07-09 20:00:00-04:00,30.74,30.86,30.42,30.71,2078850
2018-07-10 20:00:00-04:00,30.34,30.39,29.90,30.04,1551750
2018-07-11 20:00:00-04:00,30.23,30.38,29.94,30.29,1613550
2018-07-12 20:00:00-04:00,30.32,31.26,30.32,31.13,3321750
2018-07-15 20:00:00-04:00,31.16,31.16,30.60,30.70,2755050
2018-07-16 20:00:00-04:00,30.52,31.03,30.49,31.02,2290950
2018-07-17 20:00:00-04:00,30.45,31.47,30.45,31.11,3834150
2018-07-18 20:00:00-04:00,31.09,31.26,30.73,31.13,3084150
2018-07-19 20:00:00-04:00,31.02,31.03,30.71,30.79,2500650
2018-07-22 20:00:00-04:00,30.76,31.15,30.62,30.87,4003200
2018-07-23 20:00:00-04:00,31.55,31.90,29.97,31.03,6937650
2018-07-24 20:00:00-04:00,30.45,31.54,30.45,31.49,5422500
2018-07-25 20:00:00-04:00,31.55,32.40,31.55,32.10,4478700
2018-07-26 20:00:00-04:00,32.08,32.45,32.08,32.42,3424500
2018-07-29 20:00:00-04:00,32.41,32.79,31.84,31.90,3376800
2018-07-30 20:00:00-04:00,32.07,32.37,31.96,32.25,3834600
2018-07-31 20:00:00-04:00,32.14,32.23,31.22,31.39,2691000
2018-08-01 20:00:00-04:00,31.16,31.38,30.81,31.05,3109200
2018-08-02 20:00:00-04:00,31.04,31.66,31.04,31.61,3093300
2018-08-05 20:00:00-04:00,32.25,32.52,31.83,31.86,2606100
2018-08-06 20:00:00-04:00,31.17,32.32,31.17,31.98,1957800
2018-08-07 20:00:00-04:00,31.92,32.00,31.55,31.62,1738650
2018-08-08 20:00:00-04:00,31.66,31.80,31.28,31.55,1906200
2018-08-09 20:00:00-04:00,31.34,31.45,30.93,31.19,2211600
2018-08-12 20:00:00-04:00,31.34,31.92,31.34,31.51,2918550
2018-08-13 20:00:00-04:00,31.63,32.09,31.55,31.94,3169800
2018-08-14 20:00:00-04:00,31.62,31.84,31.21,31.80,2967750
2018-08-15 20:00:00-04:00,32.08,32.55,32.03,32.37,2869800
2018-08-16 20:00:00-04:00,32.46,33.28,32.38,33.10,3637050
2018-08-19 20:00:00-04:00,33.25,33.79,33.21,33.63,3796500
2018-08-20 20:00:00-04:00,33.71,33.86,33.40,33.49,3387600
2018-08-21 20:00:00-04:00,33.44,33.53,33.26,33.40,2591700
2018-08-22 20:00:00-04:00,33.25,33.29,32.59,32.83,2300400
2018-08-23 20:00:00-04:00,32.80,33.30,32.70,33.23,2896350
2018-08-26 20:00:00-04:00,33.42,34.07,33.28,33.82,2433450
2018-08-27 20:00:00-04:00,33.92,34.06,33.72,33.75,2364150
2018-08-28 20:00:00-04:00,33.74,33.84,33.45,33.73,1451400
2018-08-29 20:00:00-04:00,33.64,33.79,33.27,33.44,2515050
2018-08-30 20:00:00-04:00,33.42,33.76,33.30,33.72,2423700
2018-09-03 20:00:00-04:00,33.49,33.72,33.36,33.68,3093300
2018-09-04 20:00:00-04:00,33.54,34.46,33.46,34.45,5275050
2018-09-05 20:00:00-04:00,34.44,34.65,34.00,34.09,2913750
2018-09-06 20:00:00-04:00,33.89,34.14,33.63,34.01,2794500
2018-09-09 20:00:00-04:00,34.22,34.94,34.18,34.49,2692350
2018-09-10 20:00:00-04:00,34.37,34.47,33.88,34.04,3388350
2018-09-11 20:00:00-04:00,33.98,34.40,33.67,34.32,2630700
2018-09-12 20:00:00-04:00,34.49,34.67,34.25,34.44,1628100
2018-09-13 20:00:00-04:00,34.49,34.82,34.44,34.67,2384850
2018-09-16 20:00:00-04:00,34.80,35.47,34.75,34.81,2490300
2018-09-17 20:00:00-04:00,34.93,35.16,34.42,35.05,1878900
2018-09-18 20:00:00-04:00,35.02,35.46,35.02,35.15,2322900
2018-09-19 20:00:00-04:00,35.39,35.80,35.29,35.69,2504850
2018-09-20 20:00:00-04:00,35.84,35.92,35.50,35.58,3523350
2018-09-23 20:00:00-04:00,35.41,35.46,34.51,34.68,2796150
2018-09-24 20:00:00-04:00,34.64,34.76,34.06,34.13,2796300
2018-09-25 20:00:00-04:00,34.30,34.35,33.84,33.90,2723100
2018-09-26 20:00:00-04:00,34.07,34.19,33.73,34.04,1715100
2018-09-27 20:00:00-04:00,33.98,34.03,33.50,33.61,3111000
2018-09-30 20:00:00-04:00,33.89,34.29,33.80,34.01,2641650
2018-10-01 20:00:00-04:00,33.98,34.43,33.93,34.34,1809150
2018-10-02 20:00:00-04:00,34.40,34.87,34.34,34.61,2316300
2018-10-03 20:00:00-04:00,34.50,34.86,34.25,34.44,2390100
2018-10-04 20:00:00-04:00,34.10,34.38,33.22,33.50,2656800
2018-10-07 20:00:00-04:00,33.36,33.61,33.22,33.58,2659800
2018-10-08 20:00:00-04:00,33.64,33.69,32.67,32.70,2251800
2018-10-09 20:00:00-04:00,32.68,32.75,31.44,31.47,3419700
2018-10-10 20:00:00-04:00,31.40,31.88,30.79,30.98,4151100
2018-10-11 20:00:00-04:00,31.43,31.48,30.21,30.62,4141500
2018-10-14 20:00:00-04:00,30.48,30.89,30.45,30.60,2994900
2018-10-15 20:00:00-04:00,30.88,31.09,30.42,31.02,2629800
2018-10-16 20:00:00-04:00,30.98,31.03,30.15,30.43,2273100
2018-10-17 20:00:00-04:00,30.35,30.42,29.40,29.74,3738450
2018-10-18 20:00:00-04:00,29.61,30.05,29.53,29.68,3833250
2018-10-21 20:00:00-04:00,29.71,30.17,29.61,29.82,6916050
2018-10-22 20:00:00-04:00,28.58,29.10,26.99,28.29,6937650
2018-10-23 20:00:00-04:00,28.35,28.38,27.06,27.08,6617550
2018-10-24 20:00:00-04:00,27.39,27.74,27.00,27.21,4306950
2018-10-25 20:00:00-04:00,26.65,27.60,26.59,27.25,3987450
2018-10-28 20:00:00-04:00,27.70,28.22,27.04,27.51,3865200
2018-10-29 20:00:00-04:00,27.62,28.31,27.40,27.84,6123300
2018-10-30 20:00:00-04:00,28.15,28.43,27.93,28.20,4987200
2018-10-31 20:00:00-04:00,28.36,29.33,28.35,29.15,3481650
2018-11-01 20:00:00-04:00,29.30,29.45,28.47,28.73,3255900
2018-11-04 19:00:00-05:00,28.91,29.05,28.53,28.81,2474250
2018-11-05 19:00:00-05:00,28.84,29.32,28.74,29.26,2140650
2018-11-06 19:00:00-05:00,29.46,29.54,28.70,29.52,3760350
2018-11-07 19:00:00-05:00,29.38,29.83,29.26,29.64,2574600
2018-11-08 19:00:00-05:00,29.39,29.65,28.81,28.90,2456700
2018-11-11 19:00:00-05:00,28.92,29.29,28.75,28.91,2371050
2018-11-12 19:00:00-05:00,29.16,29.73,29.03,29.14,2470950
2018-11-13 19:00:00-05:00,29.31,29.83,29.15,29.55,2634300
2018-11-14 19:00:00-05:00,29.30,30.10,29.10,29.99,2420250
2018-11-15 19:00:00-05:00,29.77,30.28,29.71,30.09,2006850
2018-11-18 19:00:00-05:00,29.95,30.41,29.78,29.95,2337900
2018-11-19 19:00:00-05:00,29.81,29.95,29.21,29.40,2955300
2018-11-20 19:00:00-05:00,29.59,30.09,29.47,29.68,2092050
2018-11-22 19:00:00-05:00,29.39,29.94,29.20,29.73,888150
2018-11-25 19:00:00-05:00,29.95,30.37,29.91,30.05,1786200
2018-11-26 19:00:00-05:00,29.95,30.09,29.69,29.99,2457150
2018-11-27 19:00:00-05:00,30.06,30.74,29.73,30.70,3459750
2018-11-28 19:00:00-05:00,30.55,30.73,30.27,30.36,1846800
2018-11-29 19:00:00-05:00,30.39,30.84,30.27,30.81,5153250
2018-12-02 19:00:00-05:00,31.25,31.40,30.22,30.26,4614600
2018-12-03 19:00:00-05:00,30.12,30.21,29.17,29.37,6488250
2018-12-05 19:00:00-05:00,28.82,29.03,27.78,29.01,6937650
2018-12-06 19:00:00-05:00,28.86,29.28,28.15,28.27,3336000
2018-12-09 19:00:00-05:00,28.27,28.57,27.72,28.51,4540500
2018-12-10 19:00:00-05:00,28.93,29.10,28.42,28.62,5226000
2018-12-11 19:00:00-05:00,29.07,29.67,28.90,28.92,3937200
2018-12-12 19:00:00-05:00,29.16,29.46,29.05,29.38,4080300
2018-12-13 19:00:00-05:00,29.09,29.46,28.98,29.00,2823300
2018-12-16 19:00:00-05:00,28.98,29.51,28.53,28.76,3471600
2018-12-17 19:00:00-05:00,28.98,29.36,28.67,28.80,3117450
2018-12-18 19:00:00-05:00,28.90,29.30,28.00,28.14,3099450
2018-12-19 19:00:00-05:00,28.08,28.67,27.95,28.41,4050750
2018-12-20 19:00:00-05:00,28.60,29.18,28.05,28.15,5431950
2018-12-23 19:00:00-05:00,27.95,28.13,27.43,27.52,1595850
2018-12-25 19:00:00-05:00,27.67,28.97,27.39,28.96,3519150
2018-12-26 19:00:00-05:00,28.48,29.49,28.23,29.46,3598950
2018-12-27 19:00:00-05:00,29.61,29.76,29.10,29.27,2452200
2018-12-30 19:00:00-05:00,29.42,29.54,29.03,29.30,2548650
2019-01-01 19:00:00-05:00,28.85,29.71,28.63,29.66,2704500
2019-01-02 19:00:00-05:00,29.46,29.52,28.77,28.98,2962050
2019-01-03 19:00:00-05:00,29.33,30.28,29.22,30.26,3854850
2019-01-06 19:00:00-05:00,30.13,30.62,29.64,30.23,4571550
2019-01-07 19:00:00-05:00,30.51,30.86,30.24,30.52,4449450
2019-01-08 19:00:00-05:00,30.66,30.84,29.90,30.06,5207250
2019-01-09 19:00:00-05:00,29.65,30.58,29.52,30.33,4232100
2019-01-10 19:00:00-05:00,30.27,30.61,29.96,30.47,2878800
2019-01-13 19:00:00-05:00,30.31,30.93,30.08,30.75,3319200
2019-01-14 19:00:00-05:00,30.77,30.86,30.39,30.54,2098950
2019-01-15 19:00:00-05:00,30.60,30.97,30.49,30.79,2283600
2019-01-16 19:00:00-05:00,30.66,31.72,30.59,31.45,3676650
2019-01-17 19:00:00-05:00,31.72,32.39,31.49,32.29,3367050
2019-01-21 19:00:00-05:00,31.99,32.08,31.50,31.81,3508200
2019-01-22 19:00:00-05:00,32.06,32.06,31.39,31.59,2850150
2019-01-23 19:00:00-05:00,31.36,31.75,31.30,31.68,3752550
2019-01-24 19:00:00-05:00,32.07,32.44,32.00,32.14,3333600
2019-01-27 19:00:00-05:00,31.67,31.71,31.25,31.43,6590100
2019-01-28 19:00:00-05:00,32.69,33.31,32.00,33.24,5888850
2019-01-29 19:00:00-05:00,33.33,33.42,32.62,33.20,4264500
2019-01-30 19:00:00-05:00,33.15,33.61,32.89,33.59,3718950
2019-01-31 19:00:00-05:00,33.59,33.78,33.20,33.31,3028500
2019-02-03 19:00:00-05:00,33.27,33.46,32.91,33.45,3088050
2019-02-04 19:00:00-05:00,33.55,33.64,33.19,33.62,2964750
2019-02-05 19:00:00-05:00,33.31,33.78,33.05,33.61,3180750
2019-02-06 19:00:00-05:00,33.70,33.88,33.38,33.79,3771450
2019-02-07 19:00:00-05:00,33.64,33.82,33.30,33.81,2302500
2019-02-10 19:00:00-05:00,33.93,34.11,33.66,33.67,1567350
2019-02-11 19:00:00-05:00,34.02,34.53,33.94,34.39,2659500
2019-02-12 19:00:00-05:00,34.56,34.87,34.42,34.74,1684800
2019-02-13 19:00:00-05:00,34.53,34.81,34.35,34.45,2368800
2019-02-14 19:00:00-05:00,34.79,35.16,34.52,35.09,2900400
2019-02-18 19:00:00-05:00,35.02,35.33,34.88,35.15,2349000
2019-02-19 19:00:00-05:00,35.19,35.58,35.03,35.57,1937550
2019-02-20 19:00:00-05:00,35.46,35.78,35.36,35.64,2528550
2019-02-21 19:00:00-05:00,35.79,36.18,35.75,36.01,2617200
2019-02-24 19:00:00-05:00,36.23,36.24,35.77,35.80,2124900
2019-02-25 19:00:00-05:00,35.64,36.00,35.50,35.72,3012900
2019-02-26 19:00:00-05:00,35.56,35.56,34.97,35.25,2964300
2019-02-27 19:00:00-05:00,35.24,35.24,34.73,34.93,3467400
2019-02-28 19:00:00-05:00,35.16,35.33,34.63,34.92,3309450
2019-03-03 19:00:00-05:00,35.10,35.26,34.34,34.77,3549450
2019-03-04 19:00:00-05:00,34.84,35.11,34.69,34.93,3345150
2019-03-05 19:00:00-05:00,34.86,34.96,34.63,34.65,3741900
2019-03-06 19:00:00-05:00,34.52,34.64,33.96,34.58,3154050
2019-03-07 19:00:00-05:00,34.26,34.71,34.11,34.68,2787300
2019-03-10 20:00:00-04:00,34.72,35.15,34.60,35.11,2701200
2019-03-11 20:00:00-04:00,35.16,35.19,34.97,35.16,3392400
2019-03-12 20:00:00-04:00,35.34,35.55,35.14,35.41,4469850
2019-03-13 20:00:00-04:00,35.31,35.41,35.09,35.27,3588450
2019-03-14 20:00:00-04:00,35.27,35.48,34.82,34.85,4520100
2019-03-17 20:00:00-04:00,34.82,35.28,34.77,35.24,2678550
2019-03-18 20:00:00-04:00,35.43,35.54,34.95,35.09,2054700
2019-03-19 20:00:00-04:00,35.00,35.25,34.73,34.90,1968000
2019-03-20 20:00:00-04:00,34.69,35.20,34.69,35.13,1809600
2019-03-21 20:00:00-04:00,34.93,35.08,34.44,34.53,3131850
2019-03-24 20:00:00-04:00,34.75,34.94,34.57,34.72,1756950
2019-03-25 20:00:00-04:00,34.89,35.11,34.60,34.73,1846050
2019-03-26 20:00:00-04:00,34.77,35.06,34.71,34.94,1531500
2019-03-27 20:00:00-04:00,35.00,35.48,34.88,35.17,1738800
2019-03-28 20:00:00-04:00,35.44,35.52,35.05,35.11,3480000
2019-03-31 20:00:00-04:00,35.45,35.67,35.21,35.57,4004250
2019-04-01 20:00:00-04:00,35.60,35.60,35.14,35.25,6937650
2019-04-02 20:00:00-04:00,35.38,35.52,35.05,35.20,3945900
2019-04-03 20:00:00-04:00,35.16,35.76,35.04,35.56,5302200
2019-04-04 20:00:00-04:00,35.71,35.77,35.46,35.56,1832100
2019-04-07 20:00:00-04:00,35.47,35.60,35.29,35.52,1615200
2019-04-08 20:00:00-04:00,35.30,35.43,35.01,35.24,2011800
2019-04-09 20:00:00-04:00,35.33,35.50,35.12,35.44,1654500
2019-04-10 20:00:00-04:00,35.53,35.95,35.35,35.91,2093700
2019-04-11 20:00:00-04:00,36.06,36.44,35.96,36.32,1992750
2019-04-14 20:00:00-04:00,36.37,36.50,36.17,36.25,1712100
2019-04-15 20:00:00-04:00,36.33,36.86,36.02,36.80,2462100
2019-04-16 20:00:00-04:00,36.92,37.20,36.62,36.64,1807500
2019-04-17 20:00:00-04:00,36.96,37.07,36.69,36.81,3529650
2019-04-21 20:00:00-04:00,36.62,36.74,36.11,36.65,1404450
2019-04-22 20:00:00-04:00,36.58,36.90,36.32,36.67,2019300
2019-04-23 20:00:00-04:00,36.62,36.95,36.42,36.83,2039850
2019-04-24 20:00:00-04:00,36.48,36.48,36.04,36.15,1971150
2019-04-25 20:00:00-04:00,36.29,36.59,36.13,36.56,3081600
2019-04-28 20:00:00-04:00,36.58,36.78,36.43,36.74,2755200
2019-04-29 20:00:00-04:00,37.09,37.61,35.98,36.92,5599500
2019-04-30 20:00:00-04:00,36.99,37.24,36.49,36.50,3349500
2019-05-01 20:00:00-04:00,36.52,36.63,36.04,36.16,3220800
2019-05-02 20:00:00-04:00,36.41,36.84,36.28,36.78,2599950
2019-05-05 20:00:00-04:00,36.06,36.32,35.51,35.77,3373650
2019-05-06 20:00:00-04:00,35.37,35.62,35.07,35.47,3338100
2019-05-07 20:00:00-04:00,35.46,35.74,35.24,35.47,2273550
2019-05-08 20:00:00-04:00,35.20,35.64,34.77,35.55,2687700
2019-05-09 20:00:00-04:00,35.43,35.90,34.90,35.81,2698500
2019-05-12 20:00:00-04:00,35.13,35.31,34.69,35.01,3186300
2019-05-13 20:00:00-04:00,35.06,35.70,34.95,35.56,2377650
2019-05-14 20:00:00-04:00,35.21,35.95,35.08,35.80,2268900
2019-05-15 20:00:00-04:00,35.96,36.43,35.94,36.17,1594800
2019-05-16 20:00:00-04:00,35.97,36.31,35.66,35.84,2255250
2019-05-19 20:00:00-04:00,35.59,36.27,35.36,35.88,2301150
2019-05-20 20:00:00-04:00,36.15,36.36,35.79,36.31,1801800
2019-05-21 20:00:00-04:00,36.20,36.26,35.28,35.29,2333100
2019-05-22 20:00:00-04:00,34.93,35.14,34.49,34.71,3516750
2019-05-23 20:00:00-04:00,34.93,35.00,34.69,34.97,1714800
2019-05-27 20:00:00-04:00,35.05,35.35,34.72,34.73,2623200
2019-05-28 20:00:00-04:00,34.46,34.98,34.33,34.94,2302650
2019-05-29 20:00:00-04:00,35.00,35.39,35.00,35.22,1385100
2019-05-30 20:00:00-04:00,34.41,34.71,34.05,34.07,2669850
2019-06-02 20:00:00-04:00,34.15,34.54,34.08,34.28,2662500
2019-06-03 20:00:00-04:00,34.55,35.53,34.48,35.52,2702400
2019-06-04 20:00:00-04:00,35.71,36.05,35.28,35.79,2550000
2019-06-05 20:00:00-04:00,35.76,36.13,35.54,36.10,1703400
2019-06-06 20:00:00-04:00,36.30,36.64,36.02,36.34,1729050
2019-06-09 20:00:00-04:00,36.48,36.68,36.19,36.33,1818300
2019-06-10 20:00:00-04:00,36.62,36.80,36.10,36.12,2035950
2019-06-11 20:00:00-04:00,36.12,36.23,35.94,36.14,1345500
2019-06-12 20:00:00-04:00,36.17,36.38,36.02,36.22,1248750
2019-06-13 20:00:00-04:00,36.23,36.39,35.83,36.24,1257000
2019-06-16 20:00:00-04:00,36.19,36.30,35.77,35.84,1273650
2019-06-17 20:00:00-04:00,36.14,37.00,36.04,36.74,1812150
2019-06-18 20:00:00-04:00,36.75,36.96,36.49,36.85,1767900
2019-06-19 20:00:00-04:00,37.29,37.47,37.05,37.39,1914600
2019-06-20 20:00:00-04:00,37.30,37.51,36.90,36.92,2694000
2019-06-23 20:00:00-04:00,36.87,37.27,36.75,36.96,1259700
2019-06-24 20:00:00-04:00,37.04,37.21,36.78,36.90,1632450
2019-06-25 20:00:00-04:00,37.04,37.20,36.62,36.70,1736100
2019-06-26 20:00:00-04:00,36.75,36.92,36.37,36.59,1751100
2019-06-27 20:00:00-04:00,36.72,37.19,36.56,37.09,3966150
2019-06-30 20:00:00-04:00,37.59,37.71,36.93,37.39,2483700
2019-07-01 20:00:00-04:00,36.78,37.17,36.74,36.93,2114250
2019-07-02 20:00:00-04:00,37.01,37.13,36.56,36.85,1194750
2019-07-04 20:00:00-04:00,36.71,36.71,35.90,36.55,1948200
2019-07-07 20:00:00-04:00,36.42,36.70,36.35,36.57,1686450
2019-07-08 20:00:00-04:00,36.46,36.60,36.30,36.56,1912350
2019-07-09 20:00:00-04:00,36.74,37.00,36.34,36.49,1930200
2019-07-10 20:00:00-04:00,36.52,36.67,36.17,36.63,1583700
2019-07-11 20:00:00-04:00,36.80,37.36,36.80,37.33,1926000
2019-07-14 20:00:00-04:00,37.35,37.48,36.60,37.01,2750700
2019-07-15 20:00:00-04:00,37.01,37.62,36.82,37.56,2561850
2019-07-16 20:00:00-04:00,37.54,37.54,36.30,36.30,2995200
2019-07-17 20:00:00-04:00,36.24,36.32,35.33,35.75,3636750
2019-07-18 20:00:00-04:00,36.02,36.36,35.75,35.88,4384800
2019-07-21 20:00:00-04:00,35.99,36.30,35.71,35.80,3453900
2019-07-22 20:00:00-04:00,34.68,36.11,34.68,35.83,5238300
2019-07-23 20:00:00-04:00,35.90,37.48,35.90,37.34,3758850
2019-07-24 20:00:00-04:00,37.49,37.49,36.73,37.10,2566200
2019-07-25 20:00:00-04:00,37.07,37.29,36.70,37.10,2206950
2019-07-28 20:00:00-04:00,37.12,37.43,36.93,37.01,1828500
2019-07-29 20:00:00-04:00,36.51,36.76,35.82,36.73,1862700
2019-07-30 20:00:00-04:00,36.72,36.93,35.93,36.30,3084300
2019-07-31 20:00:00-04:00,36.25,36.69,35.09,35.27,2649750
2019-08-01 20:00:00-04:00,35.24,35.33,34.33,34.79,3309450
2019-08-04 20:00:00-04:00,34.24,34.45,33.10,33.35,4099950
2019-08-05 20:00:00-04:00,33.49,34.09,33.48,33.92,2762250
2019-08-06 20:00:00-04:00,33.40,33.89,33.13,33.78,2595150
