Date,Open,High,Low,Close,Volume
2018-07-01 20:00:00-04:00,84.85,85.87,84.55,85.50,4711900
2018-07-02 20:00:00-04:00,84.76,85.53,84.35,84.93,3769100
2018-07-04 20:00:00-04:00,85.02,85.57,84.31,85.52,4870400
2018-07-05 20:00:00-04:00,85.47,85.88,85.06,85.52,4387300
2018-07-08 20:00:00-04:00,85.19,85.32,83.93,84.12,7866400
2018-07-09 20:00:00-04:00,86.35,88.21,85.62,88.12,13652425
2018-07-10 20:00:00-04:00,87.93,88.16,87.51,87.85,5521400
2018-07-11 20:00:00-04:00,87.85,87.98,86.62,87.06,5500100
2018-07-12 20:00:00-04:00,87.18,88.05,87.13,87.97,4417100
2018-07-15 20:00:00-04:00,87.87,88.30,87.23,88.18,5413600
2018-07-16 20:00:00-04:00,88.58,89.79,88.58,89.68,6783800
2018-07-17 20:00:00-04:00,89.71,89.77,88.90,89.64,5379000
2018-07-18 20:00:00-04:00,89.59,91.01,89.58,90.37,9241300
2018-07-19 20:00:00-04:00,90.36,91.17,89.94,90.56,13652425
2018-07-22 20:00:00-04:00,90.18,90.54,88.66,89.29,7769300
2018-07-23 20:00:00-04:00,89.10,89.71,88.87,89.57,5095100
2018-07-24 20:00:00-04:00,89.72,90.29,89.38,89.93,4762300
2018-07-25 20:00:00-04:00,90.66,91.25,89.68,89.77,5096300
2018-07-26 20:00:00-04:00,89.59,90.04,89.01,89.21,4563700
2018-07-29 20:00:00-04:00,88.82,89.45,88.73,89.13,3621800
2018-07-30 20:00:00-04:00,89.50,90.15,89.08,89.77,4892100
2018-07-31 20:00:00-04:00,89.32,89.40,88.39,88.69,4169000
2018-08-01 20:00:00-04:00,88.68,89.72,88.28,89.53,4167200
2018-08-02 20:00:00-04:00,89.59,91.10,89.28,90.78,3934500
2018-08-05 20:00:00-04:00,91.53,92.46,91.25,91.63,6704800
2018-08-06 20:00:00-04:00,90.90,90.90,88.62,89.16,6919600
2018-08-07 20:00:00-04:00,89.40,89.65,88.58,88.59,5172900
2018-08-08 20:00:00-04:00,89.08,89.08,88.51,88.76,4115400
2018-08-09 20:00:00-04:00,88.67,88.97,87.87,88.11,3711900
2018-08-12 20:00:00-04:00,88.06,88.32,87.44,88.22,3170100
2018-08-13 20:00:00-04:00,87.97,88.59,87.51,88.29,3836700
2018-08-14 20:00:00-04:00,88.02,88.79,87.62,88.56,6513300
2018-08-15 20:00:00-04:00,88.79,89.56,88.50,89.18,4504600
2018-08-16 20:00:00-04:00,88.99,89.84,88.99,89.74,3391600
2018-08-19 20:00:00-04:00,89.76,90.43,89.46,89.65,3676000
2018-08-20 20:00:00-04:00,89.97,89.97,88.72,88.77,4667700
2018-08-21 20:00:00-04:00,88.76,88.85,87.40,87.62,3860900
2018-08-22 20:00:00-04:00,87.56,87.61,87.05,87.37,4508800
2018-08-23 20:00:00-04:00,87.33,87.84,87.27,87.55,3677700
2018-08-26 20:00:00-04:00,87.88,88.03,87.30,87.75,3155700
2018-08-27 20:00:00-04:00,87.60,87.78,86.56,86.78,5229400
2018-08-28 20:00:00-04:00,86.88,87.52,86.82,87.47,2403200
2018-08-29 20:00:00-04:00,87.33,87.61,87.08,87.40,2119100
2018-08-30 20:00:00-04:00,87.25,87.88,86.85,87.44,4248800
2018-09-03 20:00:00-04:00,87.29,87.50,86.22,86.65,4576300
2018-09-04 20:00:00-04:00,86.46,88.34,86.41,88.30,4392100
2018-09-05 20:00:00-04:00,88.15,89.36,87.71,89.33,4808300
2018-09-06 20:00:00-04:00,88.82,89.33,87.77,88.73,3833800
2018-09-09 20:00:00-04:00,88.88,89.72,88.70,89.39,3289700
2018-09-10 20:00:00-04:00,88.03,89.53,88.03,89.20,2807300
2018-09-11 20:00:00-04:00,89.18,89.91,88.97,89.61,3651400
2018-09-12 20:00:00-04:00,90.11,90.52,89.48,90.50,3808100
2018-09-13 20:00:00-04:00,90.43,90.43,89.51,90.17,2698300
2018-09-16 20:00:00-04:00,90.20,90.87,89.90,90.83,3092600
2018-09-17 20:00:00-04:00,90.89,90.89,89.48,89.71,4081200
2018-09-18 20:00:00-04:00,89.69,89.91,89.30,89.54,2844900
2018-09-19 20:00:00-04:00,89.91,90.91,89.81,90.69,3375900
2018-09-20 20:00:00-04:00,90.72,90.92,90.39,90.44,6989500
2018-09-23 20:00:00-04:00,89.80,90.29,88.31,88.36,3387400
2018-09-24 20:00:00-04:00,88.66,88.74,87.96,88.13,3538700
2018-09-25 20:00:00-04:00,88.36,88.83,87.61,87.76,4053500
2018-09-26 20:00:00-04:00,87.70,88.47,87.29,87.40,3841500
2018-09-27 20:00:00-04:00,87.79,88.19,87.29,87.99,5945300
2018-09-30 20:00:00-04:00,88.27,88.53,87.10,87.14,5064700
2018-10-01 20:00:00-04:00,86.93,87.45,84.77,85.57,6702200
2018-10-02 20:00:00-04:00,85.96,86.35,84.35,84.63,6107500
2018-10-03 20:00:00-04:00,84.10,84.53,83.27,83.91,4930300
2018-10-04 20:00:00-04:00,83.63,84.22,83.41,83.81,3438100
2018-10-07 20:00:00-04:00,83.71,85.27,83.67,85.15,3994100
2018-10-08 20:00:00-04:00,85.54,85.74,84.63,85.10,4105600
2018-10-09 20:00:00-04:00,84.68,86.07,84.37,84.48,5796200
2018-10-10 20:00:00-04:00,85.17,85.38,82.56,82.69,5755100
2018-10-11 20:00:00-04:00,82.88,83.24,82.27,82.86,4543000
2018-10-14 20:00:00-04:00,82.80,83.94,82.78,83.14,3805700
2018-10-15 20:00:00-04:00,83.67,84.76,83.30,84.52,4061600
2018-10-16 20:00:00-04:00,84.38,85.62,84.37,85.25,4495900
2018-10-17 20:00:00-04:00,85.38,86.07,84.65,84.95,4093700
2018-10-18 20:00:00-04:00,85.47,87.05,85.39,86.81,5109000
2018-10-21 20:00:00-04:00,86.65,87.28,85.98,86.11,5477700
2018-10-22 20:00:00-04:00,85.74,86.99,85.26,86.68,4484100
2018-10-23 20:00:00-04:00,86.73,89.85,86.54,88.91,8222900
2018-10-24 20:00:00-04:00,88.91,89.15,87.70,88.82,6712900
2018-10-25 20:00:00-04:00,87.85,88.20,86.33,86.93,5872800
2018-10-28 20:00:00-04:00,87.59,89.18,87.47,88.85,5706000
2018-10-29 20:00:00-04:00,89.53,89.91,88.62,89.54,4900400
2018-10-30 20:00:00-04:00,89.32,89.32,87.51,88.45,6449500
2018-10-31 20:00:00-04:00,88.15,89.05,87.35,87.77,5736700
2018-11-01 20:00:00-04:00,87.75,88.23,86.29,87.50,6705700
2018-11-04 19:00:00-05:00,87.91,90.07,87.58,90.03,5270400
2018-11-05 19:00:00-05:00,89.75,90.79,89.62,90.68,3913400
2018-11-06 19:00:00-05:00,90.87,91.12,90.07,90.99,4219600
2018-11-07 19:00:00-05:00,90.81,91.69,90.71,91.35,2925100
2018-11-08 19:00:00-05:00,91.36,92.65,91.36,92.46,5026300
2018-11-11 19:00:00-05:00,92.09,93.13,91.86,92.06,4781900
2018-11-12 19:00:00-05:00,92.68,92.68,91.47,92.20,3609900
2018-11-13 19:00:00-05:00,92.43,92.46,91.51,91.81,4423800
2018-11-14 19:00:00-05:00,91.64,92.08,90.98,91.93,4045700
2018-11-15 19:00:00-05:00,92.13,93.25,91.96,93.15,4484300
2018-11-18 19:00:00-05:00,92.94,94.07,92.85,93.67,4673900
2018-11-19 19:00:00-05:00,94.29,94.67,91.13,91.30,5087800
2018-11-20 19:00:00-05:00,91.21,92.00,90.45,90.73,3245000
2018-11-22 19:00:00-05:00,90.34,91.75,90.34,90.84,1444700
2018-11-25 19:00:00-05:00,91.21,91.64,90.50,91.19,2972500
2018-11-26 19:00:00-05:00,90.80,91.72,90.43,91.65,2884700
2018-11-27 19:00:00-05:00,91.28,93.28,90.96,93.27,3989400
2018-11-28 19:00:00-05:00,93.19,93.56,92.43,93.09,2878700
2018-11-29 19:00:00-05:00,92.98,96.02,92.98,95.97,8051100
2018-12-02 19:00:00-05:00,94.83,95.16,92.49,93.65,6112600
2018-12-03 19:00:00-05:00,93.95,94.93,92.44,92.72,7018200
2018-12-05 19:00:00-05:00,92.27,93.12,90.52,92.69,5191700
2018-12-06 19:00:00-05:00,92.32,92.80,91.53,91.88,4615500
2018-12-09 19:00:00-05:00,92.34,92.52,90.80,92.18,4150600
2018-12-10 19:00:00-05:00,92.74,93.76,92.56,93.05,5545100
2018-12-11 19:00:00-05:00,93.88,94.08,92.35,92.82,4889700
2018-12-12 19:00:00-05:00,92.93,94.32,92.91,93.89,6181200
2018-12-13 19:00:00-05:00,93.07,93.25,90.18,90.40,7404200
2018-12-16 19:00:00-05:00,90.73,91.29,89.01,89.54,6015300
2018-12-17 19:00:00-05:00,89.82,90.07,87.86,88.72,5846200
2018-12-18 19:00:00-05:00,89.35,89.80,86.97,87.30,6915400
2018-12-19 19:00:00-05:00,87.42,88.80,86.63,87.43,8468300
2018-12-20 19:00:00-05:00,88.03,90.57,86.32,86.80,13263600
2018-12-23 19:00:00-05:00,87.37,88.13,84.06,84.12,3354000
2018-12-25 19:00:00-05:00,84.27,86.03,83.32,85.94,4537000
2018-12-26 19:00:00-05:00,85.50,86.84,84.12,86.80,5175900
2018-12-27 19:00:00-05:00,87.34,88.14,86.65,87.55,5410300
2018-12-30 19:00:00-05:00,87.72,88.13,86.73,87.65,5019100
2019-01-01 19:00:00-05:00,86.59,87.28,85.86,86.69,4835400
2019-01-02 19:00:00-05:00,86.40,87.38,85.72,85.88,5975900
2019-01-03 19:00:00-05:00,86.90,87.74,85.87,87.65,6293900
2019-01-06 19:00:00-05:00,87.27,87.57,86.19,86.89,5220300
2019-01-07 19:00:00-05:00,87.38,87.90,86.80,87.72,6407700
2019-01-08 19:00:00-05:00,87.53,87.96,85.27,85.27,8521300
2019-01-09 19:00:00-05:00,85.21,85.95,85.17,85.80,7905000
2019-01-10 19:00:00-05:00,85.57,86.07,85.39,85.81,5939000
2019-01-13 19:00:00-05:00,85.56,85.65,84.85,85.14,5804600
2019-01-14 19:00:00-05:00,85.25,86.53,84.67,86.46,4508000
2019-01-15 19:00:00-05:00,86.46,86.51,85.44,85.95,4953500
2019-01-16 19:00:00-05:00,85.79,86.84,85.75,86.65,4612200
2019-01-17 19:00:00-05:00,87.24,87.50,86.61,87.32,5142700
2019-01-21 19:00:00-05:00,87.15,87.45,86.30,87.19,5298200
2019-01-22 19:00:00-05:00,87.01,87.89,86.88,87.84,5197400
2019-01-23 19:00:00-05:00,87.51,87.51,86.00,86.87,4478000
2019-01-24 19:00:00-05:00,87.38,87.73,86.50,86.75,5074800
2019-01-27 19:00:00-05:00,86.44,86.95,85.68,86.33,4055900
2019-01-28 19:00:00-05:00,86.42,86.96,86.08,86.47,4301500
2019-01-29 19:00:00-05:00,86.42,88.25,86.11,87.92,5023800
2019-01-30 19:00:00-05:00,88.03,89.57,87.43,89.38,6183400
2019-01-31 19:00:00-05:00,89.61,89.87,88.42,89.00,5010500
2019-02-03 19:00:00-05:00,89.02,89.96,88.73,89.72,3665000
2019-02-04 19:00:00-05:00,89.67,90.07,89.24,89.57,4593400
2019-02-05 19:00:00-05:00,89.97,90.10,89.09,89.68,4209400
2019-02-06 19:00:00-05:00,89.50,89.77,88.98,89.72,4227700
2019-02-07 19:00:00-05:00,89.59,89.68,88.80,89.66,3868300
2019-02-10 19:00:00-05:00,89.77,90.10,89.36,89.62,4851100
2019-02-11 19:00:00-05:00,89.83,90.83,89.03,90.27,6765300
2019-02-12 19:00:00-05:00,90.53,91.02,90.14,90.53,5528000
2019-02-13 19:00:00-05:00,89.64,89.64,88.76,89.32,6359200
2019-02-14 19:00:00-05:00,91.91,92.25,90.53,91.95,8889500
2019-02-18 19:00:00-05:00,92.66,92.79,91.39,91.97,5596100
2019-02-19 19:00:00-05:00,91.83,92.53,91.56,91.89,6038900
2019-02-20 19:00:00-05:00,91.63,92.76,91.60,92.10,4825900
2019-02-21 19:00:00-05:00,92.11,92.64,91.70,92.63,4865400
2019-02-24 19:00:00-05:00,92.95,93.06,91.79,92.07,3755900
2019-02-25 19:00:00-05:00,92.32,92.42,91.57,92.00,4074600
2019-02-26 19:00:00-05:00,91.66,91.79,90.76,91.52,4175100
2019-02-27 19:00:00-05:00,91.76,92.95,91.34,92.48,5586300
2019-02-28 19:00:00-05:00,92.66,93.07,92.16,92.91,3629100
2019-03-03 19:00:00-05:00,93.21,93.51,92.37,92.91,4383100
2019-03-04 19:00:00-05:00,92.75,93.43,92.50,92.79,3785400
2019-03-05 19:00:00-05:00,92.60,93.43,92.44,93.30,4770700
2019-03-06 19:00:00-05:00,92.94,93.83,92.53,92.85,4858300
2019-03-07 19:00:00-05:00,92.64,92.98,91.38,92.16,5003300
2019-03-10 20:00:00-04:00,92.21,93.34,91.96,93.24,4821600
2019-03-11 20:00:00-04:00,93.37,93.74,92.78,93.23,4356400
2019-03-12 20:00:00-04:00,93.47,94.02,93.14,93.23,5968600
2019-03-13 20:00:00-04:00,93.46,93.55,92.33,92.37,8986600
2019-03-14 20:00:00-04:00,92.52,93.19,92.27,92.50,13652425
2019-03-17 20:00:00-04:00,92.91,93.88,92.81,93.79,9476000
2019-03-18 20:00:00-04:00,93.86,94.97,93.77,94.44,6751700
2019-03-19 20:00:00-04:00,94.43,95.55,93.85,94.63,5733500
2019-03-20 20:00:00-04:00,94.38,95.71,94.38,95.52,4305600
2019-03-21 20:00:00-04:00,95.57,97.00,95.53,96.55,6668100
2019-03-24 20:00:00-04:00,96.18,97.00,96.03,96.65,4275400
2019-03-25 20:00:00-04:00,97.14,97.70,96.98,97.59,4583000
2019-03-26 20:00:00-04:00,97.94,98.52,96.92,97.48,5318500
2019-03-27 20:00:00-04:00,97.48,97.95,97.24,97.44,3694700
2019-03-28 20:00:00-04:00,97.80,98.18,96.99,98.01,5758800
2019-03-31 20:00:00-04:00,98.04,98.28,97.24,97.57,5025700
2019-04-01 20:00:00-04:00,97.49,97.78,97.22,97.31,3242600
2019-04-02 20:00:00-04:00,97.31,97.75,96.56,97.22,4534400
2019-04-03 20:00:00-04:00,97.42,97.67,96.91,97.15,3022500
2019-04-04 20:00:00-04:00,97.05,97.31,96.63,97.27,3971500
2019-04-07 20:00:00-04:00,97.35,97.60,96.94,97.57,3140100
2019-04-08 20:00:00-04:00,97.36,97.73,96.65,97.71,3864400
2019-04-09 20:00:00-04:00,97.85,98.13,97.30,97.60,2681100
2019-04-10 20:00:00-04:00,97.86,98.17,96.91,97.31,3399700
2019-04-11 20:00:00-04:00,97.19,97.83,96.89,97.75,3501100
2019-04-14 20:00:00-04:00,97.92,99.17,97.86,98.90,4419800
2019-04-15 20:00:00-04:00,98.55,99.03,97.48,97.90,5263700
2019-04-16 20:00:00-04:00,99.97,101.66,99.04,101.58,7318200
2019-04-17 20:00:00-04:00,102.55,102.58,101.35,101.64,6331200
2019-04-21 20:00:00-04:00,101.38,101.76,100.67,101.12,3707000
2019-04-22 20:00:00-04:00,101.31,102.00,100.86,101.64,4464100
2019-04-23 20:00:00-04:00,101.90,102.35,101.30,101.50,3517200
2019-04-24 20:00:00-04:00,100.49,101.09,100.11,100.87,4433700
2019-04-25 20:00:00-04:00,101.18,101.77,100.86,101.09,3033800
2019-04-28 20:00:00-04:00,100.88,101.54,100.78,101.32,2793400
2019-04-29 20:00:00-04:00,101.61,102.68,101.04,102.41,4963600
2019-04-30 20:00:00-04:00,102.25,102.37,101.58,101.76,3810800
2019-05-01 20:00:00-04:00,101.76,102.01,100.90,101.43,2875900
2019-05-02 20:00:00-04:00,101.65,102.51,101.50,102.10,2854900
2019-05-05 20:00:00-04:00,101.81,102.07,101.38,101.78,2883900
2019-05-06 20:00:00-04:00,101.28,101.53,100.11,100.75,3558900
2019-05-07 20:00:00-04:00,100.61,101.36,99.93,100.78,3844700
2019-05-08 20:00:00-04:00,100.58,101.20,99.85,100.81,3127200
2019-05-09 20:00:00-04:00,100.88,102.59,100.46,102.38,3720400
2019-05-12 20:00:00-04:00,101.58,102.32,101.27,101.70,4297200
2019-05-13 20:00:00-04:00,102.02,102.78,101.80,101.90,5150300
2019-05-14 20:00:00-04:00,101.65,103.86,101.65,103.45,3751900
2019-05-15 20:00:00-04:00,103.46,104.57,102.98,104.18,4812900
2019-05-16 20:00:00-04:00,103.90,104.66,103.69,104.38,4011700
2019-05-19 20:00:00-04:00,104.00,104.33,103.61,103.96,3965600
2019-05-20 20:00:00-04:00,104.43,104.43,103.05,103.21,4080800
2019-05-21 20:00:00-04:00,103.25,104.48,103.13,104.02,3588000
2019-05-22 20:00:00-04:00,103.65,104.69,103.58,103.94,3901400
2019-05-23 20:00:00-04:00,104.23,104.35,103.14,103.57,2702700
2019-05-27 20:00:00-04:00,103.57,103.89,101.86,102.07,8806000
2019-05-28 20:00:00-04:00,102.03,102.62,101.44,102.50,5502700
2019-05-29 20:00:00-04:00,102.49,103.10,102.19,102.86,2710300
2019-05-30 20:00:00-04:00,102.37,102.73,101.56,102.37,4191200
2019-06-02 20:00:00-04:00,102.26,103.30,101.96,103.15,3588700
2019-06-03 20:00:00-04:00,103.77,103.82,102.38,103.22,4242400
2019-06-04 20:00:00-04:00,103.34,105.25,103.06,105.08,5084200
2019-06-05 20:00:00-04:00,105.60,106.56,105.18,106.32,5528000
2019-06-06 20:00:00-04:00,107.02,108.52,106.82,107.52,6332700
2019-06-09 20:00:00-04:00,107.29,107.69,106.63,107.62,2957900
2019-06-10 20:00:00-04:00,108.00,108.23,106.90,107.31,3553600
2019-06-11 20:00:00-04:00,107.96,108.31,106.87,107.26,3302800
2019-06-12 20:00:00-04:00,107.51,107.78,106.22,107.10,2851400
2019-06-13 20:00:00-04:00,107.15,107.58,106.79,106.93,3291800
2019-06-16 20:00:00-04:00,106.92,107.34,106.25,106.76,2725800
2019-06-17 20:00:00-04:00,108.29,108.29,106.23,106.39,4378200
2019-06-18 20:00:00-04:00,106.39,107.38,105.80,107.02,4349900
2019-06-19 20:00:00-04:00,107.85,108.31,107.42,108.08,3847500
2019-06-20 20:00:00-04:00,108.08,108.40,107.65,107.92,7696300
2019-06-23 20:00:00-04:00,108.47,108.95,107.90,108.06,3685800
2019-06-24 20:00:00-04:00,107.93,108.34,107.58,107.80,4176300
2019-06-25 20:00:00-04:00,107.19,107.77,106.58,106.60,6024100
2019-06-26 20:00:00-04:00,106.54,106.69,105.84,106.09,4750900
