Date,Open,High,Low,Close,Volume
2018-07-01 20:00:00-04:00,23.60,23.85,23.60,23.82,14556372.00
2018-07-02 20:00:00-04:00,23.86,23.98,23.76,23.83,9608159.00
2018-07-04 20:00:00-04:00,23.96,24.20,23.94,24.17,20391106.00
2018-07-05 20:00:00-04:00,24.26,24.42,24.18,24.33,18955452.00
2018-07-08 20:00:00-04:00,24.44,24.57,24.27,24.36,22329412.00
2018-07-09 20:00:00-04:00,24.46,24.59,24.39,24.54,20253875.00
2018-07-10 20:00:00-04:00,24.42,24.53,24.36,24.40,17795314.00
2018-07-11 20:00:00-04:00,24.53,24.63,24.40,24.60,16974881.00
2018-07-12 20:00:00-04:00,24.59,24.65,24.40,24.61,15227243.00
2018-07-15 20:00:00-04:00,24.57,24.62,24.45,24.51,17888699.00
2018-07-16 20:00:00-04:00,24.56,24.76,24.55,24.68,15740014.00
2018-07-17 20:00:00-04:00,24.65,24.74,24.57,24.69,20803430.00
2018-07-18 20:00:00-04:00,24.55,24.65,24.46,24.49,16596811.00
2018-07-19 20:00:00-04:00,24.39,24.48,24.34,24.48,15532798.00
2018-07-22 20:00:00-04:00,24.48,24.59,24.35,24.40,20853074.00
2018-07-23 20:00:00-04:00,24.50,24.75,24.44,24.72,17804800.00
2018-07-24 20:00:00-04:00,24.70,24.96,24.63,24.91,17171030.00
2018-07-25 20:00:00-04:00,24.94,25.16,24.94,25.02,24840567.00
2018-07-26 20:00:00-04:00,24.98,25.23,24.96,25.18,22111971.00
2018-07-29 20:00:00-04:00,25.15,25.36,25.03,25.30,21981486.00
2018-07-30 20:00:00-04:00,25.05,26.22,25.01,26.18,50837371.00
2018-07-31 20:00:00-04:00,25.98,26.44,25.92,26.40,32734605.00
2018-08-01 20:00:00-04:00,26.20,26.59,26.14,26.22,31879284.00
2018-08-02 20:00:00-04:00,26.20,26.89,26.11,26.81,27368375.00
2018-08-05 20:00:00-04:00,26.69,27.26,26.67,27.14,27479572.00
2018-08-06 20:00:00-04:00,27.01,27.28,26.97,27.00,18928575.00
2018-08-07 20:00:00-04:00,26.92,27.53,26.83,27.38,25837440.00
2018-08-08 20:00:00-04:00,27.31,27.35,26.98,27.11,20121282.00
2018-08-09 20:00:00-04:00,26.98,27.32,26.91,27.06,18194148.00
