Date,Open,High,Low,Close,Volume
2018-07-01 20:00:00-04:00,26.17,26.48,26.09,26.47,2967500
2018-07-02 20:00:00-04:00,26.59,26.75,26.38,26.45,1864700
2018-07-04 20:00:00-04:00,26.62,26.78,26.32,26.74,2680800
2018-07-05 20:00:00-04:00,26.78,27.08,26.57,26.87,2199200
2018-07-08 20:00:00-04:00,27.06,27.31,26.85,27.17,4988800
2018-07-09 20:00:00-04:00,27.28,27.33,26.92,27.04,4013500
2018-07-10 20:00:00-04:00,26.86,27.16,26.77,26.94,3693600
2018-07-11 20:00:00-04:00,27.09,27.27,26.64,27.16,2432800
2018-07-12 20:00:00-04:00,27.15,27.36,26.92,27.18,2333600
2018-07-15 20:00:00-04:00,27.14,27.66,26.92,27.62,5129000
2018-07-16 20:00:00-04:00,27.62,28.39,27.61,28.35,4862100
2018-07-17 20:00:00-04:00,28.00,28.42,27.76,28.39,4558300
2018-07-18 20:00:00-04:00,28.38,28.93,28.23,28.68,4576300
2018-07-19 20:00:00-04:00,28.68,28.70,28.28,28.52,5021600
2018-07-22 20:00:00-04:00,28.52,28.74,28.05,28.25,6023000
2018-07-23 20:00:00-04:00,27.91,28.36,27.47,27.63,5706900
2018-07-24 20:00:00-04:00,27.58,27.58,26.11,26.57,7883775
2018-07-25 20:00:00-04:00,26.11,26.70,25.26,26.57,7883775
2018-07-26 20:00:00-04:00,26.42,26.90,25.40,25.79,7883775
2018-07-29 20:00:00-04:00,25.80,26.14,25.66,25.80,4447900
2018-07-30 20:00:00-04:00,25.93,26.40,25.72,26.12,4996200
2018-07-31 20:00:00-04:00,26.15,26.41,25.91,26.37,7883775
2018-08-01 20:00:00-04:00,26.10,26.37,25.94,26.18,4897600
2018-08-02 20:00:00-04:00,26.18,26.43,26.06,26.26,3749600
2018-08-05 20:00:00-04:00,26.13,26.34,25.77,26.33,3966800
2018-08-06 20:00:00-04:00,26.30,27.01,26.26,26.92,4677200
2018-08-07 20:00:00-04:00,26.93,27.04,26.71,26.97,2949600
2018-08-08 20:00:00-04:00,27.04,27.23,26.81,26.89,3044300
2018-08-09 20:00:00-04:00,26.70,26.70,26.12,26.35,5023300
2018-08-12 20:00:00-04:00,26.30,26.35,25.12,25.35,6524700
2018-08-13 20:00:00-04:00,25.39,25.65,25.31,25.53,3107000
2018-08-14 20:00:00-04:00,25.39,25.46,25.09,25.43,2509000
2018-08-15 20:00:00-04:00,25.58,25.99,25.49,25.71,2578600
2018-08-16 20:00:00-04:00,25.67,25.93,25.57,25.75,2074200
2018-08-19 20:00:00-04:00,25.87,26.03,25.78,25.79,3450600
