Date,Open,High,Low,Close,Volume
2018-07-01 20:00:00-04:00,137.69,139.13,136.78,138.76,778800
2018-07-02 20:00:00-04:00,139.14,141.14,138.99,139.40,762900
2018-07-04 20:00:00-04:00,140.23,140.51,138.81,139.64,852300
2018-07-05 20:00:00-04:00,139.45,140.19,138.12,139.41,757500
2018-07-08 20:00:00-04:00,140.19,142.51,140.19,142.05,950900
2018-07-09 20:00:00-04:00,142.33,142.89,141.03,142.27,1053900
2018-07-10 20:00:00-04:00,140.86,141.34,139.72,140.43,986100
2018-07-11 20:00:00-04:00,140.73,141.52,139.33,140.99,767800
2018-07-12 20:00:00-04:00,140.62,144.24,140.62,143.58,1495600
2018-07-15 20:00:00-04:00,142.14,142.52,139.63,140.19,1229900
2018-07-16 20:00:00-04:00,139.50,141.42,139.36,141.13,1453600
2018-07-17 20:00:00-04:00,141.42,144.82,140.69,144.11,1604600
2018-07-18 20:00:00-04:00,143.17,146.97,143.10,146.76,1298000
2018-07-19 20:00:00-04:00,145.74,146.50,144.95,145.32,998500
2018-07-22 20:00:00-04:00,144.51,145.72,141.23,142.03,1535400
2018-07-23 20:00:00-04:00,143.45,145.34,142.23,143.78,1283800
2018-07-24 20:00:00-04:00,143.92,145.34,142.28,145.04,1340200
2018-07-25 20:00:00-04:00,145.53,147.81,145.03,146.84,948100
2018-07-26 20:00:00-04:00,147.15,147.27,145.56,146.17,1308100
2018-07-29 20:00:00-04:00,146.04,147.91,145.12,145.36,1050600
2018-07-30 20:00:00-04:00,146.17,150.52,145.42,150.28,1189500
2018-07-31 20:00:00-04:00,149.14,149.34,146.52,147.27,1453600
2018-08-01 20:00:00-04:00,140.82,153.44,139.86,152.52,2247650
2018-08-02 20:00:00-04:00,152.93,153.42,151.69,153.36,1308400
2018-08-05 20:00:00-04:00,155.14,156.26,152.91,154.95,1509900
2018-08-06 20:00:00-04:00,155.14,156.24,154.75,154.77,1164600
2018-08-07 20:00:00-04:00,154.64,154.78,152.75,153.60,726600
2018-08-08 20:00:00-04:00,153.40,154.45,151.91,152.01,1100200
2018-08-09 20:00:00-04:00,151.17,151.17,149.00,149.35,871700
2018-08-12 20:00:00-04:00,149.37,150.39,147.80,148.71,1733700
2018-08-13 20:00:00-04:00,148.26,149.16,147.67,147.76,901400
2018-08-14 20:00:00-04:00,146.73,148.38,145.53,148.01,955000
2018-08-15 20:00:00-04:00,148.74,150.15,148.55,149.56,943200
2018-08-16 20:00:00-04:00,149.67,150.84,149.17,150.75,791800
2018-08-19 20:00:00-04:00,150.72,152.23,150.31,151.22,920900
2018-08-20 20:00:00-04:00,151.53,153.43,151.29,152.97,1817100
2018-08-21 20:00:00-04:00,152.68,152.93,151.40,151.73,632600
2018-08-22 20:00:00-04:00,151.62,151.62,149.96,150.31,602600
2018-08-23 20:00:00-04:00,150.89,152.66,149.93,152.49,1505800
2018-08-26 20:00:00-04:00,153.44,156.35,153.33,155.96,1229700
2018-08-27 20:00:00-04:00,156.73,157.14,155.79,156.39,754300
2018-08-28 20:00:00-04:00,156.61,157.09,155.36,156.99,699600
2018-08-29 20:00:00-04:00,157.14,157.25,155.85,156.35,983200
2018-08-30 20:00:00-04:00,155.81,157.37,155.15,156.80,841100
2018-09-03 20:00:00-04:00,156.45,156.86,155.27,156.03,660600
2018-09-04 20:00:00-04:00,155.40,158.20,155.38,157.66,763900
2018-09-05 20:00:00-04:00,158.74,159.84,157.95,158.79,844300
2018-09-06 20:00:00-04:00,158.50,159.20,157.47,158.70,656800
2018-09-09 20:00:00-04:00,159.70,161.64,158.87,161.02,580700
2018-09-10 20:00:00-04:00,160.27,161.36,159.55,160.91,616700
2018-09-11 20:00:00-04:00,161.04,164.04,160.21,163.72,1138000
2018-09-12 20:00:00-04:00,164.70,166.54,164.24,164.91,795100
2018-09-13 20:00:00-04:00,165.75,167.26,162.92,167.12,748600
2018-09-16 20:00:00-04:00,167.38,168.56,167.09,167.38,680500
2018-09-17 20:00:00-04:00,167.37,169.57,166.18,168.67,1010400
2018-09-18 20:00:00-04:00,168.90,171.21,167.97,170.09,1781900
2018-09-19 20:00:00-04:00,171.46,172.51,169.37,170.12,900600
2018-09-20 20:00:00-04:00,170.59,171.66,169.75,170.18,1084800
2018-09-23 20:00:00-04:00,170.92,170.92,167.69,169.34,1533000
2018-09-24 20:00:00-04:00,169.36,169.84,167.49,168.12,924600
2018-09-25 20:00:00-04:00,167.46,168.12,166.47,166.79,680400
2018-09-26 20:00:00-04:00,167.68,167.68,165.94,166.54,766900
2018-09-27 20:00:00-04:00,166.03,166.03,163.60,164.24,1767400
2018-09-30 20:00:00-04:00,165.52,166.67,164.43,165.08,990700
2018-10-01 20:00:00-04:00,164.88,165.37,164.02,165.07,1226200
2018-10-02 20:00:00-04:00,165.59,167.20,164.98,165.55,1414600
2018-10-03 20:00:00-04:00,165.51,165.76,164.00,165.17,816400
2018-10-04 20:00:00-04:00,165.40,165.57,161.42,162.85,883300
2018-10-07 20:00:00-04:00,161.88,162.62,159.96,162.04,1037000
2018-10-08 20:00:00-04:00,161.45,161.75,159.02,159.27,682600
2018-10-09 20:00:00-04:00,158.89,158.92,153.59,153.70,1036700
2018-10-10 20:00:00-04:00,152.91,154.03,147.14,147.87,1971900
2018-10-11 20:00:00-04:00,150.16,151.63,146.77,149.39,1130800
2018-10-14 20:00:00-04:00,146.27,148.45,145.50,146.02,1612500
2018-10-15 20:00:00-04:00,146.98,148.18,145.63,147.43,1664700
2018-10-16 20:00:00-04:00,147.45,147.92,144.13,145.14,1245300
2018-10-17 20:00:00-04:00,143.51,144.61,141.37,142.27,1373900
2018-10-18 20:00:00-04:00,141.80,143.26,140.00,140.97,1216800
2018-10-21 20:00:00-04:00,141.56,141.92,139.88,140.60,1179100
2018-10-22 20:00:00-04:00,137.89,137.89,134.01,135.76,1937000
2018-10-23 20:00:00-04:00,136.56,137.63,130.67,130.82,1925000
2018-10-24 20:00:00-04:00,132.42,132.67,130.26,131.00,1630200
