Date,Open,High,Low,Close,Volume
2018-07-01 20:00:00-04:00,52.52,52.67,51.06,51.66,3457100
2018-07-02 20:00:00-04:00,51.86,52.69,51.79,52.09,1744400
2018-07-04 20:00:00-04:00,52.51,52.87,52.18,52.83,2207000
2018-07-05 20:00:00-04:00,52.95,53.13,52.45,53.01,2129600
2018-07-08 20:00:00-04:00,53.04,53.19,52.44,52.69,2263100
2018-07-09 20:00:00-04:00,52.62,52.90,52.41,52.71,2775100
2018-07-10 20:00:00-04:00,52.65,52.83,52.30,52.37,2372600
2018-07-11 20:00:00-04:00,52.38,52.66,52.26,52.59,2168100
2018-07-12 20:00:00-04:00,52.71,52.91,52.28,52.47,1942100
2018-07-15 20:00:00-04:00,52.37,52.51,51.64,52.08,3073500
2018-07-16 20:00:00-04:00,53.00,53.06,50.45,50.78,6336600
2018-07-17 20:00:00-04:00,50.37,51.00,49.89,50.42,4784200
2018-07-18 20:00:00-04:00,50.22,51.09,50.09,50.85,3099100
2018-07-19 20:00:00-04:00,50.56,50.67,49.93,50.00,3159600
2018-07-22 20:00:00-04:00,50.04,50.22,49.78,50.10,2402800
2018-07-23 20:00:00-04:00,50.03,50.03,49.55,49.93,3221800
2018-07-24 20:00:00-04:00,50.11,51.08,50.04,51.06,3879800
2018-07-25 20:00:00-04:00,51.13,52.22,50.50,52.16,4999200
2018-07-26 20:00:00-04:00,52.35,52.54,52.00,52.05,4940300
2018-07-29 20:00:00-04:00,52.16,52.28,51.90,52.05,3523200
2018-07-30 20:00:00-04:00,52.24,52.89,52.10,52.55,3501200
2018-07-31 20:00:00-04:00,52.24,52.97,52.02,52.94,2862000
2018-08-01 20:00:00-04:00,52.87,53.12,52.56,52.73,2718700
2018-08-02 20:00:00-04:00,52.79,53.50,52.63,53.50,2101800
2018-08-05 20:00:00-04:00,53.50,53.76,53.23,53.23,3236700
2018-08-06 20:00:00-04:00,53.15,53.15,52.44,52.58,3565500
2018-08-07 20:00:00-04:00,52.65,52.75,52.22,52.61,1721100
2018-08-08 20:00:00-04:00,52.54,52.79,52.31,52.34,1652500
2018-08-09 20:00:00-04:00,52.26,52.37,51.66,51.70,2430300
2018-08-12 20:00:00-04:00,51.69,51.90,51.41,51.59,2565600
2018-08-13 20:00:00-04:00,51.62,51.77,51.25,51.29,2439200
2018-08-14 20:00:00-04:00,51.26,51.71,51.18,51.66,2898400
2018-08-15 20:00:00-04:00,51.68,52.62,51.52,52.57,3046800
2018-08-16 20:00:00-04:00,52.63,54.04,52.55,53.99,6319500
2018-08-19 20:00:00-04:00,54.15,54.61,53.78,54.25,5981600
2018-08-20 20:00:00-04:00,54.11,54.12,52.11,52.65,8210450
2018-08-21 20:00:00-04:00,52.09,52.41,51.80,52.18,5330800
2018-08-22 20:00:00-04:00,52.29,52.33,51.54,51.67,5477600
2018-08-23 20:00:00-04:00,51.66,52.94,51.66,52.92,4020600
2018-08-26 20:00:00-04:00,53.07,53.07,52.30,52.82,2938100
2018-08-27 20:00:00-04:00,52.91,53.94,52.71,53.92,3429900
2018-08-28 20:00:00-04:00,54.03,54.40,53.73,53.82,2320800
2018-08-29 20:00:00-04:00,53.89,53.96,53.43,53.55,2106700
2018-08-30 20:00:00-04:00,53.55,54.04,53.54,53.79,3306800
2018-09-03 20:00:00-04:00,53.74,53.90,52.87,53.03,1926700
2018-09-04 20:00:00-04:00,52.60,54.00,52.60,53.84,4423600
2018-09-05 20:00:00-04:00,53.98,54.11,53.71,53.79,2521200
2018-09-06 20:00:00-04:00,53.50,53.50,52.77,52.85,2534700
2018-09-09 20:00:00-04:00,53.18,53.47,53.02,53.28,2592400
2018-09-10 20:00:00-04:00,52.97,53.34,52.88,53.16,2324600
2018-09-11 20:00:00-04:00,53.31,53.55,52.97,53.19,2452000
2018-09-12 20:00:00-04:00,53.63,54.18,53.43,54.12,2313600
2018-09-13 20:00:00-04:00,54.11,54.23,53.51,54.22,3185800
2018-09-16 20:00:00-04:00,54.25,54.55,53.97,54.45,2714400
2018-09-17 20:00:00-04:00,54.36,54.49,53.61,53.82,3184800
2018-09-18 20:00:00-04:00,53.82,53.90,52.95,53.19,1883900
2018-09-19 20:00:00-04:00,53.39,54.35,53.15,54.32,2368000
2018-09-20 20:00:00-04:00,54.40,54.73,53.98,54.43,4507800
2018-09-23 20:00:00-04:00,54.44,54.47,53.09,53.49,3019200
2018-09-24 20:00:00-04:00,53.67,53.95,53.31,53.53,2821100
2018-09-25 20:00:00-04:00,53.44,53.72,53.14,53.22,2317700
2018-09-26 20:00:00-04:00,53.36,53.77,53.24,53.60,2526100
2018-09-27 20:00:00-04:00,53.60,54.69,53.60,54.67,3617200
2018-09-30 20:00:00-04:00,54.59,54.83,54.15,54.23,2261100
2018-10-01 20:00:00-04:00,54.08,54.15,53.57,53.57,2625900
2018-10-02 20:00:00-04:00,53.73,54.08,53.09,53.25,2607600
2018-10-03 20:00:00-04:00,53.13,53.24,52.38,52.85,2384600
2018-10-04 20:00:00-04:00,52.80,53.23,52.52,52.61,1929400
2018-10-07 20:00:00-04:00,52.70,53.64,52.64,53.39,2513800
2018-10-08 20:00:00-04:00,53.47,54.17,53.13,54.08,3117200
2018-10-09 20:00:00-04:00,53.95,54.24,52.85,52.87,3068500
2018-10-10 20:00:00-04:00,52.94,52.94,50.45,50.68,4632500
2018-10-11 20:00:00-04:00,51.10,51.32,49.98,50.44,3532100
2018-10-14 20:00:00-04:00,50.40,51.41,50.33,50.86,3366700
2018-10-15 20:00:00-04:00,50.65,51.78,49.94,51.50,2847200
2018-10-16 20:00:00-04:00,51.25,51.47,50.37,50.70,3681400
2018-10-17 20:00:00-04:00,50.65,51.40,50.52,50.86,2743300
2018-10-18 20:00:00-04:00,50.86,51.57,50.86,51.28,2393800
2018-10-21 20:00:00-04:00,51.32,51.58,50.88,51.02,2525100
2018-10-22 20:00:00-04:00,50.75,51.76,50.55,51.65,4310800
2018-10-23 20:00:00-04:00,51.58,53.07,51.51,52.64,4449400
2018-10-24 20:00:00-04:00,52.57,53.41,51.97,53.14,3851200
2018-10-25 20:00:00-04:00,52.95,53.08,51.55,51.96,3131100
2018-10-28 20:00:00-04:00,52.42,53.03,52.27,52.66,2370700
2018-10-29 20:00:00-04:00,52.85,53.30,52.50,52.92,2414400
2018-10-30 20:00:00-04:00,52.89,53.68,51.94,51.99,3803500
2018-10-31 20:00:00-04:00,52.11,52.44,51.74,52.23,2981000
2018-11-01 20:00:00-04:00,52.40,52.40,51.25,51.90,2396200
2018-11-04 19:00:00-05:00,51.92,52.85,51.89,52.48,2243100
2018-11-05 19:00:00-05:00,52.61,53.20,52.29,53.15,2056900
2018-11-06 19:00:00-05:00,53.49,54.11,53.10,54.10,1753500
2018-11-07 19:00:00-05:00,53.90,54.15,53.58,54.13,1542500
2018-11-08 19:00:00-05:00,54.14,54.53,53.67,54.49,2671400
2018-11-11 19:00:00-05:00,54.41,54.95,54.41,54.65,2462100
2018-11-12 19:00:00-05:00,54.70,54.75,53.82,54.48,2472500
2018-11-13 19:00:00-05:00,54.70,54.82,54.10,54.49,1554600
2018-11-14 19:00:00-05:00,54.18,54.18,53.40,53.81,2231300
2018-11-15 19:00:00-05:00,53.78,54.47,53.61,54.28,2358000
2018-11-18 19:00:00-05:00,54.36,54.87,53.78,54.60,2916000
2018-11-19 19:00:00-05:00,54.55,54.84,53.79,53.79,2359600
2018-11-20 19:00:00-05:00,53.75,54.48,53.60,53.97,1882200
2018-11-22 19:00:00-05:00,53.84,54.35,53.36,54.00,660300
2018-11-25 19:00:00-05:00,54.30,54.51,53.50,53.52,1884900
2018-11-26 19:00:00-05:00,53.54,53.95,53.12,53.76,2098300
2018-11-27 19:00:00-05:00,53.68,54.36,53.52,54.32,1723800
2018-11-28 19:00:00-05:00,54.35,54.43,53.79,54.18,1589200
2018-11-29 19:00:00-05:00,54.33,54.75,53.81,54.31,3558700
2018-12-02 19:00:00-05:00,54.39,55.37,54.27,55.36,3210100
2018-12-03 19:00:00-05:00,55.39,55.61,53.82,53.92,2787700
2018-12-05 19:00:00-05:00,53.45,55.49,52.13,55.23,4211200
2018-12-06 19:00:00-05:00,54.88,55.20,53.79,53.90,2702100
2018-12-09 19:00:00-05:00,53.86,53.86,52.29,53.18,2850600
2018-12-10 19:00:00-05:00,53.57,54.28,53.38,53.61,3210700
2018-12-11 19:00:00-05:00,54.02,54.15,52.11,52.13,2522300
2018-12-12 19:00:00-05:00,52.19,53.15,52.15,52.52,2786100
2018-12-13 19:00:00-05:00,52.27,52.65,51.79,52.27,2179800
2018-12-16 19:00:00-05:00,52.42,52.46,49.81,49.98,3696400
2018-12-17 19:00:00-05:00,50.93,51.41,50.42,50.89,2957300
2018-12-18 19:00:00-05:00,50.89,50.99,49.57,49.77,2921900
2018-12-19 19:00:00-05:00,49.77,49.93,48.45,49.05,3198300
2018-12-20 19:00:00-05:00,48.76,49.59,47.77,47.83,7768300
2018-12-23 19:00:00-05:00,47.67,47.80,45.45,45.45,2049500
2018-12-25 19:00:00-05:00,45.77,47.10,44.86,47.10,2593300
2018-12-26 19:00:00-05:00,46.70,47.12,45.43,47.12,3251700
2018-12-27 19:00:00-05:00,47.56,47.95,47.00,47.52,3606700
2018-12-30 19:00:00-05:00,47.62,47.74,46.78,47.71,2311400
2019-01-01 19:00:00-05:00,47.16,47.25,46.02,46.34,2476100
2019-01-02 19:00:00-05:00,46.26,47.00,45.82,45.96,3606700
2019-01-03 19:00:00-05:00,46.27,47.38,46.06,47.12,4063500
2019-01-06 19:00:00-05:00,47.17,48.31,47.15,47.89,2952800
2019-01-07 19:00:00-05:00,48.11,49.59,48.11,49.48,3482700
2019-01-08 19:00:00-05:00,49.42,49.85,49.02,49.81,2609000
2019-01-09 19:00:00-05:00,49.67,50.76,49.41,50.68,2524000
2019-01-10 19:00:00-05:00,50.44,50.74,50.12,50.67,2154500
2019-01-13 19:00:00-05:00,50.28,50.84,50.15,50.66,2867400
2019-01-14 19:00:00-05:00,50.77,51.58,50.73,51.36,2148900
2019-01-15 19:00:00-05:00,51.27,51.79,50.92,51.63,2070900
2019-01-16 19:00:00-05:00,51.43,52.06,51.43,52.04,2432400
2019-01-17 19:00:00-05:00,52.28,52.76,51.99,52.57,2389900
2019-01-21 19:00:00-05:00,52.81,54.19,51.41,52.63,3443400
2019-01-22 19:00:00-05:00,52.71,52.97,52.37,52.87,2507600
2019-01-23 19:00:00-05:00,52.78,52.94,52.27,52.59,1846200
2019-01-24 19:00:00-05:00,52.84,53.67,52.76,53.63,2598000
2019-01-27 19:00:00-05:00,53.44,54.33,53.12,54.20,2246400
2019-01-28 19:00:00-05:00,54.22,54.97,54.04,54.88,2977600
2019-01-29 19:00:00-05:00,54.86,55.70,54.58,55.57,3085000
2019-01-30 19:00:00-05:00,55.44,56.43,54.92,56.19,4867600
2019-01-31 19:00:00-05:00,56.42,56.44,55.39,56.40,3646100
2019-02-03 19:00:00-05:00,56.22,56.59,55.84,56.59,3715700
2019-02-04 19:00:00-05:00,56.48,56.87,55.99,56.83,2558800
2019-02-05 19:00:00-05:00,56.71,56.82,56.11,56.45,2297600
2019-02-06 19:00:00-05:00,56.28,57.39,56.20,57.22,3189100
2019-02-07 19:00:00-05:00,56.91,57.60,56.80,57.55,2506300
2019-02-10 19:00:00-05:00,57.57,57.92,57.39,57.72,2340400
2019-02-11 19:00:00-05:00,57.80,57.88,57.07,57.36,3207400
2019-02-12 19:00:00-05:00,57.22,57.70,57.11,57.54,2343700
2019-02-13 19:00:00-05:00,57.47,57.86,56.98,57.57,2432800
2019-02-14 19:00:00-05:00,57.75,57.85,57.38,57.84,2210100
2019-02-18 19:00:00-05:00,57.76,58.10,57.59,58.00,1687500
2019-02-19 19:00:00-05:00,57.91,57.99,56.98,57.13,2680200
2019-02-20 19:00:00-05:00,56.92,57.79,56.79,57.71,2049700
2019-02-21 19:00:00-05:00,57.83,58.39,57.60,58.19,1582500
2019-02-24 19:00:00-05:00,58.37,58.43,57.78,57.90,1976300
2019-02-25 19:00:00-05:00,57.99,58.05,57.52,57.72,1457200
2019-02-26 19:00:00-05:00,57.37,57.43,56.51,57.00,2303100
2019-02-27 19:00:00-05:00,56.88,57.61,56.52,56.92,4170500
2019-02-28 19:00:00-05:00,56.92,57.22,56.18,56.78,3763700
2019-03-03 19:00:00-05:00,57.09,57.27,56.55,57.15,2489200
2019-03-04 19:00:00-05:00,57.15,57.52,57.00,57.15,1981200
