Date,Open,High,Low,Close,Volume
2022-04-05 20:00:00-04:00,80.34,82.27,79.29,82.20,7381500
2022-04-06 20:00:00-04:00,81.39,83.12,81.34,82.74,8385400
2022-04-07 20:00:00-04:00,83.09,83.80,82.91,83.07,5086200
2022-04-10 20:00:00-04:00,83.74,84.39,82.66,84.04,7200300
2022-04-11 20:00:00-04:00,83.88,83.97,82.87,83.42,5320100
2022-04-12 20:00:00-04:00,83.28,84.33,83.28,84.01,6708300
2022-04-13 20:00:00-04:00,83.84,84.71,83.64,84.48,4370000
2022-04-17 20:00:00-04:00,84.25,84.88,83.74,83.88,7424800
2022-04-18 20:00:00-04:00,83.98,85.25,83.57,85.15,6603900
2022-04-19 20:00:00-04:00,84.91,86.23,84.91,85.54,5796800
2022-04-20 20:00:00-04:00,85.81,87.78,84.62,87.21,5835500
2022-04-21 20:00:00-04:00,87.30,87.33,85.16,85.25,4139900
2022-04-24 20:00:00-04:00,84.62,85.25,83.21,85.11,4580300
2022-04-25 20:00:00-04:00,85.14,85.75,84.77,85.31,4614700
2022-04-26 20:00:00-04:00,85.59,85.73,84.35,84.42,4259400
2022-04-27 20:00:00-04:00,84.67,85.60,83.80,85.01,4399800
2022-04-28 20:00:00-04:00,85.19,85.47,82.84,83.01,4911100
2022-05-01 20:00:00-04:00,84.17,84.17,80.10,81.83,7263500
2022-05-02 20:00:00-04:00,82.09,82.66,80.88,82.17,3839600
2022-05-03 20:00:00-04:00,81.93,83.54,81.70,83.48,3562100
2022-05-04 20:00:00-04:00,82.83,84.30,82.30,82.82,4072600
2022-05-05 20:00:00-04:00,82.17,82.71,81.34,82.13,3384400
2022-05-08 20:00:00-04:00,81.74,84.67,80.80,82.91,7282300
2022-05-09 20:00:00-04:00,82.68,83.49,81.46,82.08,7091500
2022-05-10 20:00:00-04:00,82.64,86.94,82.60,86.02,8132100
2022-05-11 20:00:00-04:00,86.38,87.32,84.49,85.81,7908500
2022-05-12 20:00:00-04:00,86.16,87.01,85.46,86.69,2816100
2022-05-15 20:00:00-04:00,86.63,88.52,86.43,87.92,5423700
2022-05-16 20:00:00-04:00,88.67,88.80,87.59,88.24,4199300
2022-05-17 20:00:00-04:00,88.82,88.83,87.33,88.14,5819500
2022-05-18 20:00:00-04:00,87.16,87.31,82.90,83.43,9297700
2022-05-19 20:00:00-04:00,83.58,84.47,82.71,83.97,5077000
2022-05-22 20:00:00-04:00,85.59,87.78,84.34,85.43,6296700
2022-05-23 20:00:00-04:00,85.32,88.60,85.32,88.51,6116800
2022-05-24 20:00:00-04:00,88.88,91.16,88.09,90.13,6839900
2022-05-25 20:00:00-04:00,90.37,91.04,89.64,89.71,4623500
2022-05-26 20:00:00-04:00,90.15,90.18,87.93,88.80,6977000
2022-05-30 20:00:00-04:00,88.13,89.01,87.22,88.20,7741200
2022-05-31 20:00:00-04:00,88.39,88.44,86.85,87.79,6407200
2022-06-01 20:00:00-04:00,87.74,88.30,85.71,88.17,5823000
2022-06-02 20:00:00-04:00,88.17,88.80,87.60,87.60,5991600
2022-06-05 20:00:00-04:00,88.78,89.42,88.00,88.30,5633100
2022-06-06 20:00:00-04:00,87.69,88.34,87.09,88.23,4629300
2022-06-07 20:00:00-04:00,86.86,87.31,85.58,85.95,8555300
2022-06-08 20:00:00-04:00,86.27,86.42,84.35,84.42,3625700
2022-06-09 20:00:00-04:00,83.47,85.81,83.18,84.95,3819000
2022-06-12 20:00:00-04:00,84.13,84.50,81.34,81.77,4297800
2022-06-13 20:00:00-04:00,82.16,83.06,81.41,82.16,4013500
2022-06-14 20:00:00-04:00,82.67,83.30,81.25,81.53,5760600
2022-06-15 20:00:00-04:00,80.73,81.85,79.91,81.58,5581100
2022-06-16 20:00:00-04:00,81.35,82.32,81.19,81.31,12262300
2022-06-20 20:00:00-04:00,83.01,83.14,81.09,83.10,6843000
2022-06-21 20:00:00-04:00,82.79,83.13,80.70,82.33,5006900
2022-06-22 20:00:00-04:00,82.60,84.57,82.47,84.32,5619700
2022-06-23 20:00:00-04:00,84.67,86.96,83.84,85.84,6048700
2022-06-26 20:00:00-04:00,85.94,86.29,85.03,85.26,5446800
2022-06-27 20:00:00-04:00,85.50,86.23,84.53,85.04,5036600
2022-06-28 20:00:00-04:00,84.57,85.24,83.52,83.74,2805300
2022-06-29 20:00:00-04:00,82.93,83.26,82.11,83.00,4591700
2022-06-30 20:00:00-04:00,82.92,84.02,82.34,83.82,3283900
2022-07-04 20:00:00-04:00,83.03,83.27,81.47,82.44,3464500
2022-07-05 20:00:00-04:00,83.01,83.20,79.63,79.85,8146500
2022-07-06 20:00:00-04:00,79.88,80.52,78.81,79.84,5858200
2022-07-07 20:00:00-04:00,79.76,79.99,78.86,78.92,3108900
2022-07-10 20:00:00-04:00,79.16,79.50,78.21,78.36,3065000
2022-07-11 20:00:00-04:00,78.41,79.68,78.26,78.84,3736200
2022-07-12 20:00:00-04:00,78.63,79.08,76.12,76.20,6290100
2022-07-13 20:00:00-04:00,75.02,75.55,74.19,75.33,5867400
2022-07-14 20:00:00-04:00,76.25,76.67,75.50,75.80,5170900
2022-07-17 20:00:00-04:00,75.80,76.41,74.99,75.24,4136800
2022-07-18 20:00:00-04:00,76.32,76.88,75.83,76.85,5459600
2022-07-19 20:00:00-04:00,76.64,77.04,75.31,75.51,4936000
2022-07-20 20:00:00-04:00,75.89,79.85,75.86,78.67,6650400
2022-07-21 20:00:00-04:00,79.08,80.78,79.08,80.63,5307600
2022-07-24 20:00:00-04:00,80.69,81.01,79.99,80.56,5358000
2022-07-25 20:00:00-04:00,80.69,81.23,80.12,81.14,4671700
2022-07-26 20:00:00-04:00,80.49,82.07,79.97,81.50,6309300
2022-07-27 20:00:00-04:00,81.44,82.07,80.87,81.68,5447900
2022-07-28 20:00:00-04:00,81.04,81.69,80.73,81.66,4267400
2022-07-31 20:00:00-04:00,81.91,83.39,81.68,82.78,5315900
2022-08-01 20:00:00-04:00,83.13,83.42,82.47,82.92,4740600
2022-08-02 20:00:00-04:00,82.96,83.88,82.64,83.05,3450100
2022-08-03 20:00:00-04:00,82.79,83.03,82.02,82.37,3252300
2022-08-04 20:00:00-04:00,82.26,82.26,81.59,82.04,2346500
2022-08-07 20:00:00-04:00,82.55,82.82,81.86,82.07,3938300
2022-08-08 20:00:00-04:00,82.69,82.79,81.59,81.84,1952500
2022-08-09 20:00:00-04:00,82.05,82.65,81.35,82.48,3311100
2022-08-10 20:00:00-04:00,82.86,84.37,82.62,83.61,3825500
2022-08-11 20:00:00-04:00,83.88,84.11,82.94,83.42,3068100
2022-08-14 20:00:00-04:00,83.53,84.99,83.42,84.90,5789400
2022-08-15 20:00:00-04:00,84.67,85.90,84.67,85.50,3469200
2022-08-16 20:00:00-04:00,85.36,85.76,84.88,85.04,3041900
2022-08-17 20:00:00-04:00,85.01,85.11,84.12,84.47,2566800
2022-08-18 20:00:00-04:00,84.37,84.42,83.92,84.16,2947600
2022-08-21 20:00:00-04:00,83.76,84.00,82.24,82.62,3190900
2022-08-22 20:00:00-04:00,81.91,82.52,81.00,82.21,3319500
2022-08-23 20:00:00-04:00,81.92,82.31,81.58,82.07,2423900
2022-08-24 20:00:00-04:00,82.32,82.66,81.98,82.53,2358000
2022-08-25 20:00:00-04:00,82.88,83.00,81.10,81.15,2938100
2022-08-28 20:00:00-04:00,80.86,81.45,80.46,80.89,2293000
2022-08-29 20:00:00-04:00,80.89,81.25,80.00,80.26,2178400
2022-08-30 20:00:00-04:00,80.28,80.94,80.03,80.26,3959700
2022-08-31 20:00:00-04:00,80.23,81.80,80.15,81.10,3451400
2022-09-01 20:00:00-04:00,81.45,81.96,79.10,79.46,4077600
2022-09-05 20:00:00-04:00,79.83,80.12,78.83,79.10,4130500
2022-09-06 20:00:00-04:00,79.15,79.80,78.62,79.52,3965000
2022-09-07 20:00:00-04:00,79.33,80.68,79.09,80.37,3641700
2022-09-08 20:00:00-04:00,80.75,82.26,80.34,81.58,3418600
2022-09-11 20:00:00-04:00,81.95,82.57,81.73,82.09,3675600
2022-09-12 20:00:00-04:00,81.50,81.70,78.80,79.03,3196400
2022-09-13 20:00:00-04:00,79.36,79.42,78.25,78.76,3498600
2022-09-14 20:00:00-04:00,78.87,79.41,78.29,79.04,3661200
2022-09-15 20:00:00-04:00,80.26,80.49,79.04,80.32,10447000
2022-09-18 20:00:00-04:00,79.75,80.73,79.26,80.63,4048000
2022-09-19 20:00:00-04:00,80.29,81.31,79.93,80.70,3616700
2022-09-20 20:00:00-04:00,80.85,81.93,80.76,81.05,5183800
2022-09-21 20:00:00-04:00,81.01,81.52,80.07,80.52,3802900
2022-09-22 20:00:00-04:00,79.85,79.99,76.17,77.15,5287900
2022-09-25 20:00:00-04:00,76.83,77.63,75.69,75.79,4482200
2022-09-26 20:00:00-04:00,76.29,76.84,74.03,74.19,7067800
2022-09-27 20:00:00-04:00,74.41,74.88,73.40,74.47,8287300
2022-09-28 20:00:00-04:00,74.27,74.60,72.99,73.40,4301400
