Date,Open,High,Low,Close,Volume
2018-07-01 20:00:00-04:00,136.68,139.03,135.60,138.87,138500
2018-07-02 20:00:00-04:00,136.10,137.92,133.62,136.89,150000
2018-07-04 20:00:00-04:00,136.96,138.43,135.52,138.32,198200
2018-07-05 20:00:00-04:00,138.60,141.01,138.60,140.71,121400
2018-07-08 20:00:00-04:00,141.20,142.19,140.77,141.74,164000
2018-07-09 20:00:00-04:00,142.24,142.83,141.60,142.19,153900
2018-07-10 20:00:00-04:00,142.19,142.66,141.08,141.92,132500
2018-07-11 20:00:00-04:00,142.59,142.59,141.46,141.68,119600
2018-07-12 20:00:00-04:00,141.81,143.87,141.81,143.46,155200
2018-07-15 20:00:00-04:00,143.79,144.43,142.39,142.91,204000
2018-07-16 20:00:00-04:00,142.92,143.68,142.33,143.09,221000
2018-07-17 20:00:00-04:00,143.34,144.33,142.38,142.83,207800
2018-07-18 20:00:00-04:00,139.97,147.11,132.98,146.51,489900
2018-07-19 20:00:00-04:00,147.45,147.80,143.44,143.96,271800
2018-07-22 20:00:00-04:00,143.76,144.40,141.68,144.07,180800
2018-07-23 20:00:00-04:00,144.46,144.93,141.70,142.29,190000
2018-07-24 20:00:00-04:00,142.02,144.07,140.23,142.43,145800
2018-07-25 20:00:00-04:00,142.10,143.75,142.10,142.75,112400
2018-07-26 20:00:00-04:00,143.27,143.76,139.32,139.63,129700
2018-07-29 20:00:00-04:00,139.08,140.42,136.38,136.81,174600
2018-07-30 20:00:00-04:00,136.92,139.63,136.92,138.97,192400
2018-07-31 20:00:00-04:00,138.97,143.48,137.95,142.59,249800
2018-08-01 20:00:00-04:00,141.70,144.58,141.29,143.99,154300
2018-08-02 20:00:00-04:00,141.70,145.09,141.69,142.54,118400
2018-08-05 20:00:00-04:00,142.51,144.64,142.51,144.33,141500
2018-08-06 20:00:00-04:00,144.80,147.70,142.26,145.54,173100
2018-08-07 20:00:00-04:00,145.53,147.39,144.87,146.24,99400
2018-08-08 20:00:00-04:00,146.08,147.93,145.41,146.31,85300
2018-08-09 20:00:00-04:00,145.79,148.14,144.84,146.19,183600
2018-08-12 20:00:00-04:00,146.70,147.14,144.59,144.93,165700
2018-08-13 20:00:00-04:00,145.43,146.64,143.36,145.97,126600
2018-08-14 20:00:00-04:00,145.06,145.06,143.29,144.14,129800
2018-08-15 20:00:00-04:00,144.95,145.34,143.90,144.57,115600
2018-08-16 20:00:00-04:00,144.37,145.82,143.79,145.12,119400
2018-08-19 20:00:00-04:00,145.71,146.63,144.86,145.93,90900
2018-08-20 20:00:00-04:00,145.79,148.02,145.79,147.34,162900
2018-08-21 20:00:00-04:00,146.26,148.04,145.54,146.40,85700
2018-08-22 20:00:00-04:00,146.37,146.75,145.06,145.58,123600
2018-08-23 20:00:00-04:00,145.61,146.70,145.27,146.38,100400
2018-08-26 20:00:00-04:00,146.88,148.66,146.64,148.52,171000
2018-08-27 20:00:00-04:00,148.48,149.96,146.51,146.70,132300
2018-08-28 20:00:00-04:00,147.49,149.59,145.50,149.46,163600
2018-08-29 20:00:00-04:00,149.45,149.45,142.56,148.18,114300
2018-08-30 20:00:00-04:00,147.81,149.71,146.38,149.38,121800
2018-09-03 20:00:00-04:00,149.38,153.02,148.30,151.11,150200
2018-09-04 20:00:00-04:00,150.46,153.65,150.00,152.35,203000
2018-09-05 20:00:00-04:00,152.61,154.56,150.86,153.89,171000
