Date,Open,High,Low,Close,Volume
2022-04-05 20:00:00-04:00,120.37,123.33,119.15,123.08,1361300
2022-04-06 20:00:00-04:00,122.39,123.76,120.51,123.09,1094700
2022-04-07 20:00:00-04:00,123.31,124.22,121.34,121.60,1318900
2022-04-10 20:00:00-04:00,121.17,123.67,120.56,120.89,1612200
2022-04-11 20:00:00-04:00,121.19,122.19,117.24,118.10,1693300
2022-04-12 20:00:00-04:00,117.92,120.09,117.71,119.82,1391400
2022-04-13 20:00:00-04:00,120.61,121.39,117.51,117.69,3020700
2022-04-17 20:00:00-04:00,116.96,117.84,115.77,116.06,1066900
2022-04-18 20:00:00-04:00,116.34,119.54,116.29,118.95,1317800
2022-04-19 20:00:00-04:00,119.71,122.01,119.69,120.84,1430300
2022-04-20 20:00:00-04:00,124.63,126.20,121.95,122.17,2427400
2022-04-21 20:00:00-04:00,123.82,126.71,119.76,121.89,3250700
2022-04-24 20:00:00-04:00,121.56,121.56,115.66,118.67,2538500
2022-04-25 20:00:00-04:00,119.03,123.12,115.51,115.52,1936300
2022-04-26 20:00:00-04:00,116.06,120.22,116.06,118.92,1560400
2022-04-27 20:00:00-04:00,120.10,120.56,117.05,120.06,1346900
2022-04-28 20:00:00-04:00,119.97,121.06,117.11,117.44,3306100
2022-05-01 20:00:00-04:00,116.89,120.28,115.89,120.19,2230200
2022-05-02 20:00:00-04:00,119.96,122.87,119.85,122.23,1849800
2022-05-03 20:00:00-04:00,122.23,126.14,120.79,126.01,1315100
2022-05-04 20:00:00-04:00,124.06,124.40,119.46,120.72,1059400
2022-05-05 20:00:00-04:00,119.76,119.76,115.85,117.93,1296300
2022-05-08 20:00:00-04:00,116.55,118.95,115.97,117.19,1420300
2022-05-09 20:00:00-04:00,118.66,119.42,113.67,115.26,1122700
2022-05-10 20:00:00-04:00,114.99,117.46,114.12,114.58,989600
2022-05-11 20:00:00-04:00,113.99,115.64,111.24,113.67,1307500
2022-05-12 20:00:00-04:00,114.58,115.67,112.23,112.79,1021500
2022-05-15 20:00:00-04:00,111.80,112.68,108.77,111.05,1269900
2022-05-16 20:00:00-04:00,114.10,115.65,112.93,114.60,1094500
2022-05-17 20:00:00-04:00,113.09,113.37,109.74,110.21,1083200
2022-05-18 20:00:00-04:00,109.64,114.31,108.94,113.07,1253700
2022-05-19 20:00:00-04:00,112.46,114.00,108.53,110.32,1790200
2022-05-22 20:00:00-04:00,111.87,113.32,109.82,113.20,1076100
2022-05-23 20:00:00-04:00,113.27,113.27,110.95,111.96,976200
2022-05-24 20:00:00-04:00,111.86,113.95,111.33,113.76,931200
2022-05-25 20:00:00-04:00,115.06,117.10,113.76,116.42,1927400
2022-05-26 20:00:00-04:00,117.53,120.33,116.83,119.86,1313100
2022-05-30 20:00:00-04:00,117.77,118.32,114.85,116.59,2794500
2022-05-31 20:00:00-04:00,117.88,117.99,114.30,115.56,912300
2022-06-01 20:00:00-04:00,116.37,118.83,115.83,118.71,722300
2022-06-02 20:00:00-04:00,117.62,118.06,115.23,115.65,813500
2022-06-05 20:00:00-04:00,116.30,118.48,115.55,117.18,687800
2022-06-06 20:00:00-04:00,115.83,118.95,115.15,118.71,899200
2022-06-07 20:00:00-04:00,117.21,123.51,116.71,117.07,2380400
2022-06-08 20:00:00-04:00,116.51,118.35,114.27,114.29,1358800
2022-06-09 20:00:00-04:00,111.54,111.57,106.77,106.83,1764200
2022-06-12 20:00:00-04:00,104.01,105.36,102.28,104.44,1282400
2022-06-13 20:00:00-04:00,104.31,104.53,100.58,102.79,2028100
2022-06-14 20:00:00-04:00,104.57,106.08,102.73,104.73,1509700
2022-06-15 20:00:00-04:00,101.16,101.44,98.92,100.01,1307000
2022-06-16 20:00:00-04:00,100.33,102.21,98.68,101.41,1866000
2022-06-20 20:00:00-04:00,103.21,103.40,101.25,101.95,1278500
2022-06-21 20:00:00-04:00,100.43,105.27,100.12,103.92,1430000
2022-06-22 20:00:00-04:00,103.87,105.69,103.02,105.41,1259200
2022-06-23 20:00:00-04:00,106.26,111.63,106.10,111.54,2313100
2022-06-26 20:00:00-04:00,112.35,112.58,110.13,111.81,1682400
2022-06-27 20:00:00-04:00,112.24,113.88,109.56,109.94,2112200
2022-06-28 20:00:00-04:00,109.23,109.47,106.71,108.04,1585300
2022-06-29 20:00:00-04:00,106.46,107.03,104.21,105.40,2248600
2022-06-30 20:00:00-04:00,104.97,108.73,104.72,108.64,1299400
2022-07-04 20:00:00-04:00,106.47,109.49,104.95,109.47,1636300
2022-07-05 20:00:00-04:00,110.22,110.61,107.85,110.06,1645700
2022-07-06 20:00:00-04:00,110.10,110.76,107.45,109.78,1513100
2022-07-07 20:00:00-04:00,109.41,110.37,108.14,108.65,1115400
2022-07-10 20:00:00-04:00,107.46,108.04,104.97,105.24,1206600
2022-07-11 20:00:00-04:00,105.28,108.49,105.15,106.95,1094800
2022-07-12 20:00:00-04:00,104.81,107.21,103.80,106.66,1025700
2022-07-13 20:00:00-04:00,104.74,106.06,103.65,105.86,825900
2022-07-14 20:00:00-04:00,108.10,108.37,106.22,107.66,908300
2022-07-17 20:00:00-04:00,108.05,108.74,105.47,105.92,1768800
2022-07-18 20:00:00-04:00,107.99,110.50,107.51,110.40,1326700
2022-07-19 20:00:00-04:00,110.41,111.38,109.13,110.70,1172600
2022-07-20 20:00:00-04:00,110.80,113.63,110.09,113.33,1797600
2022-07-21 20:00:00-04:00,120.94,123.60,116.66,117.74,2590600
2022-07-24 20:00:00-04:00,117.31,118.68,115.65,116.94,1914400
2022-07-25 20:00:00-04:00,115.59,117.05,113.76,116.35,1724000
2022-07-26 20:00:00-04:00,114.76,117.99,113.82,117.00,1828300
2022-07-27 20:00:00-04:00,117.51,120.32,117.51,120.16,1310700
2022-07-28 20:00:00-04:00,120.15,120.36,118.39,119.18,1316700
2022-07-31 20:00:00-04:00,118.33,120.05,117.18,119.19,898500
2022-08-01 20:00:00-04:00,118.74,118.74,116.60,116.74,1463900
2022-08-02 20:00:00-04:00,116.63,118.27,115.28,118.21,1004600
2022-08-03 20:00:00-04:00,118.50,118.62,116.99,118.11,839300
2022-08-04 20:00:00-04:00,116.79,118.90,116.41,117.40,1099300
2022-08-07 20:00:00-04:00,118.83,120.27,117.99,118.25,938800
2022-08-08 20:00:00-04:00,117.60,118.08,116.38,117.81,976300
2022-08-09 20:00:00-04:00,121.28,124.70,120.64,123.69,1354000
2022-08-10 20:00:00-04:00,124.81,126.08,123.30,123.51,1065600
2022-08-11 20:00:00-04:00,124.15,125.87,123.58,125.55,783000
2022-08-14 20:00:00-04:00,125.25,127.24,124.84,126.33,737900
2022-08-15 20:00:00-04:00,125.68,127.76,125.51,127.09,761200
2022-08-16 20:00:00-04:00,125.32,125.82,123.54,124.29,1005500
2022-08-17 20:00:00-04:00,124.35,124.95,122.82,123.64,880100
2022-08-18 20:00:00-04:00,122.91,123.13,121.01,122.21,772300
2022-08-21 20:00:00-04:00,120.23,120.23,117.49,117.85,1102200
2022-08-22 20:00:00-04:00,117.62,119.73,117.62,118.24,760100
2022-08-23 20:00:00-04:00,118.07,119.22,117.37,118.57,782400
2022-08-24 20:00:00-04:00,119.64,122.47,119.55,122.41,716000
2022-08-25 20:00:00-04:00,122.55,122.55,116.67,116.74,751100
2022-08-28 20:00:00-04:00,115.86,117.60,115.22,116.65,507700
2022-08-29 20:00:00-04:00,118.68,119.76,117.43,118.36,1215900
2022-08-30 20:00:00-04:00,119.61,119.75,117.10,117.61,1574300
2022-08-31 20:00:00-04:00,116.38,116.62,114.44,115.35,1142100
2022-09-01 20:00:00-04:00,117.18,118.81,113.96,114.63,1338600
2022-09-05 20:00:00-04:00,116.23,116.60,113.88,114.57,1310300
2022-09-06 20:00:00-04:00,115.12,118.80,114.80,118.41,2116500
2022-09-07 20:00:00-04:00,117.06,118.42,115.74,118.34,1153500
2022-09-08 20:00:00-04:00,118.96,119.55,117.61,118.66,1160300
2022-09-11 20:00:00-04:00,119.56,122.20,119.55,121.88,1020200
2022-09-12 20:00:00-04:00,117.88,118.03,115.17,115.31,1207400
2022-09-13 20:00:00-04:00,114.54,114.97,110.13,111.30,1935300
2022-09-14 20:00:00-04:00,111.43,113.81,110.84,111.56,1284500
2022-09-15 20:00:00-04:00,108.42,108.94,106.88,108.82,2133600
2022-09-18 20:00:00-04:00,108.21,110.71,108.07,110.44,972500
2022-09-19 20:00:00-04:00,109.05,109.05,107.39,108.06,1081700
2022-09-20 20:00:00-04:00,107.64,108.24,104.92,104.94,1089400
2022-09-21 20:00:00-04:00,104.60,104.60,102.90,103.67,965000
2022-09-22 20:00:00-04:00,102.81,104.12,102.19,104.04,1248400
2022-09-25 20:00:00-04:00,104.20,104.75,102.38,102.97,925300
2022-09-26 20:00:00-04:00,104.10,104.17,101.68,102.87,1206300
2022-09-27 20:00:00-04:00,104.17,105.61,102.93,104.94,1503200
2022-09-28 20:00:00-04:00,103.57,103.68,101.99,103.38,905800
2022-09-29 20:00:00-04:00,103.74,105.01,102.42,102.53,1163900
2022-10-02 20:00:00-04:00,104.15,106.83,104.15,105.77,1366500
2022-10-03 20:00:00-04:00,107.47,110.60,107.46,110.36,1581600
2022-10-04 20:00:00-04:00,108.79,112.08,108.74,111.36,1475400
2022-10-05 20:00:00-04:00,110.94,112.03,108.56,109.05,1692400
2022-10-06 20:00:00-04:00,107.81,108.30,105.19,105.93,1052700
2022-10-09 20:00:00-04:00,100.65,104.15,99.73,102.58,2952500
2022-10-10 20:00:00-04:00,102.20,104.37,101.74,102.59,2032000
2022-10-11 20:00:00-04:00,103.24,103.24,101.52,101.60,1341500
2022-10-12 20:00:00-04:00,99.84,105.30,99.53,103.94,1776700
2022-10-13 20:00:00-04:00,105.16,105.68,101.79,102.19,1483400
2022-10-16 20:00:00-04:00,104.79,106.06,103.94,104.95,1210700
2022-10-17 20:00:00-04:00,107.91,109.38,107.07,108.13,1121500
2022-10-18 20:00:00-04:00,107.30,107.57,104.67,106.18,1259300
2022-10-19 20:00:00-04:00,104.78,106.76,99.48,100.41,3326900
2022-10-20 20:00:00-04:00,101.52,105.13,100.73,104.29,2163400
2022-10-23 20:00:00-04:00,105.05,105.80,103.51,103.69,1366000
2022-10-24 20:00:00-04:00,104.10,105.51,103.99,104.63,1703100
2022-10-25 20:00:00-04:00,104.88,105.78,103.41,104.50,1075500
2022-10-26 20:00:00-04:00,105.07,106.48,103.84,104.07,918700
2022-10-27 20:00:00-04:00,104.09,105.95,103.75,105.74,1220200
2022-10-30 20:00:00-04:00,105.25,106.78,104.85,105.76,1714100
2022-10-31 20:00:00-04:00,106.88,107.28,104.69,105.59,1028400
2022-11-01 20:00:00-04:00,105.64,106.50,101.89,101.96,1315300
2022-11-02 20:00:00-04:00,100.15,102.67,99.50,101.62,1097000
2022-11-03 20:00:00-04:00,103.92,107.35,103.67,106.94,1527400
,107.88,108.01,106.04,107.76,1375200
,108.40,109.44,106.94,107.87,1122800
,107.60,107.87,106.02,106.32,759600
,111.99,116.29,111.71,116.22,1513800
,117.18,121.99,117.05,121.14,2106300
,120.11,121.02,118.82,119.16,1891200
,121.61,124.21,118.70,120.59,1639400
,120.32,121.03,119.40,120.12,1352800
,118.18,118.39,116.00,117.95,1051300
,119.96,121.31,118.57,119.63,999400
,118.73,121.20,118.73,120.17,1223900
,121.06,122.99,120.29,122.91,1525500
,123.12,124.60,122.80,123.91,1078900
,123.24,124.19,123.08,124.19,320300
,123.20,124.03,121.09,121.34,1049300
,121.71,123.48,121.67,122.76,1648700
,122.58,126.14,121.87,125.92,2036700
,127.02,127.56,124.76,125.68,794900
,123.94,128.23,123.81,127.85,776600
,126.05,126.56,124.60,125.33,924800
,125.67,126.49,121.59,122.96,885400
,122.27,122.88,119.94,120.53,1670600
,121.28,121.85,120.44,121.39,1099100
,121.48,122.65,121.09,121.44,718800
,121.59,123.27,121.09,123.22,1038300
,127.51,128.25,123.97,124.85,1171200
,124.47,125.79,122.45,123.64,880800
,121.46,121.46,119.32,119.91,1084500
,118.49,118.99,116.63,117.49,1658600
,117.37,118.22,116.21,116.99,682000
,116.60,117.53,115.05,116.18,1106800
,117.08,119.01,117.08,118.40,909500
,116.67,117.22,114.74,117.20,722700
,116.63,118.07,116.33,118.00,458200
,117.79,119.02,117.36,117.72,701900
,118.27,118.77,115.70,115.72,640600
,116.74,118.12,116.42,117.70,648800
,116.61,117.34,115.63,117.09,648800
,118.07,118.66,116.48,118.11,1001100
,119.99,121.26,119.11,121.03,763000
,117.83,117.83,114.10,114.64,1610700
,116.27,120.00,115.10,119.66,1231700
,119.83,122.04,118.34,120.00,1299600
,118.26,120.92,118.14,120.85,981600
,122.91,123.39,120.76,123.00,1417500
,123.38,123.49,121.55,122.56,1044500
,121.42,123.65,121.39,123.29,871200
,123.25,123.51,120.64,121.63,1689700
,122.48,122.92,118.92,118.99,1973300
,117.13,117.83,114.84,115.10,2904400
,124.19,124.19,117.10,121.99,4117400
,121.15,123.20,119.93,121.34,1788200
,121.28,122.97,118.91,121.96,1259500
,120.20,120.43,118.98,119.33,1578500
,117.10,119.64,116.84,118.91,2149900
,118.55,119.80,118.28,118.59,1564100
,118.30,120.66,118.22,118.87,1333300
,119.52,121.49,118.87,121.37,2276200
,121.45,124.13,120.76,122.93,1661300
,122.96,125.66,121.29,125.18,1327100
,123.59,124.21,120.92,121.74,1007200
,120.38,120.85,119.66,120.53,987500
,120.09,122.58,119.78,122.24,1380400
,120.98,122.97,120.68,121.41,1050200
,123.16,123.69,119.06,119.99,961400
,119.18,119.52,117.09,117.55,1104800
,118.22,119.99,117.37,119.88,992200
,119.84,121.95,119.80,120.85,1147100
,120.15,122.14,119.44,122.02,911000
,120.03,122.66,119.72,120.84,1075700
,120.52,121.74,120.13,121.55,1255500
,121.87,121.87,117.97,118.08,1495500
,118.47,120.53,118.46,120.39,1252100
,121.14,121.73,118.14,119.92,1137800
,117.66,121.45,117.23,121.36,1263300
,122.93,124.17,122.65,123.14,1226700
,122.75,124.92,122.75,123.56,1535300
,122.81,126.03,122.59,124.65,2651000
,123.64,126.79,123.47,126.16,1641700
,127.35,128.66,125.93,128.61,1288100
,128.56,128.87,125.00,125.04,1451600
,124.67,125.19,121.55,122.48,1610000
,122.37,123.25,121.73,122.76,944600
,122.83,123.71,118.76,119.20,1246800
,118.85,119.24,116.21,117.89,2401000
2023-03-12 20:00:00-04:00,116.43,118.56,115.70,116.68,1316300
2023-03-13 20:00:00-04:00,119.15,120.95,117.91,120.85,1952600
2023-03-14 20:00:00-04:00,119.64,119.97,115.31,117.36,1633300
2023-03-15 20:00:00-04:00,116.58,119.00,115.60,118.40,1356300
2023-03-16 20:00:00-04:00,117.59,117.74,114.39,114.61,2761400
2023-03-19 20:00:00-04:00,115.58,117.49,115.58,117.24,1045500
2023-03-20 20:00:00-04:00,118.97,119.55,117.91,118.45,791900
2023-03-21 20:00:00-04:00,118.10,118.87,115.63,115.65,948300
2023-03-22 20:00:00-04:00,115.81,117.54,114.47,115.56,940300
2023-03-23 20:00:00-04:00,114.87,117.40,113.12,117.37,1245900
2023-03-26 20:00:00-04:00,118.93,119.11,117.21,117.89,1142900
2023-03-27 20:00:00-04:00,117.99,118.55,116.99,118.10,1073800
2023-03-28 20:00:00-04:00,119.91,120.57,119.47,119.99,856700
2023-03-29 20:00:00-04:00,121.01,122.57,120.52,121.47,987300
2023-03-30 20:00:00-04:00,122.15,125.15,121.68,124.98,1497800
2023-04-02 20:00:00-04:00,129.23,131.19,128.42,131.03,3701000
2023-04-03 20:00:00-04:00,130.96,131.16,129.09,129.42,1966000
2023-04-04 20:00:00-04:00,128.42,130.35,128.37,130.01,1819700
2023-04-05 20:00:00-04:00,128.31,129.53,128.16,129.18,1461700
2023-04-09 20:00:00-04:00,128.84,130.29,128.33,129.44,935200
2023-04-10 20:00:00-04:00,130.23,132.17,129.75,130.33,1192600
2023-04-11 20:00:00-04:00,131.61,132.26,128.91,129.13,1306200
2023-04-12 20:00:00-04:00,130.02,130.48,128.92,130.32,1764300
2023-04-13 20:00:00-04:00,130.09,131.06,128.65,129.51,1024700
2023-04-16 20:00:00-04:00,130.01,131.93,129.46,131.86,978400
2023-04-17 20:00:00-04:00,132.55,133.29,131.65,132.49,1197100
2023-04-18 20:00:00-04:00,132.52,133.21,130.89,131.50,1544800
2023-04-19 20:00:00-04:00,130.48,132.46,130.14,132.34,2075300
2023-04-20 20:00:00-04:00,135.54,135.80,132.10,132.84,2747000
2023-04-23 20:00:00-04:00,135.66,136.14,132.77,133.76,1767700
2023-04-24 20:00:00-04:00,133.01,133.67,130.76,131.39,1475800
2023-04-25 20:00:00-04:00,130.42,131.41,128.08,128.78,1948500
2023-04-26 20:00:00-04:00,129.83,130.03,127.71,129.99,1696000
2023-04-27 20:00:00-04:00,130.11,132.27,130.11,131.23,1518200
2023-04-30 20:00:00-04:00,131.13,132.46,130.60,130.76,948100
2023-05-01 20:00:00-04:00,130.11,130.94,128.34,130.61,1264500
2023-05-02 20:00:00-04:00,131.31,132.28,129.29,129.44,1031900
2023-05-03 20:00:00-04:00,129.40,129.40,126.00,126.78,1029200
2023-05-04 20:00:00-04:00,127.84,129.52,127.79,129.15,987400
2023-05-07 20:00:00-04:00,129.29,130.30,128.60,129.75,1258600
2023-05-08 20:00:00-04:00,129.13,129.46,128.16,128.89,1303800
2023-05-09 20:00:00-04:00,130.73,131.25,127.28,128.63,1019800
2023-05-10 20:00:00-04:00,127.78,129.12,126.82,128.98,946000
2023-05-11 20:00:00-04:00,129.87,130.37,128.09,129.79,871400
2023-05-14 20:00:00-04:00,130.41,132.31,129.99,132.17,1423200
2023-05-15 20:00:00-04:00,131.13,131.75,130.47,130.95,1247700
2023-05-16 20:00:00-04:00,131.59,134.23,131.19,133.84,1212200
2023-05-17 20:00:00-04:00,133.94,134.60,132.74,133.99,1202700
2023-05-18 20:00:00-04:00,134.75,134.75,132.96,133.83,760700
2023-05-21 20:00:00-04:00,133.52,134.58,132.15,132.22,1018000
2023-05-22 20:00:00-04:00,131.08,131.63,128.59,128.64,1077700
2023-05-23 20:00:00-04:00,127.01,127.68,124.49,125.38,2468400
2023-05-24 20:00:00-04:00,125.68,125.90,123.83,125.04,2000200
2023-05-25 20:00:00-04:00,125.74,126.37,124.97,125.68,1070200
2023-05-29 20:00:00-04:00,125.86,126.65,124.02,126.27,1102700
2023-05-30 20:00:00-04:00,126.17,126.17,122.79,123.39,2365700
2023-05-31 20:00:00-04:00,123.90,127.01,123.90,126.86,1489900
2023-06-01 20:00:00-04:00,129.04,131.40,128.38,131.18,1294300
2023-06-04 20:00:00-04:00,130.14,131.11,129.60,129.62,1216100
2023-06-05 20:00:00-04:00,130.01,131.75,129.70,130.84,958800
2023-06-06 20:00:00-04:00,130.11,133.84,129.93,133.32,1224600
2023-06-07 20:00:00-04:00,133.27,133.70,131.34,132.68,1417800
2023-06-08 20:00:00-04:00,132.07,132.85,130.42,131.27,1174000
