Date,Open,High,Low,Close,Volume
2022-04-05 20:00:00-04:00,95.87,96.66,95.46,95.79,1580100
2022-04-06 20:00:00-04:00,95.40,95.57,92.23,94.08,2215800
2022-04-07 20:00:00-04:00,95.05,96.37,94.71,95.77,1319500
2022-04-10 20:00:00-04:00,95.77,97.21,95.42,95.60,1264900
2022-04-11 20:00:00-04:00,95.98,96.92,94.27,94.82,1254200
2022-04-12 20:00:00-04:00,94.25,95.50,93.96,95.43,1248500
2022-04-13 20:00:00-04:00,95.38,96.46,95.38,96.21,1399600
2022-04-17 20:00:00-04:00,95.59,97.40,95.59,97.24,1047700
2022-04-18 20:00:00-04:00,97.77,98.31,96.99,97.99,1495700
2022-04-19 20:00:00-04:00,98.65,99.98,98.38,99.34,1339100
2022-04-20 20:00:00-04:00,100.11,100.56,98.06,98.36,1306600
2022-04-21 20:00:00-04:00,98.22,98.58,94.90,95.05,1421800
2022-04-24 20:00:00-04:00,93.62,93.85,90.58,93.54,2414700
2022-04-25 20:00:00-04:00,92.15,93.27,90.58,90.58,1819700
2022-04-26 20:00:00-04:00,90.68,92.09,89.87,90.91,1371100
2022-04-27 20:00:00-04:00,91.93,92.27,90.17,92.00,1344500
2022-04-28 20:00:00-04:00,91.36,92.24,88.84,89.04,2105000
2022-05-01 20:00:00-04:00,89.49,90.04,87.01,88.96,2101600
2022-05-02 20:00:00-04:00,89.54,91.07,88.83,90.04,2337500
2022-05-03 20:00:00-04:00,87.58,91.74,86.45,91.55,3273900
2022-05-04 20:00:00-04:00,89.94,90.31,87.06,88.41,2522800
2022-05-05 20:00:00-04:00,88.47,88.78,86.49,87.54,2254800
2022-05-08 20:00:00-04:00,86.27,87.38,85.51,86.25,2832400
2022-05-09 20:00:00-04:00,86.88,87.80,84.15,85.55,2350000
2022-05-10 20:00:00-04:00,86.25,87.47,84.46,84.56,2108700
2022-05-11 20:00:00-04:00,84.09,84.28,80.09,82.19,3378700
2022-05-12 20:00:00-04:00,82.95,83.97,82.42,83.04,1956600
2022-05-15 20:00:00-04:00,83.47,83.47,81.64,82.90,1927100
2022-05-16 20:00:00-04:00,84.63,85.71,84.23,85.31,1729800
2022-05-17 20:00:00-04:00,84.48,84.78,82.99,83.36,2275300
2022-05-18 20:00:00-04:00,82.10,83.56,80.87,81.71,2327100
2022-05-19 20:00:00-04:00,82.40,83.07,79.24,80.99,3614200
2022-05-22 20:00:00-04:00,82.94,85.07,82.45,84.23,2236400
2022-05-23 20:00:00-04:00,83.73,84.36,81.65,83.81,1535400
2022-05-24 20:00:00-04:00,83.61,85.37,83.44,84.86,1778300
2022-05-25 20:00:00-04:00,85.74,87.16,85.74,86.86,1923800
2022-05-26 20:00:00-04:00,87.00,88.34,86.85,88.28,1615600
2022-05-30 20:00:00-04:00,87.36,88.95,86.88,88.26,4107800
2022-05-31 20:00:00-04:00,87.91,88.14,86.15,87.49,2032200
2022-06-01 20:00:00-04:00,87.85,87.97,86.44,87.85,1722200
2022-06-02 20:00:00-04:00,87.06,87.68,86.30,86.36,1059800
2022-06-05 20:00:00-04:00,87.29,88.72,86.39,87.50,1431400
2022-06-06 20:00:00-04:00,86.84,88.41,86.44,88.23,1266200
2022-06-07 20:00:00-04:00,87.82,88.18,86.83,87.30,1324300
2022-06-08 20:00:00-04:00,87.36,87.47,85.16,85.20,1471300
2022-06-09 20:00:00-04:00,83.07,83.79,81.52,81.73,1985500
2022-06-12 20:00:00-04:00,80.10,80.56,77.84,78.29,2481300
2022-06-13 20:00:00-04:00,78.72,79.76,77.60,78.20,1837600
2022-06-14 20:00:00-04:00,79.21,79.89,77.40,78.79,1833100
2022-06-15 20:00:00-04:00,77.12,77.24,74.99,75.87,2775600
2022-06-16 20:00:00-04:00,75.34,77.10,74.97,75.96,3046200
2022-06-20 20:00:00-04:00,77.67,78.36,76.84,78.00,1889900
2022-06-21 20:00:00-04:00,76.45,77.93,76.27,77.40,1618000
2022-06-22 20:00:00-04:00,77.30,77.52,75.70,76.83,1390000
2022-06-23 20:00:00-04:00,77.51,81.19,77.46,80.92,2461400
2022-06-26 20:00:00-04:00,81.21,81.61,79.95,80.54,1147100
2022-06-27 20:00:00-04:00,81.99,82.89,81.07,81.14,1796200
2022-06-28 20:00:00-04:00,81.36,81.56,79.63,80.02,1290400
2022-06-29 20:00:00-04:00,78.72,80.29,77.94,79.48,1547200
2022-06-30 20:00:00-04:00,79.18,81.13,78.93,80.93,1836300
2022-07-04 20:00:00-04:00,78.80,79.41,77.06,79.19,1718000
2022-07-05 20:00:00-04:00,77.85,79.40,77.40,78.77,1657000
2022-07-06 20:00:00-04:00,79.76,80.70,79.64,80.24,1689200
2022-07-07 20:00:00-04:00,80.73,81.03,79.73,80.00,1180200
2022-07-10 20:00:00-04:00,79.70,80.70,79.51,79.83,1375900
2022-07-11 20:00:00-04:00,78.94,81.15,78.86,79.76,1508700
2022-07-12 20:00:00-04:00,78.67,78.67,76.13,77.50,2188400
2022-07-13 20:00:00-04:00,75.43,75.68,74.54,75.13,2308200
2022-07-14 20:00:00-04:00,76.14,77.19,75.12,76.70,1779300
2022-07-17 20:00:00-04:00,77.61,78.45,76.67,76.97,1501900
2022-07-18 20:00:00-04:00,78.08,79.50,77.71,79.06,1741500
2022-07-19 20:00:00-04:00,78.40,79.79,78.28,79.60,1562800
2022-07-20 20:00:00-04:00,79.25,79.85,78.22,79.80,1189300
2022-07-21 20:00:00-04:00,80.13,80.76,78.72,79.34,1018800
2022-07-24 20:00:00-04:00,79.94,80.78,79.33,80.47,1303000
2022-07-25 20:00:00-04:00,80.03,80.80,79.60,79.79,1247500
2022-07-26 20:00:00-04:00,80.38,81.62,79.99,81.11,1399600
2022-07-27 20:00:00-04:00,80.96,81.60,79.65,81.49,1574000
2022-07-28 20:00:00-04:00,81.87,83.73,81.63,83.06,2654000
2022-07-31 20:00:00-04:00,82.24,82.96,81.64,82.78,1772100
2022-08-01 20:00:00-04:00,82.60,82.95,81.31,81.40,2125900
2022-08-02 20:00:00-04:00,80.16,80.68,78.48,80.42,3989100
2022-08-03 20:00:00-04:00,80.54,81.38,79.69,79.70,2128700
2022-08-04 20:00:00-04:00,79.74,80.97,79.29,80.17,1836600
2022-08-07 20:00:00-04:00,80.73,81.37,80.63,80.83,1434300
2022-08-08 20:00:00-04:00,81.15,82.34,80.99,81.89,1362000
2022-08-09 20:00:00-04:00,83.07,84.61,82.78,84.44,1646300
2022-08-10 20:00:00-04:00,85.39,86.34,85.20,85.55,1542700
2022-08-11 20:00:00-04:00,85.86,87.65,85.86,87.63,1596600
2022-08-14 20:00:00-04:00,86.34,87.24,86.09,87.07,1191500
2022-08-15 20:00:00-04:00,86.76,87.82,86.76,87.37,1177400
2022-08-16 20:00:00-04:00,86.38,87.26,86.13,86.87,1298400
2022-08-17 20:00:00-04:00,87.03,87.60,86.70,87.57,1107700
2022-08-18 20:00:00-04:00,87.02,87.02,85.41,85.89,1887300
2022-08-21 20:00:00-04:00,84.47,84.47,83.14,83.30,1753200
2022-08-22 20:00:00-04:00,83.37,84.34,83.20,83.48,1072600
2022-08-23 20:00:00-04:00,83.27,83.86,82.91,83.62,909000
2022-08-24 20:00:00-04:00,83.97,85.23,83.78,85.20,1125900
2022-08-25 20:00:00-04:00,85.78,86.01,82.76,82.80,1377400
2022-08-28 20:00:00-04:00,82.11,82.92,81.61,82.35,967700
2022-08-29 20:00:00-04:00,82.60,82.62,81.10,81.55,1130800
2022-08-30 20:00:00-04:00,81.88,82.02,80.45,80.47,2090200
2022-08-31 20:00:00-04:00,80.13,80.20,78.48,79.82,1593800
2022-09-01 20:00:00-04:00,80.86,81.94,79.33,79.75,1177400
2022-09-05 20:00:00-04:00,80.27,80.35,78.62,79.15,1542900
2022-09-06 20:00:00-04:00,78.75,80.83,78.62,80.50,1511300
2022-09-07 20:00:00-04:00,79.99,81.59,79.81,81.48,1670400
2022-09-08 20:00:00-04:00,82.28,83.20,82.18,82.77,1351900
2022-09-11 20:00:00-04:00,83.44,84.45,83.16,83.84,1528300
2022-09-12 20:00:00-04:00,82.25,83.11,80.22,80.51,1930600
2022-09-13 20:00:00-04:00,80.65,81.09,78.50,79.07,2015900
2022-09-14 20:00:00-04:00,79.09,79.83,77.38,77.77,2797700
2022-09-15 20:00:00-04:00,77.25,77.57,75.70,77.25,3095000
2022-09-18 20:00:00-04:00,76.29,79.50,76.13,79.36,2023100
2022-09-19 20:00:00-04:00,78.68,78.76,77.32,78.18,1565000
2022-09-20 20:00:00-04:00,78.72,79.71,77.20,77.21,2003300
2022-09-21 20:00:00-04:00,78.04,78.04,76.29,76.46,2376400
2022-09-22 20:00:00-04:00,75.44,75.68,73.26,74.53,2400700
