Date,Open,High,Low,Close,Volume
2022-04-05 20:00:00-04:00,33.14,33.42,32.25,32.67,10361600
2022-04-06 20:00:00-04:00,32.49,32.68,31.33,32.18,10673500
2022-04-07 20:00:00-04:00,31.98,32.85,31.90,32.75,8966300
2022-04-10 20:00:00-04:00,32.61,33.72,32.60,32.72,5494300
2022-04-11 20:00:00-04:00,32.91,33.60,32.70,32.86,5670600
2022-04-12 20:00:00-04:00,32.76,33.20,32.62,33.02,4497900
2022-04-13 20:00:00-04:00,33.12,33.70,32.82,33.18,3950800
2022-04-17 20:00:00-04:00,33.13,33.29,32.50,32.78,4182200
2022-04-18 20:00:00-04:00,32.71,33.27,32.60,33.06,5788100
2022-04-19 20:00:00-04:00,31.40,31.49,29.01,30.22,20866000
2022-04-20 20:00:00-04:00,30.63,30.89,29.06,29.44,8322900
2022-04-21 20:00:00-04:00,29.30,29.58,27.99,28.29,9089800
2022-04-24 20:00:00-04:00,27.83,28.64,27.66,28.43,7009500
2022-04-25 20:00:00-04:00,27.99,28.32,26.75,26.76,8956400
2022-04-26 20:00:00-04:00,26.67,27.01,26.04,26.36,7891100
2022-04-27 20:00:00-04:00,26.59,26.68,25.59,26.47,6742100
2022-04-28 20:00:00-04:00,26.42,27.15,26.39,26.54,7523000
2022-05-01 20:00:00-04:00,26.55,28.00,26.51,27.58,12111200
2022-05-02 20:00:00-04:00,25.98,27.38,25.13,27.23,18703000
2022-05-03 20:00:00-04:00,27.13,27.63,26.15,27.50,13527200
2022-05-04 20:00:00-04:00,27.20,27.95,26.68,27.08,10597700
2022-05-05 20:00:00-04:00,26.88,26.88,25.14,25.43,11249300
2022-05-08 20:00:00-04:00,24.82,25.28,24.37,25.00,9804200
2022-05-09 20:00:00-04:00,25.24,25.64,24.71,24.99,8890300
2022-05-10 20:00:00-04:00,24.92,25.39,24.27,24.32,7066800
2022-05-11 20:00:00-04:00,24.18,25.35,23.79,24.71,11178700
2022-05-12 20:00:00-04:00,25.19,25.90,24.97,25.83,7768500
2022-05-15 20:00:00-04:00,25.94,26.18,25.30,25.53,7932500
2022-05-16 20:00:00-04:00,28.10,29.72,27.76,29.45,27198900
2022-05-17 20:00:00-04:00,29.04,30.43,28.70,28.75,13586400
2022-05-18 20:00:00-04:00,28.63,29.93,28.60,29.36,10148600
2022-05-19 20:00:00-04:00,29.61,29.89,28.59,29.74,9845700
2022-05-22 20:00:00-04:00,29.94,30.61,29.36,30.15,8864300
2022-05-23 20:00:00-04:00,29.37,29.59,28.30,28.98,7081200
2022-05-24 20:00:00-04:00,29.11,29.81,28.99,29.48,10647900
2022-05-25 20:00:00-04:00,29.55,30.10,29.37,29.52,6418200
2022-05-26 20:00:00-04:00,29.80,30.95,29.58,30.90,9179100
2022-05-30 20:00:00-04:00,31.04,31.44,30.43,31.28,13664700
2022-05-31 20:00:00-04:00,31.41,31.44,28.90,29.48,12810000
2022-06-01 20:00:00-04:00,28.66,28.72,27.69,28.64,19731900
2022-06-02 20:00:00-04:00,28.44,28.76,27.78,28.07,8669800
2022-06-05 20:00:00-04:00,28.08,28.31,27.65,27.72,6316500
2022-06-06 20:00:00-04:00,27.65,27.91,27.25,27.85,5179000
2022-06-07 20:00:00-04:00,27.70,28.31,27.61,28.01,4649600
2022-06-08 20:00:00-04:00,27.88,27.93,26.53,26.56,6872100
2022-06-09 20:00:00-04:00,26.17,26.41,25.52,25.60,10028800
2022-06-12 20:00:00-04:00,25.06,25.06,23.26,23.52,19415400
2022-06-13 20:00:00-04:00,23.77,23.99,23.15,23.37,13727100
2022-06-14 20:00:00-04:00,23.60,24.03,23.21,23.59,9804300
2022-06-15 20:00:00-04:00,23.18,23.39,21.79,22.31,14417200
2022-06-16 20:00:00-04:00,22.31,23.00,22.11,22.59,14331300
2022-06-20 20:00:00-04:00,23.26,23.35,22.50,22.63,10581800
2022-06-21 20:00:00-04:00,22.33,22.76,22.22,22.48,6624400
2022-06-22 20:00:00-04:00,22.48,22.60,22.10,22.55,5325000
2022-06-23 20:00:00-04:00,22.67,23.80,22.64,23.69,7962300
2022-06-26 20:00:00-04:00,23.88,24.09,23.46,23.90,5007100
2022-06-27 20:00:00-04:00,23.94,24.47,23.47,23.51,4538200
2022-06-28 20:00:00-04:00,23.53,23.57,22.65,23.07,5194600
2022-06-29 20:00:00-04:00,22.72,23.13,22.34,22.70,6891400
