Date,Open,High,Low,Close,Volume
2018-07-01 20:00:00-04:00,81.66,82.00,80.48,80.82,2516500
2018-07-02 20:00:00-04:00,81.77,81.98,80.44,80.75,1248900
2018-07-04 20:00:00-04:00,81.53,81.64,80.09,80.49,2070800
2018-07-05 20:00:00-04:00,80.16,81.70,79.70,81.24,1561300
2018-07-08 20:00:00-04:00,81.51,82.56,81.38,82.27,1608800
2018-07-09 20:00:00-04:00,82.61,83.75,82.44,82.71,1867900
2018-07-10 20:00:00-04:00,82.23,82.34,80.50,80.86,1433500
2018-07-11 20:00:00-04:00,81.19,81.51,80.19,81.21,1249300
2018-07-12 20:00:00-04:00,81.11,82.09,81.00,81.70,1563300
2018-07-15 20:00:00-04:00,81.54,82.02,81.26,81.34,1795100
2018-07-16 20:00:00-04:00,81.19,81.53,80.52,81.15,2062000
2018-07-17 20:00:00-04:00,80.93,81.47,80.14,81.04,2561700
2018-07-18 20:00:00-04:00,81.08,81.47,80.71,81.04,2333100
2018-07-19 20:00:00-04:00,81.00,81.27,80.60,80.64,2334800
2018-07-22 20:00:00-04:00,81.13,81.38,80.45,80.70,1568000
2018-07-23 20:00:00-04:00,81.03,81.83,80.71,81.27,2163000
2018-07-24 20:00:00-04:00,81.51,82.27,81.20,82.10,1671100
2018-07-25 20:00:00-04:00,82.19,84.87,82.19,84.76,3212100
2018-07-26 20:00:00-04:00,86.07,87.95,85.33,86.80,3715600
2018-07-29 20:00:00-04:00,87.37,89.67,87.37,89.26,3985900
2018-07-30 20:00:00-04:00,89.59,90.52,89.45,90.13,3831100
2018-07-31 20:00:00-04:00,89.55,90.55,89.04,89.88,2679300
2018-08-01 20:00:00-04:00,89.21,89.65,88.27,89.18,2627000
2018-08-02 20:00:00-04:00,89.14,89.45,87.98,88.90,1692000
2018-08-05 20:00:00-04:00,88.94,89.90,88.44,89.54,1542600
2018-08-06 20:00:00-04:00,89.87,90.59,89.44,89.67,2058100
2018-08-07 20:00:00-04:00,89.47,89.94,89.08,89.86,1411600
2018-08-08 20:00:00-04:00,89.94,90.23,89.07,89.28,1897600
2018-08-09 20:00:00-04:00,88.95,89.69,88.93,89.58,1847400
2018-08-12 20:00:00-04:00,89.77,90.21,88.78,88.83,1989100
2018-08-13 20:00:00-04:00,89.10,89.15,87.78,88.37,2703100
2018-08-14 20:00:00-04:00,87.75,87.75,84.23,84.31,3985400
2018-08-15 20:00:00-04:00,84.59,84.75,83.91,83.99,2747800
2018-08-16 20:00:00-04:00,84.27,84.56,83.73,84.35,1774000
2018-08-19 20:00:00-04:00,84.39,85.96,84.18,85.41,2461600
2018-08-20 20:00:00-04:00,85.78,86.68,85.19,85.73,2479700
2018-08-21 20:00:00-04:00,86.11,86.80,85.83,86.10,3889800
2018-08-22 20:00:00-04:00,86.04,87.13,85.57,87.10,2062700
2018-08-23 20:00:00-04:00,87.27,88.30,87.08,87.75,2959200
2018-08-26 20:00:00-04:00,88.11,88.57,87.87,88.32,2328800
2018-08-27 20:00:00-04:00,88.48,89.44,88.03,88.11,2237200
2018-08-28 20:00:00-04:00,88.33,89.04,87.74,88.62,1956700
2018-08-29 20:00:00-04:00,88.85,88.95,87.22,87.97,1847300
2018-08-30 20:00:00-04:00,87.50,87.87,86.17,87.20,2575200
2018-09-03 20:00:00-04:00,87.27,88.47,87.02,87.53,2477400
2018-09-04 20:00:00-04:00,87.31,87.31,86.10,86.82,2324700
2018-09-05 20:00:00-04:00,86.48,87.49,85.78,85.87,1943500
2018-09-06 20:00:00-04:00,85.46,85.51,83.46,84.10,3032400
2018-09-09 20:00:00-04:00,84.36,84.62,83.80,83.85,2543800
2018-09-10 20:00:00-04:00,82.50,83.29,82.10,82.82,3772500
2018-09-11 20:00:00-04:00,83.35,84.21,82.16,82.53,3762800
2018-09-12 20:00:00-04:00,82.73,83.43,82.06,83.16,3368500
2018-09-13 20:00:00-04:00,83.12,83.96,83.12,83.59,2774300
2018-09-16 20:00:00-04:00,83.62,83.90,82.96,83.01,2773400
2018-09-17 20:00:00-04:00,83.45,83.93,83.17,83.37,2521000
2018-09-18 20:00:00-04:00,83.23,83.23,80.36,80.47,2934800
2018-09-19 20:00:00-04:00,80.84,81.56,80.09,81.18,3175700
2018-09-20 20:00:00-04:00,80.86,82.37,80.73,82.16,5963200
2018-09-23 20:00:00-04:00,82.56,83.80,82.18,83.49,2757500
2018-09-24 20:00:00-04:00,83.88,85.28,83.74,84.53,2819800
2018-09-25 20:00:00-04:00,84.56,84.65,83.27,83.80,2692800
2018-09-26 20:00:00-04:00,84.07,84.51,83.03,83.06,1943900
2018-09-27 20:00:00-04:00,82.41,83.61,82.10,82.94,2540000
2018-09-30 20:00:00-04:00,83.33,84.57,83.33,84.24,2021600
2018-10-01 20:00:00-04:00,84.35,84.84,82.96,84.39,2884700
2018-10-02 20:00:00-04:00,84.69,87.25,84.31,87.17,3310000
2018-10-03 20:00:00-04:00,87.08,87.46,85.88,86.60,2576400
2018-10-04 20:00:00-04:00,86.81,87.40,86.19,87.10,2572200
2018-10-07 20:00:00-04:00,86.75,87.17,86.14,86.93,2306300
2018-10-08 20:00:00-04:00,86.89,87.66,86.17,86.59,2263600
2018-10-09 20:00:00-04:00,86.64,86.90,83.10,83.18,2576500
2018-10-10 20:00:00-04:00,82.78,82.85,80.32,80.54,3565200
2018-10-11 20:00:00-04:00,81.58,81.92,79.39,80.54,3078200
2018-10-14 20:00:00-04:00,80.53,80.58,78.88,78.89,2670600
2018-10-15 20:00:00-04:00,79.61,80.89,79.43,80.84,2644000
2018-10-16 20:00:00-04:00,80.90,81.42,79.78,80.04,2214700
2018-10-17 20:00:00-04:00,79.47,81.01,79.25,80.29,1841100
2018-10-18 20:00:00-04:00,77.72,78.63,75.11,75.62,4013500
2018-10-21 20:00:00-04:00,75.98,76.38,74.39,75.90,4927100
2018-10-22 20:00:00-04:00,74.38,74.60,72.06,73.43,3292200
2018-10-23 20:00:00-04:00,73.57,73.57,69.94,70.12,3379100
2018-10-24 20:00:00-04:00,71.20,73.33,71.05,72.47,4015800
2018-10-25 20:00:00-04:00,74.65,76.37,70.12,73.18,5267700
2018-10-28 20:00:00-04:00,73.74,75.07,71.59,72.49,2752000
2018-10-29 20:00:00-04:00,73.12,75.24,73.12,75.10,2554400
2018-10-30 20:00:00-04:00,75.88,76.97,75.35,75.66,2688200
2018-10-31 20:00:00-04:00,75.52,76.05,74.46,75.42,2147700
2018-11-01 20:00:00-04:00,75.83,76.21,72.50,72.85,2726700
2018-11-04 19:00:00-05:00,73.73,74.43,73.32,73.96,2226600
2018-11-05 19:00:00-05:00,73.96,74.29,73.29,74.23,2185200
2018-11-06 19:00:00-05:00,75.19,76.14,74.60,75.88,4212300
2018-11-07 19:00:00-05:00,75.60,75.84,72.03,72.60,2989400
2018-11-08 19:00:00-05:00,71.99,73.83,71.59,73.39,2096700
2018-11-11 19:00:00-05:00,73.87,74.27,71.76,71.87,1677300
2018-11-12 19:00:00-05:00,71.59,72.29,69.66,69.75,2990200
2018-11-13 19:00:00-05:00,70.99,71.79,69.42,70.34,2933400
2018-11-14 19:00:00-05:00,69.90,70.93,69.59,70.81,2618000
2018-11-15 19:00:00-05:00,71.45,72.55,71.11,71.68,3468800
2018-11-18 19:00:00-05:00,71.33,71.68,69.54,70.41,1987200
2018-11-19 19:00:00-05:00,69.35,70.07,68.32,68.66,4553500
2018-11-20 19:00:00-05:00,69.15,70.10,68.28,69.49,2447400
2018-11-22 19:00:00-05:00,68.03,68.25,66.03,66.04,2169900
2018-11-25 19:00:00-05:00,67.07,68.40,66.95,68.31,3324200
2018-11-26 19:00:00-05:00,68.04,68.21,67.30,67.71,2675900
2018-11-27 19:00:00-05:00,68.13,68.80,66.78,68.73,3525700
2018-11-28 19:00:00-05:00,69.00,69.62,68.53,68.77,2290800
2018-11-29 19:00:00-05:00,68.44,69.46,67.95,69.39,4393700
2018-12-02 19:00:00-05:00,69.62,71.19,67.16,68.33,5780700
2018-12-03 19:00:00-05:00,68.73,69.63,67.69,67.82,3191800
2018-12-05 19:00:00-05:00,66.63,68.77,66.09,68.71,4165300
2018-12-06 19:00:00-05:00,69.29,70.50,66.69,67.04,3880700
2018-12-09 19:00:00-05:00,66.41,67.13,64.27,65.92,2610800
2018-12-10 19:00:00-05:00,66.54,67.24,64.86,65.61,2535900
2018-12-11 19:00:00-05:00,66.66,67.43,66.01,66.22,2570700
2018-12-12 19:00:00-05:00,66.19,66.67,65.01,65.91,3040700
2018-12-13 19:00:00-05:00,65.53,66.84,64.16,64.43,2867100
2018-12-16 19:00:00-05:00,64.42,64.55,62.97,63.71,4396800
2018-12-17 19:00:00-05:00,64.04,64.71,62.54,62.87,2708700
2018-12-18 19:00:00-05:00,63.27,65.44,62.44,63.19,3893400
2018-12-19 19:00:00-05:00,62.61,64.14,61.09,61.42,4929700
2018-12-20 19:00:00-05:00,61.18,62.33,60.58,61.12,5015200
2018-12-23 19:00:00-05:00,60.54,60.66,58.20,58.25,2322100
