Date,Open,High,Low,Close,Volume
2018-07-01 20:00:00-04:00,45.39,46.06,45.16,46.03,7299900
2018-07-02 20:00:00-04:00,46.22,46.32,45.27,45.34,3618900
2018-07-04 20:00:00-04:00,45.64,47.06,45.60,47.02,11728300
2018-07-05 20:00:00-04:00,47.08,47.58,46.73,47.39,8806200
2018-07-08 20:00:00-04:00,47.57,47.78,46.89,47.56,4577100
2018-07-09 20:00:00-04:00,47.57,47.91,47.48,47.83,6848900
2018-07-10 20:00:00-04:00,47.06,47.53,46.49,46.95,8702000
2018-07-11 20:00:00-04:00,47.40,47.92,46.96,47.79,8426400
2018-07-12 20:00:00-04:00,47.73,48.16,47.67,47.84,5266100
2018-07-15 20:00:00-04:00,47.87,48.21,47.57,47.81,5907100
2018-07-16 20:00:00-04:00,47.46,48.27,47.21,48.27,7560300
2018-07-17 20:00:00-04:00,48.34,48.34,47.83,48.15,6795100
2018-07-18 20:00:00-04:00,48.11,48.83,48.06,48.60,8150200
2018-07-19 20:00:00-04:00,48.33,48.49,47.85,48.02,10859700
2018-07-22 20:00:00-04:00,47.85,48.51,47.38,48.41,8011800
2018-07-23 20:00:00-04:00,48.63,48.85,47.89,48.22,6637600
2018-07-24 20:00:00-04:00,47.97,48.75,47.33,48.69,13143100
2018-07-25 20:00:00-04:00,51.66,52.24,50.19,52.10,26526325
2018-07-26 20:00:00-04:00,51.80,52.04,50.98,51.37,13488800
2018-07-29 20:00:00-04:00,51.33,51.60,50.74,50.83,9547700
2018-07-30 20:00:00-04:00,52.30,52.98,52.03,52.51,22350800
2018-07-31 20:00:00-04:00,52.07,53.15,52.07,52.73,10706200
2018-08-01 20:00:00-04:00,52.41,53.29,52.14,53.07,10618500
2018-08-02 20:00:00-04:00,53.05,53.76,52.99,53.59,7809400
2018-08-05 20:00:00-04:00,53.96,54.09,53.53,53.86,10878400
2018-08-06 20:00:00-04:00,54.02,54.02,53.46,53.62,7810900
2018-08-07 20:00:00-04:00,53.43,53.71,53.36,53.39,7912200
2018-08-08 20:00:00-04:00,53.34,53.50,53.19,53.32,6629700
2018-08-09 20:00:00-04:00,52.97,53.21,52.84,53.11,8736000
2018-08-12 20:00:00-04:00,53.38,53.45,52.97,53.13,7092400
2018-08-13 20:00:00-04:00,53.33,53.77,53.07,53.61,7844200
2018-08-14 20:00:00-04:00,53.37,53.93,52.89,53.82,13524800
2018-08-15 20:00:00-04:00,53.96,54.16,53.69,53.88,9958800
2018-08-16 20:00:00-04:00,53.67,54.23,53.36,54.13,15170500
2018-08-19 20:00:00-04:00,54.35,54.56,53.87,54.21,13966900
2018-08-20 20:00:00-04:00,54.15,54.72,54.10,54.53,12181400
2018-08-21 20:00:00-04:00,54.26,54.96,54.25,54.77,13860300
2018-08-22 20:00:00-04:00,54.88,55.14,54.73,54.78,12038100
2018-08-23 20:00:00-04:00,54.90,55.19,54.85,55.02,16001400
2018-08-26 20:00:00-04:00,55.20,55.29,55.08,55.18,12578000
2018-08-27 20:00:00-04:00,56.18,57.76,55.65,57.18,24952700
2018-08-28 20:00:00-04:00,57.09,57.41,56.65,56.70,11874300
2018-08-29 20:00:00-04:00,56.51,56.67,55.72,55.83,12027500
2018-08-30 20:00:00-04:00,55.71,56.54,55.67,56.30,11166900
2018-09-03 20:00:00-04:00,56.84,57.97,56.81,57.86,13024100
2018-09-04 20:00:00-04:00,57.71,58.76,57.31,58.61,15310700
2018-09-05 20:00:00-04:00,58.58,58.99,58.04,58.18,11997700
2018-09-06 20:00:00-04:00,57.75,58.39,57.56,58.19,24421900
2018-09-09 20:00:00-04:00,58.43,60.15,58.29,59.80,14636000
