Date,Open,High,Low,Close,Volume
2025-10-26 20:00:00-04:00,70.40,101.38,70.40,95.17,69700
2025-10-27 20:00:00-04:00,98.87,103.36,92.88,94.61,172600
2025-10-28 20:00:00-04:00,94.37,96.75,91.99,93.91,91700
2025-10-29 20:00:00-04:00,93.97,94.85,91.55,93.27,122600
2025-10-30 20:00:00-04:00,94.87,95.85,91.27,94.87,282500
,97.86,100.40,94.87,96.86,6510800
,99.36,103.85,97.66,100.77,6091300
,104.86,105.25,93.25,99.51,6510800
,99.86,101.01,93.20,93.20,4096200
,92.03,94.87,88.56,92.18,3282800
,94.80,99.25,93.47,96.46,3220400
,98.31,102.01,95.37,96.40,2492600
,96.53,96.53,91.12,91.83,2740700
,91.37,91.62,84.70,85.78,3926100
,84.03,86.93,81.51,83.36,2466200
,81.52,83.98,79.09,81.35,2504600
,79.39,81.92,77.90,78.87,3116500
,79.02,80.20,75.61,79.51,3325400
,81.90,83.38,74.40,74.80,3072500
,74.87,77.83,73.12,75.69,2736100
,76.23,76.63,72.71,73.44,5002100
,72.90,78.95,72.84,77.90,3033500
,77.84,80.63,76.89,79.12,2234700
,79.23,81.20,79.23,81.04,947300
,78.95,81.04,77.37,77.55,1622200
,78.12,80.44,77.92,79.70,2182000
,79.92,81.00,78.85,80.23,1244700
,79.95,83.52,79.76,83.41,1826200
,83.36,83.80,81.77,81.99,1980300
,81.90,84.64,81.77,84.25,1653000
,83.95,85.18,83.66,85.04,1404900
,83.74,87.89,82.68,86.14,2396800
,85.71,86.18,83.46,84.75,2563500
,84.33,84.54,78.30,78.89,2778200
,79.60,80.67,75.61,76.58,2338300
,76.45,79.08,76.09,78.45,2971700
,78.88,78.93,75.62,76.21,2017500
,78.27,80.64,77.71,78.98,2565700
,79.32,79.95,77.13,79.65,6510800
,80.91,82.68,80.49,81.84,1723300
,81.49,83.21,81.08,83.12,1244100
,83.32,83.59,82.66,83.32,637000
,83.58,84.38,83.42,84.16,851200
,83.95,84.33,82.95,83.54,1117700
,84.06,84.95,83.43,83.96,1142800
,84.04,84.04,81.51,81.60,1098000
,81.64,86.26,81.56,84.93,1221100
,84.95,86.81,84.93,85.06,1269500
,85.16,91.85,84.95,91.08,2103900
,91.94,92.88,89.28,90.25,1655400
,89.85,90.68,88.27,89.44,2336800
,90.11,91.83,88.78,90.25,2140500
,89.89,92.89,89.28,90.85,2865300
,91.03,91.98,88.87,89.61,2735400
,88.39,89.88,85.62,89.82,1266400
,93.58,97.78,92.83,93.06,4533800
,94.11,100.07,93.89,97.19,4156500
,93.91,97.57,93.06,95.07,1719400
,96.56,103.80,95.28,102.63,4158800
,105.93,107.77,97.84,98.70,3652300
,97.44,97.94,94.90,96.05,2288600
,96.26,99.27,95.18,96.68,1813900
,97.73,100.55,97.73,99.39,1286000
,100.88,103.03,99.19,102.36,2381800
,102.61,102.93,96.36,99.85,1573700
,98.83,99.83,95.95,96.12,2547600
,96.17,100.77,95.84,100.61,1998200
,100.24,102.37,97.45,99.82,2412600
,99.99,100.86,92.79,95.45,2481600
,94.51,96.94,92.61,92.71,1515000
,94.92,99.73,93.94,98.16,1739300
,98.45,106.22,97.57,105.13,2784200
,108.19,112.34,107.28,109.23,4257600
,110.55,114.81,108.99,114.44,3003500
,115.40,117.61,107.50,108.47,2665700
,108.97,113.81,108.00,111.62,2743800
,110.86,113.15,108.01,111.87,1940500
,111.77,117.07,111.58,115.18,3416700
,114.54,115.03,110.47,112.79,1656500
,111.60,116.13,111.17,113.39,2209100
,112.68,113.67,110.03,111.51,2343700
,112.32,117.83,112.32,116.72,2421600
,117.92,120.17,116.49,119.78,4119500
,139.85,140.51,116.92,124.70,6510800
,122.53,127.18,120.90,126.76,4738800
,124.43,126.07,121.29,124.07,2131800
,117.28,119.31,113.71,116.12,3234900
,118.97,120.64,116.84,120.03,2507700
,117.11,119.75,113.44,115.92,2172500
,112.06,115.92,109.27,110.14,2299000
2026-03-08 20:00:00-04:00,106.99,114.35,106.00,114.25,1996000
2026-03-09 20:00:00-04:00,113.46,117.16,112.58,113.97,1973300
2026-03-10 20:00:00-04:00,113.89,116.66,113.79,116.27,2475600
2026-03-11 20:00:00-04:00,113.50,113.79,105.41,107.04,2623300
2026-03-12 20:00:00-04:00,108.90,110.28,106.74,109.05,2173800
2026-03-15 20:00:00-04:00,111.95,113.22,109.90,112.25,1830700
2026-03-16 20:00:00-04:00,112.38,113.59,110.40,113.57,1164300
2026-03-17 20:00:00-04:00,112.54,116.20,112.40,113.98,1307200
2026-03-18 20:00:00-04:00,109.86,113.78,108.57,111.94,2290000
2026-03-19 20:00:00-04:00,111.07,111.94,106.22,107.59,5038800
2026-03-22 20:00:00-04:00,112.01,117.86,111.02,114.92,2830100
2026-03-23 20:00:00-04:00,113.71,119.31,113.71,118.34,1709400
2026-03-24 20:00:00-04:00,120.00,122.64,119.38,120.26,1274800
2026-03-25 20:00:00-04:00,117.10,118.97,112.19,112.78,1603200
2026-03-26 20:00:00-04:00,111.22,113.06,109.70,111.76,1473800
2026-03-29 20:00:00-04:00,113.79,113.97,106.17,107.11,1858300
2026-03-30 20:00:00-04:00,109.11,115.51,108.09,115.38,1560600
2026-03-31 20:00:00-04:00,115.92,120.82,115.92,118.56,1266300
2026-04-01 20:00:00-04:00,113.96,120.43,112.57,116.53,791700
