Date,Open,High,Low,Close,Volume
2022-04-05 20:00:00-04:00,102.41,102.50,100.20,100.78,1469200
2022-04-06 20:00:00-04:00,100.56,101.16,98.85,100.45,1434000
2022-04-07 20:00:00-04:00,101.11,103.30,100.98,102.41,1181800
2022-04-10 20:00:00-04:00,101.51,103.96,101.20,101.92,1202800
2022-04-11 20:00:00-04:00,102.29,103.34,101.57,101.99,1131600
2022-04-12 20:00:00-04:00,101.31,105.57,100.88,105.25,1680800
2022-04-13 20:00:00-04:00,105.60,107.29,105.19,105.40,1864600
2022-04-17 20:00:00-04:00,104.34,105.09,102.66,104.57,906800
2022-04-18 20:00:00-04:00,104.79,106.92,104.79,106.58,1006400
2022-04-19 20:00:00-04:00,107.38,107.85,106.42,107.28,1042000
2022-04-20 20:00:00-04:00,108.42,108.61,103.17,103.48,1334400
2022-04-21 20:00:00-04:00,103.22,103.22,97.45,97.60,1901300
2022-04-24 20:00:00-04:00,96.36,98.21,95.59,98.02,1602200
2022-04-25 20:00:00-04:00,96.82,97.19,94.22,94.31,980900
2022-04-26 20:00:00-04:00,94.23,96.16,94.23,94.68,1527900
2022-04-27 20:00:00-04:00,96.60,98.99,93.25,98.09,2475900
2022-04-28 20:00:00-04:00,97.83,97.83,91.64,91.88,1667800
2022-05-01 20:00:00-04:00,92.14,93.71,90.31,92.80,1273200
2022-05-02 20:00:00-04:00,93.21,95.16,92.54,94.61,1094700
2022-05-03 20:00:00-04:00,94.92,97.41,92.80,97.32,896900
2022-05-04 20:00:00-04:00,95.65,96.08,91.82,93.59,906300
2022-05-05 20:00:00-04:00,92.82,92.82,90.68,91.66,941000
2022-05-08 20:00:00-04:00,90.12,90.39,87.82,88.27,1237800
2022-05-09 20:00:00-04:00,89.35,89.93,86.77,88.38,1370200
2022-05-10 20:00:00-04:00,88.09,90.67,87.55,87.63,1169000
2022-05-11 20:00:00-04:00,86.78,87.80,84.69,86.74,1123500
2022-05-12 20:00:00-04:00,88.09,90.46,87.68,89.56,900300
2022-05-15 20:00:00-04:00,89.31,89.73,87.62,88.76,813000
2022-05-16 20:00:00-04:00,90.84,91.45,89.92,91.38,897500
2022-05-17 20:00:00-04:00,90.27,90.51,86.46,86.73,1323800
2022-05-18 20:00:00-04:00,85.41,87.18,85.06,86.30,900500
2022-05-19 20:00:00-04:00,87.52,88.30,84.51,86.52,1356700
2022-05-22 20:00:00-04:00,88.08,89.45,86.61,88.80,1696700
2022-05-23 20:00:00-04:00,88.04,88.20,85.60,87.79,1303000
2022-05-24 20:00:00-04:00,86.84,87.91,83.81,87.77,2313700
2022-05-25 20:00:00-04:00,88.42,91.72,88.42,90.63,1254500
2022-05-26 20:00:00-04:00,91.47,93.61,91.30,93.52,1193800
2022-05-30 20:00:00-04:00,92.61,94.23,92.57,92.86,2608400
2022-05-31 20:00:00-04:00,92.85,93.66,90.57,92.15,1840900
2022-06-01 20:00:00-04:00,92.16,93.37,91.37,92.73,3046800
2022-06-02 20:00:00-04:00,91.46,92.10,90.36,90.48,1333100
2022-06-05 20:00:00-04:00,92.50,93.69,90.89,91.79,1299700
2022-06-06 20:00:00-04:00,90.94,93.19,90.87,93.01,963100
2022-06-07 20:00:00-04:00,91.99,92.38,90.64,90.97,675500
2022-06-08 20:00:00-04:00,90.71,90.88,88.21,88.24,989300
2022-06-09 20:00:00-04:00,86.19,86.68,84.03,84.24,1302400
2022-06-12 20:00:00-04:00,81.59,82.12,80.01,80.56,1146300
2022-06-13 20:00:00-04:00,81.01,82.65,80.63,81.82,1178100
2022-06-14 20:00:00-04:00,82.81,84.47,81.59,82.95,1307700
2022-06-15 20:00:00-04:00,80.71,82.28,80.14,81.54,2048200
2022-06-16 20:00:00-04:00,81.54,83.81,81.54,82.49,2921800
2022-06-20 20:00:00-04:00,84.39,85.26,83.64,84.86,1455900
2022-06-21 20:00:00-04:00,83.29,84.86,83.29,83.60,1140800
2022-06-22 20:00:00-04:00,83.69,84.46,81.32,82.79,1016700
2022-06-23 20:00:00-04:00,83.53,87.36,83.53,87.21,1584000
