Date,Open,High,Low,Close,Volume
2022-04-05 20:00:00-04:00,463.46,470.04,459.45,467.35,491900
2022-04-06 20:00:00-04:00,466.05,475.98,464.72,473.09,681100
2022-04-07 20:00:00-04:00,472.93,474.51,469.49,470.06,479500
2022-04-10 20:00:00-04:00,469.90,471.74,465.66,468.71,413800
2022-04-11 20:00:00-04:00,469.61,471.95,458.48,458.69,479700
2022-04-12 20:00:00-04:00,458.86,460.24,454.96,457.23,434700
2022-04-13 20:00:00-04:00,457.01,460.27,449.26,449.59,347000
2022-04-17 20:00:00-04:00,448.29,450.41,441.96,445.15,236400
2022-04-18 20:00:00-04:00,446.33,452.21,445.19,451.14,371000
2022-04-19 20:00:00-04:00,455.25,458.66,453.11,457.01,635600
2022-04-20 20:00:00-04:00,461.39,465.12,455.81,457.50,562800
2022-04-21 20:00:00-04:00,455.89,458.90,442.37,442.68,620700
2022-04-24 20:00:00-04:00,443.50,444.54,435.90,443.85,1039100
2022-04-25 20:00:00-04:00,448.87,464.44,444.56,460.17,1022200
2022-04-26 20:00:00-04:00,462.02,467.24,456.29,462.78,776700
2022-04-27 20:00:00-04:00,467.71,475.24,465.03,471.26,553000
2022-04-28 20:00:00-04:00,466.48,469.57,454.23,458.13,1794500
2022-05-01 20:00:00-04:00,454.31,458.00,441.28,447.75,805300
2022-05-02 20:00:00-04:00,448.83,449.30,437.86,439.81,761700
2022-05-03 20:00:00-04:00,438.05,454.56,435.93,452.74,822600
2022-05-04 20:00:00-04:00,449.78,453.94,429.32,432.37,763800
2022-05-05 20:00:00-04:00,428.97,430.80,421.44,428.28,676800
2022-05-08 20:00:00-04:00,422.40,425.31,420.33,422.06,574300
2022-05-09 20:00:00-04:00,426.00,427.53,414.90,419.78,674000
2022-05-10 20:00:00-04:00,417.81,423.39,414.75,418.60,642600
2022-05-11 20:00:00-04:00,413.15,421.17,411.54,418.08,679700
2022-05-12 20:00:00-04:00,420.38,424.43,413.72,419.53,655200
2022-05-15 20:00:00-04:00,418.16,422.56,413.98,419.07,480100
2022-05-16 20:00:00-04:00,424.90,427.98,418.19,421.90,472500
2022-05-17 20:00:00-04:00,418.59,419.21,400.49,401.15,643500
2022-05-18 20:00:00-04:00,397.88,405.83,391.97,402.81,685600
2022-05-19 20:00:00-04:00,406.34,411.65,400.34,406.98,663400
2022-05-22 20:00:00-04:00,412.54,415.44,407.99,413.27,624800
