Date,Open,High,Low,Close,Volume
2018-07-01 20:00:00-04:00,45.22,45.90,45.00,45.88,6474800
2018-07-02 20:00:00-04:00,46.06,46.24,44.88,44.93,2490100
2018-07-04 20:00:00-04:00,45.22,45.22,44.20,44.25,8985400
2018-07-05 20:00:00-04:00,44.26,45.66,44.13,45.30,6753300
2018-07-08 20:00:00-04:00,45.52,46.52,45.47,46.41,6146200
2018-07-09 20:00:00-04:00,46.41,46.49,45.64,45.71,5354300
2018-07-10 20:00:00-04:00,45.35,45.63,44.93,45.14,6404600
2018-07-11 20:00:00-04:00,45.41,45.60,45.02,45.39,5749800
2018-07-12 20:00:00-04:00,45.36,45.41,44.63,45.27,4966000
2018-07-15 20:00:00-04:00,45.42,45.96,45.30,45.66,6211200
2018-07-16 20:00:00-04:00,46.98,48.10,46.94,47.29,8638700
2018-07-17 20:00:00-04:00,47.52,48.52,47.50,48.49,7565100
2018-07-18 20:00:00-04:00,48.21,48.35,47.15,47.29,6194400
2018-07-19 20:00:00-04:00,47.00,47.08,46.44,46.64,8035500
2018-07-22 20:00:00-04:00,46.64,47.16,46.50,47.05,3954500
2018-07-23 20:00:00-04:00,47.35,47.94,46.87,47.27,5280500
2018-07-24 20:00:00-04:00,47.25,47.50,46.91,47.34,5445100
2018-07-25 20:00:00-04:00,47.47,47.61,46.99,47.08,4841100
2018-07-26 20:00:00-04:00,47.17,47.41,46.63,47.00,3362100
2018-07-29 20:00:00-04:00,47.13,47.17,45.83,45.90,4894300
2018-07-30 20:00:00-04:00,46.24,46.27,45.49,45.66,5523300
2018-07-31 20:00:00-04:00,46.05,47.05,44.42,45.50,15252600
2018-08-01 20:00:00-04:00,44.89,45.15,44.48,44.83,7535800
2018-08-02 20:00:00-04:00,45.06,45.32,44.68,44.97,4219500
2018-08-05 20:00:00-04:00,44.94,45.14,44.63,45.07,5060200
2018-08-06 20:00:00-04:00,45.34,46.39,45.21,45.42,4598600
2018-08-07 20:00:00-04:00,45.42,45.42,45.09,45.16,4679600
2018-08-08 20:00:00-04:00,45.20,45.69,45.10,45.48,3993700
2018-08-09 20:00:00-04:00,44.99,45.47,44.64,45.38,4341700
2018-08-12 20:00:00-04:00,45.44,45.70,44.89,44.93,4798100
2018-08-13 20:00:00-04:00,45.05,45.46,45.03,45.31,3485100
2018-08-14 20:00:00-04:00,44.83,45.33,44.67,45.05,4024500
2018-08-15 20:00:00-04:00,45.23,46.10,45.13,45.84,3501200
2018-08-16 20:00:00-04:00,45.73,45.74,45.12,45.64,3627100
2018-08-19 20:00:00-04:00,45.73,46.20,45.67,46.10,2728700
2018-08-20 20:00:00-04:00,44.64,45.52,44.22,44.98,16320400
2018-08-21 20:00:00-04:00,44.80,46.18,44.74,45.66,4539500
2018-08-22 20:00:00-04:00,45.68,45.72,44.75,44.98,4859600
2018-08-23 20:00:00-04:00,45.25,45.65,45.20,45.32,3753300
2018-08-26 20:00:00-04:00,45.57,46.44,45.57,46.06,5548900
2018-08-27 20:00:00-04:00,46.25,46.44,45.89,45.94,4616900
2018-08-28 20:00:00-04:00,46.04,46.37,45.85,46.02,5642800
2018-08-29 20:00:00-04:00,45.86,45.99,45.29,45.33,4274300
2018-08-30 20:00:00-04:00,45.17,45.63,45.02,45.54,5005200
2018-09-03 20:00:00-04:00,45.53,46.25,45.38,46.01,3872900
2018-09-04 20:00:00-04:00,45.84,46.10,45.25,45.30,3995100
2018-09-05 20:00:00-04:00,45.28,45.52,44.07,44.39,7570700
2018-09-06 20:00:00-04:00,44.59,45.17,44.17,44.97,7999800
2018-09-09 20:00:00-04:00,45.28,45.64,45.17,45.39,5688300
2018-09-10 20:00:00-04:00,45.30,45.95,45.28,45.71,5720600
2018-09-11 20:00:00-04:00,45.73,45.83,45.35,45.47,5571100
2018-09-12 20:00:00-04:00,45.57,45.70,45.15,45.21,5870700
2018-09-13 20:00:00-04:00,45.36,46.24,45.36,45.87,4528200
2018-09-16 20:00:00-04:00,45.99,46.17,44.94,45.12,5916000
2018-09-17 20:00:00-04:00,45.11,45.57,45.03,45.39,4134100
2018-09-18 20:00:00-04:00,45.57,46.70,45.57,46.61,7506500
2018-09-19 20:00:00-04:00,46.92,47.25,46.52,46.69,4990500
2018-09-20 20:00:00-04:00,46.96,46.97,46.42,46.48,10145700
2018-09-23 20:00:00-04:00,46.44,46.47,45.98,46.23,3408100
2018-09-24 20:00:00-04:00,46.31,46.39,45.88,46.28,3002300
2018-09-25 20:00:00-04:00,46.38,46.50,45.42,45.48,4720900
2018-09-26 20:00:00-04:00,45.57,45.65,45.21,45.30,4687100
2018-09-27 20:00:00-04:00,45.06,45.09,43.99,44.07,8910900
2018-09-30 20:00:00-04:00,44.25,44.61,44.13,44.43,8177300
2018-10-01 20:00:00-04:00,44.40,44.76,43.92,44.70,5372800
2018-10-02 20:00:00-04:00,45.16,45.83,45.05,45.55,6494800
2018-10-03 20:00:00-04:00,45.74,47.04,45.55,46.34,8713300
2018-10-04 20:00:00-04:00,46.52,46.76,45.83,46.16,5824700
2018-10-07 20:00:00-04:00,45.95,46.47,45.76,46.33,4978900
2018-10-08 20:00:00-04:00,46.07,46.94,46.02,46.78,5211700
2018-10-09 20:00:00-04:00,46.70,46.78,44.44,44.46,10251300
2018-10-10 20:00:00-04:00,44.27,44.88,42.71,43.15,11334700
2018-10-11 20:00:00-04:00,44.30,44.35,42.85,43.94,9760400
2018-10-14 20:00:00-04:00,43.93,44.32,42.71,42.71,7733800
2018-10-15 20:00:00-04:00,43.09,43.41,42.27,43.24,12448500
2018-10-16 20:00:00-04:00,43.05,43.40,42.17,43.07,9183900
2018-10-17 20:00:00-04:00,43.03,43.14,41.63,41.87,8541800
2018-10-18 20:00:00-04:00,41.71,42.58,41.47,41.99,9329300
2018-10-21 20:00:00-04:00,42.09,42.15,40.87,40.89,7684600
2018-10-22 20:00:00-04:00,39.81,40.35,39.24,39.93,13935000
2018-10-23 20:00:00-04:00,39.91,39.96,38.06,38.17,11439200
2018-10-24 20:00:00-04:00,38.62,38.91,37.94,38.72,12270600
2018-10-25 20:00:00-04:00,38.22,38.98,37.67,38.72,13460600
2018-10-28 20:00:00-04:00,39.38,40.07,38.72,39.18,13380700
2018-10-29 20:00:00-04:00,39.78,40.95,39.62,40.86,11310800
2018-10-30 20:00:00-04:00,41.39,42.19,41.35,41.46,11654700
2018-10-31 20:00:00-04:00,41.55,41.87,41.21,41.59,7161300
2018-11-01 20:00:00-04:00,42.01,42.41,41.53,41.76,9786600
2018-11-04 19:00:00-05:00,41.81,42.57,41.62,42.39,7046000
2018-11-05 19:00:00-05:00,42.24,42.91,42.24,42.82,5272600
2018-11-06 19:00:00-05:00,43.04,43.68,42.62,43.56,7716400
2018-11-07 19:00:00-05:00,43.31,44.27,43.27,43.72,6938300
2018-11-08 19:00:00-05:00,43.57,43.62,42.72,42.83,7085600
2018-11-11 19:00:00-05:00,42.70,42.96,41.89,42.01,6605100
2018-11-12 19:00:00-05:00,42.12,42.94,42.03,42.30,6032900
2018-11-13 19:00:00-05:00,42.68,43.13,41.51,42.13,7682200
2018-11-14 19:00:00-05:00,41.70,42.74,41.34,42.54,10269000
2018-11-15 19:00:00-05:00,42.06,42.47,41.90,42.22,9703100
2018-11-18 19:00:00-05:00,41.71,42.16,40.77,41.33,7900600
2018-11-19 19:00:00-05:00,40.68,40.87,39.67,40.03,10363900
2018-11-20 19:00:00-05:00,40.47,41.02,40.18,40.34,4814700
2018-11-22 19:00:00-05:00,39.97,40.16,39.57,39.63,3013000
2018-11-25 19:00:00-05:00,40.48,41.16,40.23,40.54,8136300
2018-11-26 19:00:00-05:00,40.49,41.13,40.37,40.75,6842000
2018-11-27 19:00:00-05:00,40.83,41.09,40.28,41.05,7123500
2018-11-28 19:00:00-05:00,40.64,40.97,39.66,39.70,10844300
2018-11-29 19:00:00-05:00,39.62,40.28,39.48,40.28,13690700
2018-12-02 19:00:00-05:00,41.17,41.69,40.79,40.87,10053900
2018-12-03 19:00:00-05:00,40.66,40.73,38.42,38.67,11956800
2018-12-05 19:00:00-05:00,37.64,38.39,36.98,38.30,14379300
2018-12-06 19:00:00-05:00,38.21,38.88,37.15,37.28,9727400
2018-12-09 19:00:00-05:00,36.99,37.20,36.03,36.95,11550200
2018-12-10 19:00:00-05:00,37.67,37.97,36.93,37.08,9064100
2018-12-11 19:00:00-05:00,37.67,38.77,37.52,37.65,11777100
2018-12-12 19:00:00-05:00,37.56,38.09,36.98,37.25,8997100
2018-12-13 19:00:00-05:00,36.61,37.68,36.35,37.03,7750600
2018-12-16 19:00:00-05:00,36.76,37.52,36.36,36.59,7481400
2018-12-17 19:00:00-05:00,36.90,37.26,36.14,36.36,9218600
2018-12-18 19:00:00-05:00,36.31,36.99,35.42,35.71,12819400
2018-12-19 19:00:00-05:00,35.40,36.04,35.27,35.62,13919000
2018-12-20 19:00:00-05:00,35.29,36.08,34.99,35.19,17656400
