Date,Open,High,Low,Close,Volume
2022-04-05 20:00:00-04:00,246.74,254.20,245.18,253.22,1671300
2022-04-06 20:00:00-04:00,251.90,254.74,249.07,254.37,1559400
2022-04-07 20:00:00-04:00,255.50,257.21,252.99,254.31,1131300
2022-04-10 20:00:00-04:00,252.69,254.98,251.38,251.74,995900
2022-04-11 20:00:00-04:00,253.56,255.69,246.67,247.74,857600
2022-04-12 20:00:00-04:00,246.57,250.41,245.12,249.14,1282300
2022-04-13 20:00:00-04:00,250.53,251.90,243.69,243.84,1246800
2022-04-17 20:00:00-04:00,240.81,243.53,236.58,237.35,1389300
2022-04-18 20:00:00-04:00,237.81,244.75,237.81,243.21,1275500
2022-04-19 20:00:00-04:00,245.89,249.40,242.02,244.02,1705500
2022-04-20 20:00:00-04:00,247.20,249.17,242.32,242.59,1408400
2022-04-21 20:00:00-04:00,242.15,242.15,235.87,236.14,1426500
2022-04-24 20:00:00-04:00,236.34,239.45,232.07,239.13,1738500
2022-04-25 20:00:00-04:00,259.15,266.05,256.77,261.64,3950900
2022-04-26 20:00:00-04:00,262.96,273.81,262.68,269.37,3950200
2022-04-27 20:00:00-04:00,272.86,274.50,266.36,271.23,2367100
2022-04-28 20:00:00-04:00,269.99,274.78,264.08,265.10,3099500
2022-05-01 20:00:00-04:00,263.99,268.23,256.38,259.15,2870700
2022-05-02 20:00:00-04:00,258.87,261.36,256.39,259.71,2007000
2022-05-03 20:00:00-04:00,260.75,273.00,260.52,272.40,2059100
2022-05-04 20:00:00-04:00,270.07,272.05,263.80,267.02,2130000
2022-05-05 20:00:00-04:00,265.89,265.89,258.53,263.58,1758600
2022-05-08 20:00:00-04:00,260.31,270.77,259.86,267.04,2280300
2022-05-09 20:00:00-04:00,268.68,269.96,255.67,256.82,2208700
2022-05-10 20:00:00-04:00,255.85,261.74,254.32,255.18,1376500
2022-05-11 20:00:00-04:00,253.01,265.25,251.64,264.70,2637500
2022-05-12 20:00:00-04:00,265.78,267.95,260.79,263.53,1501600
2022-05-15 20:00:00-04:00,260.92,264.86,255.81,261.64,1278700
2022-05-16 20:00:00-04:00,265.43,266.54,257.10,259.61,1603800
2022-05-17 20:00:00-04:00,256.85,258.37,248.81,250.35,1526900
2022-05-18 20:00:00-04:00,249.08,254.47,246.58,250.65,1690300
2022-05-19 20:00:00-04:00,251.75,253.49,241.77,249.28,2576100
2022-05-22 20:00:00-04:00,251.85,253.00,248.72,250.56,1290300
2022-05-23 20:00:00-04:00,250.67,251.28,245.66,248.99,1450700
2022-05-24 20:00:00-04:00,248.56,256.54,247.16,256.21,1420800
2022-05-25 20:00:00-04:00,261.19,265.05,257.45,262.83,1363900
2022-05-26 20:00:00-04:00,264.89,267.09,263.35,267.06,1180100
2022-05-30 20:00:00-04:00,263.54,263.54,256.09,259.03,3950900
2022-05-31 20:00:00-04:00,261.04,261.04,254.58,256.34,1202100
2022-06-01 20:00:00-04:00,257.59,260.70,256.16,260.43,2271600
2022-06-02 20:00:00-04:00,257.83,264.24,257.46,259.84,1395800
2022-06-05 20:00:00-04:00,259.95,266.62,259.17,265.79,1220000
2022-06-06 20:00:00-04:00,262.98,268.96,262.33,267.91,1293200
2022-06-07 20:00:00-04:00,265.78,266.50,257.96,259.07,1154600
2022-06-08 20:00:00-04:00,258.32,264.65,253.07,253.18,1593100
2022-06-09 20:00:00-04:00,249.45,249.62,238.91,239.10,1513800
2022-06-12 20:00:00-04:00,233.33,237.01,228.68,229.87,1635600
2022-06-13 20:00:00-04:00,228.96,231.16,219.31,221.77,1539000
2022-06-14 20:00:00-04:00,223.93,225.66,216.86,221.29,1580200
2022-06-15 20:00:00-04:00,215.78,216.30,208.86,211.59,1553000
2022-06-16 20:00:00-04:00,211.21,218.67,207.02,215.30,2627900
2022-06-20 20:00:00-04:00,214.25,216.63,209.93,212.75,2509400
2022-06-21 20:00:00-04:00,207.90,216.04,207.78,213.77,2370500
2022-06-22 20:00:00-04:00,214.60,217.75,213.08,217.33,2481900
2022-06-23 20:00:00-04:00,219.37,223.87,218.40,223.48,2744300
2022-06-26 20:00:00-04:00,222.62,223.44,218.58,219.52,1633400
2022-06-27 20:00:00-04:00,221.39,223.59,215.32,215.80,1143300
2022-06-28 20:00:00-04:00,214.85,218.71,213.66,217.83,1266800
2022-06-29 20:00:00-04:00,216.47,218.02,211.26,216.38,1548400
2022-06-30 20:00:00-04:00,217.44,227.57,216.84,227.32,2295800
2022-07-04 20:00:00-04:00,225.17,234.50,223.21,234.09,2331100
2022-07-05 20:00:00-04:00,234.68,238.74,232.29,234.58,1817700
2022-07-06 20:00:00-04:00,232.70,237.50,231.17,231.44,1528300
2022-07-07 20:00:00-04:00,230.48,231.60,228.22,230.28,923500
2022-07-10 20:00:00-04:00,228.30,235.48,228.08,233.83,1214200
2022-07-11 20:00:00-04:00,236.84,243.70,235.42,238.27,1691000
2022-07-12 20:00:00-04:00,231.93,238.28,229.87,237.46,1308500
2022-07-13 20:00:00-04:00,234.13,236.92,232.49,236.22,1098300
2022-07-14 20:00:00-04:00,240.26,240.69,235.62,237.32,1109600
2022-07-17 20:00:00-04:00,237.84,238.78,233.93,235.07,1269600
