Date,Open,High,Low,Close,Volume
2022-04-05 20:00:00-04:00,64.57,66.17,64.33,66.15,6877400
2022-04-06 20:00:00-04:00,65.75,65.93,64.88,65.50,6436300
2022-04-07 20:00:00-04:00,65.70,66.30,65.40,66.13,3731200
2022-04-10 20:00:00-04:00,66.13,66.46,64.29,64.39,8172500
2022-04-11 20:00:00-04:00,64.38,65.65,63.97,65.31,6069500
2022-04-12 20:00:00-04:00,65.32,65.40,64.46,65.15,4667200
2022-04-13 20:00:00-04:00,65.20,65.95,64.83,65.70,5925800
2022-04-17 20:00:00-04:00,65.71,66.20,65.24,65.56,3716600
2022-04-18 20:00:00-04:00,65.90,66.09,65.21,65.94,3759200
2022-04-19 20:00:00-04:00,66.49,66.64,66.05,66.14,4583000
2022-04-20 20:00:00-04:00,65.95,66.78,65.79,66.11,4898800
2022-04-21 20:00:00-04:00,66.14,66.39,65.55,65.63,4861700
2022-04-24 20:00:00-04:00,65.83,65.98,63.93,64.82,7424100
2022-04-25 20:00:00-04:00,64.63,65.21,63.74,63.75,6880500
2022-04-26 20:00:00-04:00,63.89,64.43,62.98,63.53,6407600
2022-04-27 20:00:00-04:00,64.53,65.83,63.89,65.34,5702100
2022-04-28 20:00:00-04:00,65.09,65.16,63.35,63.45,8189500
2022-05-01 20:00:00-04:00,64.01,64.21,62.36,63.30,6371900
2022-05-02 20:00:00-04:00,63.27,64.44,62.99,63.22,4747600
2022-05-03 20:00:00-04:00,63.59,64.65,63.30,64.47,5712500
2022-05-04 20:00:00-04:00,64.19,64.96,63.49,64.03,4969700
2022-05-05 20:00:00-04:00,63.87,64.73,63.56,64.56,5242400
2022-05-08 20:00:00-04:00,64.24,64.84,63.37,64.18,6063500
2022-05-09 20:00:00-04:00,64.24,65.16,62.72,63.29,5314100
2022-05-10 20:00:00-04:00,63.47,64.83,63.29,63.96,5758900
2022-05-11 20:00:00-04:00,63.96,64.25,62.72,64.05,6631400
2022-05-12 20:00:00-04:00,64.48,64.60,63.41,64.27,5018100
2022-05-15 20:00:00-04:00,64.49,65.10,64.21,64.79,4537900
2022-05-16 20:00:00-04:00,65.01,65.10,63.61,64.70,4527900
2022-05-17 20:00:00-04:00,65.09,65.25,64.27,64.41,5498700
2022-05-18 20:00:00-04:00,64.32,64.44,63.28,63.99,5814900
2022-05-19 20:00:00-04:00,63.94,64.37,63.21,64.06,5758200
2022-05-22 20:00:00-04:00,64.67,65.18,64.03,64.70,3927300
2022-05-23 20:00:00-04:00,64.94,66.29,64.59,66.05,7298300
2022-05-24 20:00:00-04:00,66.14,66.39,65.57,66.05,3859800
2022-05-25 20:00:00-04:00,66.53,66.58,65.65,65.70,3561800
2022-05-26 20:00:00-04:00,65.54,66.41,65.50,66.38,3773800
2022-05-30 20:00:00-04:00,65.73,66.31,65.42,66.02,8118800
2022-05-31 20:00:00-04:00,66.14,66.25,65.23,65.92,4902600
2022-06-01 20:00:00-04:00,66.44,66.53,64.68,66.27,4732900
2022-06-02 20:00:00-04:00,66.04,66.26,65.55,65.67,2686200
