Date,Open,High,Low,Close,Volume
2018-07-01 20:00:00-04:00,188.94,190.57,188.44,190.57,1954800
2018-07-02 20:00:00-04:00,191.09,191.52,189.00,189.09,416200
2018-07-04 20:00:00-04:00,190.37,191.40,189.51,191.03,605500
2018-07-05 20:00:00-04:00,190.93,193.50,190.45,192.48,588200
2018-07-08 20:00:00-04:00,193.18,195.22,192.54,195.01,767000
2018-07-09 20:00:00-04:00,194.97,196.63,194.62,195.64,802400
2018-07-10 20:00:00-04:00,194.94,196.12,194.93,195.35,677500
2018-07-11 20:00:00-04:00,196.10,196.73,195.38,196.57,807600
2018-07-12 20:00:00-04:00,196.79,197.55,195.53,196.47,734200
2018-07-15 20:00:00-04:00,196.55,197.43,196.44,197.24,425000
2018-07-16 20:00:00-04:00,196.67,198.68,195.43,198.28,521800
2018-07-17 20:00:00-04:00,198.84,200.44,198.84,199.84,736200
2018-07-18 20:00:00-04:00,199.19,199.88,196.92,197.05,813600
2018-07-19 20:00:00-04:00,196.52,198.47,195.41,198.04,882000
2018-07-22 20:00:00-04:00,198.57,199.29,198.01,198.54,790500
2018-07-23 20:00:00-04:00,199.17,200.05,198.54,198.78,1159100
2018-07-24 20:00:00-04:00,198.67,200.62,198.12,200.33,1020400
2018-07-25 20:00:00-04:00,202.69,202.69,197.15,197.74,1171600
2018-07-26 20:00:00-04:00,198.27,199.16,188.86,190.14,1848400
2018-07-29 20:00:00-04:00,189.72,191.03,186.81,187.36,1484300
2018-07-30 20:00:00-04:00,188.41,189.57,186.10,186.95,1590500
2018-07-31 20:00:00-04:00,185.47,187.13,184.33,184.42,1531700
2018-08-01 20:00:00-04:00,183.45,184.87,182.84,184.00,1750700
2018-08-02 20:00:00-04:00,184.74,184.82,183.01,184.75,1032600
2018-08-05 20:00:00-04:00,184.68,185.55,184.39,185.17,1013900
2018-08-06 20:00:00-04:00,185.92,189.21,185.66,188.62,1594000
2018-08-07 20:00:00-04:00,188.57,189.52,187.30,187.80,796900
2018-08-08 20:00:00-04:00,188.19,189.08,187.35,187.43,732000
2018-08-09 20:00:00-04:00,186.97,188.34,186.31,187.77,843700
2018-08-12 20:00:00-04:00,187.76,188.61,186.90,187.04,949200
2018-08-13 20:00:00-04:00,188.33,189.75,188.18,189.40,511700
2018-08-14 20:00:00-04:00,187.73,189.90,186.89,188.14,846600
2018-08-15 20:00:00-04:00,189.32,189.91,188.62,189.05,642800
2018-08-16 20:00:00-04:00,189.25,189.82,188.43,189.44,649700
2018-08-19 20:00:00-04:00,189.71,190.69,189.51,190.20,586000
2018-08-20 20:00:00-04:00,190.49,191.50,190.14,190.60,1311200
2018-08-21 20:00:00-04:00,190.15,191.03,189.19,189.26,696700
2018-08-22 20:00:00-04:00,189.33,190.87,188.96,189.20,759500
2018-08-23 20:00:00-04:00,189.40,189.99,188.84,189.20,553700
2018-08-26 20:00:00-04:00,190.73,192.24,190.09,190.93,877900
2018-08-27 20:00:00-04:00,191.21,192.45,189.67,189.94,1207800
2018-08-28 20:00:00-04:00,189.41,193.09,189.11,192.86,1107500
2018-08-29 20:00:00-04:00,192.35,193.28,192.08,192.30,906700
