Date,Open,High,Low,Close,Volume
2022-04-05 20:00:00-04:00,235.93,240.71,235.46,239.95,386100
2022-04-06 20:00:00-04:00,239.68,241.39,238.23,239.55,628700
2022-04-07 20:00:00-04:00,239.37,241.92,237.14,240.21,480300
2022-04-10 20:00:00-04:00,239.25,240.18,235.60,238.39,417500
2022-04-11 20:00:00-04:00,238.38,242.69,236.93,237.70,386100
2022-04-12 20:00:00-04:00,237.47,241.69,236.82,240.43,285700
2022-04-13 20:00:00-04:00,241.47,242.19,235.26,235.72,533300
2022-04-17 20:00:00-04:00,235.83,236.39,232.37,233.25,320600
2022-04-18 20:00:00-04:00,234.75,239.61,233.99,238.50,343200
2022-04-19 20:00:00-04:00,239.91,246.78,239.91,243.87,389400
2022-04-20 20:00:00-04:00,245.17,246.33,238.47,239.04,469900
2022-04-21 20:00:00-04:00,236.24,236.41,224.75,225.10,509700
2022-04-24 20:00:00-04:00,223.81,230.36,221.13,229.64,483500
2022-04-25 20:00:00-04:00,227.40,228.57,224.96,225.11,243200
2022-04-26 20:00:00-04:00,225.48,227.38,222.43,223.05,385800
2022-04-27 20:00:00-04:00,224.15,225.21,221.49,223.44,324600
2022-04-28 20:00:00-04:00,221.43,221.87,215.26,216.04,513300
2022-05-01 20:00:00-04:00,217.24,218.46,211.58,216.05,610600
2022-05-02 20:00:00-04:00,216.80,219.21,215.65,217.99,424800
2022-05-03 20:00:00-04:00,217.87,225.03,214.92,224.03,287200
2022-05-04 20:00:00-04:00,222.56,223.29,216.71,218.85,428500
2022-05-05 20:00:00-04:00,216.95,218.44,213.42,216.67,555200
2022-05-08 20:00:00-04:00,213.36,214.54,204.74,205.54,803900
2022-05-09 20:00:00-04:00,207.43,208.86,202.63,207.67,637600
2022-05-10 20:00:00-04:00,207.04,211.27,204.29,204.97,672100
2022-05-11 20:00:00-04:00,205.54,214.90,201.58,210.58,655800
2022-05-12 20:00:00-04:00,212.36,215.43,207.79,208.45,570300
2022-05-15 20:00:00-04:00,208.45,210.64,206.47,210.14,383000
2022-05-16 20:00:00-04:00,212.27,213.71,209.62,213.70,380500
2022-05-17 20:00:00-04:00,211.60,212.73,210.66,211.27,407500
2022-05-18 20:00:00-04:00,210.37,215.91,210.33,215.41,505800
2022-05-19 20:00:00-04:00,217.62,218.55,213.24,217.86,578700
2022-05-22 20:00:00-04:00,220.99,221.39,215.65,219.40,388900
2022-05-23 20:00:00-04:00,219.00,220.65,215.99,220.39,333000
2022-05-24 20:00:00-04:00,220.08,222.01,218.35,220.25,364900
2022-05-25 20:00:00-04:00,221.84,222.90,220.70,222.46,289300
2022-05-26 20:00:00-04:00,223.93,227.66,223.35,226.59,253400
2022-05-30 20:00:00-04:00,224.19,225.88,219.87,220.04,864700
2022-05-31 20:00:00-04:00,220.03,220.87,210.87,213.54,664500
2022-06-01 20:00:00-04:00,213.96,219.33,209.88,219.19,342500
2022-06-02 20:00:00-04:00,217.28,217.76,211.92,212.58,503900
2022-06-05 20:00:00-04:00,213.72,216.01,211.19,213.96,324700
2022-06-06 20:00:00-04:00,212.64,219.08,212.24,219.03,522100
2022-06-07 20:00:00-04:00,217.90,221.75,217.79,219.71,869300
2022-06-08 20:00:00-04:00,217.24,218.75,213.53,213.66,496300
2022-06-09 20:00:00-04:00,210.29,216.20,208.36,212.99,470400
2022-06-12 20:00:00-04:00,207.97,209.65,202.93,204.07,478700
2022-06-13 20:00:00-04:00,204.20,204.28,194.16,196.77,781800
2022-06-14 20:00:00-04:00,198.35,199.53,190.93,195.43,736100
2022-06-15 20:00:00-04:00,191.41,192.04,186.64,188.46,593000
2022-06-16 20:00:00-04:00,188.62,191.41,185.88,186.25,972100
2022-06-20 20:00:00-04:00,189.01,191.28,186.45,188.57,486700
2022-06-21 20:00:00-04:00,186.75,195.02,186.75,194.03,563700
2022-06-22 20:00:00-04:00,195.11,198.32,193.20,195.58,520600
2022-06-23 20:00:00-04:00,197.48,200.94,196.23,200.85,790400
2022-06-26 20:00:00-04:00,200.98,202.28,199.18,200.76,287000
2022-06-27 20:00:00-04:00,201.90,202.52,197.00,197.62,394500
2022-06-28 20:00:00-04:00,198.76,201.56,197.10,201.27,363100
2022-06-29 20:00:00-04:00,199.31,201.92,197.46,199.16,482300
2022-06-30 20:00:00-04:00,199.86,204.66,198.15,203.81,372000
2022-07-04 20:00:00-04:00,201.22,201.86,196.73,201.66,445100
2022-07-05 20:00:00-04:00,201.74,204.41,200.39,203.26,659200
2022-07-06 20:00:00-04:00,203.42,204.35,199.96,200.18,473200
2022-07-07 20:00:00-04:00,200.26,203.38,200.26,202.30,419300
2022-07-10 20:00:00-04:00,199.94,203.18,199.94,202.00,462700
2022-07-11 20:00:00-04:00,201.46,205.16,199.63,200.89,692400
2022-07-12 20:00:00-04:00,198.07,200.64,197.71,198.46,362300
2022-07-13 20:00:00-04:00,198.11,200.23,196.29,199.78,458700
2022-07-14 20:00:00-04:00,202.89,203.63,200.95,202.17,363400
2022-07-17 20:00:00-04:00,202.25,203.74,200.22,200.88,434300
2022-07-18 20:00:00-04:00,202.95,205.99,202.93,205.75,497800
2022-07-19 20:00:00-04:00,205.78,207.87,204.40,206.20,260500
2022-07-20 20:00:00-04:00,207.25,212.36,205.89,212.26,390600
2022-07-21 20:00:00-04:00,213.45,215.86,209.23,210.16,273400
2022-07-24 20:00:00-04:00,210.55,210.93,209.13,210.68,186700
2022-07-25 20:00:00-04:00,210.55,212.41,209.09,212.02,270300
2022-07-26 20:00:00-04:00,213.64,215.30,212.02,214.02,454200
2022-07-27 20:00:00-04:00,214.69,218.46,212.84,217.48,452300
2022-07-28 20:00:00-04:00,217.55,219.31,216.33,218.00,472900
2022-07-31 20:00:00-04:00,216.24,217.35,213.98,214.97,432500
2022-08-01 20:00:00-04:00,214.84,219.66,213.63,216.83,482000
2022-08-02 20:00:00-04:00,210.13,210.85,193.73,196.12,1329900
2022-08-03 20:00:00-04:00,195.00,201.36,193.56,200.94,981300
2022-08-04 20:00:00-04:00,199.89,204.86,198.91,204.80,710700
2022-08-07 20:00:00-04:00,206.19,206.77,204.34,206.19,727700
2022-08-08 20:00:00-04:00,207.03,207.78,201.25,201.88,621800
2022-08-09 20:00:00-04:00,205.31,205.40,202.50,203.13,358500
2022-08-10 20:00:00-04:00,204.92,206.87,202.90,203.09,246100
2022-08-11 20:00:00-04:00,203.60,206.84,203.04,206.65,269500
2022-08-14 20:00:00-04:00,205.22,207.38,204.61,206.71,185000
2022-08-15 20:00:00-04:00,205.31,207.42,203.56,205.27,283600
2022-08-16 20:00:00-04:00,203.73,205.01,202.91,204.46,267000
2022-08-17 20:00:00-04:00,205.69,205.95,203.44,205.61,315400
2022-08-18 20:00:00-04:00,204.32,204.79,202.48,202.78,397300
2022-08-21 20:00:00-04:00,200.46,201.58,197.65,198.48,392200
2022-08-22 20:00:00-04:00,198.12,198.21,194.50,195.92,237300
2022-08-23 20:00:00-04:00,196.42,199.17,195.59,198.57,304200
2022-08-24 20:00:00-04:00,199.98,203.15,198.78,203.03,332400
2022-08-25 20:00:00-04:00,203.15,203.15,194.08,194.18,318900
2022-08-28 20:00:00-04:00,192.44,193.34,189.51,191.79,727300
2022-08-29 20:00:00-04:00,191.88,192.44,189.73,191.77,357500
2022-08-30 20:00:00-04:00,193.03,196.34,193.03,194.56,868400
2022-08-31 20:00:00-04:00,193.26,194.20,191.82,193.44,571300
2022-09-01 20:00:00-04:00,195.14,196.77,191.16,192.42,343300
2022-09-05 20:00:00-04:00,192.71,193.87,189.99,191.15,400600
2022-09-06 20:00:00-04:00,191.38,197.74,191.27,197.49,412800
2022-09-07 20:00:00-04:00,195.50,199.36,195.32,198.36,457300
2022-09-08 20:00:00-04:00,198.87,204.32,198.87,203.65,555800
2022-09-11 20:00:00-04:00,204.37,206.91,203.61,205.30,769000
2022-09-12 20:00:00-04:00,202.21,203.87,198.61,198.82,504900
2022-09-13 20:00:00-04:00,198.92,199.16,195.80,197.21,498600
2022-09-14 20:00:00-04:00,196.93,198.69,192.75,193.06,554500
2022-09-15 20:00:00-04:00,190.79,191.62,187.56,187.60,1409000
2022-09-18 20:00:00-04:00,185.88,186.99,182.03,184.19,829200
2022-09-19 20:00:00-04:00,182.02,182.02,175.59,177.32,901500
2022-09-20 20:00:00-04:00,177.77,178.37,171.93,172.03,809900
2022-09-21 20:00:00-04:00,171.28,172.60,170.13,171.17,892500
2022-09-22 20:00:00-04:00,166.98,167.36,157.06,162.00,1476300
2022-09-25 20:00:00-04:00,161.85,162.47,156.16,158.91,1031300
2022-09-26 20:00:00-04:00,160.66,160.66,155.02,155.64,952400
2022-09-27 20:00:00-04:00,157.32,159.02,155.32,157.66,636500
2022-09-28 20:00:00-04:00,156.49,162.19,155.93,161.83,1087200
2022-09-29 20:00:00-04:00,162.63,165.16,160.04,161.03,1285600
2022-10-02 20:00:00-04:00,163.47,166.91,162.00,164.70,548700
2022-10-03 20:00:00-04:00,166.76,170.56,166.61,170.27,710200
2022-10-04 20:00:00-04:00,167.55,169.94,164.64,167.57,744000
2022-10-05 20:00:00-04:00,167.56,168.31,165.90,167.28,949700
2022-10-06 20:00:00-04:00,166.56,166.84,164.16,164.81,831500
2022-10-09 20:00:00-04:00,165.96,165.96,161.65,163.23,463700
2022-10-10 20:00:00-04:00,163.23,164.73,160.80,163.33,489100
2022-10-11 20:00:00-04:00,163.33,163.33,156.95,157.14,623400
2022-10-12 20:00:00-04:00,154.43,165.54,154.18,164.11,694100
2022-10-13 20:00:00-04:00,165.22,165.35,159.04,160.60,720000
2022-10-16 20:00:00-04:00,163.19,165.97,161.55,164.68,517200
2022-10-17 20:00:00-04:00,168.44,168.71,164.74,165.39,384600
2022-10-18 20:00:00-04:00,164.02,165.18,160.51,161.85,417600
2022-10-19 20:00:00-04:00,161.15,163.20,159.81,160.61,448800
2022-10-20 20:00:00-04:00,160.37,162.52,158.21,161.94,389900
