Date,Open,High,Low,Close,Volume
2022-04-05 20:00:00-04:00,111.18,112.71,109.45,109.87,2707000
2022-04-06 20:00:00-04:00,108.97,110.18,106.18,108.62,2440900
2022-04-07 20:00:00-04:00,108.38,109.57,106.77,107.93,1417200
2022-04-10 20:00:00-04:00,107.16,109.76,106.64,106.75,1973000
2022-04-11 20:00:00-04:00,108.01,109.07,105.85,106.22,1547200
2022-04-12 20:00:00-04:00,106.43,108.74,105.71,108.01,1466800
2022-04-13 20:00:00-04:00,108.57,108.68,103.84,103.91,2220400
2022-04-17 20:00:00-04:00,103.53,105.92,103.41,105.26,1593100
2022-04-18 20:00:00-04:00,105.47,107.86,104.29,107.68,1564300
2022-04-19 20:00:00-04:00,108.66,109.29,106.28,106.63,1477000
2022-04-20 20:00:00-04:00,108.32,109.62,104.00,104.27,1978200
2022-04-21 20:00:00-04:00,104.14,104.96,101.41,101.59,1898900
2022-04-24 20:00:00-04:00,101.18,104.18,99.97,104.05,1517500
2022-04-25 20:00:00-04:00,102.84,103.08,99.18,99.20,1713400
2022-04-26 20:00:00-04:00,98.15,101.70,98.15,98.91,1882600
2022-04-27 20:00:00-04:00,100.62,105.10,99.30,103.84,2567800
2022-04-28 20:00:00-04:00,102.83,105.04,99.78,100.00,2131800
2022-05-01 20:00:00-04:00,100.63,104.77,100.22,104.60,2169700
2022-05-02 20:00:00-04:00,104.41,106.61,103.24,105.45,2482100
2022-05-03 20:00:00-04:00,100.75,101.35,91.03,100.21,6250900
2022-05-04 20:00:00-04:00,98.09,98.12,93.10,94.83,3734500
2022-05-05 20:00:00-04:00,94.61,95.21,91.27,93.30,2872200
2022-05-08 20:00:00-04:00,92.09,93.93,89.89,90.18,2514700
2022-05-09 20:00:00-04:00,92.00,92.62,88.33,90.70,2639600
2022-05-10 20:00:00-04:00,90.02,91.63,87.56,87.66,2228100
2022-05-11 20:00:00-04:00,86.75,89.48,86.14,88.22,2537500
2022-05-12 20:00:00-04:00,89.51,91.87,88.91,91.34,2414100
2022-05-15 20:00:00-04:00,91.02,91.34,89.57,90.02,1461300
2022-05-16 20:00:00-04:00,91.94,94.87,90.93,94.31,2765000
2022-05-17 20:00:00-04:00,92.78,93.55,89.50,89.84,2797300
2022-05-18 20:00:00-04:00,89.54,91.59,88.28,89.37,2061400
2022-05-19 20:00:00-04:00,91.26,91.36,87.28,90.91,2667300
2022-05-22 20:00:00-04:00,91.31,91.63,89.45,90.76,1390600
2022-05-23 20:00:00-04:00,89.87,89.87,87.42,88.64,1775100
2022-05-24 20:00:00-04:00,88.44,90.74,88.00,90.26,1511600
2022-05-25 20:00:00-04:00,89.63,93.48,89.22,92.78,2244000
2022-05-26 20:00:00-04:00,93.89,96.49,93.89,96.48,2447700
2022-05-30 20:00:00-04:00,96.66,97.29,94.52,96.62,2414400
2022-05-31 20:00:00-04:00,97.36,97.60,93.81,95.20,1599900
2022-06-01 20:00:00-04:00,94.94,98.40,94.38,98.37,1811000
2022-06-02 20:00:00-04:00,96.16,96.29,94.52,94.70,1401100
2022-06-05 20:00:00-04:00,96.33,96.89,93.98,94.82,981900
2022-06-06 20:00:00-04:00,93.98,96.68,93.37,96.42,1081400
