Date,Open,High,Low,Close,Volume
2022-04-05 20:00:00-04:00,119.18,120.12,117.61,119.61,2157400
2022-04-06 20:00:00-04:00,118.90,119.97,117.09,119.06,1525000
2022-04-07 20:00:00-04:00,118.96,122.26,118.96,120.61,1565700
2022-04-10 20:00:00-04:00,120.59,123.76,120.43,120.68,1632000
2022-04-11 20:00:00-04:00,121.53,123.76,119.58,120.06,1385400
2022-04-12 20:00:00-04:00,119.83,121.69,119.33,121.06,1394500
2022-04-13 20:00:00-04:00,121.35,122.34,119.38,120.10,2198700
2022-04-17 20:00:00-04:00,119.38,120.54,118.12,119.97,1488400
2022-04-18 20:00:00-04:00,121.00,123.91,121.00,123.73,1667800
2022-04-19 20:00:00-04:00,124.99,126.13,123.27,123.49,2015000
2022-04-20 20:00:00-04:00,124.98,126.11,123.07,123.46,1554100
2022-04-21 20:00:00-04:00,122.22,123.57,121.00,121.10,2092800
2022-04-24 20:00:00-04:00,120.87,121.61,118.20,121.09,3087000
2022-04-25 20:00:00-04:00,120.22,121.60,118.18,118.27,2705100
2022-04-26 20:00:00-04:00,118.78,120.49,117.75,119.09,2391300
2022-04-27 20:00:00-04:00,108.61,111.93,107.16,108.81,4541900
2022-04-28 20:00:00-04:00,107.59,110.83,102.58,102.83,4541900
2022-05-01 20:00:00-04:00,102.32,106.37,101.76,105.11,3138500
2022-05-02 20:00:00-04:00,105.03,109.30,104.73,108.05,2761200
2022-05-03 20:00:00-04:00,108.00,112.45,106.90,112.03,2159900
2022-05-04 20:00:00-04:00,110.26,110.52,104.78,105.80,1563400
2022-05-05 20:00:00-04:00,105.96,105.96,102.33,103.59,2276000
2022-05-08 20:00:00-04:00,102.04,108.96,101.95,107.55,1951100
2022-05-09 20:00:00-04:00,108.18,108.96,102.71,103.98,2306400
2022-05-10 20:00:00-04:00,104.26,104.71,101.43,101.60,1884100
2022-05-11 20:00:00-04:00,101.50,104.19,100.59,103.11,1840000
2022-05-12 20:00:00-04:00,103.70,105.27,102.89,104.08,1485800
2022-05-15 20:00:00-04:00,103.94,103.94,99.09,101.37,1677700
2022-05-16 20:00:00-04:00,103.07,105.34,101.64,105.23,1514600
2022-05-17 20:00:00-04:00,103.67,103.79,99.10,99.41,1569000
2022-05-18 20:00:00-04:00,98.43,101.16,97.78,99.33,2178900
2022-05-19 20:00:00-04:00,100.17,100.62,96.18,99.58,1619600
2022-05-22 20:00:00-04:00,100.75,102.51,100.31,100.75,1374400
2022-05-23 20:00:00-04:00,100.33,100.40,96.99,99.32,1378000
2022-05-24 20:00:00-04:00,99.05,101.94,98.51,101.51,1253500
2022-05-25 20:00:00-04:00,102.40,104.42,101.34,102.02,1609700
2022-05-26 20:00:00-04:00,103.60,104.26,101.53,102.43,1737900
2022-05-30 20:00:00-04:00,101.27,102.29,99.81,101.59,2386400
