Date,Open,High,Low,Close,Volume
2018-07-01 20:00:00-04:00,55.33,55.63,54.95,55.20,1578700
2018-07-02 20:00:00-04:00,55.38,55.94,55.24,55.68,851800
2018-07-04 20:00:00-04:00,55.82,56.66,55.80,56.64,1667300
2018-07-05 20:00:00-04:00,56.48,56.88,56.43,56.66,1442100
2018-07-08 20:00:00-04:00,56.79,56.99,56.46,56.61,1695100
2018-07-09 20:00:00-04:00,56.66,57.09,56.57,56.88,1422400
2018-07-10 20:00:00-04:00,56.82,56.87,56.32,56.67,1769800
2018-07-11 20:00:00-04:00,56.81,57.11,56.67,57.03,1348100
2018-07-12 20:00:00-04:00,56.96,57.84,56.82,57.77,1552000
2018-07-15 20:00:00-04:00,57.66,57.87,57.42,57.56,1894500
2018-07-16 20:00:00-04:00,57.53,58.24,57.53,58.04,2104900
2018-07-17 20:00:00-04:00,58.04,58.22,57.34,57.42,2767600
2018-07-18 20:00:00-04:00,57.53,58.02,57.23,57.88,2577600
2018-07-19 20:00:00-04:00,57.73,58.17,57.72,57.98,1886800
2018-07-22 20:00:00-04:00,58.06,58.44,57.75,57.86,1574400
2018-07-23 20:00:00-04:00,57.44,57.81,57.06,57.35,2544600
2018-07-24 20:00:00-04:00,57.36,57.95,57.21,57.92,1781000
2018-07-25 20:00:00-04:00,58.08,58.74,58.08,58.58,1891100
2018-07-26 20:00:00-04:00,58.66,58.77,58.26,58.37,1793800
2018-07-29 20:00:00-04:00,57.90,58.00,53.72,54.44,7429725
2018-07-30 20:00:00-04:00,54.33,55.15,54.14,54.88,5212300
2018-07-31 20:00:00-04:00,54.88,55.21,54.43,54.77,3021100
2018-08-01 20:00:00-04:00,54.67,55.73,54.60,55.56,3220600
2018-08-02 20:00:00-04:00,55.67,56.21,55.62,55.99,1749800
2018-08-05 20:00:00-04:00,56.25,57.24,56.25,56.93,3598800
2018-08-06 20:00:00-04:00,57.10,57.15,56.58,56.79,2186500
2018-08-07 20:00:00-04:00,56.80,57.24,56.64,57.04,2088000
2018-08-08 20:00:00-04:00,57.15,57.72,57.04,57.19,1744700
2018-08-09 20:00:00-04:00,56.20,56.80,55.66,55.92,3870900
2018-08-12 20:00:00-04:00,58.05,60.47,58.05,59.41,7429725
2018-08-13 20:00:00-04:00,59.76,61.03,59.15,60.58,3969600
2018-08-14 20:00:00-04:00,60.22,61.35,59.65,61.15,3553400
2018-08-15 20:00:00-04:00,61.41,61.51,59.90,60.33,3430400
2018-08-16 20:00:00-04:00,60.38,61.24,60.12,61.11,5075300
2018-08-19 20:00:00-04:00,61.17,61.44,60.78,61.39,2841900
2018-08-20 20:00:00-04:00,61.35,61.42,60.53,60.73,2887700
2018-08-21 20:00:00-04:00,60.85,61.41,60.71,61.31,1810400
2018-08-22 20:00:00-04:00,61.24,61.65,61.19,61.42,2386300
2018-08-23 20:00:00-04:00,61.60,62.04,61.37,61.88,2928500
2018-08-26 20:00:00-04:00,61.47,61.59,60.71,60.87,2233300
2018-08-27 20:00:00-04:00,60.87,61.24,60.66,60.75,1972500
2018-08-28 20:00:00-04:00,60.90,61.15,60.16,60.58,2901300
2018-08-29 20:00:00-04:00,60.53,60.80,60.35,60.40,2079800
2018-08-30 20:00:00-04:00,60.55,61.15,60.42,61.10,1880600
2018-09-03 20:00:00-04:00,60.75,61.60,60.75,61.53,1925600
2018-09-04 20:00:00-04:00,61.35,61.46,61.08,61.24,3278200
2018-09-05 20:00:00-04:00,60.86,61.34,60.86,61.22,3722700
2018-09-06 20:00:00-04:00,61.08,61.55,60.93,61.00,3809500
2018-09-09 20:00:00-04:00,61.17,61.83,61.06,61.28,4904900
2018-09-10 20:00:00-04:00,61.48,61.51,61.10,61.20,3453800
2018-09-11 20:00:00-04:00,61.17,61.31,60.25,60.83,5501500
2018-09-12 20:00:00-04:00,60.43,60.81,59.99,60.10,3812200
2018-09-13 20:00:00-04:00,59.90,60.22,59.62,60.05,3520300
2018-09-16 20:00:00-04:00,60.19,60.19,59.54,60.01,2288000
2018-09-17 20:00:00-04:00,60.09,60.21,59.59,59.65,2590300
2018-09-18 20:00:00-04:00,59.64,59.94,59.37,59.55,1853700
2018-09-19 20:00:00-04:00,59.72,60.03,59.43,59.85,1641900
2018-09-20 20:00:00-04:00,59.82,59.91,59.28,59.59,3550900
2018-09-23 20:00:00-04:00,59.58,59.89,59.38,59.57,3670100
2018-09-24 20:00:00-04:00,59.60,60.09,59.56,59.66,1461000
2018-09-25 20:00:00-04:00,59.72,60.02,59.53,59.56,2413200
2018-09-26 20:00:00-04:00,59.45,59.86,59.13,59.47,1769900
2018-09-27 20:00:00-04:00,59.54,60.17,59.42,59.82,2159200
2018-09-30 20:00:00-04:00,60.02,60.35,59.56,59.64,2535000
2018-10-01 20:00:00-04:00,59.69,60.17,59.67,59.84,1560600
2018-10-02 20:00:00-04:00,59.99,60.21,59.19,59.29,2042200
2018-10-03 20:00:00-04:00,59.24,59.42,58.90,59.20,1374800
2018-10-04 20:00:00-04:00,59.06,59.47,58.90,59.11,2409900
2018-10-07 20:00:00-04:00,59.15,59.74,59.10,59.64,1553000
2018-10-08 20:00:00-04:00,59.33,59.54,58.87,58.92,2722800
2018-10-09 20:00:00-04:00,58.83,59.07,57.74,57.78,3131700
2018-10-10 20:00:00-04:00,57.79,57.84,56.18,56.21,3074700
2018-10-11 20:00:00-04:00,56.74,56.87,55.90,56.48,2169700
2018-10-14 20:00:00-04:00,56.31,57.00,56.31,56.59,1741600
2018-10-15 20:00:00-04:00,56.83,57.66,56.65,57.56,1516200
2018-10-16 20:00:00-04:00,57.61,57.86,57.25,57.76,1774800
2018-10-17 20:00:00-04:00,57.87,58.34,57.64,57.90,1600400
2018-10-18 20:00:00-04:00,58.31,58.56,57.94,58.35,2441800
2018-10-21 20:00:00-04:00,58.49,58.63,57.86,58.09,1755500
2018-10-22 20:00:00-04:00,57.70,58.93,57.44,58.68,2528600
2018-10-23 20:00:00-04:00,58.64,60.25,58.56,59.07,2742000
