Date,Open,High,Low,Close,Volume
2022-04-05 20:00:00-04:00,536.35,541.31,532.42,538.57,307900
2022-04-06 20:00:00-04:00,536.90,544.35,531.42,541.40,217400
2022-04-07 20:00:00-04:00,542.80,544.97,532.20,532.61,160100
2022-04-10 20:00:00-04:00,530.48,538.01,526.41,526.55,178100
2022-04-11 20:00:00-04:00,528.60,538.62,526.32,529.03,222800
2022-04-12 20:00:00-04:00,531.71,534.66,526.42,528.75,226600
2022-04-13 20:00:00-04:00,532.12,538.80,529.48,530.67,325200
2022-04-17 20:00:00-04:00,531.20,531.20,519.90,526.27,445600
2022-04-18 20:00:00-04:00,526.27,537.87,526.27,535.04,160200
2022-04-19 20:00:00-04:00,537.72,540.14,533.78,534.71,145500
2022-04-20 20:00:00-04:00,547.11,547.11,525.32,527.08,237800
2022-04-21 20:00:00-04:00,525.28,533.14,518.13,518.64,283700
2022-04-24 20:00:00-04:00,513.89,521.14,509.92,520.83,305000
2022-04-25 20:00:00-04:00,515.13,521.13,510.15,510.15,215700
2022-04-26 20:00:00-04:00,508.16,515.14,501.55,511.37,258700
2022-04-27 20:00:00-04:00,515.76,518.83,506.18,514.34,206300
2022-04-28 20:00:00-04:00,510.78,513.48,493.37,494.37,281200
2022-05-01 20:00:00-04:00,494.52,504.84,487.17,501.08,423900
2022-05-02 20:00:00-04:00,505.13,509.52,496.43,502.19,340700
2022-05-03 20:00:00-04:00,501.00,518.78,495.84,516.75,282100
2022-05-04 20:00:00-04:00,512.61,513.20,491.65,496.72,312500
2022-05-05 20:00:00-04:00,495.17,497.75,479.17,485.49,337900
2022-05-08 20:00:00-04:00,478.57,479.71,449.05,453.55,700400
2022-05-09 20:00:00-04:00,468.76,483.96,457.92,470.63,630100
2022-05-10 20:00:00-04:00,468.38,490.31,468.38,474.39,422500
2022-05-11 20:00:00-04:00,472.99,474.20,446.78,457.07,492800
2022-05-12 20:00:00-04:00,461.54,473.92,461.54,468.61,263100
2022-05-15 20:00:00-04:00,464.51,469.88,453.62,453.99,334000
2022-05-16 20:00:00-04:00,463.00,471.02,456.46,462.83,286800
