Date,Open,High,Low,Close,Volume
2018-07-01 20:00:00-04:00,69.07,70.34,68.75,69.04,88200
2018-07-02 20:00:00-04:00,69.04,69.34,68.75,68.99,118800
2018-07-04 20:00:00-04:00,69.14,71.49,69.14,71.02,116100
2018-07-05 20:00:00-04:00,70.93,72.57,70.73,71.52,238500
2018-07-08 20:00:00-04:00,71.52,72.86,71.21,72.86,171900
2018-07-09 20:00:00-04:00,73.31,74.75,72.97,74.65,253800
2018-07-10 20:00:00-04:00,74.50,77.96,74.32,77.88,288900
2018-07-11 20:00:00-04:00,78.84,81.09,77.69,78.93,255600
2018-07-12 20:00:00-04:00,79.27,79.27,77.98,78.67,76500
2018-07-15 20:00:00-04:00,78.53,78.53,77.56,78.41,72000
2018-07-16 20:00:00-04:00,78.08,78.34,76.52,77.47,63900
2018-07-17 20:00:00-04:00,77.28,77.28,75.75,76.63,104400
2018-07-18 20:00:00-04:00,76.59,76.96,75.54,76.04,60300
2018-07-19 20:00:00-04:00,76.32,76.98,75.51,76.98,82800
2018-07-22 20:00:00-04:00,77.25,78.28,76.00,76.77,93600
2018-07-23 20:00:00-04:00,77.52,77.63,76.88,77.34,74700
2018-07-24 20:00:00-04:00,77.19,77.24,76.49,76.88,69300
2018-07-25 20:00:00-04:00,76.73,77.11,74.50,74.50,89100
2018-07-26 20:00:00-04:00,74.50,75.63,72.62,73.51,104400
2018-07-29 20:00:00-04:00,73.81,73.81,71.52,72.89,117000
2018-07-30 20:00:00-04:00,73.31,74.93,72.02,73.52,128700
2018-07-31 20:00:00-04:00,75.99,79.47,75.99,78.58,257400
2018-08-01 20:00:00-04:00,78.38,80.37,78.38,79.81,199800
2018-08-02 20:00:00-04:00,79.75,79.97,78.33,79.35,135000
2018-08-05 20:00:00-04:00,79.39,80.82,79.13,79.88,126900
2018-08-06 20:00:00-04:00,80.81,81.06,80.02,80.60,195300
2018-08-07 20:00:00-04:00,80.08,80.35,79.73,80.06,41400
2018-08-08 20:00:00-04:00,80.93,82.04,79.77,80.26,130500
2018-08-09 20:00:00-04:00,80.56,80.93,78.97,79.97,90000
2018-08-12 20:00:00-04:00,79.97,81.76,78.46,79.39,119700
2018-08-13 20:00:00-04:00,79.18,79.37,77.51,77.51,117900
2018-08-14 20:00:00-04:00,77.06,78.58,75.50,77.69,89100
2018-08-15 20:00:00-04:00,78.54,79.27,77.93,78.38,81000
2018-08-16 20:00:00-04:00,78.48,78.84,77.70,78.84,76500
2018-08-19 20:00:00-04:00,79.47,79.97,78.98,79.97,96300
2018-08-20 20:00:00-04:00,80.12,80.42,79.15,79.47,90000
2018-08-21 20:00:00-04:00,79.55,79.94,79.47,79.57,35100
2018-08-22 20:00:00-04:00,79.87,81.36,79.17,81.00,143100
2018-08-23 20:00:00-04:00,81.36,84.28,81.36,84.14,140400
2018-08-26 20:00:00-04:00,84.68,86.82,84.68,85.09,168300
2018-08-27 20:00:00-04:00,85.23,85.47,81.71,81.86,94500
2018-08-28 20:00:00-04:00,82.50,83.25,80.96,80.96,193500
2018-08-29 20:00:00-04:00,81.60,83.00,81.22,82.34,91800
2018-08-30 20:00:00-04:00,82.91,83.36,81.78,82.91,119700
2018-09-03 20:00:00-04:00,83.45,85.23,82.78,85.12,160200
2018-09-04 20:00:00-04:00,85.12,85.12,83.60,84.36,60300
2018-09-05 20:00:00-04:00,85.27,85.43,83.16,83.42,101700
2018-09-06 20:00:00-04:00,84.29,84.29,82.77,83.05,82800
2018-09-09 20:00:00-04:00,82.95,82.95,81.46,81.90,60300
2018-09-10 20:00:00-04:00,82.34,83.94,82.34,83.71,168300
2018-09-11 20:00:00-04:00,84.33,84.33,82.39,82.95,151200
2018-09-12 20:00:00-04:00,82.95,83.94,82.07,83.56,65700
2018-09-13 20:00:00-04:00,82.71,82.96,81.32,81.88,170100
2018-09-16 20:00:00-04:00,82.21,82.66,81.26,82.37,67500
2018-09-17 20:00:00-04:00,81.78,83.17,81.78,82.67,159300
2018-09-18 20:00:00-04:00,83.39,83.39,82.73,83.05,48600
2018-09-19 20:00:00-04:00,83.04,83.49,82.54,83.34,76500
2018-09-20 20:00:00-04:00,83.45,83.45,82.25,83.45,185400
2018-09-23 20:00:00-04:00,82.95,83.95,81.52,82.92,51300
2018-09-24 20:00:00-04:00,85.09,85.09,84.17,84.93,90000
2018-09-25 20:00:00-04:00,85.29,86.23,84.89,86.23,235800
2018-09-26 20:00:00-04:00,85.74,86.72,85.45,85.93,129600
2018-09-27 20:00:00-04:00,86.23,86.53,85.62,85.69,180900
2018-09-30 20:00:00-04:00,86.34,86.70,85.63,86.11,108000
2018-10-01 20:00:00-04:00,86.30,86.43,84.75,85.82,125100
2018-10-02 20:00:00-04:00,86.22,87.22,84.99,86.62,111600
2018-10-03 20:00:00-04:00,86.44,86.55,85.63,85.64,110700
2018-10-04 20:00:00-04:00,85.43,85.93,84.73,85.13,188100
2018-10-07 20:00:00-04:00,85.22,85.22,82.64,83.65,149400
2018-10-08 20:00:00-04:00,83.66,83.92,82.80,83.36,80100
2018-10-09 20:00:00-04:00,82.83,82.85,79.67,79.96,169200
2018-10-10 20:00:00-04:00,79.19,81.60,77.78,77.98,252000
2018-10-11 20:00:00-04:00,78.59,79.43,77.48,79.34,97200
2018-10-14 20:00:00-04:00,78.72,79.52,76.99,77.25,107100
2018-10-15 20:00:00-04:00,78.44,80.10,78.43,79.37,123300
2018-10-16 20:00:00-04:00,79.87,80.33,78.18,79.05,97200
2018-10-17 20:00:00-04:00,78.41,78.97,77.04,77.92,72900
2018-10-18 20:00:00-04:00,77.89,78.11,76.65,76.92,96300
2018-10-21 20:00:00-04:00,77.15,77.15,73.52,73.52,215100
2018-10-22 20:00:00-04:00,72.51,73.22,70.84,73.08,220500
2018-10-23 20:00:00-04:00,72.47,72.68,69.57,70.27,232200
2018-10-24 20:00:00-04:00,70.53,72.36,70.53,71.70,143100
2018-10-25 20:00:00-04:00,71.21,71.32,69.25,70.73,152100
2018-10-28 20:00:00-04:00,71.39,72.93,68.54,68.63,218700
2018-10-29 20:00:00-04:00,66.76,70.75,66.51,70.54,153900
2018-10-30 20:00:00-04:00,71.13,76.27,71.13,75.51,352800
2018-10-31 20:00:00-04:00,75.18,75.18,65.56,66.56,623700
2018-11-01 20:00:00-04:00,67.35,68.48,65.66,67.52,271800
2018-11-04 19:00:00-05:00,68.01,68.03,64.68,66.67,144000
2018-11-05 19:00:00-05:00,66.76,67.93,65.66,67.80,154800
2018-11-06 19:00:00-05:00,68.54,70.53,68.54,69.54,133200
2018-11-07 19:00:00-05:00,69.92,70.76,66.35,66.80,90000
2018-11-08 19:00:00-05:00,65.79,65.79,64.57,65.07,179100
2018-11-11 19:00:00-05:00,65.23,65.62,61.06,61.68,316800
2018-11-12 19:00:00-05:00,60.40,60.78,57.71,57.79,315900
2018-11-13 19:00:00-05:00,56.74,58.42,54.09,54.97,549000
2018-11-14 19:00:00-05:00,54.11,57.62,53.32,56.30,250200
2018-11-15 19:00:00-05:00,56.26,61.79,56.26,60.47,308700
2018-11-18 19:00:00-05:00,60.10,62.09,59.60,59.62,145800
2018-11-19 19:00:00-05:00,59.60,59.60,54.64,55.74,206100
2018-11-20 19:00:00-05:00,56.17,59.04,56.17,58.22,110700
2018-11-22 19:00:00-05:00,57.32,57.32,54.66,54.83,61200
2018-11-25 19:00:00-05:00,55.60,57.07,54.28,54.28,181800
2018-11-26 19:00:00-05:00,53.84,56.76,53.64,55.25,212400
2018-11-27 19:00:00-05:00,55.13,56.88,54.61,55.93,119700
2018-11-28 19:00:00-05:00,56.13,60.52,56.13,59.31,187200
2018-11-29 19:00:00-05:00,59.60,62.09,56.99,57.54,254700
