Date,Open,High,Low,Close,Volume
2022-04-05 20:00:00-04:00,69.94,70.18,68.75,69.98,1765400
2022-04-06 20:00:00-04:00,70.42,70.84,68.17,69.51,1299800
2022-04-07 20:00:00-04:00,69.78,71.05,69.35,70.77,1313700
2022-04-10 20:00:00-04:00,70.52,70.56,68.93,69.38,1280700
2022-04-11 20:00:00-04:00,70.34,71.47,70.25,70.47,1184700
2022-04-12 20:00:00-04:00,71.19,71.59,70.59,71.43,1181200
2022-04-13 20:00:00-04:00,71.34,72.75,70.84,72.02,1381100
2022-04-17 20:00:00-04:00,72.27,72.97,71.65,72.17,1144300
2022-04-18 20:00:00-04:00,71.78,72.99,71.34,72.40,941500
2022-04-19 20:00:00-04:00,73.27,74.30,72.53,73.84,1326600
2022-04-20 20:00:00-04:00,74.01,74.64,71.85,72.01,1163800
2022-04-21 20:00:00-04:00,71.70,72.34,69.68,69.76,1178200
2022-04-24 20:00:00-04:00,67.75,67.76,64.47,66.92,2090000
2022-04-25 20:00:00-04:00,67.64,69.04,66.99,67.37,1450200
2022-04-26 20:00:00-04:00,67.61,69.73,66.55,68.83,2544500
2022-04-27 20:00:00-04:00,69.03,70.81,67.30,70.17,1248100
2022-04-28 20:00:00-04:00,69.84,70.80,67.36,67.55,1999000
2022-05-01 20:00:00-04:00,67.75,68.41,66.41,68.33,1506100
2022-05-02 20:00:00-04:00,68.35,70.49,68.33,70.26,1873900
2022-05-03 20:00:00-04:00,71.46,71.99,69.26,71.79,1864800
2022-05-04 20:00:00-04:00,71.82,72.19,67.68,68.73,2155900
2022-05-05 20:00:00-04:00,69.46,70.65,66.76,69.44,3099300
2022-05-08 20:00:00-04:00,67.93,68.19,61.92,62.19,2622100
2022-05-09 20:00:00-04:00,62.95,65.08,61.46,62.59,3572500
2022-05-10 20:00:00-04:00,63.74,66.69,63.07,63.30,2315000
2022-05-11 20:00:00-04:00,62.64,64.15,61.81,62.87,2255100
2022-05-12 20:00:00-04:00,64.23,66.54,64.03,65.59,2197100
2022-05-15 20:00:00-04:00,65.86,67.74,65.81,66.38,1592100
2022-05-16 20:00:00-04:00,67.01,67.43,66.34,67.13,1756600
2022-05-17 20:00:00-04:00,67.45,67.65,63.17,64.20,1590000
2022-05-18 20:00:00-04:00,62.94,64.58,62.70,63.41,1663700
2022-05-19 20:00:00-04:00,64.24,64.64,62.52,63.89,1902800
2022-05-22 20:00:00-04:00,64.42,64.58,63.39,63.73,1398600
2022-05-23 20:00:00-04:00,63.50,63.83,62.11,63.46,1946500
2022-05-24 20:00:00-04:00,63.78,65.13,63.50,64.86,2116200
2022-05-25 20:00:00-04:00,64.88,66.05,64.88,65.38,2003200
2022-05-26 20:00:00-04:00,65.37,67.11,64.85,67.00,2542000
2022-05-30 20:00:00-04:00,68.01,68.58,65.39,66.27,3990600
2022-05-31 20:00:00-04:00,67.05,69.41,66.30,69.07,2507000
2022-06-01 20:00:00-04:00,68.51,70.76,68.36,70.56,1797400
2022-06-02 20:00:00-04:00,70.67,71.68,70.14,71.17,1486700
2022-06-05 20:00:00-04:00,71.76,71.91,70.10,70.27,1220200
2022-06-06 20:00:00-04:00,70.40,73.98,70.05,73.96,2036600
2022-06-07 20:00:00-04:00,73.70,73.90,71.11,71.55,1722500
2022-06-08 20:00:00-04:00,71.38,71.43,68.95,69.08,1158300
2022-06-09 20:00:00-04:00,67.67,68.72,66.18,66.65,1358800
2022-06-12 20:00:00-04:00,64.41,64.83,61.82,62.15,2198300
2022-06-13 20:00:00-04:00,63.42,64.03,60.11,61.00,2346200
2022-06-14 20:00:00-04:00,61.20,62.59,60.18,61.40,2811500
2022-06-15 20:00:00-04:00,59.81,59.81,56.70,57.28,2498200
2022-06-16 20:00:00-04:00,57.95,59.35,54.32,55.81,3990600
2022-06-20 20:00:00-04:00,58.46,60.13,58.07,58.40,2851800
2022-06-21 20:00:00-04:00,55.47,56.74,55.15,55.23,2478900
2022-06-22 20:00:00-04:00,55.54,55.94,52.67,53.51,2236700
2022-06-23 20:00:00-04:00,54.07,55.57,53.37,53.50,3990600
2022-06-26 20:00:00-04:00,54.32,56.10,54.09,55.90,2346200
2022-06-27 20:00:00-04:00,57.46,58.67,56.80,57.50,2029700
