Date,Open,High,Low,Close,Volume
2018-07-01 20:00:00-04:00,84.04,85.02,83.49,84.82,1180000
2018-07-02 20:00:00-04:00,85.39,85.62,84.02,84.24,763400
2018-07-04 20:00:00-04:00,84.94,85.33,83.49,84.07,755100
2018-07-05 20:00:00-04:00,84.00,84.85,83.43,84.07,994100
2018-07-08 20:00:00-04:00,84.60,85.92,84.45,85.78,924900
2018-07-09 20:00:00-04:00,85.60,86.74,85.21,86.43,1080400
2018-07-10 20:00:00-04:00,85.91,86.74,85.71,86.16,1149300
2018-07-11 20:00:00-04:00,87.25,87.75,85.85,87.28,1465000
2018-07-12 20:00:00-04:00,86.97,87.31,86.24,86.79,1033700
2018-07-15 20:00:00-04:00,87.12,88.20,86.95,87.63,936500
2018-07-16 20:00:00-04:00,87.60,88.21,87.21,87.65,555100
2018-07-17 20:00:00-04:00,87.96,88.96,87.71,88.91,915200
2018-07-18 20:00:00-04:00,88.79,88.91,87.47,87.89,710000
2018-07-19 20:00:00-04:00,87.63,87.76,86.87,87.25,746000
2018-07-22 20:00:00-04:00,87.41,88.48,87.36,88.30,849000
2018-07-23 20:00:00-04:00,88.62,89.35,87.71,88.29,1235000
2018-07-24 20:00:00-04:00,87.20,91.24,86.37,90.85,1380100
2018-07-25 20:00:00-04:00,90.81,90.81,88.25,88.51,1575300
2018-07-26 20:00:00-04:00,88.72,89.03,85.93,86.63,1199800
2018-07-29 20:00:00-04:00,86.79,87.18,85.30,85.44,1298800
2018-07-30 20:00:00-04:00,85.98,87.14,85.64,86.68,1659600
2018-07-31 20:00:00-04:00,86.66,87.51,83.20,85.36,1976600
2018-08-01 20:00:00-04:00,84.83,86.23,84.26,85.49,1124800
2018-08-02 20:00:00-04:00,85.86,85.97,84.73,85.46,611300
2018-08-05 20:00:00-04:00,85.39,86.47,85.25,86.29,570000
2018-08-06 20:00:00-04:00,86.54,87.89,86.42,86.88,707900
2018-08-07 20:00:00-04:00,86.55,87.47,86.05,87.13,464900
2018-08-08 20:00:00-04:00,86.98,87.48,86.43,86.54,540500
2018-08-09 20:00:00-04:00,85.86,85.91,84.90,85.27,1477500
2018-08-12 20:00:00-04:00,85.28,85.91,84.79,84.86,1064100
2018-08-13 20:00:00-04:00,85.09,85.73,84.39,85.58,1175000
2018-08-14 20:00:00-04:00,84.81,85.12,83.43,84.07,797900
2018-08-15 20:00:00-04:00,84.55,85.26,84.04,84.67,775500
2018-08-16 20:00:00-04:00,84.64,84.64,83.19,84.15,1215900
2018-08-19 20:00:00-04:00,84.09,84.52,83.86,84.22,970600
2018-08-20 20:00:00-04:00,84.15,85.22,83.73,84.59,1058600
2018-08-21 20:00:00-04:00,84.36,84.76,83.80,84.21,906500
2018-08-22 20:00:00-04:00,84.18,84.61,83.45,83.75,775500
2018-08-23 20:00:00-04:00,84.26,84.36,83.66,84.01,805100
2018-08-26 20:00:00-04:00,84.65,85.66,84.49,84.65,729200
