Date,Open,High,Low,Close,Volume
2022-04-05 20:00:00-04:00,167.04,170.42,166.96,169.14,1021500
2022-04-06 20:00:00-04:00,168.84,169.35,166.83,168.69,874800
2022-04-07 20:00:00-04:00,170.22,171.59,168.75,171.25,1120600
2022-04-10 20:00:00-04:00,172.24,173.78,171.64,171.98,1219500
2022-04-11 20:00:00-04:00,170.97,173.25,170.84,171.33,1116700
2022-04-12 20:00:00-04:00,171.22,172.23,168.34,170.19,847300
2022-04-13 20:00:00-04:00,170.26,171.39,169.95,170.68,992100
2022-04-17 20:00:00-04:00,171.06,172.38,170.69,171.59,1351500
2022-04-18 20:00:00-04:00,168.70,170.01,161.67,163.19,2750300
2022-04-19 20:00:00-04:00,163.88,164.89,161.35,164.63,2340300
2022-04-20 20:00:00-04:00,166.18,166.54,163.01,163.29,1846800
2022-04-21 20:00:00-04:00,162.81,162.81,160.18,160.37,1541400
2022-04-24 20:00:00-04:00,159.76,162.06,158.07,161.60,1502600
2022-04-25 20:00:00-04:00,161.04,162.85,159.89,159.95,1807100
2022-04-26 20:00:00-04:00,161.04,162.08,159.01,160.78,1827500
2022-04-27 20:00:00-04:00,162.12,162.12,159.51,161.66,1020700
2022-04-28 20:00:00-04:00,161.14,161.42,158.10,158.47,1329700
2022-05-01 20:00:00-04:00,158.85,159.76,155.30,157.57,1496600
2022-05-02 20:00:00-04:00,157.64,160.63,157.52,159.12,1077600
2022-05-03 20:00:00-04:00,159.01,162.64,158.82,162.54,1474100
2022-05-04 20:00:00-04:00,162.52,162.52,158.38,159.35,1486400
2022-05-05 20:00:00-04:00,159.92,159.92,157.66,159.01,1216700
2022-05-08 20:00:00-04:00,158.35,160.79,157.90,159.27,2043500
2022-05-09 20:00:00-04:00,160.46,162.38,158.82,160.26,1468300
2022-05-10 20:00:00-04:00,160.31,162.65,159.62,159.69,1170000
2022-05-11 20:00:00-04:00,160.65,160.88,158.63,160.61,1315300
2022-05-12 20:00:00-04:00,160.92,161.41,158.76,160.06,1189700
2022-05-15 20:00:00-04:00,160.27,162.61,160.12,161.66,1259000
2022-05-16 20:00:00-04:00,162.57,164.56,161.44,164.33,1300800
2022-05-17 20:00:00-04:00,163.81,164.07,161.15,161.49,1094300
2022-05-18 20:00:00-04:00,160.20,160.73,155.02,156.84,1110900
2022-05-19 20:00:00-04:00,157.11,157.80,154.07,155.86,1959700
2022-05-22 20:00:00-04:00,157.72,160.13,156.52,159.43,1453600
2022-05-23 20:00:00-04:00,159.54,161.44,156.71,161.11,1008100
2022-05-24 20:00:00-04:00,159.70,161.37,159.70,160.81,1192300
2022-05-25 20:00:00-04:00,161.49,162.57,161.02,162.00,943100
2022-05-26 20:00:00-04:00,162.10,164.76,161.25,164.74,943400
2022-05-30 20:00:00-04:00,164.07,166.71,162.81,165.86,1948400
2022-05-31 20:00:00-04:00,164.93,165.55,162.11,163.31,1084600
2022-06-01 20:00:00-04:00,163.92,165.08,161.03,164.95,868900
2022-06-02 20:00:00-04:00,162.55,163.87,160.91,161.37,1141200
2022-06-05 20:00:00-04:00,162.18,164.35,161.45,163.95,753300
2022-06-06 20:00:00-04:00,163.75,165.57,162.74,165.49,944500
2022-06-07 20:00:00-04:00,164.48,165.00,162.42,163.02,669700
2022-06-08 20:00:00-04:00,163.82,163.82,159.68,159.75,809700
2022-06-09 20:00:00-04:00,157.35,159.08,156.54,157.67,1182000
2022-06-12 20:00:00-04:00,155.64,159.38,155.33,156.19,1784800
2022-06-13 20:00:00-04:00,157.44,157.69,153.71,154.89,1318700
2022-06-14 20:00:00-04:00,156.00,157.36,152.33,154.17,1374600
2022-06-15 20:00:00-04:00,152.05,152.42,149.82,150.30,1451100
2022-06-16 20:00:00-04:00,149.98,151.42,149.23,150.76,2366800
2022-06-20 20:00:00-04:00,153.42,153.42,150.18,151.46,1136900
2022-06-21 20:00:00-04:00,149.82,153.08,149.34,151.94,997300
2022-06-22 20:00:00-04:00,151.58,152.53,147.47,148.80,1278700
2022-06-23 20:00:00-04:00,149.24,155.61,149.24,155.27,1296800
2022-06-26 20:00:00-04:00,155.84,156.68,154.95,155.99,762100
