Date,Open,High,Low,Close,Volume
2022-04-05 20:00:00-04:00,432.10,433.94,425.68,430.34,175500
2022-04-06 20:00:00-04:00,428.06,440.07,427.91,437.88,211800
2022-04-07 20:00:00-04:00,437.36,437.36,425.09,425.76,102200
2022-04-10 20:00:00-04:00,422.08,424.88,413.23,414.16,229900
2022-04-11 20:00:00-04:00,418.28,426.78,411.23,412.23,110900
2022-04-12 20:00:00-04:00,410.95,420.89,409.86,418.34,143700
2022-04-13 20:00:00-04:00,419.36,419.36,404.61,404.83,133800
2022-04-17 20:00:00-04:00,406.08,408.38,394.68,397.10,185000
2022-04-18 20:00:00-04:00,397.83,411.33,397.32,410.79,149900
2022-04-19 20:00:00-04:00,413.88,414.93,405.58,406.55,210100
2022-04-20 20:00:00-04:00,411.43,417.08,394.09,396.85,163400
2022-04-21 20:00:00-04:00,395.68,396.70,385.00,385.40,239700
2022-04-24 20:00:00-04:00,382.16,396.83,381.41,396.45,443000
2022-04-25 20:00:00-04:00,393.99,393.99,374.97,375.04,245800
2022-04-26 20:00:00-04:00,375.20,384.06,368.72,370.50,290300
2022-04-27 20:00:00-04:00,383.25,404.76,383.25,403.66,457300
2022-04-28 20:00:00-04:00,400.28,408.45,393.86,394.71,447700
2022-05-01 20:00:00-04:00,396.11,398.84,385.53,394.61,361700
2022-05-02 20:00:00-04:00,393.12,396.03,385.86,387.30,261100
2022-05-03 20:00:00-04:00,386.34,394.37,373.58,393.49,251200
2022-05-04 20:00:00-04:00,389.04,392.24,370.89,380.21,329900
2022-05-05 20:00:00-04:00,378.61,378.61,362.45,363.91,283000
2022-05-08 20:00:00-04:00,355.53,358.11,348.23,354.20,356900
2022-05-09 20:00:00-04:00,354.55,364.36,342.10,354.66,376200
2022-05-10 20:00:00-04:00,350.64,359.50,339.16,340.48,381900
2022-05-11 20:00:00-04:00,335.85,351.81,333.40,345.20,309800
2022-05-12 20:00:00-04:00,350.79,363.83,348.38,358.36,315900
2022-05-15 20:00:00-04:00,352.33,356.02,342.68,345.42,205700
2022-05-16 20:00:00-04:00,351.32,354.39,340.62,347.07,360700
2022-05-17 20:00:00-04:00,341.43,343.04,327.97,331.13,346300
2022-05-18 20:00:00-04:00,331.28,349.70,331.00,340.29,392900
2022-05-19 20:00:00-04:00,345.86,348.80,331.48,341.73,326300
2022-05-22 20:00:00-04:00,344.61,344.61,334.11,343.37,252100
2022-05-23 20:00:00-04:00,340.00,340.00,330.12,333.88,249200
2022-05-24 20:00:00-04:00,333.72,345.85,331.89,342.21,288800
2022-05-25 20:00:00-04:00,345.78,353.71,339.80,351.39,299200
2022-05-26 20:00:00-04:00,355.34,364.26,354.34,362.48,376600
2022-05-30 20:00:00-04:00,360.88,361.78,352.25,355.82,735800
2022-05-31 20:00:00-04:00,361.19,364.40,342.75,345.87,345800
2022-06-01 20:00:00-04:00,344.53,361.52,344.47,361.09,219500
2022-06-02 20:00:00-04:00,354.53,358.66,350.70,356.85,202900
2022-06-05 20:00:00-04:00,360.55,363.67,354.11,356.42,146500
2022-06-06 20:00:00-04:00,357.67,364.80,355.56,363.58,173200
2022-06-07 20:00:00-04:00,361.34,366.56,358.34,363.45,193200
2022-06-08 20:00:00-04:00,361.68,364.04,351.59,351.61,161800
2022-06-09 20:00:00-04:00,345.69,345.69,337.40,337.52,224300
2022-06-12 20:00:00-04:00,325.24,326.09,314.72,315.92,374400
2022-06-13 20:00:00-04:00,316.09,317.69,308.37,310.58,292500
2022-06-14 20:00:00-04:00,315.96,323.35,311.34,318.27,253300
2022-06-15 20:00:00-04:00,309.88,312.28,300.85,303.39,291100
2022-06-16 20:00:00-04:00,303.64,315.46,303.64,310.70,545700
2022-06-20 20:00:00-04:00,313.16,319.60,311.44,311.83,207900
2022-06-21 20:00:00-04:00,307.44,319.22,307.44,315.11,196900
2022-06-22 20:00:00-04:00,318.52,328.32,315.72,327.26,212500
2022-06-23 20:00:00-04:00,330.85,345.76,329.54,345.33,360400
2022-06-26 20:00:00-04:00,345.24,345.24,337.86,341.70,194500
2022-06-27 20:00:00-04:00,341.60,344.60,333.92,334.20,203800
2022-06-28 20:00:00-04:00,334.77,337.48,328.78,335.33,192100
2022-06-29 20:00:00-04:00,333.00,334.47,325.65,332.48,231900
2022-06-30 20:00:00-04:00,331.26,337.18,329.54,333.88,188300
2022-07-04 20:00:00-04:00,328.84,341.53,327.09,340.13,174800
2022-07-05 20:00:00-04:00,341.93,343.22,332.96,338.67,273300
2022-07-06 20:00:00-04:00,337.40,348.05,337.40,347.13,141800
2022-07-07 20:00:00-04:00,342.38,348.55,340.45,346.49,121400
2022-07-10 20:00:00-04:00,343.05,343.41,338.14,340.83,92400
2022-07-11 20:00:00-04:00,340.45,343.73,322.62,324.19,184000
2022-07-12 20:00:00-04:00,316.90,321.35,313.35,320.83,196100
2022-07-13 20:00:00-04:00,319.13,329.42,314.15,328.45,282300
2022-07-14 20:00:00-04:00,333.82,339.51,331.48,339.12,241300
2022-07-17 20:00:00-04:00,341.13,346.80,339.32,340.18,315900
2022-07-18 20:00:00-04:00,344.20,354.05,342.36,353.80,251800
2022-07-19 20:00:00-04:00,357.03,369.22,356.50,365.96,311900
2022-07-20 20:00:00-04:00,364.93,371.03,362.77,370.97,194600
2022-07-21 20:00:00-04:00,371.95,375.00,363.65,367.31,159500
2022-07-24 20:00:00-04:00,366.44,366.44,361.99,365.51,177300
2022-07-25 20:00:00-04:00,364.37,364.37,356.01,358.87,218600
2022-07-26 20:00:00-04:00,364.04,374.97,363.28,374.34,239800
2022-07-27 20:00:00-04:00,367.85,399.91,366.12,398.35,370700
2022-07-28 20:00:00-04:00,398.16,402.65,393.99,399.00,282900
2022-07-31 20:00:00-04:00,393.36,402.90,391.50,401.28,235600
2022-08-01 20:00:00-04:00,395.66,404.89,395.13,401.27,200600
2022-08-02 20:00:00-04:00,404.74,412.27,403.16,411.74,191900
2022-08-03 20:00:00-04:00,412.78,415.65,408.55,415.19,148500
2022-08-04 20:00:00-04:00,409.83,420.90,409.83,418.92,201400
2022-08-07 20:00:00-04:00,421.43,425.81,413.17,414.07,129500
2022-08-08 20:00:00-04:00,412.24,412.24,405.00,406.47,180400
2022-08-09 20:00:00-04:00,418.22,420.14,413.37,415.56,180000
2022-08-10 20:00:00-04:00,421.14,421.14,406.71,407.22,221300
2022-08-11 20:00:00-04:00,410.42,412.38,404.48,409.34,223700
2022-08-14 20:00:00-04:00,410.24,415.71,407.97,415.43,150100
2022-08-15 20:00:00-04:00,411.84,414.22,408.69,410.85,158300
2022-08-16 20:00:00-04:00,404.74,406.63,401.09,404.45,253300
2022-08-17 20:00:00-04:00,405.57,407.11,401.57,405.81,310100
2022-08-18 20:00:00-04:00,402.87,402.87,394.80,397.30,197800
2022-08-21 20:00:00-04:00,391.24,391.92,388.00,389.85,140500
2022-08-22 20:00:00-04:00,390.90,391.81,385.81,387.28,158300
2022-08-23 20:00:00-04:00,390.06,390.40,387.33,387.33,123900
2022-08-24 20:00:00-04:00,390.07,395.28,386.89,394.75,149000
2022-08-25 20:00:00-04:00,394.74,394.74,378.13,378.26,158600
2022-08-28 20:00:00-04:00,373.10,379.36,372.94,375.96,123900
2022-08-29 20:00:00-04:00,379.87,380.97,371.14,373.90,131900
2022-08-30 20:00:00-04:00,379.00,379.00,371.30,371.51,217400
2022-08-31 20:00:00-04:00,367.55,368.21,358.09,366.99,235600
2022-09-01 20:00:00-04:00,372.45,373.31,361.86,363.67,117800
2022-09-05 20:00:00-04:00,363.67,367.25,360.61,363.59,123600
2022-09-06 20:00:00-04:00,364.71,374.87,361.91,373.71,161200
2022-09-07 20:00:00-04:00,370.50,381.21,370.07,380.24,168600
2022-09-08 20:00:00-04:00,382.48,386.84,381.55,385.19,150600
2022-09-11 20:00:00-04:00,388.39,390.40,383.84,386.86,150000
2022-09-12 20:00:00-04:00,373.70,374.25,363.79,364.56,180700
2022-09-13 20:00:00-04:00,364.67,370.32,364.09,368.54,179200
2022-09-14 20:00:00-04:00,364.63,370.01,362.22,362.76,181000
2022-09-15 20:00:00-04:00,360.24,361.70,354.91,360.98,335400
2022-09-18 20:00:00-04:00,357.80,362.33,357.34,362.20,213800
2022-09-19 20:00:00-04:00,359.97,359.97,352.53,353.86,125800
2022-09-20 20:00:00-04:00,356.82,363.91,351.27,351.30,122100
2022-09-21 20:00:00-04:00,350.00,350.48,340.92,342.49,163900
2022-09-22 20:00:00-04:00,339.61,341.41,336.89,341.12,156000
2022-09-25 20:00:00-04:00,342.05,347.53,340.13,342.75,196000
2022-09-26 20:00:00-04:00,347.68,348.37,338.42,341.75,151600
2022-09-27 20:00:00-04:00,344.20,349.10,340.82,347.08,160800
2022-09-28 20:00:00-04:00,343.42,347.97,340.90,347.70,164000
2022-09-29 20:00:00-04:00,346.40,353.05,346.16,347.50,321300
2022-10-02 20:00:00-04:00,349.00,352.82,342.49,349.20,220700
