Date,Open,High,Low,Close,Volume
2018-07-01 20:00:00-04:00,107.39,107.39,105.49,107.04,716600
2018-07-02 20:00:00-04:00,107.04,107.91,106.46,107.45,331500
2018-07-04 20:00:00-04:00,107.71,108.00,107.16,107.43,1030600
2018-07-05 20:00:00-04:00,107.54,108.62,107.09,108.10,805600
2018-07-08 20:00:00-04:00,108.30,110.44,108.30,109.79,976900
2018-07-09 20:00:00-04:00,110.05,111.27,109.69,111.15,653400
2018-07-10 20:00:00-04:00,111.03,111.40,110.44,110.76,447200
2018-07-11 20:00:00-04:00,111.49,111.86,110.17,110.47,622800
2018-07-12 20:00:00-04:00,110.62,111.33,110.38,110.67,649800
2018-07-15 20:00:00-04:00,110.91,110.95,110.31,110.64,738600
2018-07-16 20:00:00-04:00,110.54,111.21,109.97,110.89,413100
2018-07-17 20:00:00-04:00,109.09,110.01,108.48,108.68,605500
2018-07-18 20:00:00-04:00,108.43,109.64,107.72,108.77,553900
2018-07-19 20:00:00-04:00,108.43,109.07,107.82,108.67,432600
2018-07-22 20:00:00-04:00,110.92,112.51,109.40,111.40,1121000
2018-07-23 20:00:00-04:00,111.17,111.31,110.13,110.27,1012800
2018-07-24 20:00:00-04:00,111.25,114.35,110.27,113.93,1423600
2018-07-25 20:00:00-04:00,114.27,122.01,112.99,120.49,1899475
2018-07-26 20:00:00-04:00,120.84,121.15,118.86,120.55,1062500
2018-07-29 20:00:00-04:00,120.54,121.92,120.35,120.53,806500
2018-07-30 20:00:00-04:00,120.59,120.69,115.97,117.77,1120000
2018-07-31 20:00:00-04:00,115.70,118.26,114.89,117.11,875300
2018-08-01 20:00:00-04:00,116.71,118.41,116.39,118.26,658700
2018-08-02 20:00:00-04:00,118.25,119.81,117.89,119.78,686200
2018-08-05 20:00:00-04:00,119.43,120.81,118.90,119.95,678800
2018-08-06 20:00:00-04:00,119.60,120.50,119.10,120.32,721600
2018-08-07 20:00:00-04:00,120.70,121.02,118.33,118.49,421800
2018-08-08 20:00:00-04:00,118.67,119.49,118.14,119.28,620100
2018-08-09 20:00:00-04:00,118.68,120.28,118.68,120.00,701500
2018-08-12 20:00:00-04:00,120.06,120.41,119.54,120.01,572900
2018-08-13 20:00:00-04:00,120.57,121.27,119.61,120.67,571900
2018-08-14 20:00:00-04:00,120.72,122.31,119.87,121.01,872600
2018-08-15 20:00:00-04:00,121.08,121.89,120.58,120.92,659700
2018-08-16 20:00:00-04:00,120.92,123.62,120.92,123.27,541900
2018-08-19 20:00:00-04:00,123.15,123.60,122.29,122.77,424300
2018-08-20 20:00:00-04:00,122.99,123.89,122.74,123.85,639400
2018-08-21 20:00:00-04:00,123.80,124.73,123.40,124.39,536000
