Date,Open,High,Low,Close,Volume
2022-04-05 20:00:00-04:00,227.68,228.19,218.96,221.30,6794200
2022-04-06 20:00:00-04:00,221.92,224.09,218.65,223.06,4793100
2022-04-07 20:00:00-04:00,219.75,223.52,218.34,220.44,3530700
2022-04-10 20:00:00-04:00,219.46,222.54,218.24,221.47,2912100
2022-04-11 20:00:00-04:00,221.91,226.06,220.90,223.24,3097700
2022-04-12 20:00:00-04:00,222.97,224.38,221.06,222.85,3062000
2022-04-13 20:00:00-04:00,224.46,225.83,222.76,224.29,3180200
2022-04-17 20:00:00-04:00,223.19,224.86,218.83,220.57,3173200
2022-04-18 20:00:00-04:00,222.98,224.18,221.93,223.75,2269000
2022-04-19 20:00:00-04:00,224.18,227.05,224.18,225.07,2937700
2022-04-20 20:00:00-04:00,223.62,228.22,220.95,222.64,4179600
2022-04-21 20:00:00-04:00,220.69,221.06,213.02,213.44,5105300
2022-04-24 20:00:00-04:00,213.01,215.86,209.58,215.37,4129900
2022-04-25 20:00:00-04:00,214.63,216.68,212.65,212.79,2316200
2022-04-26 20:00:00-04:00,211.84,216.84,211.61,215.71,3489800
2022-04-27 20:00:00-04:00,215.71,218.52,215.38,217.95,4531800
2022-04-28 20:00:00-04:00,216.90,218.53,213.02,213.43,4407100
2022-05-01 20:00:00-04:00,214.52,215.30,208.27,212.14,3665800
2022-05-02 20:00:00-04:00,212.25,212.67,209.17,211.44,2285000
2022-05-03 20:00:00-04:00,212.50,216.48,210.81,215.98,2598400
2022-05-04 20:00:00-04:00,214.48,215.30,209.12,210.87,3005500
2022-05-05 20:00:00-04:00,210.01,210.06,205.67,209.15,2774900
2022-05-08 20:00:00-04:00,206.79,207.48,204.44,205.20,3288900
2022-05-09 20:00:00-04:00,207.69,207.91,198.85,202.78,3845200
2022-05-10 20:00:00-04:00,203.02,207.81,202.66,203.95,2457500
2022-05-11 20:00:00-04:00,203.50,207.68,202.11,205.82,3230900
2022-05-12 20:00:00-04:00,206.67,211.67,206.53,210.22,3263800
2022-05-15 20:00:00-04:00,209.62,210.83,207.08,207.60,3091900
2022-05-16 20:00:00-04:00,210.86,212.34,208.88,211.52,2916400
2022-05-17 20:00:00-04:00,211.64,211.67,204.13,204.96,2620700
2022-05-18 20:00:00-04:00,199.90,200.69,193.78,197.23,5428100
2022-05-19 20:00:00-04:00,196.77,198.09,191.52,194.57,3796000
2022-05-22 20:00:00-04:00,196.31,197.77,195.25,197.58,3079300
2022-05-23 20:00:00-04:00,196.54,198.24,194.28,197.76,2159700
2022-05-24 20:00:00-04:00,198.30,200.00,196.45,198.06,2006700
2022-05-25 20:00:00-04:00,198.80,202.77,198.80,201.59,2045300
2022-05-26 20:00:00-04:00,203.12,205.49,202.36,203.89,1537400
2022-05-30 20:00:00-04:00,203.18,203.23,200.93,201.40,4405400
2022-05-31 20:00:00-04:00,202.67,203.97,201.53,202.81,2796200
2022-06-01 20:00:00-04:00,204.27,207.00,202.16,206.54,2091900
2022-06-02 20:00:00-04:00,205.09,206.47,203.32,205.26,1964400
2022-06-05 20:00:00-04:00,206.49,207.42,205.37,206.34,2151300
2022-06-06 20:00:00-04:00,200.61,209.90,199.03,209.62,3772300
2022-06-07 20:00:00-04:00,206.71,206.96,201.60,203.14,2409300
2022-06-08 20:00:00-04:00,202.12,203.78,198.56,198.66,2198300
2022-06-09 20:00:00-04:00,195.95,197.16,192.44,193.46,2752200
2022-06-12 20:00:00-04:00,190.14,192.16,187.13,190.67,3374500
2022-06-13 20:00:00-04:00,192.01,194.51,190.22,191.05,2631600
2022-06-14 20:00:00-04:00,193.49,195.19,189.73,192.29,2236000
2022-06-15 20:00:00-04:00,188.53,192.05,188.15,190.78,3124500
2022-06-16 20:00:00-04:00,190.74,191.74,188.49,189.18,6079700
2022-06-20 20:00:00-04:00,192.48,193.79,190.69,191.95,2956000
2022-06-21 20:00:00-04:00,189.69,193.55,189.24,191.51,2098400
2022-06-22 20:00:00-04:00,192.18,193.67,190.13,192.21,2504700
2022-06-23 20:00:00-04:00,192.49,199.63,192.49,197.73,5516500
2022-06-26 20:00:00-04:00,198.69,198.69,194.66,195.96,1827600
2022-06-27 20:00:00-04:00,198.05,200.55,195.32,195.51,2156400
2022-06-28 20:00:00-04:00,196.13,196.13,192.86,195.32,2179000
2022-06-29 20:00:00-04:00,192.44,195.57,191.54,195.44,2314100
2022-06-30 20:00:00-04:00,194.73,198.13,193.63,197.26,1765900
2022-07-04 20:00:00-04:00,195.36,195.38,190.30,192.59,2236000
2022-07-05 20:00:00-04:00,191.98,194.80,189.85,192.18,2655800
2022-07-06 20:00:00-04:00,192.46,195.39,191.32,194.85,2007200
2022-07-07 20:00:00-04:00,194.32,195.26,188.45,192.16,1850900
2022-07-10 20:00:00-04:00,191.35,193.46,190.82,192.32,1818500
2022-07-11 20:00:00-04:00,189.21,191.22,187.95,189.23,2653900
2022-07-12 20:00:00-04:00,187.84,191.16,187.20,189.42,1902500
2022-07-13 20:00:00-04:00,186.48,188.74,185.45,188.33,2306600
2022-07-14 20:00:00-04:00,191.66,193.21,190.47,191.64,3997500
2022-07-17 20:00:00-04:00,192.82,194.98,192.02,192.64,1990100
2022-07-18 20:00:00-04:00,194.37,199.11,193.91,198.76,2387700
2022-07-19 20:00:00-04:00,198.76,199.63,196.18,196.51,3152100
2022-07-20 20:00:00-04:00,194.73,196.43,192.26,194.18,4130900
2022-07-21 20:00:00-04:00,194.46,196.34,193.17,195.55,2612600
