Date,Open,High,Low,Close,Volume
2018-07-01 20:00:00-04:00,76.88,77.31,76.55,76.88,2252300
2018-07-02 20:00:00-04:00,77.16,77.59,76.58,76.80,1145700
2018-07-04 20:00:00-04:00,76.96,77.22,76.20,77.18,2866800
2018-07-05 20:00:00-04:00,77.32,77.47,76.33,76.99,2022400
2018-07-08 20:00:00-04:00,77.19,78.95,77.17,78.85,2103600
2018-07-09 20:00:00-04:00,78.93,79.13,78.40,78.79,1503900
2018-07-10 20:00:00-04:00,78.20,78.55,77.73,77.94,1765000
2018-07-11 20:00:00-04:00,78.48,79.17,78.28,78.81,1920100
2018-07-12 20:00:00-04:00,78.69,79.45,78.37,79.13,1997900
2018-07-15 20:00:00-04:00,80.70,81.02,79.76,80.35,4288800
2018-07-16 20:00:00-04:00,80.35,80.73,79.63,80.65,2102400
2018-07-17 20:00:00-04:00,80.57,81.78,80.46,81.44,2798600
2018-07-18 20:00:00-04:00,81.25,81.98,80.93,81.94,2457900
2018-07-19 20:00:00-04:00,81.34,81.73,81.15,81.38,1776000
2018-07-22 20:00:00-04:00,81.67,82.05,81.47,81.84,1871000
2018-07-23 20:00:00-04:00,82.30,82.54,81.29,81.65,2646000
2018-07-24 20:00:00-04:00,81.51,87.46,81.51,87.28,6725700
2018-07-25 20:00:00-04:00,87.13,87.63,85.72,86.32,3630300
2018-07-26 20:00:00-04:00,86.58,86.58,85.79,86.16,2094700
2018-07-29 20:00:00-04:00,86.27,87.09,86.08,86.20,2020400
2018-07-30 20:00:00-04:00,86.86,88.12,86.64,87.06,2395100
2018-07-31 20:00:00-04:00,87.06,87.14,85.54,86.67,1913000
2018-08-01 20:00:00-04:00,86.41,86.56,85.71,86.12,1653500
2018-08-02 20:00:00-04:00,86.13,86.66,85.83,86.52,1912900
2018-08-05 20:00:00-04:00,86.30,87.09,86.30,86.80,1603400
2018-08-06 20:00:00-04:00,86.79,87.24,86.15,87.14,1957400
2018-08-07 20:00:00-04:00,87.14,87.71,87.00,87.56,1603100
2018-08-08 20:00:00-04:00,87.30,88.48,87.23,87.77,2050100
2018-08-09 20:00:00-04:00,87.51,87.71,86.41,86.61,2341400
2018-08-12 20:00:00-04:00,86.57,86.76,85.48,85.80,2339100
2018-08-13 20:00:00-04:00,85.87,87.25,85.87,86.40,1914800
2018-08-14 20:00:00-04:00,86.03,87.48,85.58,87.17,2619100
2018-08-15 20:00:00-04:00,87.48,88.30,87.06,87.94,2126800
2018-08-16 20:00:00-04:00,88.13,89.17,87.78,89.11,2384200
2018-08-19 20:00:00-04:00,89.11,89.95,89.04,89.66,2272500
2018-08-20 20:00:00-04:00,89.63,90.15,89.41,90.00,2594900
2018-08-21 20:00:00-04:00,90.00,90.00,89.04,89.16,2272200
2018-08-22 20:00:00-04:00,89.15,89.43,88.63,89.05,1263600
2018-08-23 20:00:00-04:00,89.33,89.95,89.13,89.80,1969600
2018-08-26 20:00:00-04:00,89.92,90.77,89.88,90.61,2641100
2018-08-27 20:00:00-04:00,90.77,91.04,89.70,89.81,2126400
2018-08-28 20:00:00-04:00,89.96,90.36,89.55,90.33,1528000
2018-08-29 20:00:00-04:00,90.18,90.44,89.57,89.88,1314400
2018-08-30 20:00:00-04:00,89.90,90.09,89.16,89.90,2188500
2018-09-03 20:00:00-04:00,90.57,91.02,90.06,90.97,2396900
2018-09-04 20:00:00-04:00,90.72,91.45,90.35,91.21,2368300
2018-09-05 20:00:00-04:00,91.13,91.33,90.33,90.50,2282200
2018-09-06 20:00:00-04:00,90.28,91.01,89.38,89.98,2530000
2018-09-09 20:00:00-04:00,90.50,91.52,90.32,90.97,2458000
2018-09-10 20:00:00-04:00,90.61,90.94,89.88,90.04,2260400
2018-09-11 20:00:00-04:00,89.93,90.69,89.70,90.21,3243100
2018-09-12 20:00:00-04:00,90.06,91.42,87.11,87.58,5029200
2018-09-13 20:00:00-04:00,88.02,88.43,87.07,88.08,3730600
2018-09-16 20:00:00-04:00,88.22,88.54,86.80,87.13,2945200
2018-09-17 20:00:00-04:00,86.84,87.56,85.86,86.51,2851300
2018-09-18 20:00:00-04:00,86.55,86.91,86.24,86.52,1944800
2018-09-19 20:00:00-04:00,87.01,87.50,86.74,87.15,1905500
2018-09-20 20:00:00-04:00,87.36,87.83,86.65,86.69,4348400
2018-09-23 20:00:00-04:00,86.55,86.83,85.65,85.84,1889400
2018-09-24 20:00:00-04:00,86.07,86.15,84.85,85.06,2108700
2018-09-25 20:00:00-04:00,85.06,85.86,85.05,85.38,2220600
2018-09-26 20:00:00-04:00,85.24,85.85,85.01,85.40,1599800
2018-09-27 20:00:00-04:00,85.21,85.50,84.67,85.42,2641800
2018-09-30 20:00:00-04:00,86.74,86.96,85.74,85.94,1820200
2018-10-01 20:00:00-04:00,85.95,86.00,85.34,85.59,1336100
2018-10-02 20:00:00-04:00,85.97,86.73,85.90,86.17,1802900
2018-10-03 20:00:00-04:00,85.95,86.58,85.09,85.83,1799800
2018-10-04 20:00:00-04:00,85.94,86.44,85.05,85.78,2039200
2018-10-07 20:00:00-04:00,85.68,87.23,85.57,86.90,2867100
2018-10-08 20:00:00-04:00,86.52,86.84,85.92,86.27,4652400
2018-10-09 20:00:00-04:00,85.85,86.52,85.10,85.35,4669000
2018-10-10 20:00:00-04:00,85.84,86.19,82.80,83.23,5239800
2018-10-11 20:00:00-04:00,84.54,85.29,83.18,84.61,2993000
2018-10-14 20:00:00-04:00,84.41,85.33,84.33,84.70,2648300
2018-10-15 20:00:00-04:00,85.24,86.11,84.69,85.95,2681100
2018-10-16 20:00:00-04:00,85.84,86.37,84.82,86.34,2104400
2018-10-17 20:00:00-04:00,86.03,86.15,83.54,83.94,2270000
2018-10-18 20:00:00-04:00,83.94,85.44,83.41,85.23,2460000
2018-10-21 20:00:00-04:00,85.01,85.12,83.94,84.61,2358900
2018-10-22 20:00:00-04:00,83.61,84.64,82.64,83.58,3120200
2018-10-23 20:00:00-04:00,81.26,82.05,78.62,78.97,5794600
2018-10-24 20:00:00-04:00,78.32,79.92,77.27,78.88,4269800
2018-10-25 20:00:00-04:00,77.92,78.39,76.41,77.05,3965200
2018-10-28 20:00:00-04:00,77.96,78.60,75.97,76.92,3355100
2018-10-29 20:00:00-04:00,77.15,78.69,76.61,78.34,3047400
2018-10-30 20:00:00-04:00,79.20,79.76,77.89,77.95,3620800
2018-10-31 20:00:00-04:00,78.20,79.13,77.51,78.67,2897800
2018-11-01 20:00:00-04:00,78.36,78.78,77.17,77.55,2854000
2018-11-04 19:00:00-05:00,77.86,78.61,77.58,78.15,2445600
2018-11-05 19:00:00-05:00,78.11,79.67,77.89,79.49,2582900
2018-11-06 19:00:00-05:00,79.92,81.45,79.02,81.31,3720900
2018-11-07 19:00:00-05:00,81.09,81.91,81.03,81.58,2566400
2018-11-08 19:00:00-05:00,81.86,82.04,79.91,80.12,3377000
2018-11-11 19:00:00-05:00,80.30,80.81,78.64,78.81,1810300
2018-11-12 19:00:00-05:00,79.07,80.86,79.02,80.04,3578300
2018-11-13 19:00:00-05:00,80.82,81.99,79.29,80.11,2964400
2018-11-14 19:00:00-05:00,79.73,81.20,78.58,80.81,3303700
2018-11-15 19:00:00-05:00,80.74,81.73,80.27,81.21,2583900
2018-11-18 19:00:00-05:00,81.23,82.56,81.07,82.10,2932500
2018-11-19 19:00:00-05:00,81.36,81.74,79.69,80.05,3485400
2018-11-20 19:00:00-05:00,80.41,80.93,80.03,80.24,1660600
2018-11-22 19:00:00-05:00,80.29,81.13,79.86,80.18,835900
2018-11-25 19:00:00-05:00,81.08,81.83,80.44,81.62,3400000
2018-11-26 19:00:00-05:00,81.23,82.30,80.88,82.26,1933800
2018-11-27 19:00:00-05:00,82.36,83.82,81.83,83.77,2322000
2018-11-28 19:00:00-05:00,83.44,84.05,82.89,83.55,1998400
2018-11-29 19:00:00-05:00,83.91,85.16,83.50,85.05,3564200
2018-12-02 19:00:00-05:00,86.03,86.53,83.94,85.04,3529800
2018-12-03 19:00:00-05:00,83.80,83.94,78.09,78.77,6865900
2018-12-05 19:00:00-05:00,78.30,79.75,77.74,79.70,4269600
2018-12-06 19:00:00-05:00,79.69,80.66,77.07,77.70,3172100
2018-12-09 19:00:00-05:00,77.21,77.82,74.43,77.02,3993400
2018-12-10 19:00:00-05:00,78.04,78.49,75.45,76.41,2382600
2018-12-11 19:00:00-05:00,77.22,77.39,74.63,74.66,4453700
2018-12-12 19:00:00-05:00,74.75,75.14,73.59,74.35,3490500
2018-12-13 19:00:00-05:00,73.68,73.80,71.96,72.78,4532200
2018-12-16 19:00:00-05:00,72.59,72.91,71.09,71.46,4649200
2018-12-17 19:00:00-05:00,72.21,73.09,71.34,71.76,3404700
2018-12-18 19:00:00-05:00,69.13,72.70,68.80,69.58,6326000
2018-12-19 19:00:00-05:00,69.70,70.66,68.38,69.30,5200000
2018-12-20 19:00:00-05:00,69.01,70.29,68.73,68.98,7889200
2018-12-23 19:00:00-05:00,68.63,68.87,66.31,66.31,2728300
2018-12-25 19:00:00-05:00,67.01,71.40,66.35,71.27,6259400
2018-12-26 19:00:00-05:00,70.26,72.13,69.40,72.13,4335500
2018-12-27 19:00:00-05:00,72.43,72.90,70.92,71.21,2972200
2018-12-30 19:00:00-05:00,71.45,71.97,71.14,71.95,2656700
2019-01-01 19:00:00-05:00,70.91,71.82,70.66,71.71,3297300
2019-01-02 19:00:00-05:00,71.17,71.30,69.49,69.68,2705000
2019-01-03 19:00:00-05:00,70.96,72.24,70.69,72.10,3347300
2019-01-06 19:00:00-05:00,71.91,72.41,70.95,71.86,3795700
2019-01-07 19:00:00-05:00,72.64,73.11,71.21,71.87,3034300
2019-01-08 19:00:00-05:00,71.99,72.54,71.68,72.24,3678200
2019-01-09 19:00:00-05:00,71.85,73.14,71.45,72.97,2432200
2019-01-10 19:00:00-05:00,72.51,73.00,71.79,72.23,5282800
2019-01-13 19:00:00-05:00,71.80,73.51,71.29,73.14,4731000
2019-01-14 19:00:00-05:00,73.14,73.14,71.43,71.97,4777100
2019-01-15 19:00:00-05:00,72.22,73.00,71.46,71.55,4463400
2019-01-16 19:00:00-05:00,71.52,73.51,71.41,73.46,4004300
2019-01-17 19:00:00-05:00,74.09,75.15,73.85,74.95,4249100
2019-01-21 19:00:00-05:00,74.88,75.98,74.62,75.75,5593900
2019-01-22 19:00:00-05:00,76.01,76.08,73.21,74.45,4573100
2019-01-23 19:00:00-05:00,74.04,74.24,72.91,73.55,2807000
2019-01-24 19:00:00-05:00,74.29,75.05,73.77,74.38,3445500
2019-01-27 19:00:00-05:00,73.68,74.23,72.97,74.01,3126200
2019-01-28 19:00:00-05:00,74.04,74.75,73.61,74.73,2209000
2019-01-29 19:00:00-05:00,75.17,75.28,73.96,74.65,4013000
2019-01-30 19:00:00-05:00,77.83,79.67,75.80,77.75,7327400
2019-01-31 19:00:00-05:00,77.99,78.57,77.65,78.26,3526100
2019-02-03 19:00:00-05:00,78.20,78.63,77.77,78.63,3184700
2019-02-04 19:00:00-05:00,78.79,79.46,78.23,79.42,3690400
2019-02-05 19:00:00-05:00,79.27,80.29,79.06,80.28,4490600
2019-02-06 19:00:00-05:00,79.93,80.37,79.22,79.63,3395700
2019-02-07 19:00:00-05:00,79.22,79.76,78.74,79.75,2951000
2019-02-10 19:00:00-05:00,79.83,80.43,79.59,80.36,2765300
2019-02-11 19:00:00-05:00,80.82,81.73,80.82,81.64,2881600
2019-02-12 19:00:00-05:00,81.89,82.67,81.50,82.63,2731500
2019-02-13 19:00:00-05:00,82.19,82.75,81.60,82.48,2359400
2019-02-14 19:00:00-05:00,81.83,82.59,80.87,81.79,4273400
2019-02-18 19:00:00-05:00,81.81,82.44,81.27,81.72,2658700
2019-02-19 19:00:00-05:00,81.83,82.00,81.44,81.94,3346700
2019-02-20 19:00:00-05:00,81.72,82.83,81.67,82.45,2260100
2019-02-21 19:00:00-05:00,82.54,82.54,79.56,81.41,4085000
2019-02-24 19:00:00-05:00,81.79,82.78,81.60,82.50,3112700
2019-02-25 19:00:00-05:00,82.40,83.27,82.36,82.63,2927600
2019-02-26 19:00:00-05:00,82.55,82.75,82.17,82.70,2620800
2019-02-27 19:00:00-05:00,82.41,82.67,81.85,82.01,2843600
2019-02-28 19:00:00-05:00,82.56,83.62,82.12,83.45,3904100
2019-03-03 19:00:00-05:00,83.88,84.02,81.72,82.22,2730700
2019-03-04 19:00:00-05:00,81.78,82.49,81.12,81.84,3150900
2019-03-05 19:00:00-05:00,81.73,81.87,80.62,81.00,2679500
2019-03-06 19:00:00-05:00,80.86,81.14,79.05,79.52,3979700
2019-03-07 19:00:00-05:00,79.03,79.43,78.09,79.39,2648600
2019-03-10 20:00:00-04:00,79.53,81.06,79.47,80.99,2963400
2019-03-11 20:00:00-04:00,81.18,81.74,80.83,81.12,2549600
2019-03-12 20:00:00-04:00,81.65,83.15,81.55,82.50,3323800
2019-03-13 20:00:00-04:00,82.72,82.74,81.92,82.52,2539600
2019-03-14 20:00:00-04:00,82.49,82.79,81.43,81.50,4874400
2019-03-17 20:00:00-04:00,81.53,82.51,81.49,82.37,2394600
2019-03-18 20:00:00-04:00,82.46,82.62,81.94,82.12,2940800
2019-03-19 20:00:00-04:00,80.62,81.12,79.26,80.31,4199100
2019-03-20 20:00:00-04:00,79.83,81.84,79.58,81.71,1819900
2019-03-21 20:00:00-04:00,81.32,81.56,79.85,79.89,2727900
2019-03-24 20:00:00-04:00,79.68,79.97,79.14,79.55,2088200
2019-03-25 20:00:00-04:00,80.14,80.96,79.84,80.68,2204400
2019-03-26 20:00:00-04:00,80.74,81.22,80.49,81.10,1911300
2019-03-27 20:00:00-04:00,81.35,82.17,81.13,82.08,1621000
