Date,Open,High,Low,Close,Volume
2018-07-01 20:00:00-04:00,13.32,13.44,13.25,13.40,1466900
2018-07-02 20:00:00-04:00,13.53,13.56,13.39,13.51,1087900
2018-07-04 20:00:00-04:00,13.58,13.60,13.47,13.59,1705700
2018-07-05 20:00:00-04:00,13.61,13.67,13.53,13.66,3062500
2018-07-08 20:00:00-04:00,13.68,13.74,13.64,13.67,1757800
2018-07-09 20:00:00-04:00,13.71,13.74,13.62,13.69,1695900
2018-07-10 20:00:00-04:00,13.62,13.69,13.47,13.57,1349300
2018-07-11 20:00:00-04:00,13.55,13.66,13.51,13.56,912700
2018-07-12 20:00:00-04:00,13.59,13.72,13.59,13.71,1259200
2018-07-15 20:00:00-04:00,13.71,13.73,13.62,13.71,896100
2018-07-16 20:00:00-04:00,13.71,13.76,13.56,13.56,1460000
2018-07-17 20:00:00-04:00,13.55,13.62,13.38,13.43,2624800
2018-07-18 20:00:00-04:00,13.44,13.53,13.31,13.45,3539800
2018-07-19 20:00:00-04:00,13.51,13.53,13.34,13.42,1076100
2018-07-22 20:00:00-04:00,13.45,13.47,13.28,13.34,1302800
2018-07-23 20:00:00-04:00,13.38,13.40,13.26,13.26,1147200
2018-07-24 20:00:00-04:00,13.27,13.37,13.22,13.31,1300300
2018-07-25 20:00:00-04:00,13.28,13.44,13.25,13.27,804900
2018-07-26 20:00:00-04:00,13.25,13.33,13.11,13.16,746900
2018-07-29 20:00:00-04:00,13.17,13.30,13.11,13.22,706400
2018-07-30 20:00:00-04:00,13.55,13.55,13.15,13.18,2481200
2018-07-31 20:00:00-04:00,13.14,13.23,12.92,12.95,2346500
2018-08-01 20:00:00-04:00,12.92,12.97,12.68,12.72,4717200
2018-08-02 20:00:00-04:00,12.79,12.95,12.50,12.65,2626800
2018-08-05 20:00:00-04:00,12.66,12.83,12.64,12.79,2844800
2018-08-06 20:00:00-04:00,12.78,12.90,12.72,12.86,2521400
2018-08-07 20:00:00-04:00,12.90,13.16,12.82,13.12,2219900
2018-08-08 20:00:00-04:00,13.09,13.17,12.94,13.03,767800
2018-08-09 20:00:00-04:00,12.90,13.07,12.90,13.05,908300
2018-08-12 20:00:00-04:00,13.07,13.12,12.94,13.00,1302200
2018-08-13 20:00:00-04:00,13.13,13.29,12.99,13.01,1853000
2018-08-14 20:00:00-04:00,13.00,13.22,12.99,13.22,1237100
2018-08-15 20:00:00-04:00,13.27,13.42,13.16,13.38,2095200
2018-08-16 20:00:00-04:00,13.38,13.53,13.36,13.38,1596900
2018-08-19 20:00:00-04:00,13.34,13.48,13.14,13.25,1299600
2018-08-20 20:00:00-04:00,13.22,13.47,13.19,13.38,1275800
2018-08-21 20:00:00-04:00,13.38,13.41,13.28,13.29,1291200
2018-08-22 20:00:00-04:00,13.28,13.44,13.27,13.40,1076300
2018-08-23 20:00:00-04:00,13.41,13.48,13.36,13.40,956400
2018-08-26 20:00:00-04:00,13.43,13.48,13.40,13.47,2284500
2018-08-27 20:00:00-04:00,13.51,13.59,13.44,13.55,2949700
2018-08-28 20:00:00-04:00,13.60,13.60,13.50,13.53,1395000
2018-08-29 20:00:00-04:00,13.50,13.53,13.36,13.36,1074700
2018-08-30 20:00:00-04:00,13.36,13.55,13.36,13.54,1248200
2018-09-03 20:00:00-04:00,13.50,13.60,13.44,13.55,1364300
2018-09-04 20:00:00-04:00,13.54,13.59,13.42,13.53,1161200
2018-09-05 20:00:00-04:00,13.53,13.60,13.47,13.47,2385800
2018-09-06 20:00:00-04:00,13.47,13.51,13.43,13.49,2018700
2018-09-09 20:00:00-04:00,13.56,13.65,13.55,13.60,4019600
2018-09-10 20:00:00-04:00,13.60,13.63,13.48,13.58,2564300
2018-09-11 20:00:00-04:00,13.56,13.71,13.53,13.58,2363000
2018-09-12 20:00:00-04:00,13.63,13.71,13.61,13.67,3210800
2018-09-13 20:00:00-04:00,13.70,13.82,13.61,13.77,4007300
2018-09-16 20:00:00-04:00,13.82,14.09,13.78,13.93,4252900
2018-09-17 20:00:00-04:00,13.95,14.08,13.94,13.99,3466100
2018-09-18 20:00:00-04:00,13.99,14.12,13.89,13.91,6841400
2018-09-19 20:00:00-04:00,13.97,13.99,13.83,13.87,5194800
2018-09-20 20:00:00-04:00,13.92,13.95,13.80,13.88,14810800
2018-09-23 20:00:00-04:00,13.93,13.96,13.65,13.77,4303500
2018-09-24 20:00:00-04:00,13.81,13.90,13.76,13.79,3734300
2018-09-25 20:00:00-04:00,13.78,13.91,13.63,13.66,3667700
2018-09-26 20:00:00-04:00,13.84,13.98,13.71,13.88,2877600
2018-09-27 20:00:00-04:00,13.87,14.21,13.85,14.19,3287500
2018-09-30 20:00:00-04:00,14.21,14.26,13.94,13.94,3308500
2018-10-01 20:00:00-04:00,13.93,14.20,13.87,14.13,1614300
2018-10-02 20:00:00-04:00,14.15,14.23,13.97,13.98,2753400
2018-10-03 20:00:00-04:00,13.96,13.98,13.83,13.91,1550500
2018-10-04 20:00:00-04:00,13.94,13.98,13.72,13.77,3745700
2018-10-07 20:00:00-04:00,13.82,14.07,13.73,14.03,2011400
2018-10-08 20:00:00-04:00,14.00,14.19,13.94,14.11,1735800
2018-10-09 20:00:00-04:00,14.13,14.13,13.92,13.92,2459800
2018-10-10 20:00:00-04:00,13.89,13.89,13.51,13.54,1937800
2018-10-11 20:00:00-04:00,13.63,13.68,13.41,13.55,1531700
2018-10-14 20:00:00-04:00,13.67,13.77,13.59,13.71,1158700
2018-10-15 20:00:00-04:00,13.75,13.96,13.69,13.84,1832200
2018-10-16 20:00:00-04:00,13.86,14.21,13.83,14.08,6290700
2018-10-17 20:00:00-04:00,14.09,14.18,14.03,14.11,2718800
2018-10-18 20:00:00-04:00,14.14,14.21,14.04,14.21,2297300
2018-10-21 20:00:00-04:00,14.23,14.24,13.92,13.96,2528800
2018-10-22 20:00:00-04:00,13.89,14.05,13.71,14.02,2685400
2018-10-23 20:00:00-04:00,14.15,14.25,14.05,14.13,4563100
2018-10-24 20:00:00-04:00,14.15,14.51,14.09,14.43,3910900
2018-10-25 20:00:00-04:00,14.42,14.49,14.09,14.31,3805000
2018-10-28 20:00:00-04:00,14.40,14.54,14.13,14.15,3929400
2018-10-29 20:00:00-04:00,14.21,14.33,14.05,14.12,6683500
2018-10-30 20:00:00-04:00,14.18,14.38,14.07,14.17,3532500
2018-10-31 20:00:00-04:00,14.16,14.36,14.15,14.32,3529800
2018-11-01 20:00:00-04:00,14.33,14.65,13.92,14.07,2462900
2018-11-04 19:00:00-05:00,14.05,14.30,14.01,14.13,3274000
2018-11-05 19:00:00-05:00,14.14,14.36,14.09,14.31,3870800
2018-11-06 19:00:00-05:00,14.38,14.54,14.32,14.53,3289300
2018-11-07 19:00:00-05:00,14.55,14.57,14.23,14.28,2361600
2018-11-08 19:00:00-05:00,14.23,14.35,14.21,14.24,2622900
