Date,Open,High,Low,Close,Volume
2022-04-05 20:00:00-04:00,90.89,92.72,88.89,91.42,3994300
2022-04-06 20:00:00-04:00,91.61,92.42,88.91,91.45,3700000
2022-04-07 20:00:00-04:00,92.06,92.68,91.13,91.35,3291200
2022-04-10 20:00:00-04:00,90.88,91.29,88.62,89.30,3705900
2022-04-11 20:00:00-04:00,90.80,92.40,88.94,89.20,4189900
2022-04-12 20:00:00-04:00,90.19,92.39,89.24,91.99,3899900
2022-04-13 20:00:00-04:00,92.04,93.33,91.52,92.80,3794100
2022-04-17 20:00:00-04:00,93.81,97.78,93.16,97.66,4813300
2022-04-18 20:00:00-04:00,96.89,98.70,95.04,95.35,5141800
2022-04-19 20:00:00-04:00,95.53,96.73,95.10,95.65,3289700
2022-04-20 20:00:00-04:00,96.46,97.65,92.65,92.85,3977500
2022-04-21 20:00:00-04:00,92.52,94.39,91.11,91.20,3767700
2022-04-24 20:00:00-04:00,88.07,89.90,85.59,89.28,6651200
2022-04-25 20:00:00-04:00,90.03,94.96,89.47,93.05,6731800
2022-04-26 20:00:00-04:00,93.69,97.42,91.71,96.92,5539700
2022-04-27 20:00:00-04:00,97.36,102.73,96.37,102.25,6427700
2022-04-28 20:00:00-04:00,101.44,102.12,98.27,98.66,5963400
2022-05-01 20:00:00-04:00,98.67,103.27,98.25,103.20,6708000
2022-05-02 20:00:00-04:00,102.79,107.74,102.75,107.44,5823700
2022-05-03 20:00:00-04:00,108.81,113.89,107.79,113.49,8342100
2022-05-04 20:00:00-04:00,113.13,114.29,108.65,111.36,5801000
2022-05-05 20:00:00-04:00,113.53,114.41,110.04,114.33,4400100
2022-05-08 20:00:00-04:00,111.34,111.96,104.38,104.83,8179500
2022-05-09 20:00:00-04:00,106.57,109.82,104.54,107.06,7048800
2022-05-10 20:00:00-04:00,109.28,110.19,106.95,107.45,5003800
2022-05-11 20:00:00-04:00,107.67,108.43,104.40,107.44,3800100
2022-05-12 20:00:00-04:00,109.37,111.82,108.94,111.27,3800700
2022-05-15 20:00:00-04:00,111.96,115.31,111.51,114.01,4599100
2022-05-16 20:00:00-04:00,115.99,117.50,113.14,114.26,5185000
2022-05-17 20:00:00-04:00,114.60,115.43,109.46,111.25,5436900
2022-05-18 20:00:00-04:00,108.41,112.84,106.36,110.87,5401700
2022-05-19 20:00:00-04:00,111.56,112.33,107.17,109.73,5095700
2022-05-22 20:00:00-04:00,111.09,111.53,108.56,110.61,5266200
2022-05-23 20:00:00-04:00,108.92,111.52,107.96,110.83,3677600
2022-05-24 20:00:00-04:00,110.85,115.66,110.67,113.62,5677200
2022-05-25 20:00:00-04:00,115.30,115.96,112.59,114.32,4887400
2022-05-26 20:00:00-04:00,114.66,118.74,114.39,117.61,4518900
