Date,Open,High,Low,Close,Volume
2022-04-05 20:00:00-04:00,21.96,22.42,21.85,22.42,5816200
2022-04-06 20:00:00-04:00,22.40,22.62,22.18,22.54,6428100
2022-04-07 20:00:00-04:00,22.62,22.97,22.42,22.90,6982700
2022-04-10 20:00:00-04:00,22.91,23.03,22.39,22.42,5151600
2022-04-11 20:00:00-04:00,22.53,22.85,22.33,22.47,5277000
2022-04-12 20:00:00-04:00,22.49,22.62,22.11,22.24,5349300
2022-04-13 20:00:00-04:00,22.26,22.64,22.26,22.45,4708900
2022-04-17 20:00:00-04:00,22.42,23.24,22.34,23.21,5308600
2022-04-18 20:00:00-04:00,23.28,23.55,22.87,23.19,5429700
2022-04-19 20:00:00-04:00,23.53,24.88,23.53,24.53,8990300
2022-04-20 20:00:00-04:00,24.47,24.62,24.00,24.05,7014700
2022-04-21 20:00:00-04:00,24.06,24.10,23.64,23.68,3623000
2022-04-24 20:00:00-04:00,23.64,23.64,22.96,23.37,5130700
2022-04-25 20:00:00-04:00,23.18,23.74,23.18,23.26,4039600
2022-04-26 20:00:00-04:00,23.25,23.65,23.13,23.25,3608800
2022-04-27 20:00:00-04:00,23.47,23.52,23.12,23.48,5008500
2022-04-28 20:00:00-04:00,23.56,23.81,23.37,23.38,5342300
2022-05-01 20:00:00-04:00,23.36,23.59,22.59,23.07,4692400
2022-05-02 20:00:00-04:00,23.14,23.89,23.11,23.59,4094100
2022-05-03 20:00:00-04:00,23.69,24.36,23.64,24.22,5214600
2022-05-04 20:00:00-04:00,24.29,24.60,23.61,23.74,5171400
2022-05-05 20:00:00-04:00,24.29,25.32,24.06,24.87,9739100
2022-05-08 20:00:00-04:00,24.69,24.69,22.35,22.54,9713400
2022-05-09 20:00:00-04:00,22.84,23.35,22.30,22.83,5004500
2022-05-10 20:00:00-04:00,22.97,23.25,22.61,22.69,7373900
2022-05-11 20:00:00-04:00,22.46,22.60,21.38,21.87,9500800
2022-05-12 20:00:00-04:00,22.29,23.09,22.25,22.96,5521600
2022-05-15 20:00:00-04:00,22.92,23.37,22.79,23.36,6949300
2022-05-16 20:00:00-04:00,23.40,23.62,23.13,23.59,5014500
2022-05-17 20:00:00-04:00,23.65,23.91,23.45,23.57,5070000
2022-05-18 20:00:00-04:00,23.61,24.41,23.49,24.37,7959700
2022-05-19 20:00:00-04:00,24.25,24.72,23.20,23.57,6190200
2022-05-22 20:00:00-04:00,23.74,24.14,23.49,24.04,4484600
2022-05-23 20:00:00-04:00,23.83,24.08,23.57,23.81,4046000
2022-05-24 20:00:00-04:00,23.80,24.45,23.78,24.38,5564900
2022-05-25 20:00:00-04:00,24.50,24.72,24.22,24.23,4707100
2022-05-26 20:00:00-04:00,24.27,24.60,24.04,24.58,5778600
2022-05-30 20:00:00-04:00,24.76,24.93,24.18,24.64,7762900
2022-05-31 20:00:00-04:00,24.63,24.72,23.61,24.20,4618700
2022-06-01 20:00:00-04:00,24.25,24.52,23.91,24.27,3846900
