Date,Open,High,Low,Close,Volume
2022-04-05 20:00:00-04:00,40.70,41.18,40.51,41.00,28661700
2022-04-06 20:00:00-04:00,40.91,41.33,40.59,41.09,22790600
2022-04-07 20:00:00-04:00,41.13,41.87,40.95,41.76,24852200
2022-04-10 20:00:00-04:00,42.02,42.67,41.90,42.05,33614900
2022-04-11 20:00:00-04:00,42.02,42.16,41.67,41.87,21136400
2022-04-12 20:00:00-04:00,41.80,42.41,41.80,42.23,19798000
2022-04-13 20:00:00-04:00,42.12,42.27,41.95,41.99,16915100
2022-04-17 20:00:00-04:00,41.94,42.34,41.51,41.65,14394300
2022-04-18 20:00:00-04:00,41.80,42.05,41.70,41.93,12890000
2022-04-19 20:00:00-04:00,41.94,42.51,41.89,42.44,19563400
2022-04-20 20:00:00-04:00,42.60,43.30,42.49,42.91,32821100
2022-04-21 20:00:00-04:00,41.69,41.76,40.14,40.49,44958400
2022-04-24 20:00:00-04:00,40.05,40.13,38.64,39.22,46028400
2022-04-25 20:00:00-04:00,39.21,39.51,38.51,38.54,29507700
2022-04-26 20:00:00-04:00,38.62,38.62,37.77,37.80,30582000
2022-04-27 20:00:00-04:00,37.98,38.36,37.68,37.75,33011700
2022-04-28 20:00:00-04:00,37.57,37.60,36.02,36.12,41014200
2022-05-01 20:00:00-04:00,36.28,36.71,35.53,36.06,33309400
2022-05-02 20:00:00-04:00,36.19,36.98,35.93,36.80,33263100
2022-05-03 20:00:00-04:00,36.85,37.77,36.66,37.73,29564600
2022-05-04 20:00:00-04:00,37.47,37.70,36.98,37.32,20664300
2022-05-05 20:00:00-04:00,37.13,37.79,37.07,37.65,19322000
2022-05-08 20:00:00-04:00,37.54,38.11,37.25,37.93,24391300
2022-05-09 20:00:00-04:00,38.14,38.57,37.26,37.54,23007300
2022-05-10 20:00:00-04:00,37.58,37.85,37.15,37.35,20133200
2022-05-11 20:00:00-04:00,37.29,37.58,36.98,37.49,21623900
2022-05-12 20:00:00-04:00,37.64,37.79,37.14,37.58,21080500
2022-05-15 20:00:00-04:00,37.43,38.38,37.26,38.25,22754700
2022-05-16 20:00:00-04:00,38.18,38.39,37.86,38.18,22043100
2022-05-17 20:00:00-04:00,38.18,38.58,37.93,38.14,22365100
2022-05-18 20:00:00-04:00,37.80,38.36,37.54,38.30,23186400
2022-05-19 20:00:00-04:00,38.25,38.69,38.16,38.64,24181800
2022-05-22 20:00:00-04:00,38.84,39.21,38.61,38.75,16761800
2022-05-23 20:00:00-04:00,38.76,39.64,38.11,39.53,25414700
2022-05-24 20:00:00-04:00,39.39,39.99,39.31,39.97,19831500
2022-05-25 20:00:00-04:00,40.02,40.26,39.71,39.78,15500400
2022-05-26 20:00:00-04:00,39.59,40.12,39.42,40.10,13347300
2022-05-30 20:00:00-04:00,39.99,40.22,39.67,40.01,25016600
2022-05-31 20:00:00-04:00,40.13,40.27,39.82,40.10,15358100
2022-06-01 20:00:00-04:00,40.21,40.24,39.31,40.01,13527800
2022-06-02 20:00:00-04:00,39.74,39.98,39.54,39.63,10819800
2022-06-05 20:00:00-04:00,39.73,40.06,39.56,39.97,12898100
2022-06-06 20:00:00-04:00,39.90,40.33,39.73,40.29,15383000
2022-06-07 20:00:00-04:00,40.35,40.53,40.13,40.21,13249700
2022-06-08 20:00:00-04:00,40.27,40.38,39.72,39.74,12078400
2022-06-09 20:00:00-04:00,39.51,40.10,39.37,39.64,19868500
2022-06-12 20:00:00-04:00,39.49,39.62,38.53,38.68,23762500
2022-06-13 20:00:00-04:00,38.68,38.88,38.14,38.35,20278700
2022-06-14 20:00:00-04:00,38.40,38.87,37.91,38.34,22005600
2022-06-15 20:00:00-04:00,37.85,38.20,37.45,38.10,22029300
2022-06-16 20:00:00-04:00,37.92,38.61,37.86,38.25,36469500
2022-06-20 20:00:00-04:00,38.46,39.71,38.39,39.51,34258500
2022-06-21 20:00:00-04:00,39.21,39.92,39.17,39.62,23650600
2022-06-22 20:00:00-04:00,39.81,40.70,39.81,40.63,21736400
2022-06-23 20:00:00-04:00,40.59,40.68,39.45,39.75,28490700
2022-06-26 20:00:00-04:00,40.01,40.17,39.51,39.75,16974900
2022-06-27 20:00:00-04:00,39.84,40.02,39.34,39.36,16615700
2022-06-28 20:00:00-04:00,39.38,39.78,39.25,39.74,13901400
2022-06-29 20:00:00-04:00,39.53,39.95,39.36,39.59,18880500
2022-06-30 20:00:00-04:00,39.75,40.38,39.46,40.28,14189300
2022-07-04 20:00:00-04:00,40.11,40.14,39.38,40.11,19675600
2022-07-05 20:00:00-04:00,40.11,40.48,39.88,40.18,14938900
2022-07-06 20:00:00-04:00,40.25,40.33,39.78,40.05,13617100
2022-07-07 20:00:00-04:00,39.90,40.22,39.82,39.88,13959200
2022-07-10 20:00:00-04:00,39.79,40.08,39.70,39.89,12259000
2022-07-11 20:00:00-04:00,40.01,40.57,39.71,40.11,20528700
2022-07-12 20:00:00-04:00,39.84,40.35,39.65,39.90,13362500
2022-07-13 20:00:00-04:00,39.43,39.94,39.28,39.88,10271700
2022-07-14 20:00:00-04:00,40.28,40.32,39.77,40.30,13021300
2022-07-17 20:00:00-04:00,40.33,40.42,39.63,39.71,16173100
2022-07-18 20:00:00-04:00,39.87,39.94,39.68,39.85,14638500
2022-07-19 20:00:00-04:00,39.86,39.93,38.71,38.76,29611400
2022-07-20 20:00:00-04:00,37.62,37.82,36.87,37.65,32321000
2022-07-21 20:00:00-04:00,36.29,36.48,34.57,35.11,52802000
2022-07-24 20:00:00-04:00,35.05,35.39,34.79,35.35,27180700
2022-07-25 20:00:00-04:00,35.15,35.68,34.97,35.48,20571800
2022-07-26 20:00:00-04:00,35.39,35.62,35.11,35.47,21560500
2022-07-27 20:00:00-04:00,35.42,36.11,35.35,35.98,22051900
2022-07-28 20:00:00-04:00,36.11,36.73,36.00,36.48,23129800
2022-07-31 20:00:00-04:00,36.56,36.73,36.27,36.54,18612100
2022-08-01 20:00:00-04:00,36.53,36.67,35.79,35.81,18710300
2022-08-02 20:00:00-04:00,35.91,36.03,35.69,35.80,17314100
2022-08-03 20:00:00-04:00,35.72,35.72,35.04,35.09,29704300
2022-08-04 20:00:00-04:00,35.13,35.53,35.04,35.50,17297500
2022-08-07 20:00:00-04:00,35.50,35.55,35.03,35.18,20597000
2022-08-08 20:00:00-04:00,35.24,35.43,35.06,35.29,14554000
2022-08-09 20:00:00-04:00,35.55,35.59,35.27,35.42,16402700
2022-08-10 20:00:00-04:00,35.51,35.75,35.34,35.37,15407300
2022-08-11 20:00:00-04:00,35.50,35.75,35.39,35.66,15090900
2022-08-14 20:00:00-04:00,35.57,36.05,35.50,35.99,15713600
2022-08-15 20:00:00-04:00,35.94,36.37,35.84,36.18,14112800
2022-08-16 20:00:00-04:00,35.88,36.11,35.75,35.81,11294400
2022-08-17 20:00:00-04:00,35.09,35.17,34.68,34.90,25957400
2022-08-18 20:00:00-04:00,34.83,35.14,34.72,35.09,19485400
2022-08-21 20:00:00-04:00,35.07,35.13,34.83,34.89,15031400
2022-08-22 20:00:00-04:00,34.75,34.86,34.30,34.34,19014200
2022-08-23 20:00:00-04:00,34.40,34.46,34.14,34.40,17384400
2022-08-24 20:00:00-04:00,34.48,34.61,34.30,34.55,14327600
2022-08-25 20:00:00-04:00,34.43,34.52,34.15,34.16,16795700
2022-08-28 20:00:00-04:00,33.98,34.41,33.98,34.23,15039500
2022-08-29 20:00:00-04:00,34.26,34.26,33.57,33.59,20705100
2022-08-30 20:00:00-04:00,33.55,33.64,32.99,33.02,28368200
2022-08-31 20:00:00-04:00,32.89,33.21,32.89,33.02,21641700
2022-09-01 20:00:00-04:00,33.17,33.34,32.50,32.62,21155700
2022-09-05 20:00:00-04:00,32.66,32.93,32.46,32.46,23898600
2022-09-06 20:00:00-04:00,32.50,32.90,32.38,32.45,25548300
2022-09-07 20:00:00-04:00,32.38,32.95,32.16,32.64,28753200
2022-09-08 20:00:00-04:00,32.92,33.43,32.76,33.36,20259500
2022-09-11 20:00:00-04:00,33.64,33.85,33.50,33.78,18553200
2022-09-12 20:00:00-04:00,33.49,33.66,32.84,32.98,21284500
2022-09-13 20:00:00-04:00,32.98,33.12,32.37,32.61,23152200
2022-09-14 20:00:00-04:00,32.41,32.60,32.16,32.41,22763400
2022-09-15 20:00:00-04:00,32.37,32.81,32.12,32.58,45069300
2022-09-18 20:00:00-04:00,32.43,32.58,32.14,32.57,18960900
2022-09-19 20:00:00-04:00,32.38,32.38,31.97,32.06,15561200
2022-09-20 20:00:00-04:00,32.14,32.31,31.18,31.18,25612100
2022-09-21 20:00:00-04:00,31.18,31.91,31.01,31.54,19806400
2022-09-22 20:00:00-04:00,31.25,31.49,30.89,31.22,19439700
2022-09-25 20:00:00-04:00,30.99,31.11,30.51,30.75,21345700
2022-09-26 20:00:00-04:00,30.96,31.36,30.63,30.72,20357700
2022-09-27 20:00:00-04:00,30.85,31.21,30.81,31.11,20567400
2022-09-28 20:00:00-04:00,30.89,30.96,30.37,30.52,17806900
2022-09-29 20:00:00-04:00,30.44,30.64,29.98,29.99,23523600
2022-10-02 20:00:00-04:00,30.41,31.10,30.32,30.93,21495300
2022-10-03 20:00:00-04:00,31.20,31.48,31.00,31.44,25922500
2022-10-04 20:00:00-04:00,31.07,31.29,30.70,31.12,17797900
2022-10-05 20:00:00-04:00,31.70,31.85,30.34,30.39,36663300
2022-10-06 20:00:00-04:00,30.22,30.28,29.57,29.60,31838700
2022-10-09 20:00:00-04:00,29.82,29.97,29.21,29.41,21622200
2022-10-10 20:00:00-04:00,29.36,29.47,28.86,28.87,27708900
2022-10-11 20:00:00-04:00,28.83,29.08,28.59,28.66,23336800
2022-10-12 20:00:00-04:00,28.21,29.39,28.14,29.24,33118100
2022-10-13 20:00:00-04:00,29.56,29.65,29.19,29.22,26019000
2022-10-16 20:00:00-04:00,29.49,29.96,29.39,29.86,21962900
2022-10-17 20:00:00-04:00,30.26,30.28,29.58,29.77,27488600
2022-10-18 20:00:00-04:00,29.37,30.02,29.36,29.37,29563600
2022-10-19 20:00:00-04:00,29.37,30.14,29.36,29.72,35523700
2022-10-20 20:00:00-04:00,28.53,28.67,27.75,28.39,51671100
2022-10-23 20:00:00-04:00,28.64,29.23,28.57,28.89,28844800
2022-10-24 20:00:00-04:00,28.84,29.30,28.75,29.26,25496500
2022-10-25 20:00:00-04:00,29.22,29.48,29.08,29.26,20328200
2022-10-26 20:00:00-04:00,29.47,29.49,29.02,29.06,20268000
2022-10-27 20:00:00-04:00,29.56,30.55,29.37,30.26,31824300
2022-10-30 20:00:00-04:00,30.13,30.15,29.73,30.02,26630600
2022-10-31 20:00:00-04:00,30.50,30.59,29.96,30.02,22968900
2022-11-01 20:00:00-04:00,29.92,30.80,29.85,30.29,30648900
2022-11-02 20:00:00-04:00,30.01,30.15,29.81,29.84,22329800
2022-11-03 20:00:00-04:00,30.00,30.02,29.56,29.91,17599400
,29.97,30.08,29.70,29.87,19697600
,29.88,30.51,29.85,30.42,17392700
,30.46,30.63,30.19,30.22,17574600
,30.76,30.96,30.38,30.94,23049000
,30.96,31.08,30.37,30.76,22981000
,30.88,31.32,30.76,30.77,23028500
,30.91,31.19,30.09,30.28,25074100
,30.25,30.58,30.22,30.42,18962200
,30.16,30.67,29.95,30.65,18780400
,30.75,31.14,30.75,30.96,17821700
,31.00,31.43,30.94,31.02,19184200
