Date,Open,High,Low,Close,Volume
2022-04-05 20:00:00-04:00,216.07,216.16,212.04,212.42,7430000
2022-04-06 20:00:00-04:00,211.74,212.10,207.25,209.64,6995100
2022-04-07 20:00:00-04:00,208.34,212.80,206.66,210.45,5438600
2022-04-10 20:00:00-04:00,208.77,210.76,206.98,208.28,6942700
2022-04-11 20:00:00-04:00,209.98,210.46,204.36,205.03,7446600
2022-04-12 20:00:00-04:00,204.09,207.41,200.93,206.85,8052900
2022-04-13 20:00:00-04:00,207.82,209.45,206.13,206.38,8191600
2022-04-17 20:00:00-04:00,205.30,209.33,205.15,206.75,4744400
2022-04-18 20:00:00-04:00,206.68,209.99,206.04,209.21,5028800
2022-04-19 20:00:00-04:00,212.08,214.17,210.84,211.23,7178300
2022-04-20 20:00:00-04:00,212.90,217.18,208.87,209.93,8850300
2022-04-21 20:00:00-04:00,209.73,210.04,201.69,201.90,6201100
2022-04-24 20:00:00-04:00,200.14,204.19,199.15,203.63,6839400
2022-04-25 20:00:00-04:00,200.75,202.28,195.04,195.04,8155300
2022-04-26 20:00:00-04:00,210.83,215.12,206.64,207.66,15584100
2022-04-27 20:00:00-04:00,213.76,218.16,212.67,214.02,10799100
2022-04-28 20:00:00-04:00,212.04,214.54,205.96,206.71,7965000
2022-05-01 20:00:00-04:00,205.39,205.75,200.73,205.16,8803700
2022-05-02 20:00:00-04:00,207.18,207.18,200.06,202.28,6616900
2022-05-03 20:00:00-04:00,203.05,208.33,199.15,208.06,7191100
2022-05-04 20:00:00-04:00,205.88,208.12,196.96,199.06,7749600
2022-05-05 20:00:00-04:00,197.62,199.53,194.19,196.71,8825300
2022-05-08 20:00:00-04:00,194.03,194.71,186.30,187.19,10314100
2022-05-09 20:00:00-04:00,190.79,191.80,185.22,187.75,11016500
2022-05-10 20:00:00-04:00,187.66,192.35,185.64,190.80,9427300
2022-05-11 20:00:00-04:00,189.03,190.52,184.58,188.49,9308600
2022-05-12 20:00:00-04:00,191.43,194.87,190.95,193.60,6684500
2022-05-15 20:00:00-04:00,191.74,194.29,190.34,192.22,5161300
2022-05-16 20:00:00-04:00,197.12,199.01,194.49,198.24,7265600
2022-05-17 20:00:00-04:00,197.09,199.65,193.50,194.34,8748200
2022-05-18 20:00:00-04:00,190.80,194.76,187.85,191.79,9012400
2022-05-19 20:00:00-04:00,194.03,195.96,188.54,193.41,6966600
2022-05-22 20:00:00-04:00,195.20,202.08,195.10,201.69,12187400
2022-05-23 20:00:00-04:00,198.15,198.89,193.41,196.90,7458500
2022-05-24 20:00:00-04:00,194.92,199.16,194.81,198.08,5457200
2022-05-25 20:00:00-04:00,199.31,203.81,198.89,202.66,9212300
2022-05-26 20:00:00-04:00,204.07,207.20,203.72,206.86,4897200
2022-05-30 20:00:00-04:00,204.44,208.29,203.20,206.17,9586400
2022-05-31 20:00:00-04:00,206.06,208.06,202.92,204.00,5246100
2022-06-01 20:00:00-04:00,205.90,209.17,205.12,208.97,5337200
2022-06-02 20:00:00-04:00,206.93,208.16,205.30,206.64,4352500
2022-06-05 20:00:00-04:00,209.36,211.43,206.10,206.92,3965100
2022-06-06 20:00:00-04:00,205.15,208.90,204.77,208.44,4493300
2022-06-07 20:00:00-04:00,207.72,209.48,206.82,207.47,3646300
2022-06-08 20:00:00-04:00,206.58,207.67,200.20,200.29,5138600
2022-06-09 20:00:00-04:00,195.95,197.67,193.55,193.87,5162500
2022-06-12 20:00:00-04:00,187.54,190.35,185.68,186.83,7119200
2022-06-13 20:00:00-04:00,187.27,188.85,186.33,188.05,6441200
2022-06-14 20:00:00-04:00,190.44,193.21,186.80,190.62,6490000
2022-06-15 20:00:00-04:00,186.00,186.45,182.23,183.71,9887200
2022-06-16 20:00:00-04:00,181.65,185.90,180.66,184.64,15089300
2022-06-20 20:00:00-04:00,190.18,191.17,188.26,188.90,6241600
2022-06-21 20:00:00-04:00,185.85,190.84,185.63,188.34,5138500
2022-06-22 20:00:00-04:00,190.60,191.88,187.98,191.08,4752800
2022-06-23 20:00:00-04:00,192.14,199.83,191.93,199.70,7754800
2022-06-26 20:00:00-04:00,199.94,201.24,196.88,197.81,6121200
2022-06-27 20:00:00-04:00,198.24,200.95,191.92,192.52,4354200
2022-06-28 20:00:00-04:00,191.74,194.97,191.74,193.86,4324600
2022-06-29 20:00:00-04:00,189.85,193.23,187.40,191.33,7045200
2022-06-30 20:00:00-04:00,191.23,194.15,189.21,193.55,4131800
2022-07-04 20:00:00-04:00,190.69,194.90,188.65,194.87,4110200
2022-07-05 20:00:00-04:00,194.35,196.79,193.06,195.44,4111200
2022-07-06 20:00:00-04:00,196.82,197.68,194.39,197.07,4650700
2022-07-07 20:00:00-04:00,196.60,198.33,194.80,197.82,3621800
2022-07-10 20:00:00-04:00,196.29,200.90,196.29,199.27,5353600
