Date,Open,High,Low,Close,Volume
2018-07-01 20:00:00-04:00,192.25,194.14,191.52,193.78,381900
2018-07-02 20:00:00-04:00,194.74,194.74,192.23,192.56,207600
2018-07-04 20:00:00-04:00,193.37,195.22,192.53,195.11,600100
2018-07-05 20:00:00-04:00,195.74,197.01,194.63,196.48,369800
2018-07-08 20:00:00-04:00,197.08,200.25,196.61,198.97,438200
2018-07-09 20:00:00-04:00,198.58,200.69,198.45,199.92,427500
2018-07-10 20:00:00-04:00,198.59,198.59,196.38,196.69,425300
2018-07-11 20:00:00-04:00,197.86,198.66,196.81,198.56,417700
2018-07-12 20:00:00-04:00,198.11,199.35,197.57,198.09,564500
2018-07-15 20:00:00-04:00,191.01,194.98,190.73,193.50,715100
2018-07-16 20:00:00-04:00,191.95,196.55,190.99,196.01,763300
2018-07-17 20:00:00-04:00,196.34,196.38,194.10,194.26,652800
2018-07-18 20:00:00-04:00,194.84,198.50,194.48,197.64,512100
2018-07-19 20:00:00-04:00,197.53,199.32,197.01,197.15,532200
2018-07-22 20:00:00-04:00,198.00,198.52,196.12,196.45,659800
2018-07-23 20:00:00-04:00,194.48,202.79,191.01,197.77,1220800
2018-07-24 20:00:00-04:00,197.01,197.53,191.72,196.66,922300
2018-07-25 20:00:00-04:00,196.78,198.89,196.19,198.48,519400
2018-07-26 20:00:00-04:00,198.29,198.29,192.09,195.18,675300
2018-07-29 20:00:00-04:00,194.90,194.92,192.61,192.83,420000
2018-07-30 20:00:00-04:00,193.58,197.83,193.08,197.27,784500
2018-07-31 20:00:00-04:00,196.40,197.64,194.06,194.84,339200
2018-08-01 20:00:00-04:00,194.01,195.10,193.51,194.92,380400
2018-08-02 20:00:00-04:00,195.25,195.67,192.28,193.98,293800
2018-08-05 20:00:00-04:00,193.73,197.45,193.19,195.61,430900
2018-08-06 20:00:00-04:00,195.94,196.84,194.68,196.52,518100
2018-08-07 20:00:00-04:00,196.49,196.83,194.54,194.66,293600
2018-08-08 20:00:00-04:00,194.40,194.54,191.77,191.95,424000
2018-08-09 20:00:00-04:00,191.27,191.88,189.14,189.99,327700
2018-08-12 20:00:00-04:00,190.17,190.17,186.68,187.32,582800
2018-08-13 20:00:00-04:00,187.60,189.02,186.76,188.34,480700
2018-08-14 20:00:00-04:00,187.74,187.74,184.81,186.44,410200
2018-08-15 20:00:00-04:00,187.71,188.87,187.02,187.92,491300
2018-08-16 20:00:00-04:00,187.79,188.02,186.04,187.55,355900
2018-08-19 20:00:00-04:00,187.44,188.60,186.89,187.53,414100
2018-08-20 20:00:00-04:00,187.50,188.79,186.98,187.43,509600
2018-08-21 20:00:00-04:00,187.40,188.59,186.46,188.29,390400
2018-08-22 20:00:00-04:00,188.45,189.39,186.88,187.67,459200
2018-08-23 20:00:00-04:00,188.49,189.86,187.65,189.36,378800
2018-08-26 20:00:00-04:00,190.35,191.37,189.62,190.98,450500
2018-08-27 20:00:00-04:00,191.87,192.21,190.09,191.50,367300
2018-08-28 20:00:00-04:00,191.36,192.59,190.09,190.21,386100
2018-08-29 20:00:00-04:00,190.46,191.29,189.07,190.06,335400
2018-08-30 20:00:00-04:00,189.55,190.21,188.34,189.48,435000
2018-09-03 20:00:00-04:00,188.43,189.33,186.76,188.26,519200
2018-09-04 20:00:00-04:00,188.49,190.00,187.61,189.30,472900
2018-09-05 20:00:00-04:00,189.08,192.84,188.66,191.73,546500
2018-09-06 20:00:00-04:00,191.36,193.82,191.18,192.49,430700
2018-09-09 20:00:00-04:00,193.46,194.76,192.68,192.89,349500
2018-09-10 20:00:00-04:00,192.64,194.45,191.43,193.84,425300
2018-09-11 20:00:00-04:00,193.74,194.39,190.83,193.15,678200
2018-09-12 20:00:00-04:00,193.82,196.05,192.74,195.75,539600
2018-09-13 20:00:00-04:00,195.95,199.66,195.04,196.17,559500
2018-09-16 20:00:00-04:00,195.95,196.32,194.33,195.09,531800
2018-09-17 20:00:00-04:00,195.49,195.85,193.79,195.73,493300
2018-09-18 20:00:00-04:00,195.87,198.56,195.34,196.67,406500
2018-09-19 20:00:00-04:00,197.71,198.81,197.03,197.29,630700
2018-09-20 20:00:00-04:00,197.96,198.73,196.49,196.76,791100
2018-09-23 20:00:00-04:00,197.08,197.08,194.99,196.59,417600
2018-09-24 20:00:00-04:00,197.41,198.58,196.02,196.16,365500
2018-09-25 20:00:00-04:00,196.51,196.65,194.80,195.23,336700
2018-09-26 20:00:00-04:00,195.85,196.33,194.35,195.36,302800
2018-09-27 20:00:00-04:00,194.83,195.77,194.24,194.68,429300
2018-09-30 20:00:00-04:00,195.76,195.98,193.19,194.00,505600
2018-10-01 20:00:00-04:00,193.69,194.18,192.37,193.97,494300
2018-10-02 20:00:00-04:00,194.36,194.80,193.33,193.46,292900
2018-10-03 20:00:00-04:00,192.96,193.13,190.30,191.33,493900
2018-10-04 20:00:00-04:00,191.74,192.94,189.25,190.71,595200
2018-10-07 20:00:00-04:00,186.53,189.05,181.27,182.95,1032000
2018-10-08 20:00:00-04:00,181.66,182.76,180.92,181.50,739100
