Date,Open,High,Low,Close,Volume
2018-07-01 20:00:00-04:00,48.35,48.63,47.27,48.02,2630600
2018-07-02 20:00:00-04:00,47.70,49.29,47.68,48.65,1328800
2018-07-04 20:00:00-04:00,48.57,49.45,48.05,49.37,1984300
2018-07-05 20:00:00-04:00,49.45,49.86,49.38,49.81,2047500
2018-07-08 20:00:00-04:00,49.79,49.83,48.49,48.90,1876800
2018-07-09 20:00:00-04:00,48.97,49.23,48.67,48.92,1723300
2018-07-10 20:00:00-04:00,48.94,49.17,48.61,48.80,1132500
2018-07-11 20:00:00-04:00,48.94,49.02,48.60,48.85,879100
2018-07-12 20:00:00-04:00,49.02,49.13,48.26,48.48,1172400
2018-07-15 20:00:00-04:00,48.43,48.59,47.75,48.41,1465000
2018-07-16 20:00:00-04:00,48.63,48.65,47.96,48.06,1639700
2018-07-17 20:00:00-04:00,47.98,48.25,47.43,47.80,1199400
2018-07-18 20:00:00-04:00,47.76,48.73,47.64,48.55,1405700
2018-07-19 20:00:00-04:00,48.57,49.18,48.27,49.11,2424400
2018-07-22 20:00:00-04:00,49.03,49.50,48.80,49.29,3333300
2018-07-23 20:00:00-04:00,49.23,49.23,48.31,48.91,3362400
2018-07-24 20:00:00-04:00,49.05,49.83,48.96,49.48,1620900
2018-07-25 20:00:00-04:00,49.62,49.93,49.30,49.74,1815600
2018-07-26 20:00:00-04:00,48.16,49.60,47.27,47.81,3390200
2018-07-29 20:00:00-04:00,47.78,47.80,46.98,47.72,2137600
2018-07-30 20:00:00-04:00,47.95,48.72,47.81,48.42,3830300
2018-07-31 20:00:00-04:00,48.19,48.80,47.61,48.70,1988200
2018-08-01 20:00:00-04:00,48.70,48.93,48.34,48.86,2288200
2018-08-02 20:00:00-04:00,48.95,50.05,48.85,49.75,2129300
2018-08-05 20:00:00-04:00,49.81,50.05,49.33,49.69,1480000
2018-08-06 20:00:00-04:00,49.59,50.09,49.45,50.05,2151900
2018-08-07 20:00:00-04:00,49.98,50.30,49.62,49.78,1630600
2018-08-08 20:00:00-04:00,49.87,50.13,49.68,49.76,2465200
2018-08-09 20:00:00-04:00,49.69,50.02,49.32,49.50,1933200
2018-08-12 20:00:00-04:00,49.39,49.69,49.02,49.67,1453400
2018-08-13 20:00:00-04:00,49.71,50.52,49.67,50.16,1823100
2018-08-14 20:00:00-04:00,50.21,51.44,50.21,51.23,2162300
2018-08-15 20:00:00-04:00,50.96,51.64,50.71,51.50,1949100
2018-08-16 20:00:00-04:00,51.62,52.31,51.49,52.30,2311900
2018-08-19 20:00:00-04:00,52.52,52.81,52.08,52.24,3840700
2018-08-20 20:00:00-04:00,52.22,52.28,51.72,52.05,1989100
2018-08-21 20:00:00-04:00,52.10,52.19,51.68,51.95,1323700
2018-08-22 20:00:00-04:00,52.03,52.08,51.60,51.68,1799600
2018-08-23 20:00:00-04:00,51.49,51.79,50.98,51.70,1236300
2018-08-26 20:00:00-04:00,51.70,51.74,51.23,51.68,1634500
2018-08-27 20:00:00-04:00,51.63,52.40,51.47,52.38,1477800
2018-08-28 20:00:00-04:00,52.45,52.55,52.28,52.28,1578200
2018-08-29 20:00:00-04:00,52.41,52.45,52.08,52.20,1431700
2018-08-30 20:00:00-04:00,52.26,52.66,52.03,52.30,2080200
2018-09-03 20:00:00-04:00,52.18,52.51,51.71,51.93,2825900
2018-09-04 20:00:00-04:00,51.73,52.93,51.42,52.74,1898500
2018-09-05 20:00:00-04:00,52.79,53.08,52.66,52.89,1745900
2018-09-06 20:00:00-04:00,52.45,52.55,51.97,52.05,1330900
2018-09-09 20:00:00-04:00,52.50,52.81,52.29,52.42,1809400
2018-09-10 20:00:00-04:00,52.21,52.56,51.97,52.41,1090000
2018-09-11 20:00:00-04:00,52.42,52.62,52.23,52.27,1198200
2018-09-12 20:00:00-04:00,52.52,52.79,52.18,52.65,1897800
2018-09-13 20:00:00-04:00,52.49,52.49,51.46,52.07,1778100
2018-09-16 20:00:00-04:00,52.05,52.50,51.72,52.38,2210700
