Date,Open,High,Low,Close,Volume
2022-04-05 20:00:00-04:00,47.87,49.26,47.70,49.13,28018500
2022-04-06 20:00:00-04:00,49.16,49.93,48.95,49.62,27088200
2022-04-07 20:00:00-04:00,49.73,50.21,49.51,49.89,23294400
2022-04-10 20:00:00-04:00,49.75,50.16,48.69,48.90,24712800
2022-04-11 20:00:00-04:00,48.89,49.26,48.35,48.57,26761200
2022-04-12 20:00:00-04:00,48.64,50.01,48.61,49.83,29284500
2022-04-13 20:00:00-04:00,49.80,50.17,49.58,49.79,22360500
2022-04-17 20:00:00-04:00,49.68,50.07,49.20,49.41,14671800
2022-04-18 20:00:00-04:00,49.66,50.06,49.46,49.97,15855000
2022-04-19 20:00:00-04:00,50.19,50.82,50.17,50.60,19821600
2022-04-20 20:00:00-04:00,50.69,50.96,50.42,50.67,18168300
2022-04-21 20:00:00-04:00,50.79,50.83,49.66,49.72,21046200
2022-04-24 20:00:00-04:00,49.56,49.91,48.92,49.74,18057600
2022-04-25 20:00:00-04:00,49.56,50.12,49.19,49.22,19601100
2022-04-26 20:00:00-04:00,49.30,49.51,48.82,48.89,17496900
2022-04-27 20:00:00-04:00,49.20,49.76,48.84,49.51,14955900
2022-04-28 20:00:00-04:00,49.39,49.52,48.40,48.49,21088800
2022-05-01 20:00:00-04:00,49.12,49.13,47.65,48.17,20016000
2022-05-02 20:00:00-04:00,48.31,48.90,48.11,48.34,17950500
2022-05-03 20:00:00-04:00,48.19,49.07,48.02,49.01,20022600
2022-05-04 20:00:00-04:00,48.87,48.94,48.16,48.59,23234400
2022-05-05 20:00:00-04:00,48.26,48.97,47.17,47.58,34258200
2022-05-08 20:00:00-04:00,47.23,48.70,47.14,48.13,28207200
2022-05-09 20:00:00-04:00,48.17,48.45,47.26,47.46,24861300
2022-05-10 20:00:00-04:00,47.53,47.96,46.73,46.96,27878700
2022-05-11 20:00:00-04:00,47.04,47.76,46.61,46.92,25244400
2022-05-12 20:00:00-04:00,46.99,47.20,46.49,47.10,19962300
2022-05-15 20:00:00-04:00,47.52,47.63,46.59,47.15,21449100
2022-05-16 20:00:00-04:00,43.40,43.72,41.56,41.78,45147800
2022-05-17 20:00:00-04:00,40.73,40.80,38.66,38.95,45147800
2022-05-18 20:00:00-04:00,38.45,38.74,37.73,37.88,45147800
2022-05-19 20:00:00-04:00,38.06,38.44,37.31,37.92,45147800
2022-05-22 20:00:00-04:00,38.15,39.37,38.13,39.00,43680900
2022-05-23 20:00:00-04:00,38.56,39.62,38.52,39.49,34584900
2022-05-24 20:00:00-04:00,39.45,39.66,39.00,39.25,27121800
2022-05-25 20:00:00-04:00,39.86,40.21,39.57,40.08,28197600
2022-05-26 20:00:00-04:00,39.92,40.92,39.86,40.87,25299900
2022-05-30 20:00:00-04:00,40.55,41.32,40.53,40.92,36912300
2022-05-31 20:00:00-04:00,40.88,41.01,39.66,39.91,28534800
2022-06-01 20:00:00-04:00,39.95,40.57,39.55,40.56,23214300
2022-06-02 20:00:00-04:00,40.30,40.53,39.79,39.87,18302700
2022-06-05 20:00:00-04:00,40.02,40.18,39.63,39.72,19855500
2022-06-06 20:00:00-04:00,38.57,39.28,38.45,39.25,45147800
2022-06-07 20:00:00-04:00,38.92,39.42,38.79,38.91,22522800
2022-06-08 20:00:00-04:00,38.81,39.56,38.49,38.50,19880100
2022-06-09 20:00:00-04:00,38.09,39.05,37.96,38.71,25238100
2022-06-12 20:00:00-04:00,38.09,38.57,37.88,37.99,24897900
2022-06-13 20:00:00-04:00,37.90,38.17,37.59,38.00,21544200
2022-06-14 20:00:00-04:00,38.16,38.30,37.51,37.98,25914000
2022-06-15 20:00:00-04:00,37.65,38.73,37.61,38.37,30706800
2022-06-16 20:00:00-04:00,38.18,38.45,37.53,37.63,36838800
2022-06-20 20:00:00-04:00,37.63,39.06,37.61,38.86,23916600
2022-06-21 20:00:00-04:00,38.84,39.21,38.36,38.39,20235000
2022-06-22 20:00:00-04:00,38.73,39.43,38.56,39.33,18040800
2022-06-23 20:00:00-04:00,39.47,39.86,39.18,39.36,31845900
2022-06-26 20:00:00-04:00,39.38,39.68,39.06,39.48,19889100
2022-06-27 20:00:00-04:00,39.66,39.95,38.90,38.93,15399000
2022-06-28 20:00:00-04:00,39.09,39.24,38.48,38.78,19111500
2022-06-29 20:00:00-04:00,38.45,38.83,38.14,38.68,19166100
2022-06-30 20:00:00-04:00,38.79,39.10,38.54,39.01,17460900
2022-07-04 20:00:00-04:00,38.88,39.61,38.69,39.53,18218100
2022-07-05 20:00:00-04:00,39.60,40.17,39.54,39.81,21300000
2022-07-06 20:00:00-04:00,39.82,39.93,39.48,39.87,17487300
2022-07-07 20:00:00-04:00,40.02,40.28,39.81,39.89,14751000
2022-07-10 20:00:00-04:00,39.77,40.19,39.64,39.91,11532900
2022-07-11 20:00:00-04:00,39.80,40.44,39.68,39.79,13732200
2022-07-12 20:00:00-04:00,39.59,40.23,39.42,39.88,12689100
2022-07-13 20:00:00-04:00,39.50,40.82,39.49,40.66,20905500
2022-07-14 20:00:00-04:00,40.97,41.44,40.73,41.06,21184200
2022-07-17 20:00:00-04:00,40.93,41.45,40.80,40.96,14243700
2022-07-18 20:00:00-04:00,41.16,41.34,40.91,41.21,16995300
2022-07-19 20:00:00-04:00,41.52,41.77,41.20,41.56,18564900
2022-07-20 20:00:00-04:00,41.57,42.17,41.51,42.17,18764700
2022-07-21 20:00:00-04:00,42.16,42.43,41.75,42.06,13616400
2022-07-24 20:00:00-04:00,42.11,42.21,41.82,42.00,20535300
2022-07-25 20:00:00-04:00,38.53,39.03,38.19,38.80,45147800
2022-07-26 20:00:00-04:00,38.57,40.33,38.50,40.27,42159600
2022-07-27 20:00:00-04:00,40.17,41.52,40.17,41.28,33262200
2022-07-28 20:00:00-04:00,40.82,42.07,40.72,42.01,30141900
2022-07-31 20:00:00-04:00,41.69,42.70,41.67,42.16,24996300
2022-08-01 20:00:00-04:00,42.36,42.53,41.80,42.21,19695000
2022-08-02 20:00:00-04:00,42.04,42.29,41.31,41.51,32003100
2022-08-03 20:00:00-04:00,41.57,41.61,39.87,39.95,45147800
2022-08-04 20:00:00-04:00,39.93,40.34,39.80,40.27,32007000
