Date,Open,High,Low,Close,Volume
2018-07-01 20:00:00-04:00,70.72,71.61,70.70,71.55,1270600
2018-07-02 20:00:00-04:00,71.70,71.84,71.13,71.32,658100
2018-07-04 20:00:00-04:00,71.68,71.95,71.48,71.93,1582300
2018-07-05 20:00:00-04:00,71.68,72.24,71.50,71.93,1566400
2018-07-08 20:00:00-04:00,72.07,72.45,71.91,72.07,1329500
2018-07-09 20:00:00-04:00,72.45,72.99,72.27,72.91,1693500
2018-07-10 20:00:00-04:00,72.63,73.49,72.62,73.17,2384800
2018-07-11 20:00:00-04:00,73.48,73.91,73.32,73.64,1819700
2018-07-12 20:00:00-04:00,73.68,74.00,73.56,73.75,1120000
2018-07-15 20:00:00-04:00,73.76,73.76,73.09,73.22,1399000
2018-07-16 20:00:00-04:00,73.27,73.49,72.96,73.16,1635500
2018-07-17 20:00:00-04:00,73.14,73.16,72.19,72.25,1511800
2018-07-18 20:00:00-04:00,72.17,72.50,72.15,72.24,1140000
2018-07-19 20:00:00-04:00,72.02,72.43,71.94,72.28,1060800
2018-07-22 20:00:00-04:00,72.10,72.22,71.37,71.89,1511300
2018-07-23 20:00:00-04:00,71.85,71.98,70.81,71.23,2733700
2018-07-24 20:00:00-04:00,72.26,77.02,72.16,76.78,4341475
2018-07-25 20:00:00-04:00,77.10,77.92,76.98,77.38,3170300
2018-07-26 20:00:00-04:00,77.39,78.49,77.39,78.36,2488500
2018-07-29 20:00:00-04:00,78.32,78.56,77.61,77.68,2039200
2018-07-30 20:00:00-04:00,77.94,78.76,77.64,78.67,2171500
2018-07-31 20:00:00-04:00,78.81,79.29,78.43,78.56,2279200
2018-08-01 20:00:00-04:00,78.73,79.00,78.33,78.77,2159100
2018-08-02 20:00:00-04:00,78.67,78.67,77.39,78.28,1885400
2018-08-05 20:00:00-04:00,78.14,78.59,78.00,78.51,1779100
2018-08-06 20:00:00-04:00,78.78,78.93,78.38,78.59,1708200
2018-08-07 20:00:00-04:00,78.88,79.21,78.47,78.70,934000
2018-08-08 20:00:00-04:00,78.81,78.91,78.49,78.79,1139500
2018-08-09 20:00:00-04:00,78.80,79.06,78.40,78.62,2084500
2018-08-12 20:00:00-04:00,78.63,79.13,78.36,78.68,2755600
2018-08-13 20:00:00-04:00,78.82,79.32,78.55,78.80,2062200
2018-08-14 20:00:00-04:00,78.62,79.36,78.24,79.25,1597900
2018-08-15 20:00:00-04:00,79.51,79.67,78.95,79.41,1294700
2018-08-16 20:00:00-04:00,79.50,79.96,79.29,79.84,1654900
2018-08-19 20:00:00-04:00,80.06,80.10,79.67,79.69,1803100
2018-08-20 20:00:00-04:00,79.83,80.00,79.13,79.44,1527000
2018-08-21 20:00:00-04:00,79.49,79.49,79.13,79.19,1283900
2018-08-22 20:00:00-04:00,79.11,79.46,78.94,79.22,956500
2018-08-23 20:00:00-04:00,79.30,79.54,78.98,79.28,1151100
2018-08-26 20:00:00-04:00,79.53,79.63,79.08,79.25,1463600
2018-08-27 20:00:00-04:00,79.30,79.39,78.82,79.05,1263500
2018-08-28 20:00:00-04:00,79.20,79.37,78.84,79.22,1072400
2018-08-29 20:00:00-04:00,79.12,79.39,78.93,79.33,1309200
2018-08-30 20:00:00-04:00,79.37,79.54,79.12,79.46,1528900
2018-09-03 20:00:00-04:00,79.37,79.69,79.23,79.65,1359600
2018-09-04 20:00:00-04:00,79.56,80.09,79.25,80.02,1805300
2018-09-05 20:00:00-04:00,80.00,80.76,80.00,80.72,1736600
2018-09-06 20:00:00-04:00,80.66,81.14,80.48,80.66,2015500
2018-09-09 20:00:00-04:00,80.85,81.07,80.71,80.78,2633400
2018-09-10 20:00:00-04:00,80.60,81.42,80.60,81.13,1699100
2018-09-11 20:00:00-04:00,81.14,81.19,80.55,80.61,2235200
2018-09-12 20:00:00-04:00,80.84,80.92,80.36,80.85,1065400
2018-09-13 20:00:00-04:00,80.79,80.96,80.38,80.85,1106300
2018-09-16 20:00:00-04:00,80.94,81.11,80.49,80.92,789700
2018-09-17 20:00:00-04:00,81.11,81.57,80.92,81.28,1697800
2018-09-18 20:00:00-04:00,80.93,81.04,80.00,80.13,1511900
2018-09-19 20:00:00-04:00,80.36,80.79,80.20,80.58,1163400
2018-09-20 20:00:00-04:00,80.86,80.86,80.30,80.32,2244900
2018-09-23 20:00:00-04:00,80.32,80.36,79.36,79.52,1204700
2018-09-24 20:00:00-04:00,79.74,79.87,79.26,79.40,1448700
2018-09-25 20:00:00-04:00,79.38,79.50,78.77,78.87,1601000
2018-09-26 20:00:00-04:00,78.97,79.56,78.76,78.94,1446100
2018-09-27 20:00:00-04:00,78.90,79.46,78.83,79.39,2213600
2018-09-30 20:00:00-04:00,79.75,79.79,79.14,79.22,910800
2018-10-01 20:00:00-04:00,79.24,79.39,78.84,79.01,1101200
2018-10-02 20:00:00-04:00,79.18,79.43,78.40,78.64,1167800
2018-10-03 20:00:00-04:00,78.37,78.59,77.73,78.22,1235500
2018-10-04 20:00:00-04:00,78.47,79.33,78.28,79.04,1833900
2018-10-07 20:00:00-04:00,78.98,79.99,78.96,79.84,2166900
2018-10-08 20:00:00-04:00,79.79,80.53,79.50,80.19,2248800
2018-10-09 20:00:00-04:00,79.77,80.31,79.23,79.33,4325200
2018-10-10 20:00:00-04:00,79.33,79.71,77.32,77.35,2726400
2018-10-11 20:00:00-04:00,78.03,78.19,77.13,77.80,2728100
2018-10-14 20:00:00-04:00,77.65,78.30,77.59,77.69,2259000
2018-10-15 20:00:00-04:00,78.01,79.35,77.85,79.29,1195900
2018-10-16 20:00:00-04:00,79.29,79.68,78.46,79.19,1160500
2018-10-17 20:00:00-04:00,79.38,79.69,78.78,79.17,1482100
2018-10-18 20:00:00-04:00,79.12,79.76,79.12,79.46,1376100
2018-10-21 20:00:00-04:00,79.81,79.84,78.75,79.00,2180800
2018-10-22 20:00:00-04:00,78.21,78.45,76.94,77.65,1785300
2018-10-23 20:00:00-04:00,77.36,77.59,76.38,76.63,2050500
2018-10-24 20:00:00-04:00,76.61,77.24,73.11,74.54,2942400
2018-10-25 20:00:00-04:00,74.01,74.99,73.17,74.62,3062700
2018-10-28 20:00:00-04:00,75.38,76.76,75.19,75.92,3035200
