Date,Open,High,Low,Close,Volume
2022-04-05 20:00:00-04:00,40.36,40.92,40.30,40.60,1632000
2022-04-06 20:00:00-04:00,40.63,41.05,40.34,40.89,1601550
2022-04-07 20:00:00-04:00,41.22,41.43,40.92,41.15,1867500
2022-04-10 20:00:00-04:00,41.18,41.62,40.92,41.00,1553550
2022-04-11 20:00:00-04:00,41.12,41.90,41.00,41.65,2442300
2022-04-12 20:00:00-04:00,41.47,41.87,41.05,41.53,2047050
2022-04-13 20:00:00-04:00,41.53,41.72,41.26,41.47,5063900
2022-04-17 20:00:00-04:00,41.15,42.21,41.09,42.20,2683350
2022-04-18 20:00:00-04:00,42.22,42.35,41.72,42.06,2558700
2022-04-19 20:00:00-04:00,42.32,43.32,42.21,43.19,1977000
2022-04-20 20:00:00-04:00,43.30,43.48,42.15,42.26,2769900
2022-04-21 20:00:00-04:00,42.16,42.16,41.28,41.31,1953150
2022-04-24 20:00:00-04:00,41.12,41.33,40.44,41.27,3835800
2022-04-25 20:00:00-04:00,41.51,42.27,40.68,40.90,3240600
2022-04-26 20:00:00-04:00,41.08,41.98,40.78,41.42,3316650
2022-04-27 20:00:00-04:00,41.68,41.87,41.16,41.79,2499150
2022-04-28 20:00:00-04:00,41.64,41.68,40.27,40.41,4204350
2022-05-01 20:00:00-04:00,40.74,40.92,39.57,40.23,3258000
2022-05-02 20:00:00-04:00,40.52,41.17,40.14,40.88,2349750
2022-05-03 20:00:00-04:00,40.99,42.08,40.89,41.95,2392350
2022-05-04 20:00:00-04:00,41.62,41.95,40.85,41.37,1685100
2022-05-05 20:00:00-04:00,41.23,41.97,40.90,41.81,1905900
2022-05-08 20:00:00-04:00,41.58,41.69,40.77,40.86,2795250
2022-05-09 20:00:00-04:00,41.08,41.46,39.99,40.33,3391500
2022-05-10 20:00:00-04:00,40.39,41.27,40.29,40.52,2345250
2022-05-11 20:00:00-04:00,40.47,40.75,39.81,40.33,2843100
2022-05-12 20:00:00-04:00,40.60,40.97,40.32,40.92,2703750
2022-05-15 20:00:00-04:00,41.02,41.53,40.84,41.11,2511750
2022-05-16 20:00:00-04:00,41.59,42.16,41.25,41.99,2592450
2022-05-17 20:00:00-04:00,41.81,41.92,41.17,41.28,1944900
2022-05-18 20:00:00-04:00,40.81,41.08,39.58,40.29,2620650
2022-05-19 20:00:00-04:00,40.45,40.75,39.83,40.41,5063900
2022-05-22 20:00:00-04:00,40.92,41.60,40.57,41.23,2320650
2022-05-23 20:00:00-04:00,41.31,41.88,40.63,41.79,2202300
2022-05-24 20:00:00-04:00,41.47,42.10,41.47,41.95,1842900
2022-05-25 20:00:00-04:00,42.29,42.81,42.15,42.61,1655850
2022-05-26 20:00:00-04:00,42.67,43.04,42.54,43.03,1805550
2022-05-30 20:00:00-04:00,42.75,43.40,42.42,43.23,2564850
2022-05-31 20:00:00-04:00,43.19,43.51,42.11,42.95,1924650
2022-06-01 20:00:00-04:00,43.03,43.12,42.60,43.09,2015850
2022-06-02 20:00:00-04:00,42.91,43.09,42.80,42.92,1501650
2022-06-05 20:00:00-04:00,43.28,43.64,42.94,43.50,1163850
2022-06-06 20:00:00-04:00,43.31,43.96,43.17,43.93,1416000
2022-06-07 20:00:00-04:00,43.68,43.68,43.12,43.17,1066950
2022-06-08 20:00:00-04:00,43.18,43.29,42.32,42.33,1172250
2022-06-09 20:00:00-04:00,41.71,41.98,41.26,41.49,1287000
2022-06-12 20:00:00-04:00,40.78,41.08,40.08,40.30,1784100
2022-06-13 20:00:00-04:00,40.40,40.98,40.21,40.57,1979700
2022-06-14 20:00:00-04:00,40.92,41.53,40.35,40.73,1967550
2022-06-15 20:00:00-04:00,40.15,40.52,39.73,40.30,2431500
2022-06-16 20:00:00-04:00,40.38,40.87,39.98,40.61,4475100
2022-06-20 20:00:00-04:00,41.34,41.34,40.62,41.05,2325150
2022-06-21 20:00:00-04:00,40.53,41.02,40.29,40.68,2050950
2022-06-22 20:00:00-04:00,40.88,41.23,39.88,40.09,2115000
2022-06-23 20:00:00-04:00,40.36,41.80,40.15,41.73,3553800
2022-06-26 20:00:00-04:00,41.80,42.50,41.64,42.44,1948500
2022-06-27 20:00:00-04:00,42.76,43.20,42.20,42.38,1898400
2022-06-28 20:00:00-04:00,42.50,42.67,41.26,41.34,1932300
2022-06-29 20:00:00-04:00,40.94,42.03,40.67,41.87,2189100
2022-06-30 20:00:00-04:00,42.03,42.64,41.50,42.55,1533150
2022-07-04 20:00:00-04:00,42.05,42.51,41.17,41.59,1998600
2022-07-05 20:00:00-04:00,41.65,42.01,41.19,41.69,2280750
2022-07-06 20:00:00-04:00,41.91,42.29,41.42,41.43,2138100
2022-07-07 20:00:00-04:00,41.62,42.06,41.27,41.29,1670250
2022-07-10 20:00:00-04:00,41.16,41.58,40.97,41.27,1763550
2022-07-11 20:00:00-04:00,40.86,41.37,40.36,40.47,1648800
2022-07-12 20:00:00-04:00,40.20,40.73,40.18,40.25,1708950
2022-07-13 20:00:00-04:00,39.40,39.64,37.85,38.17,2509500
2022-07-14 20:00:00-04:00,38.74,38.95,38.28,38.66,1862700
2022-07-17 20:00:00-04:00,38.82,39.04,38.06,38.16,2137200
2022-07-18 20:00:00-04:00,38.44,39.29,38.34,39.23,1977600
2022-07-19 20:00:00-04:00,39.12,39.32,38.82,39.05,2133300
2022-07-20 20:00:00-04:00,38.90,39.53,38.31,39.49,2368650
2022-07-21 20:00:00-04:00,38.91,39.37,38.18,38.43,2638350
2022-07-24 20:00:00-04:00,38.93,39.58,38.88,39.09,2029500
2022-07-25 20:00:00-04:00,39.25,39.39,38.81,38.98,1742400
2022-07-26 20:00:00-04:00,39.01,39.29,38.54,39.04,2193600
2022-07-27 20:00:00-04:00,39.06,39.14,37.50,37.91,2235000
2022-07-28 20:00:00-04:00,38.03,38.57,38.03,38.36,3182550
2022-07-31 20:00:00-04:00,38.01,38.12,37.38,37.67,2325450
2022-08-01 20:00:00-04:00,37.72,37.95,37.45,37.48,1652400
2022-08-02 20:00:00-04:00,37.72,38.16,37.35,38.12,2693400
2022-08-03 20:00:00-04:00,38.01,38.18,37.48,37.53,1965900
2022-08-04 20:00:00-04:00,37.56,38.01,37.56,37.93,1458750
2022-08-07 20:00:00-04:00,38.03,38.28,37.93,38.06,1641150
2022-08-08 20:00:00-04:00,38.23,38.71,38.10,38.63,1731900
2022-08-09 20:00:00-04:00,38.81,39.34,38.81,39.31,1497450
2022-08-10 20:00:00-04:00,39.56,40.10,39.46,40.02,1893600
2022-08-11 20:00:00-04:00,40.06,40.45,40.02,40.44,1114950
2022-08-14 20:00:00-04:00,40.05,40.79,39.91,40.66,1067700
2022-08-15 20:00:00-04:00,40.66,41.02,40.59,40.85,1400550
2022-08-16 20:00:00-04:00,40.66,41.77,40.64,41.74,2023050
