Date,Open,High,Low,Close,Volume
2022-04-05 20:00:00-04:00,67.03,67.53,64.18,65.13,3810000
2022-04-06 20:00:00-04:00,64.05,66.45,63.46,66.10,2961800
2022-04-07 20:00:00-04:00,65.49,68.76,65.26,67.91,2370200
2022-04-10 20:00:00-04:00,66.55,70.20,66.55,70.01,2540800
2022-04-11 20:00:00-04:00,70.70,72.56,69.83,70.40,2524400
2022-04-12 20:00:00-04:00,69.36,71.70,69.24,70.78,1774400
2022-04-13 20:00:00-04:00,70.85,72.70,68.24,68.86,2929200
2022-04-17 20:00:00-04:00,68.19,69.25,64.98,65.29,3117400
2022-04-18 20:00:00-04:00,65.02,68.93,65.02,68.03,3255800
2022-04-19 20:00:00-04:00,68.53,68.69,66.27,66.37,2067600
2022-04-20 20:00:00-04:00,66.96,67.60,64.19,65.23,2459400
2022-04-21 20:00:00-04:00,64.82,65.17,62.67,62.86,2198800
2022-04-24 20:00:00-04:00,62.80,65.54,62.49,65.25,2360600
2022-04-25 20:00:00-04:00,64.20,64.66,62.49,62.91,2421200
2022-04-26 20:00:00-04:00,63.13,64.81,61.93,62.56,1686400
2022-04-27 20:00:00-04:00,63.41,64.27,61.07,64.26,1838800
2022-04-28 20:00:00-04:00,63.60,64.35,60.51,60.64,2183200
2022-05-01 20:00:00-04:00,60.46,64.13,59.91,64.03,2039000
2022-05-02 20:00:00-04:00,63.57,65.50,63.31,64.83,1461800
2022-05-03 20:00:00-04:00,64.83,66.15,62.86,66.07,2123400
2022-05-04 20:00:00-04:00,63.94,64.08,60.57,61.51,3614200
2022-05-05 20:00:00-04:00,60.06,60.20,56.87,57.48,4945800
2022-05-08 20:00:00-04:00,56.18,58.93,56.00,57.75,3036800
2022-05-09 20:00:00-04:00,59.09,60.22,57.11,59.05,3399000
2022-05-10 20:00:00-04:00,59.05,60.77,57.32,57.61,2708000
2022-05-11 20:00:00-04:00,57.34,60.51,57.07,58.12,3417000
2022-05-12 20:00:00-04:00,58.28,59.94,58.23,58.61,2672200
2022-05-15 20:00:00-04:00,57.75,58.91,56.36,57.66,3558600
2022-05-16 20:00:00-04:00,59.47,60.12,56.94,59.73,2162800
2022-05-17 20:00:00-04:00,55.35,55.63,50.18,51.34,5154800
2022-05-18 20:00:00-04:00,50.58,53.81,50.28,52.21,3362200
2022-05-19 20:00:00-04:00,52.35,53.17,48.77,50.26,3592000
2022-05-22 20:00:00-04:00,50.14,51.61,49.38,50.33,3562400
2022-05-23 20:00:00-04:00,49.03,49.43,47.21,49.02,4835800
2022-05-24 20:00:00-04:00,48.04,55.30,47.66,53.44,5154800
2022-05-25 20:00:00-04:00,58.50,62.27,57.91,60.42,5154800
2022-05-26 20:00:00-04:00,60.35,62.02,58.60,60.84,3372800
2022-05-30 20:00:00-04:00,60.42,61.17,58.04,59.45,4727600
2022-05-31 20:00:00-04:00,59.21,60.39,57.04,58.11,3131800
2022-06-01 20:00:00-04:00,58.46,60.51,57.65,60.38,2771200
2022-06-02 20:00:00-04:00,59.06,59.61,57.73,57.76,2850400
2022-06-05 20:00:00-04:00,57.86,59.85,57.16,59.23,3824200
2022-06-06 20:00:00-04:00,56.11,58.86,54.84,58.43,3051800
2022-06-07 20:00:00-04:00,58.85,60.40,58.14,58.60,2162600
2022-06-08 20:00:00-04:00,58.78,59.85,58.39,58.63,1786200
2022-06-09 20:00:00-04:00,57.70,58.27,55.87,56.35,2167200
2022-06-12 20:00:00-04:00,54.90,56.12,53.76,55.60,3231400
2022-06-13 20:00:00-04:00,55.76,56.56,55.13,56.09,1975600
2022-06-14 20:00:00-04:00,56.59,57.53,55.13,56.37,2110000
2022-06-15 20:00:00-04:00,54.25,54.95,52.45,53.75,2713200
2022-06-16 20:00:00-04:00,54.39,56.00,53.91,55.24,3962600
2022-06-20 20:00:00-04:00,56.42,56.98,55.53,55.59,2093600
2022-06-21 20:00:00-04:00,55.36,56.89,54.53,55.70,2095400
2022-06-22 20:00:00-04:00,55.47,56.78,55.17,56.35,2186800
2022-06-23 20:00:00-04:00,56.63,58.67,56.36,58.60,2788200
2022-06-26 20:00:00-04:00,58.71,59.07,56.57,56.85,1612000
2022-06-27 20:00:00-04:00,57.28,58.02,54.84,55.03,1861600
2022-06-28 20:00:00-04:00,54.70,54.86,53.71,53.96,2716200
2022-06-29 20:00:00-04:00,50.86,52.18,49.57,51.56,4772000
2022-06-30 20:00:00-04:00,51.91,53.12,51.23,52.43,3042800
2022-07-04 20:00:00-04:00,51.69,57.34,50.89,57.33,3313200
2022-07-05 20:00:00-04:00,57.32,58.19,55.17,56.26,2324000
2022-07-06 20:00:00-04:00,56.56,59.91,56.56,59.47,2963400
2022-07-07 20:00:00-04:00,59.47,60.87,58.58,60.64,2046400
2022-07-10 20:00:00-04:00,60.42,61.71,58.67,58.93,1869200
2022-07-11 20:00:00-04:00,59.48,61.55,59.27,59.63,1845600
2022-07-12 20:00:00-04:00,58.60,61.54,58.53,60.51,1846000
2022-07-13 20:00:00-04:00,59.70,59.95,58.41,58.91,1665200
2022-07-14 20:00:00-04:00,59.65,61.79,59.65,61.30,2067400
2022-07-17 20:00:00-04:00,61.97,63.38,61.34,61.35,2367000
2022-07-18 20:00:00-04:00,62.23,63.94,61.42,63.91,2519200
2022-07-19 20:00:00-04:00,63.33,64.42,61.53,63.92,2875600
2022-07-20 20:00:00-04:00,64.03,65.81,63.39,65.78,2011200
2022-07-21 20:00:00-04:00,65.95,66.45,63.31,64.15,2866600
2022-07-24 20:00:00-04:00,64.02,64.03,62.59,63.78,1139200
2022-07-25 20:00:00-04:00,62.07,63.40,61.49,62.48,2124800
2022-07-26 20:00:00-04:00,62.93,64.78,62.33,64.54,1931200
2022-07-27 20:00:00-04:00,64.87,65.88,62.79,65.67,2032400
2022-07-28 20:00:00-04:00,65.74,67.54,64.66,67.50,2024000
2022-07-31 20:00:00-04:00,67.29,68.67,66.80,67.96,1684400
2022-08-01 20:00:00-04:00,67.17,67.70,65.92,66.11,1513000
2022-08-02 20:00:00-04:00,66.71,68.24,66.15,67.63,1813800
2022-08-03 20:00:00-04:00,67.54,68.73,67.16,67.66,1713800
2022-08-04 20:00:00-04:00,66.85,68.80,66.82,68.70,1223800
2022-08-07 20:00:00-04:00,69.49,74.76,69.05,72.33,3508000
2022-08-08 20:00:00-04:00,71.27,71.69,68.82,69.30,1653800
2022-08-09 20:00:00-04:00,71.39,72.45,70.63,72.21,1539600
2022-08-10 20:00:00-04:00,74.24,75.45,71.78,72.79,2592800
2022-08-11 20:00:00-04:00,73.10,74.38,72.64,74.24,1162600
2022-08-14 20:00:00-04:00,73.96,76.04,73.47,75.47,1999000
2022-08-15 20:00:00-04:00,75.44,82.68,75.44,78.93,4132600
