Date,Open,High,Low,Close,Volume
2018-07-01 20:00:00-04:00,135.44,137.17,135.44,136.91,347900
2018-07-02 20:00:00-04:00,136.99,138.37,135.30,137.06,181100
2018-07-04 20:00:00-04:00,137.59,138.53,134.88,138.47,353900
2018-07-05 20:00:00-04:00,138.46,140.88,138.31,140.33,496700
2018-07-08 20:00:00-04:00,141.01,142.84,139.64,142.82,390500
2018-07-09 20:00:00-04:00,143.09,143.17,141.80,142.12,350600
2018-07-10 20:00:00-04:00,141.51,142.29,137.62,141.21,333500
2018-07-11 20:00:00-04:00,141.40,142.58,140.98,141.91,475100
2018-07-12 20:00:00-04:00,142.07,142.59,141.30,142.23,415400
2018-07-15 20:00:00-04:00,142.07,142.29,141.29,141.80,460900
2018-07-16 20:00:00-04:00,141.60,142.28,141.21,141.54,636200
2018-07-17 20:00:00-04:00,141.86,143.02,141.32,142.90,791500
2018-07-18 20:00:00-04:00,142.93,143.19,141.52,142.95,548800
2018-07-19 20:00:00-04:00,142.87,143.99,141.58,143.65,385800
2018-07-22 20:00:00-04:00,143.47,144.56,143.27,144.52,312600
2018-07-23 20:00:00-04:00,144.62,145.73,144.16,145.31,427900
2018-07-24 20:00:00-04:00,145.00,146.79,144.91,146.73,294800
2018-07-25 20:00:00-04:00,146.94,146.94,145.47,145.99,529400
2018-07-26 20:00:00-04:00,146.48,146.60,144.21,144.55,359300
2018-07-29 20:00:00-04:00,144.10,145.00,143.42,143.60,394400
2018-07-30 20:00:00-04:00,144.40,145.79,143.20,143.47,591800
2018-07-31 20:00:00-04:00,143.25,146.01,142.81,143.23,591700
2018-08-01 20:00:00-04:00,135.89,138.17,130.39,131.15,2051900
2018-08-02 20:00:00-04:00,135.89,135.89,129.67,133.93,800700
2018-08-05 20:00:00-04:00,133.77,134.81,132.77,134.45,629600
2018-08-06 20:00:00-04:00,134.98,136.42,134.44,136.04,699800
2018-08-07 20:00:00-04:00,135.95,136.96,134.99,136.36,421900
2018-08-08 20:00:00-04:00,136.17,137.15,136.06,136.44,425900
2018-08-09 20:00:00-04:00,135.63,135.96,134.32,134.75,506800
2018-08-12 20:00:00-04:00,135.10,136.10,132.86,133.15,663300
2018-08-13 20:00:00-04:00,133.37,133.84,131.23,132.41,727300
2018-08-14 20:00:00-04:00,131.74,133.89,130.94,133.37,495100
2018-08-15 20:00:00-04:00,133.69,135.08,133.58,134.23,425400
2018-08-16 20:00:00-04:00,133.87,134.69,133.33,133.99,601500
2018-08-19 20:00:00-04:00,134.46,134.46,133.04,133.22,484900
2018-08-20 20:00:00-04:00,133.22,133.96,132.42,133.58,445400
2018-08-21 20:00:00-04:00,133.64,133.99,132.46,132.92,428200
2018-08-22 20:00:00-04:00,132.65,132.70,131.78,131.90,294300
2018-08-23 20:00:00-04:00,132.47,132.54,131.25,132.28,349400
2018-08-26 20:00:00-04:00,132.99,133.38,132.24,132.95,309800
2018-08-27 20:00:00-04:00,133.01,133.87,132.40,133.11,378700
2018-08-28 20:00:00-04:00,133.32,134.06,132.52,133.55,322200
2018-08-29 20:00:00-04:00,133.46,133.46,131.46,132.02,395800
2018-08-30 20:00:00-04:00,132.01,132.70,131.48,132.54,483100
2018-09-03 20:00:00-04:00,132.41,132.98,131.31,132.91,357100
2018-09-04 20:00:00-04:00,132.81,133.39,132.28,132.96,640500
2018-09-05 20:00:00-04:00,133.02,135.24,133.02,134.61,649600
2018-09-06 20:00:00-04:00,134.49,135.30,133.36,133.56,555300
2018-09-09 20:00:00-04:00,134.44,134.44,133.09,133.36,408400
2018-09-10 20:00:00-04:00,133.28,133.95,132.60,133.48,433500
2018-09-11 20:00:00-04:00,133.19,133.22,131.41,131.57,367600
2018-09-12 20:00:00-04:00,132.00,132.52,131.32,131.92,393100
2018-09-13 20:00:00-04:00,132.10,132.64,129.73,132.25,434800
2018-09-16 20:00:00-04:00,132.54,132.65,131.40,131.72,368500
2018-09-17 20:00:00-04:00,131.70,131.86,130.66,131.47,604900
2018-09-18 20:00:00-04:00,131.98,133.87,131.32,133.51,523400
2018-09-19 20:00:00-04:00,133.99,134.51,133.26,133.64,472400
2018-09-20 20:00:00-04:00,134.17,134.45,133.46,133.63,987400
2018-09-23 20:00:00-04:00,133.09,133.45,130.48,130.53,623500
2018-09-24 20:00:00-04:00,130.58,132.91,128.41,128.55,718500
2018-09-25 20:00:00-04:00,128.48,129.11,125.84,126.86,1076700
2018-09-26 20:00:00-04:00,126.97,129.20,126.54,127.25,532400
2018-09-27 20:00:00-04:00,126.96,128.06,126.29,127.38,1047500
2018-09-30 20:00:00-04:00,128.10,128.72,127.58,128.11,572700
2018-10-01 20:00:00-04:00,127.83,129.17,127.18,129.15,675600
2018-10-02 20:00:00-04:00,129.84,130.20,129.06,129.11,458400
2018-10-03 20:00:00-04:00,128.80,129.34,128.09,128.95,398400
2018-10-04 20:00:00-04:00,128.94,129.49,127.96,128.11,494800
2018-10-07 20:00:00-04:00,128.41,129.91,127.51,129.06,658800
2018-10-08 20:00:00-04:00,128.86,130.17,128.20,128.87,473700
2018-10-09 20:00:00-04:00,128.58,128.98,125.93,126.03,872800
2018-10-10 20:00:00-04:00,125.90,126.00,122.33,122.98,1063000
2018-10-11 20:00:00-04:00,123.97,125.41,122.51,124.09,864100
2018-10-14 20:00:00-04:00,123.68,125.69,123.21,124.71,680200
2018-10-15 20:00:00-04:00,125.27,126.66,124.63,126.60,635700
2018-10-16 20:00:00-04:00,126.48,127.37,121.56,126.38,510400
2018-10-17 20:00:00-04:00,126.23,127.05,124.63,125.38,704200
2018-10-18 20:00:00-04:00,124.80,126.86,124.80,126.51,424900
2018-10-21 20:00:00-04:00,126.94,127.98,126.11,126.44,436100
2018-10-22 20:00:00-04:00,125.04,126.08,123.48,124.59,601200
2018-10-23 20:00:00-04:00,124.28,125.49,121.68,121.87,1205300
2018-10-24 20:00:00-04:00,122.44,125.56,122.12,124.82,732800
2018-10-25 20:00:00-04:00,123.60,126.93,123.23,125.64,1305100
2018-10-28 20:00:00-04:00,126.89,129.12,125.75,126.86,982700
2018-10-29 20:00:00-04:00,127.23,127.70,125.12,127.60,749700
2018-10-30 20:00:00-04:00,128.50,130.93,127.91,129.39,839800
2018-10-31 20:00:00-04:00,129.40,130.86,128.24,129.33,781300
2018-11-01 20:00:00-04:00,134.08,137.76,132.67,137.73,1388600
2018-11-04 19:00:00-05:00,138.31,140.50,137.22,139.58,890100
2018-11-05 19:00:00-05:00,139.81,140.53,138.75,139.82,819400
2018-11-06 19:00:00-05:00,140.59,143.30,138.80,143.07,778600
2018-11-07 19:00:00-05:00,142.36,145.37,142.36,144.93,774600
2018-11-08 19:00:00-05:00,143.82,145.08,143.11,144.55,643100
2018-11-11 19:00:00-05:00,144.12,144.55,142.73,143.26,804100
2018-11-12 19:00:00-05:00,143.11,145.23,143.11,144.58,1035500
2018-11-13 19:00:00-05:00,145.16,145.35,143.19,144.42,1082400
2018-11-14 19:00:00-05:00,143.60,145.67,142.65,145.04,927200
2018-11-15 19:00:00-05:00,143.79,144.27,140.48,143.58,1233000
2018-11-18 19:00:00-05:00,143.25,145.59,143.20,144.84,837700
2018-11-19 19:00:00-05:00,144.16,144.29,141.26,141.31,684300
2018-11-20 19:00:00-05:00,141.64,143.77,140.56,141.65,560300
2018-11-22 19:00:00-05:00,141.10,142.30,140.76,140.98,345600
2018-11-25 19:00:00-05:00,142.38,142.40,141.30,142.20,629700
2018-11-26 19:00:00-05:00,142.16,142.96,141.13,141.92,703800
2018-11-27 19:00:00-05:00,142.01,144.92,141.48,144.15,1504400
2018-11-28 19:00:00-05:00,143.48,144.35,142.83,143.24,816500
2018-11-29 19:00:00-05:00,143.40,144.77,143.40,144.11,1149400
2018-12-02 19:00:00-05:00,145.01,145.91,144.20,145.64,749300
2018-12-03 19:00:00-05:00,145.57,146.39,141.62,142.18,729300
2018-12-05 19:00:00-05:00,140.55,141.50,138.69,141.08,990600
2018-12-06 19:00:00-05:00,141.21,142.47,140.51,141.45,966900
2018-12-09 19:00:00-05:00,140.86,141.75,138.70,139.74,752100
2018-12-10 19:00:00-05:00,141.30,141.75,138.84,140.00,523200
2018-12-11 19:00:00-05:00,141.64,142.19,140.72,140.78,470100
2018-12-12 19:00:00-05:00,140.96,141.94,140.23,141.40,592600
2018-12-13 19:00:00-05:00,140.66,141.78,138.73,138.97,492900
2018-12-16 19:00:00-05:00,139.09,140.01,136.10,136.73,837400
2018-12-17 19:00:00-05:00,137.57,138.54,136.21,137.31,573400
2018-12-18 19:00:00-05:00,141.18,141.18,134.84,136.77,732600
2018-12-19 19:00:00-05:00,137.04,137.06,134.28,134.97,772200
2018-12-20 19:00:00-05:00,134.65,136.06,132.56,132.92,2131625
2018-12-23 19:00:00-05:00,133.03,134.10,131.22,132.51,1793400
2018-12-25 19:00:00-05:00,133.04,134.88,130.27,134.54,943000
2018-12-26 19:00:00-05:00,133.06,136.42,131.44,136.34,703500
