Date,Open,High,Low,Close,Volume
2022-04-05 20:00:00-04:00,72.69,73.81,72.27,72.89,24768200
2022-04-06 20:00:00-04:00,73.05,74.45,72.07,74.11,26122000
2022-04-07 20:00:00-04:00,74.22,75.99,74.22,75.67,24866500
2022-04-10 20:00:00-04:00,74.75,74.88,72.76,73.06,21800100
2022-04-11 20:00:00-04:00,74.69,75.65,74.40,74.59,22444200
2022-04-12 20:00:00-04:00,75.47,75.91,74.23,75.64,19306800
2022-04-13 20:00:00-04:00,75.52,77.08,75.14,76.53,24566400
2022-04-17 20:00:00-04:00,77.12,77.46,76.46,77.16,19032300
2022-04-18 20:00:00-04:00,76.69,77.26,76.05,76.47,20382600
2022-04-19 20:00:00-04:00,76.66,77.12,76.07,76.65,20689400
2022-04-20 20:00:00-04:00,77.51,78.25,75.63,75.84,29010900
2022-04-21 20:00:00-04:00,75.51,76.79,74.07,74.18,23591600
2022-04-24 20:00:00-04:00,71.78,72.03,69.09,71.68,37698300
2022-04-25 20:00:00-04:00,72.09,73.82,71.61,71.71,28941500
2022-04-26 20:00:00-04:00,72.66,74.49,71.70,73.75,32773000
2022-04-27 20:00:00-04:00,73.96,76.80,73.26,75.98,33683800
2022-04-28 20:00:00-04:00,76.80,76.80,73.81,74.28,34656500
2022-05-01 20:00:00-04:00,74.08,75.84,73.74,75.30,36335200
2022-05-02 20:00:00-04:00,75.16,77.36,75.04,76.85,33908100
2022-05-03 20:00:00-04:00,77.99,80.06,77.47,79.91,40842200
2022-05-04 20:00:00-04:00,80.20,80.21,77.02,78.69,40842200
2022-05-05 20:00:00-04:00,79.28,80.01,77.86,79.90,29619300
2022-05-08 20:00:00-04:00,77.94,78.04,73.21,73.60,40842200
2022-05-09 20:00:00-04:00,74.62,75.71,72.78,74.08,34483200
2022-05-10 20:00:00-04:00,75.31,77.50,75.18,75.63,33020600
2022-05-11 20:00:00-04:00,75.66,76.04,73.42,75.97,29491500
2022-05-12 20:00:00-04:00,76.90,78.30,76.01,78.22,25798400
2022-05-15 20:00:00-04:00,78.33,80.97,78.32,80.06,26101200
2022-05-16 20:00:00-04:00,80.75,81.38,80.21,81.08,23120700
2022-05-17 20:00:00-04:00,81.44,81.80,79.08,79.80,25451200
2022-05-18 20:00:00-04:00,78.35,81.25,78.35,80.23,24387400
2022-05-19 20:00:00-04:00,80.93,82.39,79.58,80.86,28795000
2022-05-22 20:00:00-04:00,81.57,83.43,81.47,82.65,27239300
2022-05-23 20:00:00-04:00,81.71,83.44,81.27,83.10,24293300
2022-05-24 20:00:00-04:00,83.26,84.98,83.16,84.77,29947800
2022-05-25 20:00:00-04:00,85.04,85.77,84.69,85.07,24314800
2022-05-26 20:00:00-04:00,84.47,86.21,83.89,85.91,25588800
2022-05-30 20:00:00-04:00,86.76,87.84,84.25,84.51,40842200
2022-05-31 20:00:00-04:00,85.41,86.89,85.05,86.13,25815400
2022-06-01 20:00:00-04:00,85.64,86.36,85.20,85.98,19089100
2022-06-02 20:00:00-04:00,86.18,87.73,86.18,87.23,21038200
2022-06-05 20:00:00-04:00,87.31,87.84,86.86,87.01,20682100
2022-06-06 20:00:00-04:00,87.77,91.05,87.58,91.00,37810200
